店舗・グループ名１,店舗・グループ名２,特典内容１,お問合せ先１,お問合せ先１店舗名,お問合せ先２,お問合せ先備考,お問合せ先（メールアドレス）,お問合せ先（ＨＰ）,お問合せ先（ＨＰ）備考
株式会社京王ストア,,"5,000円以上のお買上で当日宅配サービス無料（会員登録が必要となります。65歳以上で本人に限る。）",042-366-2211,京王ストア栄町店 ,,,,,
株式会社京王ストア,,"5,000円以上のお買上で当日宅配サービス無料（会員登録が必要となります。65歳以上で本人に限る。）",042-370-2581,京王ストア稲城店,,,,,
株式会社京王ストア,,"5,000円以上のお買上で当日宅配サービス無料（会員登録が必要となります。65歳以上で本人に限る。）",042-337-2511,京王ストア桜ヶ丘店,,,,,
株式会社京王ストア,,"5,000円以上のお買上で当日宅配サービス無料（会員登録が必要となります。65歳以上で本人に限る。）",042-592-3111,京王ストア高幡店 ,,,,,
株式会社京王ストア,,"5,000円以上のお買上で当日宅配サービス無料（会員登録が必要となります。65歳以上で本人に限る。）",042-635-8851,京王ストア北野店,,,,,
株式会社京王ストア,,"5,000円以上のお買上で当日宅配サービス無料（会員登録が必要となります。65歳以上で本人に限る。）",042-661-5910,京王ストアめじろ台店,,,,,
株式会社京王ストア,,"5,000円以上のお買上で当日宅配サービス無料（会員登録が必要となります。65歳以上で本人に限る。）",042-662-8121,京王ストア高尾店,,,,,
セコム,,位置情報・現場急行サービス（ココセコム）／加入料金１，０００円割引,0120-855-756,,,,,,
東急セキュリティ株式会社,,東急セキュリティ「レスＱ」月額契約料金1ヶ月無料／レスＱとは、ご自宅内での事故等の際にボタンを押すことで、お客様宅へ警備スタッフが急行し、緊急対応や救急車の要請、ご家族への報告等を行うサービスです。※実施エリアは、渋谷区、世田谷区、大田区、品川区、港区、町田市、狛江市の一部及び目黒区全域,0120-109-253,,,,,,
トミコシ高島平ボウル,,ボウリング1ゲーム料金の割引、平日470円、土日祝570円,03-3936-1411,,,,,,
東京カラオケボックス防犯協力会,,各店舗により特典内容は異なります,03-3512-5650,,,,,,
はとバス,,定期観光（A・B・Cではじまるコース）の料金を５パーセント割引,03-3761-1100,はとバス予約センター,,,,,
ＪＴＢガイアレック,,ＪＴＢサン＆サン　国内旅行商品３パーセント割引／ＪＴＢサン＆サン　添乗員付の宿泊ツアー７%割引／店舗での申込みはできません。電話でお申込みください。,03-6810-1933,,,,,https://www.jtbgaiarec.co.jp/,
京王観光,,キングツアー「バス旅」商品５パーセント割引,03-3342-7731,京王新宿店,,,,,
京王観光,,キングツアー「バス旅」商品５パーセント割引,042-375-8611,聖蹟桜ヶ丘店,,,,,
ボックスツアー,,ＧＯＬＦＰＡＱ（都内発日帰りバスゴルフツアー）初回参加に限り半額サポート,03-6457-7896,,,,,,
浅草ＲＯＸまつり湯,,"大人2,750円を1,375円／土・日・祝日・特定日はプラス330円",03-3845ｰ7526,,,,,,
板橋天然温泉スパディオ,,"全日入館料2,420円を2,000円（４名様まで）／１月1日から1月3日、特定日は利用不可",03-3967-1126,,,,,,
昭島温泉　湯楽の里,,レンタルタオルセット（350円）が無料／入館時にフロントにて運転経歴証明書をご提示ください,042-500-2615,,,,,,
タニタフィッツミ－,,,03-5392-4111,,,,,http://www.fitsme.jp/,
タニタフィッツミ－,,新規入会者、入会金無料。　既存会員、振動マシン利用券プレゼント。　※本人に限る,03-3936-3210,東武練馬店,,,,http://www.fitsme.jp/,
タニタフィッツミ－,,新規入会者、入会金半額。　既存会員、ドリンク１本プレゼント。　※本人に限る,03-5966-1016,大山店,,,,http://www.fitsme.jp/,
タニタフィッツミ－,,新規入会者、入会金半額。　既存会員、ドリンク１本プレゼント。　※本人に限る,03-3420-2464,豪徳寺店,,,,http://www.fitsme.jp/,
タニタフィッツミ－,,新規入会者、入会金無料。　既存会員、店内物販購入10パーセント割引券プレゼント割引。　※本人に限る,03-5918-8221,ときわ台店,,,,http://www.fitsme.jp/,
タニタフィッツミ－,,新規入会者、入会金無料。　既存会員、毎月の会費特典あり。　※本人に限る,052-626-2392,イオンタウン有松店,,,,http://www.fitsme.jp/,
タニタフィッツミ－,,新規入会者、入会金無料。既存会員、振動マシン利用券プレゼント。　※本人に限る,042-426-7645,調布駅前店,,,,http://www.fitsme.jp/,
明治座,,ご入場券代１０パーセント割引／（一部対象外公演あり）／（他の割引との併用不可）／詳しくはお問合せください。,03-3666-6666,明治座チケットセンター,,午前10時から午後5時まで,,,
啓文堂書店,,金券としてご利用いただけるスタンプカード発行,042-644-0276,京王書籍販売(株),,,,,
サンシャイン水族館,,入場料金100円引き／他の割引との併用不可,03-3989-3466,水族館,,,,,
サンシャイン６０展望台 てんぼうパーク,,入場料金50円引き／他の割引との併用不可,03-3989-3457,展望台,,,,,
コニカミノルタプラネタリウム“満天”in Sunshine City,,鑑賞料金20パーセント割引／１作品につきご本人様含め2名様まで有効／芝シート・雲シートは対象外／他の割引との併用不可／オンライン購入でのご利用不可,03-3989-3546,,,,,,
コニカミノルタプラネタリウム“天空”in 東京スカイツリータウン?,,鑑賞料金20パーセント割引／１作品につきご本人様含め2名様まで有効／三日月シートは対象外／他の割引との併用不可／オンライン購入でのご利用不可,03-5610-3043,,,,,,
旧白洲邸　武相荘,,来場者本人に特製絵葉書１枚差し上げます,042-735-5732,,,,,,
すみだ北斎美術館,,企画展・常設展プラス・常設展、観覧料20パーセントオフ／本人のみ,03-6658-8936,,,,,,
日テレ・東京ヴェルディベレーザ,,日テレ・東京ヴェルディベレーザのホームゲームご招待,03-3512-1969,,,,,,
ミニチュアミュージアム・スモールワールズ,,"入場料：大人2,430円、中人1,710円、小人1,350円",03-5843-8660,,,,,,
サンリオピューロランド,,デイパスポートがご来場当日の窓口価格より200円引き／アフタヌーンパスポートは対象外,042-339-1111,,,午前9時30分から午後5時まで休館日を除く,,,
ヴィサージュ クリエーション,,訪問初回施術料金20パーセント割引,047-335-6600,,,,,,
王子自動車学校,,新規運転免許取得者をご紹介の方に3，000円分のクオカードプレゼント／紹介でご入校の方に割引あり　※普通車に限る,03-3913-7521,,,,,,
東急自動車学校,,入校者をご紹介の方にジェフグルメカード２，０００円分プレゼント、紹介でご入校の方に入校時割引あり,042-372-0109,,,,,,
葛西橋自動車教習所,,新規免許取得者をご紹介の方に５，０００円プレゼント、紹介で入所の方に１５，０００円割引、安心パック無料（２９歳もでの方）,03-3680-2341,,,,,,
金町自動車教習所,,"新規免許取得者ご紹介の方とご入所の方に商品券3,000円をプレゼント。",03-3607-5101,,,,,,
小金井自動車学校,,ご入校者をご紹介の方に５，０００円プレゼント／紹介で入校された方に５，０００円プレゼント,042-381-0150,,,,,,
日の丸自動車学校,,紹介入校時割引,03-3719-3515,,,,,,
北豊島園自動車学校,,新規免許取得者をご紹介の方に３，０００から５，０００円の謝礼、紹介で入校された免許のない方に問題集プレゼント（入校された方にも特典あり）,03-3990-1176,,,,,,
大泉自動車教習所,,新規免許取得者を紹介の方に謝礼、紹介で入所された方に割引,03-3922-2917,,,,,,
武蔵境自動車教習所,,入校者をご紹介の方にクオカード５，０００円分をプレゼント、紹介で入校された方にクオカード５，０００円分をプレゼント,0422-51-7381,,,,,,
東久留米自動車教習所,,入校者をご紹介の方に５，０００円をプレゼント、紹介で入校された方に５，０００円をプレゼント,042-471-2915,,,,,,
今井自動車教習所,,紹介で入校された方に割引あり、紹介の方にグルメカード５，０００円分プレゼント,03-3670-1401,,,,,,
京成ドライビングスクール,,新規運転免許取得者をご紹介の方に謝礼,03-3657-3181,,,,,,
竹の塚モータースクール,,新規運転免許取得者を紹介者の方に5000円の謝礼、紹介で入校された方にキャンペーン特典適用,03-3858-6666,,,,,,
尾久自動車学校,,新規運転免許取得者を紹介者の方に３，０００円から５，０００円の謝礼、紹介で入校された方に割引あり,0422-32-2181,,,,,,
八王子中央自動車学校,,紹介で入校された方に割引あり,042-642-0241,,,,,,
トヨタドライビングスクール東京,,普通車入校者をご紹介の方に３，０００円プレゼント、紹介で普通車ご入校の方に３，０００円プレゼント,042-526-3551,,,,,,
世田谷自動車学校,,ご家族をご紹介いただくと５，０００円のクオカードをプレゼント。紹介されたご家族の方は入校時５，０００円割引（普通車免許）,03-3302-3141,,,,,,
拝島自動車教習所,,ご入校者をご紹介の方にクオカードプレゼント、紹介でご入校の方に教本サービス,042-551-2851,,,,,,
豊島自動車練習所,,ご入校者をご紹介の方５，０００円をプレゼント／紹介でご入校の方に５，０００円をプレゼント,03-3971-6262,,,,,,
町田ドライヴィングスクール,,新規免許取得者をご紹介の方にクオカード３，０００円分プレゼント紹介でご入校の方に割引、特典あり,042-723-2480,,,,,,
飛鳥ドライビングカレッジ日野,,新規免許取得者をご紹介の方に３，０００円プレゼント／紹介でご入校の方に特典あり／（キャンペーン期間中を除く）,042-581-2721,,,,,,
平和橋自動車教習所,,ご入所者を紹介の方にクオカードプレゼント／紹介でご入所の方に割引あり／（割引額についてはお問合せください。）,03-3694-1011,,,,,,
むさし小金井自動車教習所,,新規免許取得者をご紹介の方に５，０００円謝礼／紹介でご入所の方に５，０００円キャッシュバック／（他の特典との併用はできません。）,042-381-3321,,,,,,
足立自動車学校,,ご入校者をご紹介の方に５，０００円プレゼント、紹介で入校された方に５，０００円プレゼント,03-3884-0501,,,,,,
江戸川自動車教習所,,ご入校者をご紹介の方に５，０００円クオカードプレゼント,0120-989-403,,,,,,
新東京自動車教習所,,"新規運転免許取得者をご紹介の方に5,000円の謝礼／紹介でご入校の方に割引あり／普通車に限る",042-342-4111,,,,,,
コムウェルグループ,,ご婚礼衣装・ご列席衣装・通過儀礼衣装２０パーセント割引,0120-02-2287,,,,,,
株式会社セレモア／お仏壇のセレモア／お葬儀／仏事葬儀相談窓口の「セレモピアン」／東京民間救急サービス／ホームヘルスケアの店「健康館」／ファミリーライフクラブ（個人会員制度）,,"仏壇仏具5パーセントから20パーセント割引／葬儀基本価格10パーセントから30パーセント割引／ご相談無料／ケアチャージ（介助料）30パーセント割引／在宅療養機器、介護用品１０パーセント割引（レンタルは除く）／入会金50,000円のところ5,000円引／入会金のみ。年会費なし。ご家族全員が会員として登録でき、権利が継承され、多彩な割引特典を何回でも利用可能、毎日の生活から使える割引特典の会員制度",0120-60-1121,,,（24時間365日受付）,,,
コーディアルセレモニー西台店,,生前予約10パーセント割引。仏壇・仏具10パーセント割引。葬儀ご相談お見積無料。,0120-849-404,,,,,,
株式会社メモリアルアートの大野屋,,墓石／・霊園現地見学無料送迎／・新規墓石工事代（３０万以上）の１０パーセント割引／・お墓のリフォーム・移転・撤去工事５パーセント割引／葬儀／・祭壇価格の１０パーセント割引／仏壇／・仏壇・仏具の３パーセント割引（セール品、手元供養品を除く）,0120-02-8888,大野屋テレホンセンター,,仏事相談営業時間午前9時から午後5時まで（葬儀依頼は24時間対応）,,,
有限会社メモリアル･ハート,,新規墓石工事代（100万円以上）15パーセント割引※キャンペーン対象商品除く／お墓の改修・補修・撤去工事代15パーセント割引／お墓の引越手続き代行無料／当社ご案内可能霊苑・寺院の見学送迎無料／仏壇・仏具のカタログ商品（定価３万円以上）15パーセント割引／お参り・ご供養代行10パーセント割引,0120-148-408,,,,,,
須藤石材株式会社,,墓石工事代５パーセントから１５パーセント割引／一部霊園・一部石種を除く,0120-053-827,,,,,,
株式会社石乃家,,新規墓石工事代15パーセント割引（キャンペーン対象商品除く）／お墓の改修、補修、撤去工事15パーセント割引（お見積り無料）／当社ご案内可能霊園・寺院（都営・市営含む）への見学無料送迎（東京･神奈川･埼玉･千葉）,0120-411-482,,,,,,
ニチリョク本社・赤坂支店・多摩支店・高島霊園会館,,（お墓）外墓地１０パーセント割引、堂内陵墓（納骨堂）３万円割引、改葬３パーセント割引。仏壇を定価から３０パーセント割引。／（ご葬儀）葬儀プランを５万円から最大３０万円引。／（さくら倶楽部）葬儀や供養に関するあらゆるご不安を解消していただける会員制度。年会費無料・３親等まで特典利用可能・終身有効。入会金３万円のところ５千円割引（倶楽部会員の特別割引との併用はできません。）,0120-300-100,,,,,https://www.nichiryoku.co.jp/member/,
横浜葬儀社　はばたグループ大田区店,,葬儀費用総額より10％割引,045-594-6447,,,,,https://www.yokohamasougi.com/,
わかりやすい家族葬,,葬儀費用　総額から１０％割引,080-3472-6304（担当：竹内）,足立区店,,,info@mileon.co.jp,,
巣鴨地蔵通り商店街振興組合,,お買い物をされたお客様に記念品プレゼント／商店街事務所にて特典が受けられます（１回限り）,03-3918-2101,巣鴨地蔵通り商店街事務所,,,,,
浅草新仲見世商店街振興組合,,,03-3844-5400,,,,,,
浅草新仲見世商店街振興組合,小そで,５パーセント割引,03-3841-6395,,03-3844-5400,,,,
浅草新仲見世商店街振興組合,かと里,粗品進呈,03-3841-7400,,03-3844-5400,,,,
浅草新仲見世商店街振興組合,ミドリ屋,粗品進呈,03-3847-4638,,03-3844-5400,,,,
浅草新仲見世商店街振興組合,いなば,粗品進呈,03-3841-1855,,03-3844-5400,,,,
浅草新仲見世商店街振興組合,絵邑,５パーセント割引,03-3844-3267,,03-3844-5400,,,,
浅草新仲見世商店街振興組合,とおりゃんせ,ソフトドリンクサービス,03-3841-8039,,03-3844-5400,,,,
浅草新仲見世商店街振興組合,コマチヘア,５パーセント割引,03-3841-8191,,03-3844-5400,,,,
浅草新仲見世商店街振興組合,デイジー,５パーセント割引,03-3847-8118,,03-3844-5400,,,,
浅草仲見世商店街振興組合,,,03-3844-3350,,,,,,
浅草仲見世商店街振興組合,ヨロズヤ,商品８パーセント割引,03-3844-3910,,03-3844-3350,,,,
浅草仲見世商店街振興組合,オカダヤ,全品５パーセント割引,03-3841-8566,,03-3844-3350,,,,
浅草仲見世商店街振興組合,サンエス,全品５パーセント割引,03-3841-0223,,03-3844-3350,,,,
浅草仲見世商店街振興組合,はなや,全品５パーセント割引,03-3841-8510,,03-3844-3350,,,,
浅草仲見世商店街振興組合,もりた,金額によりサービス,03-3841-8553,,03-3844-3350,,,,
浅草仲見世商店街振興組合,浅草きびだんご,冷し抹茶または甘酒一杯サービス（きびだんご１人前購入につき）,03-3841-0190,,03-3844-3350,,,,
浅草仲見世商店街振興組合,仲見世モリタ,全品５パーセント割引,03-3841-8553,,03-3844-3350,,,,
浅草仲見世商店街振興組合,浅草九重,あげたてまんじゅう各２０円引き、ドリンク各２０円引き,03-3844-9316,,03-3844-3350,,,,
全日本デリバリー業安全運転協議会,ピザーラ,期間限定でサイドオーダーをサービス,,,,,,http://www.pizza-la.co.jp/,
全日本デリバリー業安全運転協議会,ナポリの窯,"2,000円以上のご注文でプレゼントあり",,,,,,https://www.napolipizza.jp/,
全日本デリバリー業安全運転協議会,速配すし「つきじ海賓」／本格釜飯「釜福」,全購入金額の１０パーセント割引（他の割引サービスとの併用は出来ません。注文時に「運転経歴証明書」をお持ちの旨お伝え下さい。）,045-319-4630,,,,,,
伊藤園,,伊藤園専門店直営物販店舗の店頭販売商品を表示価格から１０パーセント割引／都内店舗に限る。／百貨店店舗、飲食店店舗は除く。,03-5808-6522,,,,,,
全国共通お食事券ジェフグルメカード,,"全国約35,000店舗の加盟店で、お持ち帰り用途も含めて使える額面５００円券を、３パーセント割引の４８５円で販売（詳しくはお問合せください）",0120-150-563,,,,,,
地酒の窪田屋,,お酒１０パーセント割引（一部商品除く）,03-3922-3416,,,,,,
伊豆栄,,ソフトドリンク１杯サービス,03-3831-0954,伊豆栄本店,,,,,
伊豆栄,,ソフトドリンク１杯サービス,03-3832-0785,伊豆栄不忍亭,,,,,
伊豆栄,,ソフトドリンク１杯サービス,03-5685-2011,伊豆栄梅川亭,,,,,
洋食黒船亭,,デザートサービス（本人含む２名まで）,03-3833-4016,,,,,,
コーチャンフォー若葉台店ドトールコーヒーショップ,,ドリンク1杯をレギュラーサイズからラージサイズへサイズアップ,042-350-7676,,,,,,
孤高のからあげ用賀店,,代金合計から10パーセント割引,03-6877-1252,,,,,,
人形の久月　浅草橋総本店,,お買い物されたお客様に粗品プレゼント,03-5687-5185,,,,,,
人形の吉徳,浅草橋本店・武蔵府中ル・シーニョ店・八王子オクトーレ店,お買い物されたお客様に粗品プレゼント,03-3863-4419,,,,,,
西武ハイヤー株式会社／ひばりヶ丘営業所・久米川営業所,,タクシー乗車料金１０パーセント割引（他の割引とは併用不可）,04-2997-9113,お問合せは業務課へ,0570-05-8180,配車センター／すべての電話は所沢市の配車センターで受けています,,,
銀河鉄道株式会社,,銀河鉄道株式会社の路線バス（東村山青葉恩多町線、小平国分寺線）に１年間乗り放題の「お達者定期」無料進呈,042-398-0006,,,,,,
寿交通　株式会社,,タクシー乗車料金１０パーセント割引（他の割引とは併用不可）,0422-32-5188,,,（代）,,http://www.taxi-kotobuki.co.jp/,
一般社団法人東京都個人タクシー協会,,,,,,,,http://www.kojintaxi-tokyo.or.jp/,
一般社団法人東京都個人タクシー協会,,タクシー乗車料金１０パーセント割引（障害者割引とは併用不可）（一部除外車両あり）,03-3383-3111,東京都個人タクシー協同組合（でんでんむしマークの個人タクシー）,,,,,
一般社団法人東京都個人タクシー協会,,タクシー乗車料金１０パーセント割引（障害者割引とは併用不可）（一部除外車両あり）,03-5976-6011,日個連東京都営業協同組合（ちょうちんマークの個人タクシー）,,,,,
一般社団法人東京都個人タクシー協会,,タクシー乗車料金１０パーセント割引（障害者割引とは併用不可）（一部除外車両あり）,042-793-0072,多摩地区個人タクシー連合会（ちょうちんマークの個人タクシー）,,,,,
一般社団法人東京都個人タクシー協会,,タクシー乗車料金１０パーセント割引（障害者割引とは併用不可）（一部除外車両あり）,03-6915-7313,全個人タクシー協議会（全個人マークの個人タクシー）,,,,,
横川観光株式会社,,タクシー乗車料金１０パーセント割引,0120-489-083,,,,,,
株式会社スズキ自販東京,,セニアカー購入時ボディカバー１個プレゼント,03-5939-4711,,,,,,
フランスベッド・リハテックショップ,,自宅での電動カート無料出張サービス／全商品５パーセント割引,03-6861-9281,新宿店,,,,,
フランスベッド・リハテックショップ,,自宅での電動カート無料出張サービス／全商品５パーセント割引,042-367-7710,府中店,,,,,
株式会社ＮＯＡＡ,,電動カートご購入前に、タクシーによる無料送迎で、ご自宅周辺の他、近隣の商業施設や観光名所において試乗体験できます。,050-8883-0598,,,,,https://noaa.jp,
エスケイジャパン株式会社,,"電動カート「i-walkerⅡ（アイウォーカー２）」を販売価格378,000円より、50,000円引き／送料別途、地区により異なります",03-3863-6710,,,,,,
井藤自転車商会,東京支店,修理等出張費無料（東十条駅周辺に限る）、修理・自転車購入費１０パーセント割引／点検、整備、注油無料（自転車・車イス）／スズキセニアカー割引（車種によります）,03-3919-2767,,,,,,
ダイワサイクル／ダイワサイクル+159:176STYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",042-668-9138,ダイワサイクル八王子店,,,,,
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",042-563-8678,ダイワサイクル東大和店,,,,,
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",042-452-9638,ダイワサイクル田無店,,,,,
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",03-6410-7378,ダイワサイクル馬込店,,,,,
