"施設・店舗名","所在地","電話番号","授乳スペース","おむつ替えができる設備","最寄駅から施設までの徒歩所要時間の目安","授乳室等の利用可能日時","経度","緯度","分類"
"日産東京販売株式会社中野店","野方二丁目63番7号","03-3388-1132","なし","有り","野方駅より徒歩7分","午前10時から午後6時火曜日定休(年末年始、GW、夏季休暇は施設に直接お問い合わせください。)","139.654112406267","35.7159063340676","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"野方図書館","野方三丁目19番5号","03-3389-0214","有り","有り","野方駅より徒歩6分","午前9時から午後8時（第2月曜日、館内整理日、特別整理期間、年末年始を除く）","139.654326218313","35.7174170015695","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"東山公園","野方四丁目41番","","なし","有り","野方駅より徒歩10分","","139.655961554286","35.7221288679456","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"野方保育園","野方一丁目35番8号","03-3387-6379","有り","有り","中野駅北口より15分","月曜日から土曜日（祝日、年末年始を除く）午前8時半から午後5時","139.656685765297","35.7094779658568","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"野方児童館","新井二丁目48番10号","03-3387-8836","有り","有り","中野駅北口より12分","午前10時～午後6時土曜日と学校休業日は午前9時から午後5時【休館日】月曜日、日曜日、祝日、年末年始","139.660450876829","35.7108420972246","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"平和の森公園","新井三丁目37番","","なし","有り","沼袋駅より徒歩3分","","139.660752228","35.7146099669135","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"中野四季の森公園","中野四丁目12,13番","","有り","有り","中野駅北口より5分","午前9時～午後5時","139.660779761548","35.7089985197512","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"サミットストア（中野南台店）","南台五丁目26番2号","03-5342-3380","なし","有り","方南町駅より徒歩10分","午前9時～午後11時（1月1日～3日を除く）","139.661557912278","35.6828350385661","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"北部すこやか福祉センター","江古田四丁目31番10号","03-3389-4321","有り","有り","沼袋駅より徒歩10分","午前8時半から午後5時【休館日】日曜日、祝日、年末年始","139.661481744202","35.7246492439286","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"島忠(中野本店)","南台五丁目24番13号","03-5328-5737","有り","有り","方南町駅より徒歩8分","午前10時から午後8時年中無休","139.661787673723","35.6841475857158","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"囲桃園公園","中野三丁目20,21番","","なし","有り","中野駅南口より8分","","139.662071731425","35.7037950484049","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"広町みらい公園","弥生町六丁目1番","03-6382-6072","有り","有り","方南町駅より徒歩5分","施設に直接お問合せください。","139.662310794834","35.6851894078521","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"みなみ児童館","南台五丁目15番3号","03-3382-7399","有り","有り","方南町駅より徒歩10分","午前10時から午後6時土曜日と学校休業日は午前9時から午後5時【休館日】月曜日、日曜日、祝日、年末年始","139.662365281469","35.6800850509661","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"新井南公園","新井二丁目31番","","なし","有り","中野駅北口より10分","","139.662411932761","35.7108830956595","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"キリンレモンスポーツセンター（区立総合体育館）","新井三丁目37番78号","03-5860-0024","有り","有り","沼袋駅より徒歩5分","午前6時45分から午後10時半【休館日】・毎月第2月曜日（休日にあたるときはその翌日）・年末年始（12月29日から1月3日）","139.662941481091","35.7157521445502","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"沼袋区民活動センター","沼袋二丁目40番18号","03-3389-4571","なし","有り","沼袋駅より徒歩7分","午前8時半から午後10時(年末年始、その他定期清掃日等を除く）","139.663046943301","35.7236111514129","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"南台三丁目公園","南台三丁目41番","","なし","有り","方南町駅より徒歩10分","","139.663609736794","35.6824653337616","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"新井区民活動センター","新井三丁目11番4号","03-3389-1411","なし","有り","沼袋駅より徒歩10分","午前8時半から午後10時(年末年始、その他定期清掃日等は除く)","139.663561935998","35.714251744636","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"中野区役所","中野四丁目11番19号","03-3389-1111","１階、3階","1階、2階、3階、4階、5階、6階、7階、8階、9階","中野駅北口より6分","平日午前8時半から午後5時（祝日、年末年始を除く）","139.663051787547","35.7087410643007","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"中野都税事務所","中野四丁目6番15号","03-3386-1111","なし","1階","中野駅北口より8分","平日午前8時半から午後5時(祝日、年末年始を除く)","139.663754069661","35.7096244899248","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"中野サンクォーレ商業施設","中野四丁目3番1号","03-5380-0171","なし","有り","中野駅北口より5分","午前10時～午後10時","139.664638801989","35.7088122515219","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"沼袋駅","沼袋一丁目35番1号","03-3386-6151","なし","有り","","施設に直接お問い合せください。","139.664917820046","35.7193680603645","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"中野マルイ","中野三丁目34番28号","03-3382-0101","2階","2階、5階、6階","中野駅南口より1分","午前10時半から午後8時(年末年始・一部ショップは営業時間が異なります)","139.66507283821","35.7047291469042","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"歴史民俗資料館","江古田四丁目3番4号","03-3319-9221","なし","有り","沼袋駅より徒歩10分","火曜日から日曜日（第3日曜日、年末年始を除く）午前9時から午後5時","139.665036753402","35.7243232298674","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"沼袋保育園","沼袋一丁目34番14号","03-3386-7082","有り","有り","沼袋駅より徒歩3分","月曜日から土曜日（祝日、年末年始を除く）午前8時半から午後5時","139.665185670066","35.7197200650732","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"南台図書館","南台三丁目26番18号","03-3380-2661","有り","有り","中野富士見町駅より徒歩10分","午前9時から午後8時（第2木曜日、館内整理日、特別整理期間、年末年始を除く）","139.665708302089","35.6853719381785","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"コープみらいコーププラザ新中野","中央五丁目6番2号","03-3382-5665","なし","有り","新中野駅より徒歩4分","午前9時から午後5時（土曜日・日曜日・祝日・年末年始を除く）","139.66609832768","35.6975797763853","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"中野ブロードウエイ","中野五丁目52番15号","03-3388-7004","なし","地下1階、2階、3階、4階","中野駅北口より5分","施設に直接お問合せください。","139.666142250388","35.7091306315284","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"南中野区民活動センター","弥生町五丁目5番2号","03-3382-1456","有り","有り","中野富士見町駅より徒歩10分","平日午前8時半から午後10時(年末年始、その他定期清掃日等を除く)","139.666354101205","35.6861567510087","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"江古田の森公園","江古田三丁目14番","","なし","有り","新江古田駅より徒歩10分","","139.666399757561","35.7280035329766","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"ささの葉公園","南台四丁目14番","","なし","有り","方南町駅より徒歩15分","","139.666671023063","35.683035823247","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"弥生公園","弥生町五丁目4番","","なし","有り","中野富士見町駅より徒歩10分","","139.666858484324","35.6861451276774","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"中野富士見町駅","弥生町五丁目24番4号","03-3381-1105","なし","有り","","施設に直接お問合せください。","139.66692848371","35.6904936045783","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"弥生保育園","弥生町五丁目4番8号","03-3381-0213","有り","有り","中野富士見町駅より徒歩10分","月曜日～土曜日（祝日、年末年始を除く）午前8時半から午後5時","139.666973462957","35.686643096446","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"江原公園","江原一丁目15番","","なし","有り","新江古田駅より徒歩6分","","139.667025450392","35.7041170503146","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"富士見台駅","練馬区貫井三丁目7番4号","03‐3999-4321","なし","有り","","施設に直接お問い合わせください。","139.667025450392","35.7041170503146","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"ライフ中野駅前店","中野五丁目33番13号","03-5343-8861","なし","有り","中野駅北口より3分","施設に直接お問合せください。","139.667132118609","35.7066306870146","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"杉山公園","本町六丁目15番","","なし","有り","新中野駅より徒歩1分","","139.667245915299","35.6970214033015","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"桃園区民活動センター","中央四丁目57番1号","03-3382-5151","なし","有り","中野駅南口より10分","午前8時半から午後10時(年末年始、その他定期清掃日等を除く)","139.667329508614","35.7022896069225","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"新井薬師児童館","新井五丁目4番17号","03-3389-5438","有り","有り","新井薬師駅より徒歩7分","午前10時から午後6時土曜日と学校休業日は午前9時から午後5時【休館日】月曜日、日曜日、祝日、年末年始","139.667807297202","35.7152370469367","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"新井薬師公園","新井五丁目4番、四丁目15番","","なし","有り","新井薬師駅より徒歩5分","","139.667807297202","35.7152370469367","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"Global Field Kids中野","中野二丁目12番9号ノムラビル2階","03-5342-2882","有り","有り","中野駅南口より3分","平日午前10時から午後3時（祝日・年末年始を除く）※その他営業時間が変更になる場合があります。詳しくは施設に直接お問合せください。","139.667899022811","35.7053125373205","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"鍋横保育園","本町五丁目47番13号","03-3384-4565","有り","有り","新中野駅より徒歩10分","月曜日～土曜日（祝日、年末年始を除く）午前8時半から午後5時","139.668036299239","35.6936428672459","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"鍋横区民活動センター","本町五丁目47番13号","03-3383-2731","なし","有り","新中野駅より徒歩10分","午前8時半から午後10時(年末年始、その他定期清掃日等を除く)","139.668036299239","35.6936428672459","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"産業振興センター","中野二丁目13番14号","03-3380-6946","有り","有り","中野駅南口より4分","午前8時半から午後5時(第3月曜日、特別休館日、年末年始を除く）","139.668107011166","35.7043948227759","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"新井東公園","新井一丁目19番","","なし","有り","中野駅北口より10分","","139.668418690848","35.711643429123","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"南部すこやか福祉センター","弥生町五丁目11番26号","03-3380-5551","有り","有り","中野富士見町駅より徒歩5分","午前8時半から午後5時【休館日】日曜日、祝日、年末年始","139.66850453217","35.6881107502144","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"南部スポーツ・コミュニティプラザ","弥生町五丁目11番26号","03-5340-7881","なし","有り","中野富士見町駅より徒歩7分","午前9時半から午後11時【休館日】第1及び第3月曜日","139.66850453217","35.6881107502144","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"合同会社おむすび","南台三丁目2番4号","","有り","有り","中野富士見町駅より徒歩10分","午前10時から午後6時（不定休）","139.668640367825","35.6835516579356","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"追分公園","中央四丁目7番","","なし","有り","新中野駅より徒歩2分","","139.668935177723","35.6982310880375","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"中野駅","中野五丁目","","有り","有り","","午前7時～午後9時","139.669042306667","35.7077251333769","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"江古田図書館","江古田二丁目1番11号","03-3319-9301","有り","有り","新江古田駅より徒歩12分","午前9時から午後8時（第2月曜日、館内整理日、特別整理期間、年末年始を除く）","139.669058002771","35.7249025859099","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"ジョナサン中野弥生町店","弥生町四丁目26番9号","03-5385-7485","なし","有り","中野富士見町駅より徒歩5分","施設に直接お問合せください。","139.669136605824","35.6883365394385","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"本五ふれあい公園","本町五丁目28番","","なし","有り","中野富士見町駅より徒歩4分","","139.669174443315","35.6917216657622","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"中野区保健所","中野二丁目17番4号","03-3382-6661","なし","有り","中野駅南口より8分","平日午前8時半から午後5時（祝日、年末年始を除く）","139.669366666982","35.7028425525324","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"江古田区民活動センター","江原町二丁目3番15号","03-3954-6811","なし","有り","新江古田駅より徒歩7分","午前8時半から午後10時(年末年始、その他定期清掃日等を除く)","139.669746450145","35.7288001639687","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"みなみのライブラリー","弥生町四丁目27番11号","03-3381-7261","有り","有り","中野富士見町駅より徒歩7分","午前10時から午後7時火、木、土、日曜日、祝日開館※夏季休業日等は毎日開館（中央図書館の休館日を除く）※学校図書館は、土、日曜日、夏季休業日等のみ開館","139.669942251999","35.6874225543689","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"新中野駅","中央四丁目2番15号","03-3381-1202","なし","有り","","施設に直接お問合せください。","139.669933186903","35.6981378952403","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"上町公園","中央四丁目36番","","なし","有り","中野駅南口より15分","","139.670510605991","35.7008382486513","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"南中野児童館","弥生町四丁目36番15号","03-3382-1687","有り","有り","中野富士見町駅より徒歩6分","午前10時から午後6時土曜日と学校休業日は午前9時から午後5時【休館日】月曜日、日曜日、祝日、年末年始","139.670896536041","35.6897650402174","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"新江古田駅","江原町二丁目29番13号","03-3992-9536","なし","有り","","施設に直接お問合せください。","139.670928452286","35.7322059016561","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"中央図書館","中野二丁目9番7号","03-5340-5070","有り","有り","中野駅南口より7分","午前9時から午後9時（第2月曜日、2、6、11月は第4月曜日、館内整理日、特別整理期間、年末年始を除く）","139.671135596872","35.7046273589013","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"なかのZERO","中野二丁目9番7号","03-5340-5000","なし","有り","中野駅南口より8分","毎日午前9時から午後10時（2月・6月・11月の第4月曜日・年末年始を除く)","139.671135596872","35.7046273589013","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"栄町公園","弥生町四丁目20番","","なし","有り","中野富士見町駅より徒歩10分","","139.671453918253","35.6864880329829","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"上高田区民活動センター","上高田二丁目11番1号","03-3389-1311","なし","有り","新井薬師駅より徒歩10分","午前8時半から午後10時（年末年始、その他定期清掃日等を除く)","139.672564451814","35.7115506405589","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"南台いちょう公園","南台一丁目15番","","なし","有り","中野新橋駅より徒歩15分","","139.672981968469","35.6842421920887","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"宮の台児童館","本町四丁目8番16号","03-3384-4449","有り","有り","中野新橋駅より徒歩5分","午前10時から午後6時土曜日、学校休業日は午前9時から午後5時【休館日】月曜日、日曜日、祝日、年末年始","139.673277977846","35.6956683101529","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"みずの塔ふれあいの家","江古田一丁目9番24号","03-3954-6755","有り","有り","新井薬師駅より徒歩13分","午前10時から午後6時土曜日と学校休業日は、午前9時～午後5時【休館日】月曜日、日曜日、祝日、年末年始","139.67349102764","35.7255013780077","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"ぱんだ公園","弥生町三丁目34番","","なし","有り","中野新橋駅より徒歩5分","","139.673919923003","35.6887203730653","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"哲学堂公園","松が丘一丁目34番28号","03-3951-2515","哲学堂公園事務所女子更衣室内","さくら広場多目的トイレ内、哲学堂公園事務所女子トイレ内","新井薬師駅より徒歩12分","3～6、9月：午前8時から午後6時7～8月：午前7時から午後6時10～11月：午前8時から午後5時12～2月：午前9時から午後5時","139.673858450597","35.7219423776738","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"中部すこやか福祉センター","中央三丁目19番1号","03-3367-7788","有り","有り","新中野駅より徒歩10分","午前8時半から午後5時【休館日】日曜日、祝日、年末年始","139.67420678233","35.7003729695231","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"みずのとう公園","江古田一丁目3番","","なし","有り","新井薬師駅より徒歩13分","","139.67443641396","35.7245206858384","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"なかしん広場","本町三丁目2番","","なし","有り","中野新橋駅より徒歩1分","","139.67453755065","35.693196634425","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"上高田図書館","上高田五丁目30番15号","03-3319-5411","有り","有り","新井薬師駅より徒歩8分","午前9時から午後8時（第2木曜日、館内整理日、特別整理期間、年末年始を除く）","139.675169632597","35.7187253183438","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"上高田児童館","上高田五丁目30番15号","03-3388-6148","有り","有り","新井薬師駅より徒歩8分","午前10時から午後6時土曜日と学校休業日は午前9時から午後5時【休館日】月曜日、日曜日、祝日、年末年始","139.675169632597","35.7187253183438","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"江原保育園","江原町一丁目10番16号","03-3953-5528","有り","有り","新江古田駅より徒歩7分","月曜日～土曜日（祝日、年末年始を除く）午前8時半から午後5時","139.675341457205","35.7291466705694","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"中野保育園","弥生町二丁目6番3号","03-3373-4894","有り","有り","中野新橋駅より徒歩5分","月曜日～土曜日（祝日、年末年始を除く）午前8時半から午後5時","139.676546666892","35.6921690354023","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"文園児童館","中野六丁目10番6号","03-3367-8106","有り","有り","東中野駅より徒歩10分","午前10時から午後6時土曜日と学校休業日は午前9時から午後5時【休館日】月曜日、日曜日、祝日、年末年始","139.676745318869","35.7064773785022","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"城山ふれあいの家","中野一丁目20番4号","03-3363-0388","有り","有り","東中野駅より徒歩12分","午前10時から午後7時　土曜日は、午前10時から午後6時（ロビーは、午前9時から午後10時）【休館日】日曜日、祝日、年末年始","139.676953447392","35.7040160738588","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"中野第一ライブラリー","本町三丁目16番1号","03-3372-8501","有り","有り","中野坂上駅より徒歩10分","午前10時から午後7時火、木、土、日曜日、祝日開館※夏季休業日等は毎日開館（中央図書館の休館日を除く）※学校図書館は、土、日曜日、夏季休業日等のみ開館","139.677385077537","35.6959898098946","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"本町保育園","本町三丁目29番17号","03-3373-8700","有り","有り","中野坂上駅より徒歩7分","月曜日～土曜日（祝日、年末年始を除く）午前8時半から午後5時","139.677572423867","35.6971032644932","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"本二東郷やすらぎ公園","本町二丁目12番、14番","","なし","有り","中野坂上駅より徒歩7分","","139.677704738694","35.6941091284155","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"昭和保育園","中野六丁目2番11号","03-3362-1506","有り","有り","落合駅より徒歩8分","月曜日～土曜日（祝日、年末年始を除く）午前8時半から午後5時","139.678304374678","35.7077628215796","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
