規模,産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
100～499人,不動産業，物品賃貸業,502650,-19.5,90.7,93.7,1.57,-0.15
100～499人,学術研究，専門・技術サービス業,664621,-11.5,94,98.8,1.56,0
100～499人,宿泊業，飲食サービス業,211263,37.3,94.1,96.4,0.82,0.14
100～499人,生活関連サービス業，娯楽業,336793,47.4,90.8,92.3,1.08,0.18
100～499人,教育，学習支援業,792583,6,100,100,2.39,0.37
100～499人,医療，福祉,419901,-30.1,100,100,1.34,-0.42
100～499人,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,サービス業（他に分類されないもの）,240272,-36.7,83.3,88,0.89,-0.59
500人以上,調査産業計,917087,-0.3,94.7,91.3,1.98,-0.15
500人以上,"鉱業,採石業,砂利採取業",Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,建設業,806889,0.2,100,100,1.64,-0.15
500人以上,製造業,972134,-18.2,97.8,86.4,2.32,-0.34
500人以上,電気・ガス・熱供給・水道業,1079284,128.6,50,61.5,2.13,0.57
500人以上,情報通信業,1053198,-7.1,92.7,82.1,1.95,-0.3
500人以上,運輸業，郵便業,754905,1.5,97,97.7,1.91,-0.16
500人以上,卸売業，小売業,921054,-11,98.4,98.9,1.92,-0.21
500人以上,"金融業,保険業",1068613,19.9,100,100,2.25,0.12
500人以上,不動産業，物品賃貸業,1054002,77.2,92.6,97.1,2.21,0.46
500人以上,学術研究，専門・技術サービス業,1052102,35.7,100,100,2.25,0.55
500人以上,宿泊業，飲食サービス業,430269,15.3,96.3,75.7,1.22,0.21
500人以上,生活関連サービス業，娯楽業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,教育，学習支援業,686511,-6.3,93,98.1,2.17,-0.04
500人以上,医療，福祉,731622,35.4,100,100,1.94,0.46
500人以上,複合サービス事業,649979,-3.8,100,100,1.9,0.33
500人以上,サービス業（他に分類されないもの）,507240,-12.1,79.2,73.6,1.77,0.13
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年冬季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
