事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
30～99人,平成21,2009,年平均,18.2,19,17,142.1,154.4,124.1,132,142,117.4,10.1,12.4,6.7
30～99人,平成22,2010,年平均,18.5,19.3,17.3,144.4,156.6,126.9,133.9,143.8,119.6,10.5,12.8,7.3
30～99人,平成23,2011,年平均,18.3,19.2,17.1,143.6,156.9,124.6,132.9,143.6,117.7,10.7,13.3,6.9
30～99人,平成24,2012,年平均,18.9,19.6,18,150.8,164.7,130.7,138.2,148.2,123.8,12.6,16.5,6.9
30～99人,平成24,2012,1月,17.5,17.9,16.9,139.8,151.6,122.7,128,136.4,115.8,11.8,15.2,6.9
30～99人,平成24,2012,2月,19.3,20,18.3,154,168.1,133.7,141.4,151.8,126.4,12.6,16.3,7.3
30～99人,平成24,2012,3月,19.1,19.8,18,152.9,167.4,131.9,139.5,149.9,124.5,13.4,17.5,7.4
30～99人,平成24,2012,4月,19.1,19.9,18.1,153.2,167.3,132.9,140.2,150.3,125.6,13,17,7.3
30～99人,平成24,2012,5月,18.7,19.2,17.9,148.2,160.8,130.2,136.3,145.2,123.6,11.9,15.6,6.6
30～99人,平成24,2012,6月,19.8,20.5,18.8,156.8,171,136.1,144.2,154.4,129.3,12.6,16.6,6.8
30～99人,平成24,2012,7月,19.1,19.8,18.2,151.9,166.3,131.1,139.3,149.6,124.4,12.6,16.7,6.7
30～99人,平成24,2012,8月,18.6,19.3,17.5,147.6,161.7,127.3,135.4,145.6,120.6,12.2,16.1,6.7
30～99人,平成24,2012,9月,18.6,19.3,17.7,149,162.9,128.6,136.8,146.9,121.9,12.2,16,6.7
30～99人,平成24,2012,10月,19.2,19.8,18.1,152.2,166.3,131.5,139.9,150.1,124.8,12.3,16.2,6.7
30～99人,平成24,2012,11月,19.8,20.6,18.6,156.8,171.2,135.3,144,154.7,128.1,12.8,16.5,7.2
30～99人,平成24,2012,12月,18.5,19.2,17.5,147.3,161.2,126.9,133.9,143.4,119.9,13.4,17.8,7
100～499人,平成18,2006,年平均,19,19.4,18.1,155,163,139.2,140.7,147,128.3,14.3,16,10.9
100～499人,平成19,2007,年平均,19.2,19.6,18.5,157.2,164.3,143.3,143,148.5,132.2,14.2,15.8,11.1
100～499人,平成20,2008,年平均,19.1,19.6,18.3,157.3,164.7,142.4,143.2,149,131.6,14.1,15.7,10.8
100～499人,平成21,2009,年平均,18.7,19.1,18,152.7,160.1,139.5,138.6,144,129.1,14.1,16.1,10.4
100～499人,平成22,2010,年平均,18.7,19.1,18.1,152.6,160.8,139.4,138.2,144.1,128.6,14.4,16.7,10.8
100～499人,平成23,2011,年平均,18.6,19.1,17.8,151.2,159.9,137.1,137.6,143.9,127.3,13.6,16,9.8
100～499人,平成24,2012,年平均,18.8,19.3,18,152.8,162.7,135.4,138.6,145.5,126.6,14.2,17.2,8.8
100～499人,平成24,2012,1月,17.5,17.9,16.7,142,151.1,126.3,127.9,133.9,117.6,14.1,17.2,8.7
100～499人,平成24,2012,2月,18.9,19.5,17.9,153.2,163.3,135.3,138.8,145.8,126.4,14.4,17.5,8.9
100～499人,平成24,2012,3月,19.1,19.7,18.2,155.4,165.4,137.8,140.6,147.5,128.5,14.8,17.9,9.3
100～499人,平成24,2012,4月,19.2,19.7,18.4,156.6,166.8,139.1,141.6,148.8,129.4,15,18,9.7
100～499人,平成24,2012,5月,18.7,19.1,18,152.5,162.3,135.9,138.2,144.9,126.7,14.3,17.4,9.2
100～499人,平成24,2012,6月,19.4,19.8,18.5,156.3,166.1,139.4,142.5,149.3,130.8,13.8,16.8,8.6
100～499人,平成24,2012,7月,19.3,19.7,18.5,155.5,165.3,138.7,141.8,148.5,130.3,13.7,16.8,8.4
100～499人,平成24,2012,8月,18.8,19.2,18,151.7,161.8,134.3,138.4,145.6,126,13.3,16.2,8.3
100～499人,平成24,2012,9月,18.3,18.7,17.5,147.6,157.3,131.4,134.4,141.1,123.2,13.2,16.2,8.2
100～499人,平成24,2012,10月,19.2,19.7,18.3,154.9,165.8,136.1,140.7,148.4,127.4,14.2,17.4,8.7
100～499人,平成24,2012,11月,19.4,19.9,18.5,157.4,168,139.2,142.8,150.2,130.1,14.6,17.8,9.1
100～499人,平成24,2012,12月,18.4,18.9,17.5,149.6,159.6,132.3,135.1,141.9,123.2,14.5,17.7,9.1
500人以上,平成18,2006,年平均,19.1,19.4,18.4,154.7,160.6,141.8,140,144.5,130.1,14.7,16.1,11.7
500人以上,平成19,2007,年平均,19.1,19.3,18.6,156,161.7,144.3,140,144,131.7,16,17.7,12.6
500人以上,平成20,2008,年平均,18.9,19.1,18.5,155.1,160.4,144.1,139.1,142.8,131.4,16,17.6,12.7
500人以上,平成21,2009,年平均,18.7,19.1,18,153.5,159.1,142.2,138.8,142.9,130.5,14.7,16.2,11.7
500人以上,平成22,2010,年平均,18.8,19.2,18.1,154.9,160.3,143.9,139.6,143.5,131.6,15.3,16.8,12.3
500人以上,平成23,2011,年平均,18.8,19.2,18.1,155.1,160.8,143.6,140,144,131.8,15.1,16.8,11.8
500人以上,平成24,2012,年平均,19,19.3,18.3,153.9,159.9,142.4,139.5,143.7,131.5,14.4,16.2,10.9
500人以上,平成24,2012,1月,17.6,17.8,17,144.1,149.6,133.8,129.6,133.2,122.8,14.5,16.4,11
500人以上,平成24,2012,2月,18.9,19.3,18.2,153.8,159.9,142.4,139.3,143.6,131.1,14.5,16.3,11.3
500人以上,平成24,2012,3月,19.3,19.8,18.6,157.5,163.9,145.6,142.2,146.8,133.5,15.3,17.1,12.1
500人以上,平成24,2012,4月,19.2,19.6,18.5,157.3,163.6,145.5,141.8,146.4,133.3,15.5,17.2,12.2
500人以上,平成24,2012,5月,19,19.2,18.4,153.5,159.1,143.2,139.1,142.9,132,14.4,16.2,11.2
500人以上,平成24,2012,6月,19.6,19.9,19,157.4,163.7,145.3,143.2,147.7,134.6,14.2,16,10.7
500人以上,平成24,2012,7月,19.4,19.8,18.7,157.1,163.3,145.4,143.1,147.5,134.8,14,15.8,10.6
500人以上,平成24,2012,8月,19.2,19.4,18.7,153.9,159.2,144,140.1,143.5,133.6,13.8,15.7,10.4
500人以上,平成24,2012,9月,18,18.3,17.5,146.6,152.2,136.4,133.6,137.2,127,13,15,9.4
500人以上,平成24,2012,10月,19.5,19.8,18.9,157.6,164.3,145.2,143.4,148.2,134.5,14.2,16.1,10.7
500人以上,平成24,2012,11月,19.5,20,18.6,158.4,165.4,145.5,143.8,148.9,134.5,14.6,16.5,11
500人以上,平成24,2012,12月,18.3,18.7,17.6,148.5,154.7,136.8,134.3,138.7,126.1,14.2,16,10.7
,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成24年年報,,,,,,,,,,,,,,,
第８表　規模、性別常用労働者の１人平均月間出勤日数及び実労働時間　（調査産業計）,,,,,,,,,,,,,,,
