"年月[西暦]","収受日","業態","届出種類","施設名称","施設所在地","施設方書","施設電話番号","許可番号","業態廃止日"
"202308","2023/8/9","高度管理医療機器販売業","廃止","伊藤忠ケミカルフロンティア株式会社","東京都港区北青山二丁目5番1号","伊藤忠ビル16階","03-3497-4433","2港み生機器第28号","2023/8/2"
"202308","2023/8/8","高度管理医療機器販売業・貸与業","廃止","薬局トモズ　浜松町店","東京都港区浜松町一丁目29番6号","浜松町セントラルビル1階","03-5402-8684","4港み生機器第226号","2023/8/6"
"202308","2023/8/31","高度管理医療機器販売業・貸与業","廃止","ＭＥＤＩＣＯ株式会社","東京都港区南青山五丁目9番15号","青山OHMOTOビル3階","03-6803-8636","2港み生機器第60号","2023/8/31"
"202308","2023/8/15","高度管理医療機器販売業・貸与業","廃止","ＡＬＳＯＫイーグルス株式会社","東京都港区元赤坂一丁目7番20号","メットライフ元赤坂ウエスト2階","03-3497-0437","4港み生機器第103号","2023/7/17"
"202309","2023/9/1","高度管理医療機器販売業・貸与業","廃止","ダイキン福祉サービス株式会社　東京営業所","東京都港区港南二丁目18番1号","JR品川イーストビル","03-6716-0150","3港み生機器第41号","2023/6/22"
"202309","2023/9/1","高度管理医療機器販売業・貸与業","廃止","バンビー薬局","東京都港区新橋三丁目19番2号",,"03-3432-0288","4港み生機器第207号","2023/8/31"
"202309","2023/9/11","高度管理医療機器販売業・貸与業","廃止","ピー・ジェイ・エル株式会社","東京都港区西新橋一丁目14番7号","山形ビル","03-3503-8770","2港み生機器第92号","2023/8/31"
"202309","2023/9/14","高度管理医療機器販売業・貸与業","廃止","株式会社ＧＬ－Ｐｌａｚａジャパン　日本本社","東京都港区浜松町一丁目25番11号","宮下ビル","03-5408-5939","29港み生機器第93号","2023/9/14"
"202310","2023/10/27","高度管理医療機器販売業・貸与業","廃止","メディコム・アンド・ホールディング・マネージメント株式会社","東京都港区愛宕二丁目5番1号","愛宕グリーンヒルズMORIタワー","03-6809-1905","29港み生機器第132号","2018/4/1"
"202310","2023/10/24","高度管理医療機器販売業","廃止","あやめコンタクト　ハマサイト店","東京都港区海岸一丁目2番20号","汐留ビルディング2F","03-5843-8850","29港み生機器第158号","2023/10/1"
"202310","2023/10/24","高度管理医療機器販売業・貸与業","廃止","株式会社ＯＮＥ　ＭＥＥＴ","東京都港区港南二丁目15番1号","品川インターシティA棟","03-3472-7894","3港み生機器第72号","2023/10/24"
"202310","2023/10/5","高度管理医療機器販売業","廃止","株式会社湘南薬品　港南薬局","東京都港区港南四丁目6番7号","ワールドシティータワーズキャピタルタワー1階","03-3471-8375","2港み生機器第155号","2023/9/30"
"202310","2023/10/2","高度管理医療機器販売業","廃止","スマイル芝浦海岸通店","東京都港区芝浦四丁目13番23号",,"03-6459-4117","4港み生機器第106号","2023/9/29"
"202310","2023/10/10","高度管理医療機器販売業・貸与業","廃止","株式会社メディコアジャパン","東京都港区虎ノ門二丁目3番17号","虎ノ門2丁目タワー","03-6268-8269","3港み生機器第135号","2023/10/10"
"202310","2023/10/2","高度管理医療機器販売業","廃止","株式会社ヤマシタ　東京本部","東京都港区三田一丁目4番28号","三田国際ビル 22階","03-5730-4545","3港み生機器第243号","2023/10/2"
"202310","2023/10/3","高度管理医療機器販売業・貸与業","廃止","ＳＴＥＭＣＥＬＬ株式会社","東京都港区南青山五丁目9番15号","青山OHMOTOビル3階","03-6433-5409","2港み生機器第59号","2023/10/3"
"202310","2023/10/24","高度管理医療機器販売業・貸与業","廃止","Ｓｉｇｎ株式会社","東京都港区六本木五丁目10番22号","共同ビル703号","03-6455-5196","29港み生機器第91号","2023/10/30"
"202311","2023/11/22","高度管理医療機器販売業","廃止","ジャパンリコード株式会社","東京都港区赤坂六丁目18番11‐303",,"03-6778-2746","3港み生機器第122号","2023/11/21"
"202311","2023/11/30","高度管理医療機器販売業・貸与業","廃止","株式会社ＦＲＯＮＴＩＥＲ　ＳＵＰＰＬＹ","東京都港区北青山一丁目4番4号","北青山ビル3階","03-6416-5490","4港み生機器第25号","2023/11/30"
"202311","2023/11/2","高度管理医療機器販売業・貸与業","廃止","日本郵便オフィスサポート株式会社","東京都港区芝大門二丁目2番11号","泉芝大門ビル","03-5425-3870","3港み生機器第181号","2023/10/23"
"202311","2023/11/13","高度管理医療機器販売業・貸与業","廃止","ヤマトプロテック株式会社","東京都港区白金台五丁目17番2号",,"03-3446-7151","29港み生機器第100号","2023/10/3"
"202311","2023/11/16","高度管理医療機器販売業・貸与業","廃止","秋の大商談会２０２３ｉｎ品川","東京都港区高輪四丁目10番8号","京急第7ビル3F ビジョンセンター品川301A","03-6262-3553","5港み生機器第127号","2023/11/15"
"202311","2023/11/9","高度管理医療機器販売業・貸与業","廃止","虎の門中央薬局","東京都港区虎ノ門一丁目1番25号","虎ノ門一丁目ビル","03-3591-6777","4港み生機器第330号","2023/10/31"
"202311","2023/11/20","高度管理医療機器販売業・貸与業","廃止","バクスター株式会社　虎ノ門ヒルズオフィス","東京都港区虎ノ門一丁目23番1号","虎ノ門ヒルズ森タワー","03-5961-7810","2港み生機器第54号","2023/11/19"
"202312","2023/12/18","高度管理医療機器販売業・貸与業","廃止","株式会社メタバイオメド・ジャパン","東京都港区芝公園三丁目4番30号","32芝公園ビル","03-5408-5688","29港み生機器第145号","2023/12/18"
"202312","2023/12/11","高度管理医療機器販売業・貸与業","廃止","株式会社シェルパタイス","東京都港区芝大門一丁目1番30号","芝NBFタワー4階","03-6432-4998","27港み生機器第241号","2023/12/11"
"202312","2023/12/13","高度管理医療機器販売業・貸与業","廃止","ＤＭＡサプライ株式会社","東京都港区新橋二丁目11番10号","BUREX FIVE","03-6863-0105","3港み生機器第239号","2023/12/7"
"202312","2023/12/6","高度管理医療機器販売業・貸与業","廃止","内田技研株式会社　本店","東京都港区新橋四丁目5番1号","アーバン新橋ビル","03-6450-1212","4港み生機器第232号","2023/11/27"
"202312","2023/12/11","高度管理医療機器販売業・貸与業","廃止","株式会社ベリーム","東京都港区浜松町二丁目2番3号","磯山ビル4F","03-6402-1781","第4501031300019号","2023/12/11"
"202312","2023/12/1","高度管理医療機器販売業","廃止","梅花堂薬局","東京都港区元赤坂一丁目5番2号","永島ビル","03-5474-0538","31港み生機器第178号","2023/11/30"
"202401","2024/1/16","高度管理医療機器販売業・貸与業","廃止","南青山コンタクト","東京都港区北青山三丁目3番11号","ルネ青山ビル","03-5772-1440","4港み生機器第225号","2023/12/31"
"202401","2024/1/31","高度管理医療機器販売業・貸与業","廃止","日本電気株式会社　医療ソリューション統括部","東京都港区芝五丁目7番1号","NEC本社ビル","03-3798-6765","4港み生機器第118号","2024/1/14"
"202401","2024/1/12","高度管理医療機器販売業・貸与業","廃止","株式会社オカモトヤ","東京都港区虎ノ門一丁目1番24号","第1オカモトヤビル","03-3591-2231","4港み生機器第104号","2024/1/8"
"202401","2024/1/16","高度管理医療機器販売業・貸与業","廃止","アイオーティ株式会社","東京都港区南青山二丁目5番10号","シャトレー青山403号室",,"29港み生機器第160号","2023/12/28"
"202402","2024/2/1","高度管理医療機器販売業","廃止","エースタイル薬局","東京都港区赤坂二丁目3番5号","赤坂スターゲートプラザB1","03-6441-0990","3港み生機器第101号","2024/1/31"
"202402","2024/2/6","高度管理医療機器販売業・貸与業","廃止","株式会社ホワイトニングプラス","東京都港区赤坂六丁目18番11‐303号",,,"5港み生機器第150号","2024/2/5"
"202402","2024/2/13","高度管理医療機器販売業・貸与業","廃止","スターフリートマーケティング株式会社","東京都港区芝浦一丁目13番10号","8F","03-4405-7114","29港み生機器第185号","2024/2/19"
"202402","2024/2/26","高度管理医療機器販売業・貸与業","廃止","テクノレント株式会社　本社　営業所","東京都港区芝浦四丁目13番23号","MS芝浦ビル5階","03-6858-9300","3港み生機器第53号","2024/2/26"
"202402","2024/2/29","高度管理医療機器販売業・貸与業","廃止","株式会社ＮＩＦＴＹ","東京都港区元赤坂一丁目7番18号","メットライフ元赤坂イースト7F","03-6812-9108","3港み生機器第230号","2024/2/14"
"202402","2024/2/14","高度管理医療機器販売業・貸与業","廃止","リアライズ・イノベーションズ株式会社","東京都港区六本木二丁目4番5号","六本木Dスクエア","03-5549-1350","3港み生機器第175号","2024/1/3"
"202402","2024/2/1","高度管理医療機器販売業・貸与業","廃止","ライフ・プランニング・キャピタル株式会社","東京都港区六本木六丁目1番20号","六本木電気ビル","03-6890-2126","29港み生機器第178号","2024/2/6"
"202403","2024/3/29","高度管理医療機器販売業","廃止","赤坂メガネ","東京都港区赤坂三丁目8番8号","フローラルプラザ1F","03-3582-7009","29港み生機器第47号","2024/4/2"
"202403","2024/3/27","高度管理医療機器販売業・貸与業","廃止","株式会社アルメックス","東京都港区北青山三丁目1番2号","青山セント・シオンビル","03-6820-1420","29港み生機器第46号","2023/7/7"
"202403","2024/3/11","高度管理医療機器販売業・貸与業","廃止","モザークメディカルジャパン合同会社","東京都港区港南一丁目2番70号","品川シーズンテラス22階","03-6776-1253","4港み生機器第337号","2024/3/8"
"202403","2024/3/27","高度管理医療機器販売業・貸与業","廃止","ＰＨＣ株式会社　本社","東京都港区西新橋二丁目38番5号",,"03-5408-7282","29港み生機器第195号","2024/3/18"
"202403","2024/3/4","高度管理医療機器販売業・貸与業","廃止","オリックス株式会社　事業法人営業第一部","東京都港区浜松町二丁目4番1号","世界貿易センタービル南館","03-3435-3074","3港み生機器第4号","2024/3/1"
"202403","2024/3/19","高度管理医療機器販売業・貸与業","廃止","表示灯株式会社　東京本社","東京都港区南青山五丁目12番22号","ナビタ東灯ビル","03-3797-4711","30港み生機器第28号","2024/3/19"
"202403","2024/3/7","高度管理医療機器販売業・貸与業","廃止","透析研究開発株式会社","東京都港区元赤坂一丁目1番16号","東京元赤坂ビル","03-3402-3524","30港み生機器第16号","2024/5/16"
"202403","2024/3/8","高度管理医療機器販売業・貸与業","廃止","合同会社ユニバーサル・ブレイン","東京都港区六本木六丁目10番1号","六本木ヒルズ森タワー15階",,"5港み生機器第11号","2024/3/6"

"高度管理医療機器販売・貸与業廃止休止一覧(令和6年3月31日現在)","Ver202403",,,,,,,,
