"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っている[人]","知らない[人]","無回答[人]"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","性・年代別","女性 70歳以上","75","15","60","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","性・年代別","無回答","10","0","9","1"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","職業別","自営業主・家族従業","92","13","78","1"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","職業別","会社員・団体職員・公務員","280","38","242","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","職業別","アルバイト・パートタイマー","58","6","52","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","職業別","家事専業","94","18","76","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","職業別","学生","20","3","17","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","職業別","無職","83","11","72","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","職業別","その他","26","5","21","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","職業別","無回答","5","0","4","1"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","居住地区別","芝地区","107","15","92","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","居住地区別","麻布地区","140","14","126","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","居住地区別","赤坂地区","88","9","79","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","居住地区別","高輪地区","155","28","127","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","居住地区別","芝浦港南地区","164","27","136","1"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","居住地区別","無回答","4","1","2","1"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","住居形態別","持家（一戸建）","95","19","76","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","住居形態別","持家（マンション）","302","48","253","1"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","住居形態別","借家（一戸建）","7","0","7","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","住居形態別","民間の賃貸マンション・アパート","171","13","158","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","住居形態別","都営住宅・区営住宅・区立住宅","28","4","24","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","18","5","13","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","住居形態別","社宅・公務員宿舎","20","2","18","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","住居形態別","寮・寄宿舎・住み込み・間借り","6","0","6","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","住居形態別","その他","5","2","3","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","住居形態別","無回答","6","1","4","1"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","定住意向別","ずっと住み続けていたい","366","66","299","1"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","定住意向別","当分は住んでいたい","224","21","202","1"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","42","6","36","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","2","0","2","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","定住意向別","近いうちに区外に転居する予定である","9","1","8","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","定住意向別","わからない","14","0","14","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","定住意向別","無回答","1","0","1","0"

"第32回港区民世論調査クロス集計表・区基本計画Q11","Ver202003",,,,,,,
