品名,ひんめい,分別,コメント
飲料容器（プラスチック製）,いんりょうようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
イーゼル,いーぜる,粗大ごみ,
ウイスキーのびん,ういすきーのびん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
ウインドサーフィン,ういんどさーふぃん,粗大ごみ,180ｃｍ以下に切断してください。
ウインドファン,ういんどふぁん,粗大ごみ,※窓用エアコンを除く。
ウインドブレーカー,ういんどぶれーかー,燃やすごみ,
植木の枝葉,うえきのえだは,燃やすごみ,３０ｃｍ未満に切って出してください。
植木鉢（陶磁器製）,うえきばち,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。※土は取り除いてください。
植木鉢（プラスチック製）,うえきばち,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。※土は取り除いてください。
ウォシュレット,うぉしゅれっと,粗大ごみ,
浮き輪,うきわ,燃やすごみ,空気は抜いてください。
うちわ,うちわ,燃やすごみ,
ウッドカーペット,うっどかーぺっと,粗大ごみ,※６畳未満　※１８０㎝以下に切断してください。切断できない場合は清掃事務所へご連絡ください。
腕時計,うでどけい,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
乳母車（ベビーカー）,うばぐるま,粗大ごみ,
羽毛布団,うもうふとん,粗大ごみ,
運動靴,うんどうぐつ,燃やすごみ,
エアコン,えあこん、しつないき、しつがいき,家電リサイクル法対象品,※室内機、室外機ともに家電リサイクル法の対象です。
液晶テレビ,えきしょうてれび,家電リサイクル法対象品,
液晶ディスプレイ（パソコン用）,えきしょうでぃすぷれい,パソコン,
ＳＤカード,えすでぃーかーど、ＳＤ,燃やさないごみ,※小型家電（拠点回収）でも回収しています。 でご確認ください。
枝切り用はさみ,えだきりようはさみ,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
絵の具チューブ（金属製）,えのぐ、ちゅーぶ,燃やさないごみ,
絵の具チューブ（プラスチック製）,えのぐ、ちゅーぶ,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
絵筆,えふで,燃やすごみ,
絵本,えほん,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。汚れの取れないものは燃やすごみの日に出してください。
ＭＤ,えむでぃ,燃やすごみ,
ＭＤケース,えむでぃけーす,燃やすごみ,
ＭＤプレーヤー,えむでぃぷれいやー,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。
ＭＤラジカセ,えむでぃらじかせ,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。
LED電球,えるいーでぃでんき,燃やさないごみ,
ＬＰＧボンベ,えるぴーがすぼんべ,収集不可,専門業者に依頼してください。
エレキギター,えれきぎたー,粗大ごみ,
エレクトーン,えれくとーん,粗大ごみ,
園芸用支柱,えんげいようしちゅう,燃やさないごみ,
エンジンオイル,えんじんおいる,燃やすごみ,※家庭用・家庭使用に限る。凝固剤で固めるか紙や布に染み込ませて出して下さい。
延長コード,えんちょうこーど,燃やさないごみ,※小型家電（拠点回収）でも回収しています。 でご確認ください。
鉛筆,えんぴつ,燃やすごみ,
鉛筆削り（携帯用）（金属製）,えんぴつけずり,燃やさないごみ,
鉛筆削り（携帯用）（プラスチック製）,えんぴつけずり,燃やすごみ,
鉛筆削り（電動・手動）,えんぴつけずり,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
オイル,おいる,燃やすごみ,凝固剤で固めるか紙や布に染み込ませて出してください。
オイル缶,おいるかん,燃やさないごみ,油物は資源になりません。
オイルヒーター,おいるひーたー,粗大ごみ,
オイルびん,おいるびん,燃やさないごみ,油物は資源になりません。
応接用いす,おうせつよういす,粗大ごみ,※家庭用・家庭使用に限る。
置時計,おきどけい,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
置物（金属製）,おきもの,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
置物（プラスチック製）,おきもの,燃やすごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
置物（木製）,おきもの,燃やすごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
桶（木製・プラスチック製）,おけ,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
桶（金属製）,おけ,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
おしゃぶり,おしゃぶり,燃やすごみ,
落ち葉,おちば,燃やすごみ,
お茶の缶,おちゃのかん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
おまる,おまる,粗大ごみ,※汚物はトイレに流してください。
おむつ,おむつ,燃やすごみ,※汚物はトイレに流してください。
おもちゃ（金属製）,おもちゃ,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
おもちゃ（プラスチック製）,おもちゃ,燃やすごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
おもり（釣具）,おもり、つりぐ,燃やさないごみ,
折込みチラシ,おりこみちらし,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
折りたたみ傘,おりたたみかさ,燃やさないごみ,
オルガン,おるがん,粗大ごみ,
オルゴール（金属製）,おるごーる,燃やさないごみ,
オルゴール（プラスチック製）,おるごーる,燃やすごみ,
おろしがね（金属製）,おろしがね,燃やさないごみ,
おろしがね（プラスチック製）,おろしがね,燃やすごみ,
温度計（電子）,おんどけい,燃やさないごみ,
ＯＡ用紙,おーえーようし,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
ＯＡ用紙（感熱紙）,おーえーようし,燃やすごみ,資源にはなりません。
オーディオ機器各種,おーでぃおききかくしゅ,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。
オートバイ,おーとばい,収集不可,二輪車リサイクルの対象です
オーブントースター,おーぶんとーすたー,粗大ごみ,
オーブンレンジ,おーぶんれんじ,粗大ごみ,
貝殻,かいがら,燃やすごみ,
介護用ベット,かいごようべっと,粗大ごみ,
懐中電灯,かいちゅうでんとう,燃やさないごみ,
化学ぞうきん,かがくぞうきん,燃やすごみ,
鏡,かがみ,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
家具,かぐ,粗大ごみ,
傘,かさ,燃やさないごみ,
傘立て,かさたて,粗大ごみ,
加湿器,かしつき,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
菓子箱（紙製）,かしばこ,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
菓子箱（プラスチック製）,かしばこ,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
菓子袋（プラスチック製）,かしふくろ,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
カセットコンロ,かせっとこんろ,燃やさないごみ,カセットボンベは必ず取り除いてください。
カセットテープ,かせっとてーぷ,燃やすごみ,
カセットボンベ,かせっとぼんべ,燃やさないごみ（発火性）,※必ず使い切ってから出してください。
カタログ類,かたろぐるい,資源（古紙）,"折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。"""
活性炭,かっせいたん,燃やすごみ,
カッターの刃,かったーのは,燃やさないごみ,紙などに包んで「キケン」の表示をお願いします。
カッパ（雨具）,かっぱ、あまぐ,燃やすごみ,
カップめんの容器（発泡スチロール）,かっぷめんのようき,資源（発泡トレイ・発泡スチロール）,汚れの取れないものは燃やすごみの日に出してください。
カップめんの容器（プラスチック製）,かっぷめんのようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
カップめんの容器（紙製）,かっぷめんのようき,燃やすごみ,
かつら,かつら,燃やすごみ,
家庭用ゲーム機,かていようげーむき、げーむ、すいっち、すうぃっち、ＳＷＩＴＣＨ、うぃー、ＷＩＩ、ぷれすて、ＰＳ、ふぁみ,燃やさないごみ,
かなづち,かなづち,燃やさないごみ,
かばん（金属製）,かばん,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
かばん（革・布・ビニール製）,かばん,燃やすごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。※古着回収（拠点回収）でも回収しています。
花びん（ガラス製）,かびん,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
花びん（陶磁器製）,かびん,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
花びん（プラスチック製）,かびん,燃やすごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
釜,かま,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
紙おむつ,かみおむつ,燃やすごみ,※汚物はトイレに流してください。
紙くず,かみくず,燃やすごみ,
紙コップ,かみこっぷ,燃やすごみ,
カミソリの刃,かみそりのは,燃やさないごみ,紙などに包んで「キケン」の表示をお願いします。
紙粘土,かみねんど,燃やすごみ,
髪の毛,かみのけ,燃やすごみ,
紙パック（牛乳パックなど・コーティングあり）,かみぱっく,燃やすごみ,資源にはなりません。
紙パック（牛乳パックなど）,かみぱっく、ぎゅうにゅうぱっく,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
紙袋,かみぶくろ,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
紙やすり,かみやすり,燃やすごみ,
カメラ,かめら、でじかめ、でじたるかめら,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
カラオケ機器,からおけきき　,粗大ごみ,※家庭用・家庭使用に限る。
からしチューブ・ふた（プラスチック製）,からし、ちゅーぶ,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
カラーボックス,からーぼっくす,粗大ごみ,
カレンダー（紙製）,かれんだー,資源（古紙）,金具は取り外してください。
革靴,かわぐつ,燃やすごみ,
革製品,かわせいひん,燃やすごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
瓦,かわら,収集不可,専門業者に依頼してください。
缶（飲料用）,かん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
缶（菓子・お茶の缶）,かん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
缶（缶詰の缶）,かん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
缶（スプレー缶）,かん,燃やさないごみ（発火性）,※必ず使い切ってから出してください。
換気扇,かんきせん,粗大ごみ,
缶きり,かんきり,燃やさないごみ,
緩衝材（発泡スチロール）,かんしょうざい,資源（発泡トレイ・発泡スチロール）,汚れの取れないものは燃やすごみの日に出してください。
緩衝材（プラスチック製）,かんしょうざい,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
乾燥剤,かんそうざい,燃やすごみ,
乾電池（アルカリ）,かんでんち,燃やさないごみ（水銀を含む製品）,
乾電池（ニカド）,かんでんち,燃やさないごみ,
乾電池（ニッケル水素）,かんでんち,燃やさないごみ,
乾電池（ボタン）,かんでんち,燃やさないごみ（水銀を含む製品）,
乾電池（マンガン）,かんでんち,燃やさないごみ（水銀を含む製品）,
乾電池（リチウムイオン）,かんでんち,燃やさないごみ,
感熱紙,かんねつし,燃やすごみ,資源にはなりません。
カーテン,かーてん,燃やすごみ,燃やすごみで出す場合は、できるだけ３０ｃｍ未満に切って出してください。※古着回収（拠点回収）でも回収しています。
カーテンレール,かーてんれーる,粗大ごみ,１８０㎝以下に切断してください。
カード類（紙・プラスチック製）,かーどるい,燃やすごみ,
カード類（金属製）,かーどるい,燃やさないごみ,
カーナビ（ポータブル）,かーなび,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
カーペット,かーぺっと,粗大ごみ,
カーボン紙,かーぼんし,燃やすごみ,資源にはなりません。
学習机,がくしゅうつくえ,粗大ごみ,
額縁（金属製）,がくぶち,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
額縁（プラスチック製）,がくぶち,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
額縁（木製）,がくぶち,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
ガスオーブンレンジ,がすおーぶんれんじ,粗大ごみ,
ガスストーブ,がすすとーぶ,粗大ごみ,
ガステーブル（ガスコンロ）,がすてーぶる、がすこんろ,粗大ごみ,
ガス湯沸かし器,がすゆわかしき,粗大ごみ,
ガスレンジガード,がすれんじがーど,燃やさないごみ,
ガソリン,がそりん,収集不可,専門業者に依頼してください。
楽器ケース,がっきけーす,粗大ごみ,
画鋲（プラスチック付含む）,がびょう,燃やさないごみ,ケースなどに入れて出してください。
ガムテープ,がむてーぷ,燃やすごみ,
ガラス製品（食器・コップ等）,がらすせいひん,燃やさないごみ,
ガラス製品（割れたもの）,がらすせいひん,燃やさないごみ,紙などに包んで「キケン」の表示をお願いします。
ガラスびん（飲料用）,がらすびん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
キックボード,きっくぼーど,粗大ごみ,
キッチンペーパー,きっちんぺーぱー,燃やすごみ,
キッチンマット,きっちんまっと,粗大ごみ,
木づち,きづち,燃やすごみ,
木の枝・葉,きのえだ・は,燃やすごみ,３０ｃｍ未満に切って出してください。
木彫りの置物,きぼりのおきもの,燃やすごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
脚立,きゃたつ,粗大ごみ,
キャットタワー,きゃっとたわー,粗大ごみ,
キャップ（帽子）,きゃっぷ、ぼうし,燃やすごみ,※古着回収（拠点回収）でも回収しています。 
キャリア,きゃりあ,粗大ごみ,
キャリーカート,きゃりーかーと,粗大ごみ,
キャンプ用品,きゃんぷようひん,粗大ごみ,テント、いす、調理器など
救急ばんそうこう,きゅうきゅうばんそうこう,燃やすごみ,
急須,きゅうす,燃やさないごみ,
給油ポンプ（手動・プラスチック製）,きゅうゆぽんぷ,燃やすごみ,
教科書,きょうかしょ,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
鏡台・ドレッサー,きょうだい、どれっさー,粗大ごみ,
金魚鉢（ガラス製）,きんぎょばち,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
金魚鉢（プラスチック製）,きんぎょばち,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
キーホルダー（木製）,きーほるだー,燃やすごみ,
キーホルダー（プラスチック製）,きーほるだー,燃やすごみ,
キーホルダー（金属製）,きーほるだー,燃やさないごみ,
キーボード（楽器）,きーぼーど,粗大ごみ,
キーボード（パソコン）,きーぼーど,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
ギター・ギターケース,ぎたー,粗大ごみ,
牛乳パック,ぎゅうにゅうぱっく,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
牛乳びん,ぎゅうにゅうびん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
空気入れ,くうきいれ,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
空気清浄機,くうきせいじょうき,粗大ごみ,
くぎ,くぎ,燃やさないごみ,紙などに包んで「キケン」の表示をお願いします。
草,くさ,燃やすごみ,
草刈り機（エンジンなし）,くさかりき,粗大ごみ,
草花,くさばな,燃やすごみ,
鎖（金属製）,くさり,燃やさないごみ,
鎖（プラスチック製）,くさり,燃やすごみ,
串（金属製）,くし,燃やさないごみ,紙などに包んで「キケン」の表示をお願いします。
串（プラスチック製）,くし,燃やすごみ,紙などに包んで「キケン」の表示をお願いします。
串（木製）,くし,燃やすごみ,紙などに包んで「キケン」の表示をお願いします。
櫛（金属製）,くし,燃やさないごみ,
櫛（プラスチック製）,くし,燃やすごみ,
櫛（木製）,くし,燃やすごみ,
薬,くすり　,燃やすごみ,※家庭用・家庭使用に限る。
薬のシート（プラスチック製）,くすりのしーと,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
果物の皮,くだもののかわ,燃やすごみ,
果物のネット（プラスチック製）,くだもののねっと,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
果物の保護材（発泡スチロール）,くだもののほござい,資源（発泡トレイ・発泡スチロール）,汚れの取れないものは燃やすごみの日に出してください。
口紅のケース（金属製）,くちべにのけーす,燃やさないごみ,
口紅のケース（プラスチック製）,くちべにのけーす,燃やすごみ,
クッキングペーパー,くっきんぐぺーぱー,燃やすごみ,
クッション,くっしょん,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
靴,くつ,燃やすごみ,
靴下,くつした,燃やすごみ,※古着回収（拠点回収）でも回収しています。 
クリスマスツリー,くりすますつりー,粗大ごみ,
クリップ,くりっぷ,燃やさないごみ,
クリーニングの袋,くりーにんぐのふくろ,燃やすごみ,
車椅子（電動車椅子は除く）,くるまいす,粗大ごみ,
クレジットカード,くれじっとかーど,燃やすごみ,
クレヨン,くれよん,燃やすごみ,
くわ,くわ,粗大ごみ,
クーラーボックス,くーらーぼっくす,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
グラス,ぐらす,燃やさないごみ,紙などに包んで「キケン」の表示をお願いします。
グローブ,ぐろーぶ,燃やすごみ,
グローランプ,ぐろーらんぷ,燃やさないごみ,
軍手,ぐんて,燃やすごみ,
蛍光管（割れたもの）,けいこうかん,燃やさないごみ,割れていないものは「燃やさないごみ（水銀を含む製品）」で出してください。
蛍光管（割れていないもの）,けいこうかん,燃やさないごみ（水銀を含む製品）,割れたものは「燃やさないごみ」で出してください。
計算機,けいさんき,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
携帯音楽プレーヤー,けいたいおんがくぷれーやー、うぉーくまん、あいぽっど,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
携帯ゲーム機,けいたいげーむき、げーむ、げーむぼーい、でぃーえす、ＤＳ、すいっち、すうぃっち、ＳＷＩＴＣＨ,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
携帯電話,けいたいでんわ,燃やさないごみ,※小型家電（拠点回収）でも回収しています。 でご確認ください。
携帯電話の充電器,けいたいでんわのじゅうでんき,燃やさないごみ,※小型家電（拠点回収）でも回収しています。 でご確認ください。
携帯電話のバッテリー,けいたいでんわのばってりー,燃やさないごみ,
携帯灰皿（金属製）,けいたいはいざら,燃やさないごみ,
携帯灰皿（ビニール製）,けいたいはいざら,燃やすごみ,
携帯灰皿（プラスチック製）,けいたいはいざら,燃やすごみ,
毛糸,けいと,燃やすごみ,
計量ばかり（プラスチック製）,けいりょうばかり、はかり,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
計量ばかり（金属製）,けいりょうばかり、はかり,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
消しゴム,けしごむ,燃やすごみ,
化粧品の箱,けしょうひんのはこ,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
化粧品の容器（びん）,けしょうひんのようき,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
化粧品の容器（プラスチック製）,けしょうひんのようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
ケチャップの容器（プラスチック製）,けちゃっぷのようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
ケチャップの容器（びん）,けちゃっぷのようき,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
健康器具,けんこうきぐ、れっぐまじっく、びきゃくましん,粗大ごみ,
けんざん,けんざん,燃やさないごみ,
建築廃材,けんちくはいざい,収集不可,専門業者に依頼してください。
剣道用具一式,けんどうようぐいっしき,粗大ごみ,
鍵盤ハーモニカ,けんばんはーもにか、ぴあにか、めろでぃおん,燃やすごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
下駄,げた,燃やすごみ,
下駄箱,げたばこ,粗大ごみ,
玄関マット（金属製）,げんかんまっと,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
玄関マット（プラスチック製）,げんかんまっと,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
ゲームソフト,げーむそふと,燃やすごみ,
工具箱,こうぐばこ,粗大ごみ,※家庭用・家庭使用に限る。
広告紙・チラシ,こうこくし、ちらし,資源（古紙）,"折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。"""
こたつ,こたつ,粗大ごみ,
こたつ板,こたついた,粗大ごみ,
こたつ布団（掛け布団）,こたつふとん,粗大ごみ,
こたつ布団（敷き布団）,こたつふとん,粗大ごみ,
コップ（ガラス製）,こっぷ,燃やさないごみ,
コップ（陶磁器製）,こっぷ,燃やさないごみ,
コップ（プラスチック製）,こっぷ,燃やすごみ,
コップ（紙製）,こっぷ,燃やすごみ,
琴（楽器）,こと,粗大ごみ,
粉クスリの包装パック（プラスチック製）,こなくすりのほうそうぱっく,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
粉クスリの包装パック（紙製）,こなくすりのほうそうぱっく,燃やすごみ,
コピー機,こぴーき,粗大ごみ,※家庭用・家庭使用に限る。
米びつ,こめびつ,粗大ごみ,
コルク栓,こるくせん,燃やすごみ,
コンクリートブロック,こんくりーとぶろっく,粗大ごみ,清掃事務所にご相談ください。
コンクリート片,こんくりーとへん,収集不可,専門業者に依頼してください。
コンタクトレンズ,こんたくとれんず,燃やすごみ,
コンパクト（化粧）,こんぱくと,燃やすごみ,
コードリール（金属製）,こーどりーる,燃やさないごみ,
コードリール（プラスチック製）,こーどりーる,燃やすごみ,
コーヒーのびん,こーひーのびん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
コーヒーメーカー,こーひーめーかー,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
碁石（石製）,ごいし,燃やさないごみ,
碁石（貝殻製）,ごいし,燃やすごみ,
碁石（プラスチック製）,ごいし,燃やすごみ,
ござ,ござ,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
