回答者(or No.),問１．あなたの年齢を教えてください。（令和５年11月25日時点）,問２．あなたの自認する性別を教えてください。,問３．あなたは結婚していますか。,問４．一緒に住んでいる家族を教えてください。（複数回答１）,問４．一緒に住んでいる家族を教えてください。（複数回答２）,問４．一緒に住んでいる家族を教えてください。（複数回答３）,問４．７．その他,問５．あなたの家の生計を立てているのは主にどなたですか。生計を立てている方が複数いる場合は、もっとも多くの生計を負担している人をお答えください。また、仕送り等で生計を立てている方は、その仕送り等を主にしてくれている人をお答えください。,問５．10．その他,問６．あなたが最後に卒業した（中退等を含む）学校等はどれですか。在学中の方は、現在在学している学校等をお答えください。,問６．７．その他,問７．あなたは現在働いていますか。該当するものをお答えください。,問８．あなたが現在働いていない理由を教えてください。,問８．８．その他,問９．Ａ　会話やメール等をよくしている人（複数選択１）,問９．Ａ　会話やメール等をよくしている人（複数選択２）,問９．Ａ　会話やメール等をよくしている人（複数選択３）,問９．Ａ　会話やメール等をよくしている人（複数選択４）,問９．Ｂ　何でも悩みを相談できる人（複数選択１）,問９．Ｂ　何でも悩みを相談できる人（複数選択２）,問９．Ｂ　何でも悩みを相談できる人（複数選択３）,問９．Ｂ　何でも悩みを相談できる人（複数選択４）,問９．Ｃ　楽しく話せるときがある人（複数選択肢１）,問９．Ｃ　楽しく話せるときがある人（複数選択肢２）,問９．Ｃ　楽しく話せるときがある人（複数選択肢３）,問９．Ｃ　楽しく話せるときがある人（複数選択肢４）,問９．Ｃ　楽しく話せるときがある人（複数選択肢５）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢１）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢２）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢３）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢４）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢５）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢６）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢１）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢２）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢３）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢４）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢５）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢１）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢２）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢３）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢４）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢５）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢６）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢７）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢８）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢９）,問10．15．その他,問11．全体として、あなたは最近の生活に、どのくらい満足していますか。,問12．あなたは現在、悩み事はありますか。,問13．あなたの悩みごとは何ですか。（複数選択肢１）,問13．あなたの悩みごとは何ですか。（複数選択肢２）,問13．あなたの悩みごとは何ですか。（複数選択肢３）,問13．あなたの悩みごとは何ですか。（複数選択肢４）,問13．あなたの悩みごとは何ですか。（複数選択肢５）,問13．あなたの悩みごとは何ですか。（複数選択肢６）,問13．あなたの悩みごとは何ですか。（複数選択肢７）,問13．あなたの悩みごとは何ですか。（複数選択肢８）,問13．あなたの悩みごとは何ですか。（複数選択肢９）,問13．あなたの悩みごとは何ですか。（複数選択肢１０）,問13．16．その他,問14．悩みを誰かに相談しましたか。,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢１）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢２）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢３）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢４）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢５）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢６）,問15．12．その他,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢１）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢２）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢３）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢４）,問16．５．その他,問17．誰かに相談したいと思いますか。,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢１）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢２）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢３）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢４）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢５）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢６）,問18．８．その他,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢１）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢２）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢３）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢４）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢５）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢６）,問19．７．その他,問20．相談したくないと思う理由は何ですか。（複数選択肢１）,問20．相談したくないと思う理由は何ですか。（複数選択肢２）,問20．相談したくないと思う理由は何ですか。（複数選択肢３）,問20．相談したくないと思う理由は何ですか。（複数選択肢４）,問20．相談したくないと思う理由は何ですか。（複数選択肢５）,問20．相談したくないと思う理由は何ですか。（複数選択肢６）,問20．９．その他,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢１）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢２）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢３）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢４）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢５）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢６）,問21．10.その他,問22．狛江市内に相談ができたり、居場所となるようなものとして、どのような場所やサービスがあるといいと思いますか。,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢１）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢２）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢３）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢４）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢５）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢６）,問23．７．その他,問24．結婚についてどのように考えていますか。,問25．結婚したいと思う理由は何ですか。（複数選択肢１）,問25．結婚したいと思う理由は何ですか。（複数選択肢２）,問25．結婚したいと思う理由は何ですか。（複数選択肢３）,問25．結婚したいと思う理由は何ですか。（複数選択肢４）,問25．結婚したいと思う理由は何ですか。（複数選択肢５）,問25．結婚したいと思う理由は何ですか。（複数選択肢６）,問25．結婚したいと思う理由は何ですか。（複数選択肢７）,問25．９．その他,問26．現在結婚していない理由は何ですか。（複数選択肢１）,問26．現在結婚していない理由は何ですか。（複数選択肢２）,問26．現在結婚していない理由は何ですか。（複数選択肢３）,問26．現在結婚していない理由は何ですか。（複数選択肢４）,問26．現在結婚していない理由は何ですか。（複数選択肢５）,問26．現在結婚していない理由は何ですか。（複数選択肢６）,問26．現在結婚していない理由は何ですか。（複数選択肢７）,問26．現在結婚していない理由は何ですか。（複数選択肢８）,問26．11．その他,問27．将来的に子どもは何人いることが理想ですか。理想の子どもの数をお答えください。,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢２）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢３）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢４）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢５）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢６）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢７）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢８）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢９）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１０）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１１）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１２）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１３）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１４）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１５）,問28．16．その他,問29．子どもをもたない理由は何ですか。（複数選択肢１）,問29．子どもをもたない理由は何ですか。（複数選択肢２）,問29．子どもをもたない理由は何ですか。（複数選択肢３）,問29．子どもをもたない理由は何ですか。（複数選択肢４）,問29．子どもをもたない理由は何ですか。（複数選択肢５）,問29．子どもをもたない理由は何ですか。（複数選択肢６）,問29．子どもをもたない理由は何ですか。（複数選択肢７）,問29．子どもをもたない理由は何ですか。（複数選択肢８）,問29．子どもをもたない理由は何ですか。（複数選択肢９）,問29．10．その他,問30．あなたは、あなたを含めたこれからの若者（18歳から39歳ぐらいまでの人）のために、市に期待する取組（若者の居場所支援や結婚支援等を含む）があればご記入ください。
21,5,1,1,5,,,,1,,5,,1,,,1,,,,1,,,,5,,,,,5,,,,,,,,,,,3,8,,,,,,,,,3,1,2,6,,,,,,,,,,2,,,,,,,,,,,,,3,9,,,,,,,8,,,,,,,1,,,,,,,,,,,,,,・住民同士が交流しやすいような文化施設　例えば運動施設等。,3,4,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,5,8,10,,,,,,,制作が子育ての方を向かず、産まれる子供の将来が明るいと思えない。,・経済支援　・文化施設の拡充　・現状で暮らしている若者へのケアも大事だが、心身の健康な若者が新たに住みたくなるように、労働者世代への支援を中心とした取組みをお願いしたい。　・2022年より人口減少に転じており、心配している。市として明確なセールスポイントをアピールできなければ、人口は更に減るのではないか。ブランディングできる人間を外から呼び込んでみてはどうか。
22,3,2,1,5,,,,,,5,,1,,,1,2,3,5,1,3,,,1,2,,,,1,2,,,,,1,,,,,1,3,,,,,,,,,2,1,2,9,12,13,15,,,,,,,2,,,,,,,,,,,,,3,1,7,,,,,,4,5,,,,,,,,,,,,,8,9,,,,,,くつろげるスペースがあったり、運動（趣味）するコミュニティ。なにか手作りしたり…。話すだけが目的になると、気がまえてしまって行くのが怖くなってしまうことがあるので、何か一緒にやりながらコミュニティが出来たら話しやすいなと思います。,3,4,5,,,,,4,,,,,,,,,,,,,,,,,,2,2,3,4,8,9,10,13,15,,,,,,,,,,,,,,,,,,,不妊治療に対する助成や育児環境の整備。妊娠から出産、育児まで安心（環境、費用まで）して行うことが出来たら、嬉しい。育児が終わって、使わなくなったベビーベッドやベビーカー、お洋服など安く譲り受けたり出来たらいいな。
23,4,1,1,5,,,,1,,5,,1,,,1,2,,,1,2,,,1,2,,,,1,2,,,,,1,2,,,,1,3,11,,,,,,,,3,1,2,13,14,,,,,,,,,2,,,,,,,,,,,,,3,2,3,,,,,,2,3,4,,,,,,,,,,,,,,,,,,,,3,4,,,,,,4,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,・若年夫婦への住宅手当て　・子どもを作りたいが、経済的不安からふみきれないので、子育て支援。子育て中の人が集まりやすい公園などが欲しい。　・若者が気軽に入店できる居酒屋など飲食店を増やして欲しい。　・狛江市は夜になると暗いイメージがあり少し怖い。　・結婚支援は賛成。　・若い人がもっと住んで、街に活気が出て欲しい。
24,3,1,1,5,,,,1,,5,,1,,,1,2,3,,1,2,3,,1,2,3,,,1,2,3,,,,1,2,3,,,1,2,11,,,,,,,,4,1,2,15,,,,,,,,,,1,2,5,,,,,,1,2,,,,,1,2,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,2,3,4,,,,,4,,,,,,,,,,,,,,,,,,3,1,6,8,12,,,,,,,,,,,,,,,,,,,,,,,子供を育てやすい環境作りに期待している。子供は欲しいが、正直金銭面にとても不安である。複数はきびいしいのではないかと不安なので。サポート面で期待をしたい。
25,5,2,1,5,,,,1,,5,,4,,,1,3,,,1,,,,1,2,3,,,1,4,,,,,1,,,,,1,3,11,,,,,,,,4,1,13,15,,,,,,,,,,1,1,2,,,,,,1,,,,,,1,2,3,4,6,,,1,2,3,4,5,,,,,,,,,,8,9,,,,,,ハローワーク経由の求人募集があった際には、職員の方に色々と相談にのっていただいたことがあります。また、オンラインで相談できるサービスが色々あるので、狛江市内で何か相談したいというのは、特にありません。しかしながら、学生時代は特に、相談の仕方がわからなくて、誰にも相談できなかったように思います。自意識過剰にもなっていました。社会に出て、色々な方と話さなければならない状況になったことで、様々な本を読むようになり、人と比べず自分を大事にすることが心の安定に繋がることを学びました。また、自己肯定感が高まるにつれ、「他人になんと思われても大丈夫」と、以前よりも気軽に人に相談できるようになった気がします。,2,3,,,,,,4,,,,,,,,,,,,,,,,,,1,5,8,9,10,11,12,13,14,15,16,,,,,,学費のサポートが整っている。,,,,,,,,,,,・住民税を安くしてほしいです。　・インボイス制度を中止してほしいです。
26,5,2,1,5,,,,,,5,,1,,,1,2,3,,1,2,,,1,2,3,,,1,2,3,,,,1,2,,,,3,6,11,12,13,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,7,,,,1,3,4,,,,,,,,,,,,10,,,,,,知らなかった。,サービスは沢山あるように見受けられているので、周知に力をそそぐべきではないかと思いました。,3,4,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,3,4,5,6,10,12,,,,,,,,,,,,,,,,,,,今回のアンケートではじめて活動を知ることが出来、いい機会になりました。今後取り組みが市民に多く知られることを望みます。ありがとうございました。
27,4,1,2,7,,,ルームシェア,1,,2,,1,,,1,,,,,,,,2,,,,,,,,,,,,,,,,1,7,,,,,,,,,2,1,2,13,15,,,,,,,,,2,,,,,,,,,,,,,3,9,,,,,,,1,3,4,,,,,1,4,6,,,,,,,,,,,,,,,,,,,,1,3,4,,,,,,,3,4,,,,,,,,1,1,6,8,10,11,12,13,15,,,,,,,,,,,,,,,,,,,
28,3,2,2,6,,,,1,,3,,1,,,1,3,5,,1,,,,1,3,5,,,1,3,5,,,,1,,,,,1,8,,,,,,,,,2,1,3,4,6,7,13,14,15,,,,,2,,,,,,,,,,,,,3,9,,,,,,,8,,,,,,,1,8,9,,,,相談する気力もないので。,8,9,,,,,,,3,,,,,,,2,,,,,,,,,1,3,9,10,,,,,,0,,,,,,,,,,,,,,,,,4,5,8,9,10,,,,,自分の事でいっぱいいっぱいの為。,インフルエンザの助成が、若者にも適用すれば良いのにと思います。税金に関しては増えても減ってもあまり変わらないので、家賃補助等あれば助かるのではと思います。
29,5,2,2,5,,,,10,パートナーと折半,5,,1,,,1,4,,,1,,,,4,5,,,,1,,,,,,1,,,,,1,3,6,14,,,,,,,4,1,9,13,,,,,,,,,,1,2,,,,,,,1,,,,,,1,2,,,,,,1,3,,,,,,,,,,,,,2,,,,,,,その場所に行けば誰かいて、お酒を飲んだり、気軽に話せるような場所。,1,2,3,4,5,6,,1,3,4,8,,,,,,1,8,,,,,,,,0,,,,,,,,,,,,,,,,,7,9,,,,,,,,,
30,4,1,2,1,2,,,1,,5,,4,,,1,2,,,1,,,,1,2,3,,,1,,,,,,1,,,,,1,6,7,9,,,,,,,2,1,4,11,12,13,14,15,,,,,,2,,,,,,,,,,,,,3,1,,,,,,,1,3,4,,,,,,,,,,,,,,,,,,,嫌な事があった時に、吐き出せる、自分と特定されない場所。,3,,,,,,,1,7,8,,,,,,,3,4,10,,,,,,,2,1,2,3,5,6,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,
31,4,2,2,1,2,,,3,,5,,1,,,2,,,,2,,,,2,,,,,1,2,,,,,2,,,,,1,10,,,,,,,,,4,1,13,14,15,,,,,,,,,2,,,,,,,,,,,,,5,4,5,6,7,,,,1,3,4,,,,,,,,,,,,8,,,,,,,,3,,,,,,,2,,,,,,,,,1,3,4,8,9,10,,,,0,,,,,,,,,,,,,,,,,7,10,,,,,,,,自分の子供をもちたくないです。,
32,3,1,2,6,,,,1,,5,,1,,,1,2,,,1,2,,,2,,,,,1,3,,,,,,,,,,1,11,,,,,,,,,,1,11,,,,,,,,,,,1,5,,,,,,,1,,,,,,2,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,2,3,4,,,,,1,3,4,7,,,,,,10,,,,,,,,,1,2,8,12,,,,,,,,,,,,,,,,,,,,,,,,
33,4,2,1,5,,,,1,,5,,1,,,2,,,,1,2,3,,1,2,3,,,1,2,3,,,,1,,,,,1,2,3,5,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,自分よりも人生経験があって、似たような問題を解決した事がある人。,7,,,,,,カフェやファミレスのような飲食店。,,,,,,,,,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,4,5,7,,,,,,,経済的な余裕があれば、民間のサービスを利用する事ができるので、市の財源は民間で代替できる取組よりも、民間で勝手に行う事ができないインフラ整備や、街の再開発に使ってほしいです。
34,2,2,2,3,,,,1,,2,,1,,,1,3,,,1,,,,1,2,3,,,1,,,,,,1,,,,,1,,,,,,,,,,2,1,2,3,13,14,,,,,,,,2,,,,,,,,,,,,,4,1,2,4,5,7,,,1,2,4,5,6,,,,,,,,,,,,,,,,,,3,6,,,,,,1,4,5,7,,,,,,2,6,8,,,,,,,2,1,2,3,4,5,7,8,10,11,12,13,14,15,,,,,,,,,,,,,,・若者の住居手当て　・日用品手当て
35,3,2,2,5,,,,1,,4,,1,,,1,2,3,5,1,2,3,,1,2,3,,,1,3,,,,,2,3,,,,1,8,11,,,,,,,,3,1,8,10,13,15,,,,,,,,1,1,3,6,,,,,1,,,,,,1,,,,,,,1,3,,,,,,6,,,,,,,,,,,,,,,3,4,,,,,,3,,,,,,,,,1,4,5,,,,,,,2,2,5,8,12,15,,,,,,,,,,,,,,,,,,,,,,狛江市は多摩川も近く、友人と一緒によく散歩へ出掛けたりする。若者がよく行くカフェなどが駅周辺にできると嬉しい。
36,4,2,2,6,,,,1,,5,,1,,,2,3,5,,6,,,,1,2,3,5,,1,2,3,5,,,6,,,,,1,8,9,13,,,,,,,3,1,4,13,15,,,,,,,,,2,,,,,,,,,,,,,3,1,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,,,1,10,,,,,,,,0,,,,,,,,,,,,,,,,,1,5,7,,,,,,,,
37,3,1,2,6,,,,1,,5,,1,,,3,,,,3,,,,3,,,,,3,,,,,,3,,,,,1,,,,,,,,,,4,1,2,4,13,,,,,,,,,2,,,,,,,,,,,,,5,9,,,,,,,4,,,,,,,1,2,7,,,,,,,,,,,,,3,,,,,,,1,2,3,8,,,,,,10,,,,,,,,,2,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,
38,5,2,2,6,,,,1,,3,,1,,,1,3,,,1,3,,,1,3,,,,1,3,,,,,1,3,,,,1,11,,,,,,,,,3,1,2,4,13,15,,,,,,,,2,,,,,,,,,,,,,5,1,7,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,1,2,3,4,7,8,,,12,,,,,,,,,1,1,2,3,5,8,9,10,12,15,,,,,,,,,,,,,,,,,,
39,4,1,1,5,,,,1,,5,,1,,,1,,,,1,,,,1,,,,,1,,,,,,1,,,,,3,7,,,,,,,,,3,1,2,3,13,15,,,,,,,,2,,,,,,,,,,,,,5,8,,,,,,,8,,,,,,,,,,,,,,5,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,5,1,2,6,,,,1,,5,,1,,,1,,,,1,,,,1,2,,,,1,2,,,,,1,2,,,,1,11,,,,,,,,,3,1,2,3,4,10,13,15,,,,,,1,1,2,5,,,,,1,,,,,,1,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,2,3,4,,,,,3,,,,,,,,,3,4,10,,,,,,,0,,,,,,,,,,,,,,,,,4,5,,,,,,,,,
41,5,1,1,5,,,,1,,5,,1,,,1,3,6,,1,,,,1,,,,,1,,,,,,6,,,,,1,2,3,7,,,,,,,4,1,15,,,,,,,,,,,1,1,2,,,,,,1,2,,,,,1,7,,,,,,1,2,,,,,,,,,,,,,8,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,4,7,8,12,13,15,,,,,,,,,,,,,,,,,,,,
42,3,3,2,6,,,,1,,5,,1,,,2,,,,2,,,,2,,,,,1,2,,,,,2,,,,,1,15,,,,,,,,友達（信頼できる）といるところ。,2,1,2,10,14,16,,,,,,,重い通りに行動できない。,1,5,9,,,,,,1,4,,,,,1,3,,,,,,1,7,,,,,知っている人と対面して相談するところ。,,,,,,,,8,,,,,,,,2,,,,,,,3,,,,,,,,,5,8,10,,,,,,,0,,,,,,,,,,,,,,,,,7,9,,,,,,,,,
43,5,1,2,6,,,,1,,5,,4,,,2,3,5,6,2,6,,,1,2,3,5,6,1,2,5,6,,,2,5,6,,,1,2,,,,,,,,,3,1,8,15,,,,,,,,,,1,2,5,,,,,,1,2,,,,,1,2,3,6,,,,5,,,,,,,,,,,,,,,,,,,,,趣味ごとに大まかにカテゴライズした枠組の交流会など。,2,,,,,,,3,,,,,,,,,1,2,3,5,8,,,,,0,,,,,,,,,,,,,,,,,4,5,6,7,8,9,,,,,「公的支援」という雰囲気に抵抗がある人は多いと思うので、内容もですが実態（写真・動画・感想）が調べればすぐに見えるなど、すぐにイメージできることが第一かと思います。
44,5,2,2,5,,,,6,,3,,1,,,1,2,3,,1,2,,,1,2,3,,,1,,,,,,1,2,,,,1,2,3,11,,,,,,,3,1,2,13,15,,,,,,,,,1,1,2,,,,,,1,,,,,,1,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,「相談事業所」等の大きな看板があると、なんとなく入りにくい。カフェのようなオシャレで清潔感のある場所だと行きたいと思う。そこに、気楽に何でも相談出来る専門家の方がいてくれたら通いたくなります。,2,,,,,,,1,1,3,8,,,,,,11,,,,,,,,もうすぐ結婚する予定。,0,,,,,,,,,,,,,,,,,2,4,10,,,,,,,パートナーに難しいと言われた。,"・今、私は毎月奨学金を￥30,000くらい支払っています。それが50代まで続く予定です。奨学金を借りた時は、親に「毎月少しずつ返していけば大丈夫!」「お母さんも一緒に返す」と言われ、自分自身よく分からないまま借りました。しかし、今ではそれが凄い負担になっています。親の経済状況も大変で。結局、全額自分が支払っています。（私は高校生から借りました）私は当時、家の経済状況を理解していませんでした。奨学金というのは、金銭感覚がまだしっかりしていない子供も借りれます。期待することは、奨学金の返済が大変だということの説明（返済している人から話を聞く事、実際に大変なことを経験しないと分からない）。奨学金を借りなくても、誰もが教育を受けることになれれば一番だと思います。今、奨学金を返済している人も、返済しなくてもいいとなれば、経済的な不安はかなり軽減されると思います。"
45,3,2,1,5,,,,6,,5,,1,,,1,2,3,,1,,,,1,2,3,,,1,,,,,,1,,,,,1,2,3,11,,,,,,,4,1,13,15,,,,,,,,,,1,1,2,3,,,,,1,,,,,,1,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,3,5,7,8,9,,,,,,,,,,,,,,,,,,,,
46,3,2,1,5,,,,6,,5,,1,,,1,,,,1,,,,1,2,,,,1,2,,,,,1,,,,,1,3,11,,,,,,,,4,1,13,,,,,,,,,,,1,1,2,3,,,,,1,,,,,,1,,,,,,,1,4,,,,,,,,,,,,,8,,,,,,,,2,3,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,5,6,8,9,10,12,13,14,15,,,,,,,,,,,,,,,,
47,5,1,2,5,,,,1,,5,,1,,,1,3,,,2,3,,,1,2,3,,,1,2,3,,,,2,,,,,2,7,,,,,,,,,2,1,13,15,,,,,,,,,,1,2,5,6,,,,,1,,,,,,1,2,,,,,,1,2,4,,,,,,,,,,,,,,,,,,,,1,2,3,4,,,,1,4,,,,,,,,3,,,,,,,,,2,1,2,8,10,12,13,14,16,,,,,,,,経済的に余裕があれば、とにかくお金。,,,,,,,,,,,引越してきたばかりですが、良くも悪くも田舎っぽい地域、気にいってますが、ただ市役所はリニューアルしてもいいのでは?　市役所（顔）が変化すれば、充実すれば、パワーアップすれば、市全体が盛り上がっていくのでは?　改装となるとその間の一時的な移転場所の問題やら資金の問題やらあると思いますが、いつかはすると思うのでやるなら今!!　市民が行きたくなるような、市民も役所の人も使いやすい市役所、どうでしょうか?
48,4,1,1,5,,,,1,,5,,1,,,3,,,,1,,,,1,,,,,1,,,,,,1,,,,,3,,,,,,,,,,4,1,15,,,,,,,,,,,1,2,,,,,,,1,,,,,,1,2,,,,,,4,5,,,,,,,,,,,,,10,,,,,,どれも知らない。,・財テク　・市の補助制度・支援制度の活用方法　・カフェのようにゆったりできるところ,3,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,3,4,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,同世代や同じ境遇の人たちとの交流の場。（オンライン・オフライン問わず、コミュニティを作れる場）
49,3,1,2,6,,,,1,,5,,1,,,1,2,3,6,1,2,,,1,2,3,5,6,1,2,,,,,1,2,,,,1,2,6,10,11,13,,,,,4,1,2,3,4,9,13,,,,,,,1,1,5,,,,,,1,2,,,,,1,7,,,,,,1,4,,,,,,,,,,,,,,,,,,,,課題解決のための相談場所ではなく、悩みなどを聞いてくれる場所。（どうしたら抱えている嫌なことや問題を解決できるのか?を話すわけではなく、ただ話を聞いてもらえるだけの場所があると相談しやすくなるのではないかと思う。）,2,3,4,6,,,,1,2,3,,,,,,,3,10,,,,,,,,1,1,3,5,10,14,15,,,,,,,,,,,,,,,,,,,,,今あるサービスの周知。今回のアンケートで多くの施策が行われていることを知ることができたが、そうでなければ知る機会が少なかったので。配布物やSNSなどで知ってもらう機械を増やすべきだと思います。
