区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
〔就業者の主な産業別内訳〕／建設業,445,501,-56,-11.2,376,421,-45,-10.7,69,80,-11,-13.8
〔就業者の主な産業別内訳〕／製造業,731,714,17,2.4,497,494,3,0.6,233,220,13,5.9
〔就業者の主な産業別内訳〕／情報通信業,692,677,15,2.2,492,485,7,1.4,200,192,8,4.2
〔就業者の主な産業別内訳〕／運輸業，郵便業,356,369,-13,-3.5,284,301,-17,-5.6,72,68,4,5.9
〔就業者の主な産業別内訳〕／卸売業，小売業,1210,1236,-26,-2.1,628,649,-21,-3.2,582,587,-5,-0.9
〔就業者の主な産業別内訳〕／金融業，保険業,308,259,49,18.9,161,121,40,33.1,147,139,8,5.8
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,253,259,-6,-2.3,152,149,3,2,101,110,-9,-8.2
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,473,420,53,12.6,295,270,25,9.3,178,151,27,17.9
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,524,520,4,0.8,243,229,14,6.1,281,290,-9,-3.1
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,274,276,-2,-0.7,123,124,-1,-0.8,152,152,0,0
〔就業者の主な産業別内訳〕／教育，学習支援業,376,371,5,1.3,171,168,3,1.8,205,204,1,0.5
〔就業者の主な産業別内訳〕／医療，福祉,763,736,27,3.7,209,189,20,10.6,554,547,7,1.3
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,604,582,22,3.8,344,337,7,2.1,260,246,14,5.7
〔雇用者の主な産業別内訳〕／建設業,374,424,-50,-11.8,311,351,-40,-11.4,63,72,-9,-12.5
〔雇用者の主な産業別内訳〕／製造業,696,675,21,3.1,477,473,4,0.8,219,202,17,8.4
〔雇用者の主な産業別内訳〕／情報通信業,660,647,13,2,469,461,8,1.7,191,186,5,2.7
〔雇用者の主な産業別内訳〕／運輸業，郵便業,335,343,-8,-2.3,264,276,-12,-4.3,71,67,4,6
〔雇用者の主な産業別内訳〕／卸売業，小売業,1137,1163,-26,-2.2,584,605,-21,-3.5,552,558,-6,-1.1
〔雇用者の主な産業別内訳〕／金融業，保険業,306,256,50,19.5,160,119,41,34.5,146,137,9,6.6
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,220,229,-9,-3.9,134,133,1,0.8,86,96,-10,-10.4
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,364,318,46,14.5,224,201,23,11.4,140,117,23,19.7
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,467,460,7,1.5,209,199,10,5,258,261,-3,-1.1
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,214,211,3,1.4,94,93,1,1.1,121,117,4,3.4
〔雇用者の主な産業別内訳〕／教育，学習支援業,347,337,10,3,163,159,4,2.5,184,178,6,3.4
〔雇用者の主な産業別内訳〕／医療，福祉,711,688,23,3.3,179,161,18,11.2,533,527,6,1.1
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,564,538,26,4.8,317,307,10,3.3,247,231,16,6.9
〔非農林業雇用者の従業者規模別内訳〕／総数,6810,6694,116,1.7,3841,3787,54,1.4,2969,2907,62,2.1
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1699,1717,-18,-1,951,961,-10,-1,748,756,-8,-1.1
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2101,2062,39,1.9,1141,1131,10,0.9,960,931,29,3.1
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2461,2379,82,3.4,1438,1405,33,2.3,1022,974,48,4.9
〔完全失業率（年齢階級別）(%)〕／総数,3.2,3.6,-0.4,…,3.2,3.8,-0.6,…,3.3,3.2,0.1,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,4.8,4.8,0,…,4.9,5.4,-0.5,…,4.7,4.2,0.5,…
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,3.7,4.5,-0.8,…,4,5.1,-1.1,…,3.3,3.7,-0.4,…
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,2.9,3.2,-0.3,…,2.6,3.1,-0.5,…,3.4,3.3,0.1,…
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3.1,3.5,-0.4,…,2.9,3.4,-0.5,…,3.3,3.5,-0.2,…
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,3.1,3.4,-0.3,…,3.1,3.9,-0.8,…,3.1,2.5,0.6,…
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.4,2.3,0.1,…,2.6,2.7,-0.1,…,2.1,1.3,0.8,…
〔就業率（%）〕／総数,62.3,62.1,0.2,…,72.5,72.3,0.2,…,52.5,52.2,0.3,…
〔労働力人口比率(%)〕／総数,64.4,64.4,0,…,74.9,75.2,-0.3,…,54.3,53.9,0.4,…
,,,,,,,,,,,,
東京の労働力統計データ（平成28年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成28年平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
