年・期,西暦(年),四半期,東京都／男女計（％、ポイント）,東京都／男（％、ポイント）,東京都／女（％、ポイント）,南関東／男女計（％、ポイント）,南関東／男（％、ポイント）,南関東／女（％、ポイント）,全国／男女計（％、ポイント）,全国／男（％、ポイント）,全国／女（％、ポイント）
完全失業率／平成25年４～６月平均,2013,04～06,4.2,4.1,4.3,4.1,4.1,4.2,4.2,4.3,4
完全失業率／平成25年７～９月平均,2013,07～09,4.3,4.4,4,4,4.2,3.8,4,4.3,3.5
完全失業率／平成25年10～12月平均,2013,10～12,3.8,3.8,3.9,3.7,3.7,3.8,3.7,3.9,3.5
完全失業率／平成26年１～３月平均,2014,01～03,3.6,3.7,3.6,3.5,3.7,3.3,3.7,3.9,3.4
完全失業率／平成26年４～６月平均,2014,04～06,3.8,4,3.5,3.8,3.8,3.7,3.7,3.8,3.6
完全失業率／平成26年７～９月平均,2014,07～09,4,3.8,4.2,3.5,3.5,3.4,3.6,3.8,3.4
完全失業率／平成26年10～12月平均,2014,10～12,3.7,4.2,3.2,3.3,3.5,3,3.3,3.6,3
完全失業率／平成27年１～３月平均,2015,01～03,3.8,3.9,3.6,3.4,3.6,3.1,3.5,3.7,3.1
完全失業率／平成27年４～６月平均,2015,04～06,3.5,3.7,3.3,3.5,3.6,3.5,3.4,3.5,3.3
完全失業率／平成27年７～９月平均,2015,07～09,3.3,3.7,2.8,3.3,3.4,3,3.4,3.6,3.1
完全失業率／平成27年10～12月平均,2015,10～12,3.7,4,3.3,3.1,3.4,2.7,3.1,3.4,2.8
完全失業率／平成28年１～３月平均,2016,01～03,3.5,3.2,3.9,3.3,3.4,3.2,3.2,3.5,2.9
対前年・対前年同期増減数／平成21年平均,2009,,0.9,0.8,0.9,1,1,1.2,1.1,1.2,1
対前年・対前年同期増減数／平成22年平均,2010,,0.8,1.3,0.1,0.3,0.5,0,0,0.1,-0.2
対前年・対前年同期増減数／平成23年平均,2011,,-0.7,-0.8,-0.4,-0.5,-0.5,-0.4,-0.5,-0.5,-0.4
対前年・対前年同期増減数／平成24年平均,2012,,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.2
対前年・対前年同期増減数／平成25年平均,2013,,-0.3,-0.3,-0.5,-0.3,-0.3,-0.4,-0.3,-0.3,-0.3
対前年・対前年同期増減数／平成26年平均,2014,,-0.4,-0.4,-0.4,-0.6,-0.6,-0.5,-0.4,-0.6,-0.3
対前年・対前年同期増減数／平成27年平均,2015,,-0.2,-0.1,-0.4,-0.2,-0.1,-0.3,-0.2,-0.1,-0.3
対前年・対前年同期増減数／平成21年10～12月平均,2009,10～12,1.1,1.4,0.7,1,1.1,0.8,1.1,1.2,1
対前年・対前年同期増減数／平成22年１～３月平均,2010,01～03,1.1,1.8,-0.2,0.7,1.2,-0.1,0.5,0.8,0
対前年・対前年同期増減数／平成22年４～６月平均,2010,04～06,1.5,2.3,0.3,0.6,0.6,0.4,0.1,0.2,-0.1
対前年・対前年同期増減数／平成22年７～９月平均,2010,07～09,0.5,0.6,0.5,0,0.1,-0.1,-0.3,-0.3,-0.5
対前年・対前年同期増減数／平成22年10～12月平均,2010,10～12,0,0.2,-0.3,-0.1,0,-0.4,-0.2,-0.1,-0.4
対前年・対前年同期増減数／平成23年１～３月平均,2011,01～03,-0.2,-0.4,0.2,-0.3,-0.5,0,-0.3,-0.4,-0.2
対前年・対前年同期増減数／平成23年４～６月平均,2011,04～06,-1.3,-2,-0.4,-0.7,-1,-0.4,-0.5,-0.5,-0.3
対前年・対前年同期増減数／平成23年７～９月平均,2011,07～09,-0.6,-0.4,-1,-0.5,-0.5,-0.5,-0.6,-0.7,-0.5
対前年・対前年同期増減数／平成23年10～12月平均,2011,10～12,-0.3,-0.1,-0.6,-0.3,0,-0.6,-0.5,-0.6,-0.5
対前年・対前年同期増減数／平成24年１～３月平均,2012,01～03,-0.4,-0.1,-0.8,-0.1,0,-0.3,-0.3,-0.3,-0.1
対前年・対前年同期増減数／平成24年４～６月平均,2012,04～06,-0.2,-0.4,0.3,-0.3,-0.1,-0.4,-0.2,-0.4,-0.2
対前年・対前年同期増減数／平成24年７～９月平均,2012,07～09,-0.3,-0.1,-0.6,-0.3,0,-0.6,-0.2,-0.2,-0.2
対前年・対前年同期増減数／平成24年10～12月平均,2012,10～12,-0.3,-0.9,0.3,-0.2,-0.8,0.4,-0.3,-0.3,-0.1
対前年・対前年同期増減数／平成25年１～３月平均,2013,01～03,0,0.1,0,-0.1,0,-0.2,-0.2,-0.2,-0.5
対前年・対前年同期増減数／平成25年４～６月平均,2013,04～06,-0.6,-0.5,-0.9,-0.5,-0.5,-0.4,-0.4,-0.4,-0.3
対前年・対前年同期増減数／平成25年７～９月平均,2013,07～09,-0.5,-0.5,-0.6,-0.5,-0.5,-0.5,-0.3,-0.2,-0.4
対前年・対前年同期増減数／平成25年10～12月平均,2013,10～12,-0.4,-0.2,-0.4,-0.4,-0.3,-0.3,-0.3,-0.4,-0.2
対前年・対前年同期増減数／平成26年１～３月平均,2014,01～03,-0.8,-1.2,-0.2,-0.9,-0.9,-0.7,-0.6,-0.7,-0.3
対前年・対前年同期増減数／平成26年４～６月平均,2014,04～06,-0.4,-0.1,-0.8,-0.3,-0.3,-0.5,-0.5,-0.5,-0.4
対前年・対前年同期増減数／平成26年７～９月平均,2014,07～09,-0.3,-0.6,0.2,-0.5,-0.7,-0.4,-0.4,-0.5,-0.1
対前年・対前年同期増減数／平成26年10～12月平均,2014,10～12,-0.1,0.4,-0.7,-0.4,-0.2,-0.8,-0.4,-0.3,-0.5
対前年・対前年同期増減数／平成27年１～３月平均,2015,01～03,0.2,0.2,0,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3
対前年・対前年同期増減数／平成27年４～６月平均,2015,04～06,-0.3,-0.3,-0.2,-0.3,-0.2,-0.2,-0.3,-0.3,-0.3
対前年・対前年同期増減数／平成27年７～９月平均,2015,07～09,-0.7,-0.1,-1.4,-0.2,-0.1,-0.4,-0.2,-0.2,-0.3
対前年・対前年同期増減数／平成27年10～12月平均,2015,10～12,0,-0.2,0.1,-0.2,-0.1,-0.3,-0.2,-0.2,-0.2
対前年・対前年同期増減数／平成28年１～３月平均,2016,01～03,-0.3,-0.7,0.3,-0.1,-0.2,0.1,-0.3,-0.2,-0.2
,,,,,,,,,,,
東京の労働力統計データ（平成28年１～３月平均）,,,,,,,,,,,
参考表　東京都、南関東及び全国の完全失業率（原数値）,,,,,,,,,,,
注）南関東：埼玉県、千葉県、東京都、神奈川県,,,,,,,,,,,
