区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
就業者数／平成22年平均,2010,2787,258,659,672,529,433,235,17,-16,1,11,7,-6,19,0.6,-5.8,0.2,1.7,1.3,-1.4,8.8
就業者数／平成23年平均,2011,2940,271,702,706,556,449,257,153,13,43,34,27,16,22,5.5,5,6.5,5.1,5.1,3.7,9.4
就業者数／平成24年平均,2012,2940,268,689,716,573,437,258,0,-3,-13,10,17,-12,1,0,-1.1,-1.9,1.4,3.1,-2.7,0.4
就業者数／平成25年平均,2013,3033,281,698,744,614,425,272,93,13,9,28,41,-12,14,3.2,4.9,1.3,3.9,7.2,-2.7,5.4
就業者数／平成26年平均,2014,3129,278,717,764,652,422,296,96,-3,19,20,38,-3,24,3.2,-1.1,2.7,2.7,6.2,-0.7,8.8
就業者数／平成27年平均,2015,3168,274,707,765,695,427,301,39,-4,-10,1,43,5,5,1.2,-1.4,-1.4,0.1,6.6,1.2,1.7
就業者数／平成28年平均,2016,3216,285,737,751,731,431,281,48,11,30,-14,36,4,-20,1.5,4,4.2,-1.8,5.2,0.9,-6.6
完全失業者数／平成18年平均,2006,112,17,37,22,18,14,3,-17,-6,-8,-1,3,-6,0,-13.2,-26.1,-17.8,-4.3,20,-30,0
完全失業者数／平成19年平均,2007,114,21,31,26,17,16,3,2,4,-6,4,-1,2,0,1.8,23.5,-16.2,18.2,-5.6,14.3,0
完全失業者数／平成20年平均,2008,117,19,37,28,15,13,5,3,-2,6,2,-2,-3,2,2.6,-9.5,19.4,7.7,-11.8,-18.8,66.7
完全失業者数／平成21年平均,2009,147,20,47,39,22,17,4,30,1,10,11,7,4,-1,25.6,5.3,27,39.3,46.7,30.8,-20
完全失業者数／平成22年平均,2010,151,22,41,38,24,21,5,4,2,-6,-1,2,4,1,2.7,10,-12.8,-2.6,9.1,23.5,25
完全失業者数／平成23年平均,2011,144,19,37,40,28,18,3,-7,-3,-4,2,4,-3,-2,-4.6,-13.6,-9.8,5.3,16.7,-14.3,-40
完全失業者数／平成24年平均,2012,138,20,33,34,27,18,5,-6,1,-4,-6,-1,0,2,-4.2,5.3,-10.8,-15,-3.6,0,66.7
完全失業者数／平成25年平均,2013,127,15,32,32,25,16,6,-11,-5,-1,-2,-2,-2,1,-8,-25,-3,-5.9,-7.4,-11.1,20
完全失業者数／平成26年平均,2014,117,14,30,30,24,12,7,-10,-1,-2,-2,-1,-4,1,-7.9,-6.7,-6.3,-6.3,-4,-25,16.7
完全失業者数／平成27年平均,2015,106,12,27,26,25,11,4,-11,-2,-3,-4,1,-1,-3,-9.4,-14.3,-10,-13.3,4.2,-8.3,-42.9
完全失業者数／平成28年平均,2016,109,14,25,26,25,14,6,3,2,-2,0,0,3,2,2.8,16.7,-7.4,0,0,27.3,50
非労働力人口／平成18年平均,2006,2783,404,281,334,218,413,1133,-4,6,-7,-3,-21,1,20,-0.1,1.5,-2.4,-0.9,-8.8,0.2,1.8
非労働力人口／平成19年平均,2007,2826,381,281,368,210,396,1190,43,-23,0,34,-8,-17,57,1.5,-5.7,0,10.2,-3.7,-4.1,5
非労働力人口／平成20年平均,2008,2829,364,269,371,217,378,1232,3,-17,-12,3,7,-18,42,0.1,-4.5,-4.3,0.8,3.3,-4.5,3.5
非労働力人口／平成21年平均,2009,2816,359,237,345,213,382,1280,-13,-5,-32,-26,-4,4,48,-0.5,-1.4,-11.9,-7,-1.8,1.1,3.9
非労働力人口／平成22年平均,2010,2811,350,220,345,226,379,1291,-5,-9,-17,0,13,-3,11,-0.2,-2.5,-7.2,0,6.1,-0.8,0.9
非労働力人口／平成23年平均,2011,2853,364,230,362,235,373,1288,42,14,10,17,9,-6,-3,1.5,4,4.5,4.9,4,-1.6,-0.2
非労働力人口／平成24年平均,2012,2883,356,233,361,247,355,1332,30,-8,3,-1,12,-18,44,1.1,-2.2,1.3,-0.3,5.1,-4.8,3.4
非労働力人口／平成25年平均,2013,2826,340,213,329,242,332,1370,-57,-16,-20,-32,-5,-23,38,-2,-4.5,-8.6,-8.9,-2,-6.5,2.9
非労働力人口／平成26年平均,2014,2776,337,189,305,239,310,1395,-50,-3,-24,-24,-3,-22,25,-1.8,-0.9,-11.3,-7.3,-1.2,-6.6,1.8
非労働力人口／平成27年平均,2015,2796,341,199,301,231,288,1435,20,4,10,-4,-8,-22,40,0.7,1.2,5.3,-1.3,-3.3,-7.1,2.9
非労働力人口／平成28年平均,2016,2800,330,170,305,232,275,1487,4,-11,-29,4,1,-13,52,0.1,-3.2,-14.6,1.3,0.4,-4.5,3.6
労働力人口比率／平成18年平均,2006,50,42.5,72.2,64.1,69.3,52.5,15.6,0.5,-0.5,0.5,1.5,2.3,-0.6,1.4,…,…,…,…,…,…,…
労働力人口比率／平成19年平均,2007,50.2,44.6,71.4,62.8,71.2,54.6,15.5,0.2,2.1,-0.8,-1.3,1.9,2.1,-0.1,…,…,…,…,…,…,…
労働力人口比率／平成20年平均,2008,50.5,46,72.3,63.7,70.7,56.1,15.2,0.3,1.4,0.9,0.9,-0.5,1.5,-0.3,…,…,…,…,…,…,…
労働力人口比率／平成21年平均,2009,50.9,45,74.7,67,71.9,54.4,14.7,0.4,-1,2.4,3.3,1.2,-1.7,-0.5,…,…,…,…,…,…,…
労働力人口比率／平成22年平均,2010,51.1,44.5,76.1,67.2,71,54.5,15.7,0.2,-0.5,1.4,0.2,-0.9,0.1,1,…,…,…,…,…,…,…
労働力人口比率／平成23年平均,2011,51.9,44.3,76.2,67.3,71.3,55.6,16.8,0.8,-0.2,0.1,0.1,0.3,1.1,1.1,…,…,…,…,…,…,…
労働力人口比率／平成24年平均,2012,51.6,44.7,75.7,67.5,70.8,56.2,16.5,-0.3,0.4,-0.5,0.2,-0.5,0.6,-0.3,…,…,…,…,…,…,…
労働力人口比率／平成25年平均,2013,52.8,46.5,77.3,70.1,72.5,57.1,16.9,1.2,1.8,1.6,2.6,1.7,0.9,0.4,…,…,…,…,…,…,…
労働力人口比率／平成26年平均,2014,53.9,46.3,79.7,72.2,73.8,58.3,17.8,1.1,-0.2,2.4,2.1,1.3,1.2,0.9,…,…,…,…,…,…,…
労働力人口比率／平成27年平均,2015,53.9,45.6,78.7,72.4,75.7,60.2,17.6,0,-0.7,-1,0.2,1.9,1.9,-0.2,…,…,…,…,…,…,…
労働力人口比率／平成28年平均,2016,54.3,47.5,81.7,71.8,76.4,61.8,16.2,0.4,1.9,3,-0.6,0.7,1.6,-1.4,…,…,…,…,…,…,…
就業率／平成20年平均,2008,48.4,43.2,68.4,60.9,68.7,54.5,14.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
就業率／平成21年平均,2009,48.3,41.9,69.9,63.3,69,52.4,14.4,-0.1,-1.3,1.5,2.4,0.3,-2.1,-0.5,…,…,…,…,…,…,…
就業率／平成22年平均,2010,48.4,40.8,71.6,63.6,67.9,52,15.3,0.1,-1.1,1.7,0.3,-1.1,-0.4,0.9,…,…,…,…,…,…,…
就業率／平成23年平均,2011,49.5,41.4,72.4,63.7,67.9,53.5,16.6,1.1,0.6,0.8,0.1,0,1.5,1.3,…,…,…,…,…,…,…
就業率／平成24年平均,2012,49.3,41.6,72.2,64.4,67.7,53.9,16.2,-0.2,0.2,-0.2,0.7,-0.2,0.4,-0.4,…,…,…,…,…,…,…
就業率／平成25年平均,2013,50.6,44.2,73.9,67.3,69.7,55,16.5,1.3,2.6,1.7,2.9,2,1.1,0.3,…,…,…,…,…,…,…
就業率／平成26年平均,2014,51.9,44.1,76.5,69.5,71.2,56.7,17.4,1.3,-0.1,2.6,2.2,1.5,1.7,0.9,…,…,…,…,…,…,…
就業率／平成27年平均,2015,52.2,43.7,75.8,70,73.1,58.7,17.3,0.3,-0.4,-0.7,0.5,1.9,2,-0.1,…,…,…,…,…,…,…
就業率／平成28年平均,2016,52.5,45.3,79,69.5,74,59.9,15.8,0.3,1.6,3.2,-0.5,0.9,1.2,-1.5,…,…,…,…,…,…,…
完全失業率／平成18年平均,2006,4,5.7,5.1,3.7,3.6,3.1,1.4,-0.7,-1.9,-1,-0.4,0.5,-1.2,-0.2,…,…,…,…,…,…,…
完全失業率／平成19年平均,2007,4,6.8,4.4,4.2,3.3,3.4,1.4,0,1.1,-0.7,0.5,-0.3,0.3,0,…,…,…,…,…,…,…
完全失業率／平成20年平均,2008,4.1,6.1,5.3,4.3,2.9,2.7,2.3,0.1,-0.7,0.9,0.1,-0.4,-0.7,0.9,…,…,…,…,…,…,…
完全失業率／平成21年平均,2009,5,6.8,6.7,5.6,4,3.7,1.8,0.9,0.7,1.4,1.3,1.1,1,-0.5,…,…,…,…,…,…,…
完全失業率／平成22年平均,2010,5.1,7.8,5.8,5.4,4.3,4.6,2.1,0.1,1,-0.9,-0.2,0.3,0.9,0.3,…,…,…,…,…,…,…
完全失業率／平成23年平均,2011,4.7,6.6,5,5.4,4.8,3.9,1.2,-0.4,-1.2,-0.8,0,0.5,-0.7,-0.9,…,…,…,…,…,…,…
完全失業率／平成24年平均,2012,4.5,6.9,4.6,4.5,4.5,3.9,1.9,-0.2,0.3,-0.4,-0.9,-0.3,0,0.7,…,…,…,…,…,…,…
完全失業率／平成25年平均,2013,4,5.1,4.4,4.1,3.9,3.6,2.2,-0.5,-1.8,-0.2,-0.4,-0.6,-0.3,0.3,…,…,…,…,…,…,…
完全失業率／平成26年平均,2014,3.6,4.8,4,3.8,3.6,2.8,2.3,-0.4,-0.3,-0.4,-0.3,-0.3,-0.8,0.1,…,…,…,…,…,…,…
完全失業率／平成27年平均,2015,3.2,4.2,3.7,3.3,3.5,2.5,1.3,-0.4,-0.6,-0.3,-0.5,-0.1,-0.3,-1,…,…,…,…,…,…,…
完全失業率／平成28年平均,2016,3.3,4.7,3.3,3.4,3.3,3.1,2.1,0.1,0.5,-0.4,0.1,-0.2,0.6,0.8,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成28年平均）,,,,,,,,,,,,,,,,,,,,,,
第３表　年齢階級別就業状態（女）,,,,,,,,,,,,,,,,,,,,,,
注)　就業率については、平成20年平均から集計している。,,,,,,,,,,,,,,,,,,,,,,
