年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男／平成28年７～９月平均,2016,07～09,325,495,490,265,554,158,116,246,182,79,154,165,339
実数／女／平成25年平均,2013,,60,182,177,67,565,144,72,124,239,116,173,482,209
実数／女／平成26年平均,2014,,74,196,190,66,576,126,81,119,238,125,180,503,207
実数／女／平成27年平均,2015,,72,202,186,67,558,137,96,117,261,117,178,527,231
実数／女／平成26年４～６月平均,2014,04～06,76,191,202,71,562,116,81,104,248,143,203,509,194
実数／女／平成26年７～９月平均,2014,07～09,79,203,196,61,574,141,70,110,233,123,172,465,222
実数／女／平成26年10～12月平均,2014,10～12,78,185,192,67,601,118,91,137,244,109,158,527,221
実数／女／平成27年１～３月平均,2015,01～03,60,191,190,69,564,141,85,118,248,125,187,466,219
実数／女／平成27年４～６月平均,2015,04～06,77,197,199,59,546,108,97,121,282,125,166,585,232
実数／女／平成27年７～９月平均,2015,07～09,83,215,178,68,530,153,97,114,259,112,186,531,258
実数／女／平成27年10～12月平均,2015,10～12,70,205,177,72,590,146,106,116,252,107,173,526,215
実数／女／平成28年１～３月平均,2016,01～03,55,226,180,81,546,139,79,132,244,120,187,476,259
実数／女／平成28年４～６月平均,2016,04～06,64,201,205,72,536,146,72,158,230,116,188,563,231
実数／女／平成28年７～９月平均,2016,07～09,70,222,179,65,533,159,98,140,269,116,179,564,264
対前年・対前年同期増減数／男女計／平成25年平均,2013,,-24,-19,37,34,32,5,-10,15,0,-14,32,58,-101
対前年・対前年同期増減数／男女計／平成26年平均,2014,,44,-4,51,7,41,-25,23,-2,-12,10,9,10,-18
対前年・対前年同期増減数／男女計／平成27年平均,2015,,32,-15,-6,-17,8,2,19,1,44,-6,-2,16,46
対前年・対前年同期増減数／男女計／平成26年４～６月平均,2014,04～06,35,22,97,16,46,-41,4,-62,-3,12,1,40,-21
対前年・対前年同期増減数／男女計／平成26年７～９月平均,2014,07～09,72,-21,24,8,25,7,23,-6,7,5,21,-41,20
対前年・対前年同期増減数／男女計／平成26年10～12月平均,2014,10～12,62,-90,47,-2,20,-31,48,25,-13,-13,-2,39,-6
対前年・対前年同期増減数／男女計／平成27年１～３月平均,2015,01～03,5,-70,46,-13,-9,-11,30,-8,65,7,-23,-64,60
対前年・対前年同期増減数／男女計／平成27年４～６月平均,2015,04～06,46,-55,-2,-72,29,-3,1,21,73,-23,-26,83,73
対前年・対前年同期増減数／男女計／平成27年７～９月平均,2015,07～09,72,28,-15,7,-17,11,25,0,11,-28,21,62,54
対前年・対前年同期増減数／男女計／平成27年10～12月平均,2015,10～12,3,35,-54,13,30,11,21,-7,25,20,19,-19,-5
対前年・対前年同期増減数／男女計／平成28年１～３月平均,2016,01～03,-34,3,-21,21,10,6,-20,9,29,-21,23,41,94
対前年・対前年同期増減数／男女計／平成28年４～６月平均,2016,04～06,-95,76,-12,-9,-27,78,-18,51,-45,5,30,5,-30
対前年・対前年同期増減数／男女計／平成28年７～９月平均,2016,07～09,-52,20,22,-27,-82,45,-12,67,-2,16,-30,49,45
対前年・対前年同期増減数／男／平成25年平均,2013,,-17,-3,18,32,3,-10,-18,10,-2,-12,18,14,-31
対前年・対前年同期増減数／男／平成26年平均,2014,,30,-17,39,7,29,-7,16,2,-10,0,2,-11,-15
対前年・対前年同期増減数／男／平成27年平均,2015,,33,-22,-2,-17,27,-9,3,4,20,1,0,-8,22
対前年・対前年同期増減数／男／平成26年４～６月平均,2014,04～06,20,-20,69,-3,49,-11,-2,-49,-18,-3,-2,-8,-2
対前年・対前年同期増減数／男／平成26年７～９月平均,2014,07～09,47,-30,10,20,22,-3,29,7,7,-2,-1,-20,1
対前年・対前年同期増減数／男／平成26年10～12月平均,2014,10～12,43,-60,36,3,5,-7,24,24,7,1,-1,-9,-13
対前年・対前年同期増減数／男／平成27年１～３月平均,2015,01～03,9,-57,25,-15,-5,-23,27,1,43,3,-23,-18,31
対前年・対前年同期増減数／男／平成27年４～６月平均,2015,04～06,44,-60,1,-60,45,5,-16,4,39,-5,11,8,35
対前年・対前年同期増減数／男／平成27年７～９月平均,2015,07～09,69,16,3,0,26,-2,-3,-4,-15,-17,6,-4,17
対前年・対前年同期増減数／男／平成27年10～12月平均,2015,10～12,11,14,-39,8,41,-17,5,14,16,23,4,-19,2
対前年・対前年同期増減数／男／平成28年１～３月平均,2016,01～03,-28,-33,-11,9,28,9,-14,-4,33,-15,23,31,55
対前年・対前年同期増減数／男／平成28年４～６月平均,2016,04～06,-81,72,-18,-22,-17,40,8,13,7,14,7,27,-28
対前年・対前年同期増減数／男／平成28年７～９月平均,2016,07～09,-40,12,21,-24,-84,40,-13,41,-11,12,-22,16,40
対前年・対前年同期増減数／女／平成25年平均,2013,,-7,-16,18,2,29,16,7,5,2,-1,14,44,-71
対前年・対前年同期増減数／女／平成26年平均,2014,,14,14,13,-1,11,-18,9,-5,-1,9,7,21,-2
対前年・対前年同期増減数／女／平成27年平均,2015,,-2,6,-4,1,-18,11,15,-2,23,-8,-2,24,24
対前年・対前年同期増減数／女／平成26年４～６月平均,2014,04～06,15,40,28,19,-3,-30,6,-13,15,15,3,47,-20
対前年・対前年同期増減数／女／平成26年７～９月平均,2014,07～09,25,10,14,-11,3,9,-4,-14,-1,7,22,-21,19
対前年・対前年同期増減数／女／平成26年10～12月平均,2014,10～12,19,-29,12,-5,14,-24,25,1,-19,-15,-1,49,6
対前年・対前年同期増減数／女／平成27年１～３月平均,2015,01～03,-4,-13,21,2,-4,11,3,-9,22,2,0,-46,29
対前年・対前年同期増減数／女／平成27年４～６月平均,2015,04～06,1,6,-3,-12,-16,-8,16,17,34,-18,-37,76,38
対前年・対前年同期増減数／女／平成27年７～９月平均,2015,07～09,4,12,-18,7,-44,12,27,4,26,-11,14,66,36
対前年・対前年同期増減数／女／平成27年10～12月平均,2015,10～12,-8,20,-15,5,-11,28,15,-21,8,-2,15,-1,-6
対前年・対前年同期増減数／女／平成28年１～３月平均,2016,01～03,-5,35,-10,12,-18,-2,-6,14,-4,-5,0,10,40
対前年・対前年同期増減数／女／平成28年４～６月平均,2016,04～06,-13,4,6,13,-10,38,-25,37,-52,-9,22,-22,-1
対前年・対前年同期増減数／女／平成28年７～９月平均,2016,07～09,-13,7,1,-3,3,6,1,26,10,4,-7,33,6
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成28年７～９月平均）,,,,,,,,,,,,,,,
第５表　主な産業別雇用者数 ,,,,,,,,,,,,,,,
