年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
対前年・対前年同期増減数／男女計／平成28年１～３月平均,2016,01～03,-24,-2,-11,14,14,7,-22,4,28,-22,18,35,87
対前年・対前年同期増減数／男女計／平成28年４～６月平均,2016,04～06,-111,78,-14,-19,-26,74,-24,70,-72,-3,15,15,-42
対前年・対前年同期増減数／男／平成25年平均,2013,,-20,-1,24,36,-2,-11,-21,7,6,-17,21,15,-29
対前年・対前年同期増減数／男／平成26年平均,2014,,27,-23,38,5,31,-8,16,-3,-18,8,3,-10,-18
対前年・対前年同期増減数／男／平成27年平均,2015,,46,-24,-3,-19,25,-8,2,-2,13,0,-1,-6,24
対前年・対前年同期増減数／男／平成26年１～３月平均,2014,01～03,4,28,42,7,37,-7,6,18,-54,6,10,-10,-54
対前年・対前年同期増減数／男／平成26年４～６月平均,2014,04～06,24,-24,70,-3,51,-13,1,-63,-29,15,3,-8,-2
対前年・対前年同期増減数／男／平成26年７～９月平均,2014,07～09,47,-36,10,13,17,-4,28,2,4,6,4,-17,4
対前年・対前年同期増減数／男／平成26年10～12月平均,2014,10～12,32,-59,30,1,19,-7,28,29,8,6,-3,-6,-19
対前年・対前年同期増減数／男／平成27年１～３月平均,2015,01～03,26,-58,26,-11,-8,-22,31,-5,29,3,-26,-17,33
対前年・対前年同期増減数／男／平成27年４～６月平均,2015,04～06,43,-65,0,-70,31,5,-23,12,24,-10,10,14,49
対前年・対前年同期増減数／男／平成27年７～９月平均,2015,07～09,85,10,1,-1,27,-2,-2,-11,-21,-21,2,-8,20
対前年・対前年同期増減数／男／平成27年10～12月平均,2015,10～12,29,17,-39,7,52,-17,2,-5,19,28,8,-12,-8
対前年・対前年同期増減数／男／平成28年１～３月平均,2016,01～03,-21,-34,-5,4,25,9,-20,-7,40,-13,23,27,48
対前年・対前年同期増減数／男／平成28年４～６月平均,2016,04～06,-93,78,-20,-32,-9,38,8,31,-3,6,1,35,-36
対前年・対前年同期増減数／女／平成25年平均,2013,,-9,-14,19,4,28,16,4,13,-1,3,14,45,-70
対前年・対前年同期増減数／女／平成26年平均,2014,,15,21,11,-1,8,-17,4,-3,0,12,11,23,-4
対前年・対前年同期増減数／女／平成27年平均,2015,,1,5,-6,-1,-24,11,19,-7,17,-11,-5,28,25
対前年・対前年同期増減数／女／平成26年１～３月平均,2014,01～03,-5,42,-5,-8,28,-26,-5,22,8,25,8,12,-14
対前年・対前年同期増減数／女／平成26年４～６月平均,2014,04～06,18,46,25,20,-4,-29,9,-9,22,30,13,38,-25
対前年・対前年同期増減数／女／平成26年７～９月平均,2014,07～09,25,16,11,-12,-5,10,-8,-27,-3,12,28,-19,14
対前年・対前年同期増減数／女／平成26年10～12月平均,2014,10～12,22,-18,11,-5,12,-25,20,3,-26,-20,-5,59,11
対前年・対前年同期増減数／女／平成27年１～３月平均,2015,01～03,-1,-14,19,1,-11,12,9,-8,11,4,-1,-41,31
対前年・対前年同期増減数／女／平成27年４～６月平均,2015,04～06,2,10,-6,-15,-19,-8,19,9,30,-40,-44,89,39
対前年・対前年同期増減数／女／平成27年７～９月平均,2015,07～09,8,4,-22,8,-55,11,29,2,22,-9,17,61,37
対前年・対前年同期増減数／女／平成27年10～12月平均,2015,10～12,-7,18,-16,5,-10,28,18,-33,6,1,9,4,-8
対前年・対前年同期増減数／女／平成28年１～３月平均,2016,01～03,-3,33,-6,11,-11,-3,-2,11,-12,-9,-5,8,39
対前年・対前年同期増減数／女／平成28年４～６月平均,2016,04～06,-19,1,6,13,-17,36,-33,39,-69,-9,14,-20,-7
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成28年４～６月平均）,,,,,,,,,,,,,,,
第４表　主な産業別就業者数  ,,,,,,,,,,,,,,,
