,,,,,,,,,,,,（単位：隻、総トン）,
大井水産物ふ頭,14 ,"143,679 ",6 ,"12,257 ",8 ,"131,422 ",7 ,"16,804 ",3 ,"1,145 ",4 ,"15,659 ",
大井食品ふ頭（OL）,185 ,"890,299 ",148 ,"28,068 ",37 ,"862,231 ",180 ,"1,034,925 ",138 ,"29,186 ",42 ,"1,005,739 ",
大井食品ふ頭（OM）,102 ,"916,167 ",-,-,102 ,"916,167 ",103 ,"900,088 ",-,-,103 ,"900,088 ",
大井食品ふ頭（ON）,7 ,"71,992 ",-,-,7 ,"71,992 ",6 ,"44,522 ",2 ,952 ,4 ,"43,570 ",
若洲内貿ふ頭,140 ,"1,404,760 ",140 ,"1,404,760 ",-,-,145 ,"1,495,474 ",145 ,"1,495,474 ",-,-,
15号地木材ふ頭,37 ,"411,548 ",23 ,"4,281 ",14 ,"407,267 ",42 ,"438,570 ",27 ,"9,118 ",15 ,"429,452 ",
若洲建材ふ頭,390 ,"229,668 ",390 ,"229,668 ",-,-,372 ,"217,456 ",372 ,"217,456 ",-,-,
大井建材ふ頭,"1,088 ","623,747 ","1,088 ","623,747 ",-,-,"1,046 ","589,983 ","1,046 ","589,983 ",-,-,
城南島建設発生土ふ頭,663 ,"442,054 ",663 ,"442,054 ",-,-,780 ,"527,656 ",780 ,"527,656 ",-,-,
中央防波堤内側ばら物ふ頭,54 ,"282,050 ",35 ,"17,666 ",19 ,"264,384 ",56 ,"315,676 ",39 ,"20,145 ",17 ,"295,531 ",
中央防波堤内側建設発生土ふ頭,104 ,"123,463 ",104 ,"123,463 ",-,-,147 ,"170,410 ",147 ,"170,410 ",-,-,
中央防波堤内側内貿ふ頭,251 ,"2,647,065 ",251 ,"2,647,065 ",-,-,291 ,"2,561,340 ",291 ,"2,561,340 ",-,-,
官公庁（晴海）,21 ,"62,562 ",21 ,"62,562 ",-,-,17 ,"43,519 ",17 ,"43,519 ",-,-,
官公庁（月島）,59 ,"11,677 ",59 ,"11,677 ",-,-,60 ,"11,890 ",60 ,"11,890 ",-,-,
官公庁（有明）,12 ,"29,964 ",12 ,"29,964 ",-,-,13 ,"33,075 ",13 ,"33,075 ",-,-,
その他,-,-,-,-,-,-,79 ,"67,185 ",79 ,"67,185 ",-,-,
東京港埠頭㈱計,"4,447 ","104,797,645 ","1,452 ","2,486,951 ","2,995 ","102,310,694 ","4,209 ","102,760,897 ","1,168 ","1,659,119 ","3,041 ","101,101,778 ",
青海コンテナふ頭(埠頭㈱),919 ,"23,938,945 ",126 ,"155,577 ",793 ,"23,783,368 ",896 ,"24,536,848 ",85 ,"88,673 ",811 ,"24,448,175 ",
お台場ライナーふ頭,421 ,"3,734,611 ",255 ,"879,691 ",166 ,"2,854,920 ",258 ,"2,495,373 ",113 ,"530,137 ",145 ,"1,965,236 ",
大井コンテナふ頭,"3,107 ","77,124,089 ","1,071 ","1,451,683 ","2,036 ","75,672,406 ","3,055 ","75,728,676 ",970 ,"1,040,309 ","2,085 ","74,688,367 ",
民間計,"7,986 ","11,693,605 ","7,695 ","8,552,578 ",291 ,"3,141,027 ","7,345 ","9,965,222 ","7,125 ","7,846,926 ",220 ,"2,118,296 ",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
