階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
2,（1）賃金・俸給 Wages and salaries,29518120,29619824,29708474,30158459,30238854,31112346,31516713,32120161,31685141,31660331,31521486
2,（2）雇主の社会負担 Employers' social contributions,6140285,6249633,6412077,6740394,6969725,7214706,7430686,7673005,7956067,7942821,8182345
3,ａ．雇主の現実社会負担（受取） Employers' actual social contributions， receivable,6708082,6779531,6827813,7002875,7219715,7338166,7580999,7786978,8144389,8185575,8513194
3,ｂ．雇主の帰属社会負担（受取） Employers' imputed social contributions， receivable,-567797,-529899,-415736,-262481,-249990,-123460,-150313,-113973,-188322,-242753,-330849
1,9．財産所得（受取） Property income， receivable,6443615,6912076,7173942,7785470,8601292,8483063,8872804,9458617,8652850,8577838,10158693
2,（1）利子（受取） Interest， receivable,1710505,989743,876117,730390,1073723,1131025,1206305,1294985,1786505,1566716,1535620
2,（2）配当（受取） Dividends， receivable,1027893,2146090,2166193,2546370,2802448,2726702,2598802,3185036,1842999,2526943,2552495
2,（3）その他の投資所得（受取） Other investment income， receivable,2351890,2657438,2898218,2886620,2839734,2787711,2828255,2902490,2893682,2883937,2995160
3,a.保険契約者に帰属する投資所得（受取） Investment income attributable to insurance policyholders， receivable,1551002,1669117,1741677,1849400,1866629,1820874,1852474,1917014,1913276,1953378,2054713
3,b.年金受給権に係る投資所得（受取） Investment income on pension entitlements， receivable,800888,801586,802946,805915,807673,810077,815161,820921,829310,836547,842793
3,c.投資信託投資者に帰属する投資所得（受取） Investment income attributable to investment funds share holders， receivable,0,186736,353596,231305,165432,156760,160620,164555,151096,94011,97653
2,（4）賃貸料（受取） Rent， receivable,1353327,1118805,1233413,1622090,1885387,1837626,2239443,2076106,2129664,1600241,3075417
1,10．現物社会移転以外の社会給付 Social benefits other than social transfers in kind， receivable,7994706,7981672,7966087,7900931,8070801,8069608,8141442,8201625,8419022,8699372,9098600
2,（1）現金による社会保障給付 Social security benefits in cash,4868228,4927891,5008336,4973179,5057999,5106765,5174024,5222973,5239178,5315470,5347425
2,（2）その他の社会保険年金給付 Other social insurance pension benefits,1677736,1664483,1533444,1505043,1550803,1443170,1425313,1401843,1499428,1579401,1641144
2,（3）その他の社会保険非年金給付 Other social insurance non-pension benefits,408089,411980,389389,370158,360948,355441,330591,339337,352339,335029,338060
2,（4）社会扶助給付 Social assistance benefits,1040653,977318,1034918,1052551,1101051,1164232,1211514,1237471,1328078,1469472,1771971
1,11．その他の経常移転（受取） Other current transfers， receivable,829556,734935,878921,826594,805536,754979,826363,673333,866682,3261538,1765822
2,うち非生命保険金（受取） Of which non-life insurance claims， receivable,118603,107157,110988,93575,86036,110259,85659,93440,87492,75544,90614
1,12．年金受給権の変動調整 Adjustment for the change in pension entitlements， receivable,519867,525400,658102,763849,692332,808147,820344,879979,834886,795743,720564
0,受取 Resources,56447781,57014904,58080404,59346735,60846451,61604186,62873252,64293347,63486157,66060980,66770901
,（参考）現物社会移転 (cf) Social transfers in kind， receivable,6920359,7070958,7212815,7257866,7544305,7668995,7852097,7901242,8237813,8439611,8985186
,（参考）うち現物社会移転（市場産出の購入） (cf) Of which social transfers in kind (purchased market production),3760651,3907516,4036912,4149984,4308001,4338031,4456546,4527588,4692892,4574299,4939325
,（参考）支払利子（FISIM調整前） (cf) Interest， payable (FISIM unadjusted）,1404094,1352015,1334743,1375962,1357664,1337213,1377879,1494672,1556740,1497821,1496074
,（参考）受取利子（FISIM調整前） (cf) Interest， receivable (FISIM unadjusted）,1536822,839047,742780,610555,952697,972097,994876,1026640,1485319,1302237,1258437
,,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,,
２　制度部門別所得支出勘定  ２　Income and Outlay Accounts classified by Institutional Sectors (単位: 100万円　Millions of Yen),,,,,,,,,,,,
(4)　家計（個人企業を含む）(4) Households (Including Private Unincorporated Enterprises),,,,,,,,,,,,
注１）可処分所得＝（受取－12）－（1から4の合計）   Note1: Disposable income = (Resources -12) - (1+2+3+4),,,,,,,,,,,,
注２）貯蓄率＝貯蓄／（可処分所得＋年金受給権の変動調整）       Note2: Saving ratio = Saving / (Disposable income  + Adjustment for the change in pension entitlements， receivable),,,,,,,,,,,,
Note3: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,,
