階層 Hierarchy,部門／項目 Sectors／Items,2011年度(Fiscal Year 2011)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2011年度(Fiscal Year 2011)／地方政府等 Local government and local security funds／特別区 Wards,2011年度(Fiscal Year 2011)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2011年度(Fiscal Year 2011)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2011年度(Fiscal Year 2011)／地方政府等 Local government and local security funds／合計 Total,2012年度(Fiscal Year 2012)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2012年度(Fiscal Year 2012)／地方政府等 Local government and local security funds／特別区 Wards,2012年度(Fiscal Year 2012)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2012年度(Fiscal Year 2012)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2012年度(Fiscal Year 2012)／地方政府等 Local government and local security funds／合計 Total,2013年度(Fiscal Year 2013)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2013年度(Fiscal Year 2013)／地方政府等 Local government and local security funds／特別区 Wards,2013年度(Fiscal Year 2013)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2013年度(Fiscal Year 2013)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2013年度(Fiscal Year 2013)／地方政府等 Local government and local security funds／合計 Total,2014年度(Fiscal Year 2014)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2014年度(Fiscal Year 2014)／地方政府等 Local government and local security funds／特別区 Wards,2014年度(Fiscal Year 2014)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2014年度(Fiscal Year 2014)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2014年度(Fiscal Year 2014)／地方政府等 Local government and local security funds／合計 Total,2015年度(Fiscal Year 2015)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2015年度(Fiscal Year 2015)／地方政府等 Local government and local security funds／特別区 Wards,2015年度(Fiscal Year 2015)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2015年度(Fiscal Year 2015)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2015年度(Fiscal Year 2015)／地方政府等 Local government and local security funds／合計 Total,2016年度(Fiscal Year 2016)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2016年度(Fiscal Year 2016)／地方政府等 Local government and local security funds／特別区 Wards,2016年度(Fiscal Year 2016)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2016年度(Fiscal Year 2016)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2016年度(Fiscal Year 2016)／地方政府等 Local government and local security funds／合計 Total,2017年度(Fiscal Year 2017)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2017年度(Fiscal Year 2017)／地方政府等 Local government and local security funds／特別区 Wards,2017年度(Fiscal Year 2017)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2017年度(Fiscal Year 2017)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2017年度(Fiscal Year 2017)／地方政府等 Local government and local security funds／合計 Total,2018年度(Fiscal Year 2018)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2018年度(Fiscal Year 2018)／地方政府等 Local government and local security funds／特別区 Wards,2018年度(Fiscal Year 2018)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2018年度(Fiscal Year 2018)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2018年度(Fiscal Year 2018)／地方政府等 Local government and local security funds／合計 Total,2019年度(Fiscal Year 2019)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2019年度(Fiscal Year 2019)／地方政府等 Local government and local security funds／特別区 Wards,2019年度(Fiscal Year 2019)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2019年度(Fiscal Year 2019)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2019年度(Fiscal Year 2019)／地方政府等 Local government and local security funds／合計 Total,2020年度(Fiscal Year 2020)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2020年度(Fiscal Year 2020)／地方政府等 Local government and local security funds／特別区 Wards,2020年度(Fiscal Year 2020)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2020年度(Fiscal Year 2020)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2020年度(Fiscal Year 2020)／地方政府等 Local government and local security funds／合計 Total,2021年度(Fiscal Year 2021)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2021年度(Fiscal Year 2021)／地方政府等 Local government and local security funds／特別区 Wards,2021年度(Fiscal Year 2021)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2021年度(Fiscal Year 2021)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2021年度(Fiscal Year 2021)／地方政府等 Local government and local security funds／合計 Total
2,うち非生命純保険料 Of which net non-life insurance premiums,373,234,97,36,740,315,196,81,27,619,313,197,97,24,631,296,188,78,30,591,307,190,79,27,602,329,207,84,17,637,314,197,84,17,612,413,261,104,34,812,342,217,85,25,669,354,228,89,33,704,347,230,87,32,696
1,6．最終消費支出 Final consumption expenditure,1915772,1450409,576967,2713209,6656357,1902621,1440104,568905,2817373,6729002,1871098,1430819,673916,2911821,6887654,1912733,1474573,590362,2980305,6957973,1995076,1504705,592061,3076013,7167855,1977854,1526591,595314,3095985,7195744,1996217,1552442,638062,3170259,7356980,1983346,1581861,612758,3208237,7386202,2143307,1639777,636761,3297082,7716927,2228397,1723886,684128,3214456,7850867,2315467,1939270,753539,3356644,8364920
2,うち、現物社会移転 Of which social transfers in kind,636068,523569,328010,2713125,4200772,636349,520995,322958,2817290,4297593,632738,522733,366908,2911682,4434061,639426,542414,333468,2980183,4495491,654235,549393,344739,3075904,4624272,665091,560694,347383,3095949,4669117,673883,572612,365991,3170216,4782703,663692,588860,355416,3208203,4816170,717913,607345,367287,3297055,4989601,750108,666291,400968,3214437,5031805,802782,807660,435971,3356627,5403038
1,7．貯蓄(8-9+10+11+12+13+14+15)-(1+2+3+4+5+6) Saving (8-9+10+11+12+13+14+15)-(1+2+3+4+5+6),621148,254787,133914,-584343,425507,662915,300851,133172,-545658,551280,1071680,421936,62886,-508032,1048470,1311965,493585,174815,-468630,1511736,1736800,546792,192825,-471471,2004947,1701729,519440,180140,-458734,1942576,1521837,511620,139681,-478786,1694351,1830640,532095,158539,-528819,1992456,1656019,556610,157188,-526119,1843698,-380488,-924413,-473075,-1116524,-2894501,-752856,466899,105836,-1426199,-1606320
0,支払 Uses,5393253,2704320,1209657,3074362,12381593,5534913,2747524,1207182,3239046,12728665,5880334,2836419,1233871,3331097,13281721,6236825,3000390,1279385,3447966,13964566,6957990,3161437,1333852,3582609,15035888,6896812,3182421,1330183,3676706,15086123,6824937,3222493,1349372,3752220,15149022,7133686,3312601,1350138,3744723,15541147,7318818,3465853,1394586,3810444,15989701,7420368,4530682,1913163,3938370,17802583,9413505,4063658,1651095,3924018,19052276
1,8．生産・輸入品に課される税 Taxes on production and imports， receivable,2480938,83725,372311,0,2936974,2438852,81859,360678,0,2881389,2467643,90307,366538,0,2924488,2555547,87930,372064,0,3015540,3240452,86947,372893,0,3700292,3203134,85262,377250,0,3665646,3221328,80575,379986,0,3681889,3329577,81789,383642,0,3795008,3370837,82472,389412,0,3842721,3575340,76597,394893,0,4046831,3906251,83916,393096,0,4383263
1,9．（控除）補助金 (less) Subsidies， payable,168335,23620,14821,0,206777,131490,21876,14691,0,168057,139708,21215,14414,0,175337,230383,21605,14540,0,266527,145506,22860,15801,0,184167,157441,21785,14828,0,194054,157814,17710,14916,0,190440,147604,17710,14869,0,180183,174020,20922,14659,0,209601,521859,18801,31233,0,571893,557386,15792,30211,0,603389
1,10．財産所得 Property income， receivable,101928,19591,595,23525,145639,99568,18288,583,28127,146567,174560,17946,257,55384,248146,359868,18724,485,40312,419389,281365,38620,547,35443,355975,229463,20472,1084,6422,257440,99251,22403,697,5077,127427,100984,25535,921,4563,132002,99602,22931,816,3802,127151,97644,32401,754,3792,134591,94355,23426,612,3786,122179
1,11．所得・富等に課される経常税 Current taxes on income， wealth， etc.， receivable,2131833,822676,331158,0,3285666,2262588,840386,341872,0,3444846,2501231,857987,346081,0,3705299,2656985,903467,359654,0,3920106,2790682,922122,360930,0,4073734,2889276,956982,356957,0,4203214,2893567,975076,359151,0,4227795,3098400,1006884,364226,0,4469510,3258388,1046154,370281,0,4674823,2860014,1067994,362582,0,4290590,3259903,1073472,360343,0,4693718
1,12．純社会負担 Net social contributions， receivable,148489,62364,19493,1075660,1306005,144575,63429,17158,1145749,1370912,129336,56147,16480,1177692,1379654,121182,53121,14633,1253165,1442100,114731,46717,13477,1270602,1445527,107824,51164,11962,1299522,1470472,92969,42450,10992,1335327,1481738,95684,47140,11852,1365592,1520269,91025,48613,11412,1419099,1570150,87295,47701,10073,1425143,1570213,91360,44112,10154,1446140,1591765
2,（1）雇主の現実社会負担 Employers' actual social contributions,0,0,0,239160,239160,0,0,0,242181,242181,0,0,0,246272,246272,0,0,0,267973,267973,0,0,0,266946,266946,0,0,0,273848,273848,0,0,0,287088,287088,0,0,0,293198,293198,0,0,0,314504,314504,0,0,0,324279,324279,0,0,0,330543,330543
2,（2）雇主の帰属社会負担 Employers' imputed social contributions,148489,62364,19493,381,230727,144575,63429,17158,390,225552,129336,56147,16480,238,202200,121182,53121,14633,277,189211,114731,46717,13477,198,175123,107824,51164,11962,115,171065,92969,42450,10992,110,146521,95684,47140,11852,240,154917,91025,48613,11412,370,151421,87295,47701,10073,413,145483,91360,44112,10154,311,145937
2,（3）家計の現実社会負担 Households' actual social contributions,0,0,0,836118,836118,0,0,0,903179,903179,0,0,0,931183,931183,0,0,0,984916,984916,0,0,0,1003458,1003458,0,0,0,1025558,1025558,0,0,0,1048129,1048129,0,0,0,1072154,1072154,0,0,0,1104224,1104224,0,0,0,1100452,1100452,0,0,0,1115286,1115286
1,13．都内の他の一般政府（地方政府等）からの経常移転 Current transfers from other sub-sectors of local government and local social security funds in Tokyo， receivable,65665,1181068,213896,587170,2047800,66208,1217330,219020,618143,2120701,63866,1272628,229001,625545,2191040,65974,1358486,246467,642870,2313797,66615,1473799,291335,678330,2510080,67173,1437527,281128,674689,2460517,67836,1470731,296780,661894,2497240,69276,1537065,287621,667395,2561358,66879,1578171,293538,681142,2619729,56809,1596056,338604,761108,2752576,64173,1730396,348566,687878,2831013
2,（1）都からのもの From Tokyo Metropolitan Government,―,1173277,212305,259959,1645541,―,1210616,216802,295087,1722505,―,1264794,226212,296973,1787978,―,1350403,243642,304701,1898746,―,1466576,288943,313157,2068676,―,1428430,278088,321464,2027982,―,1460113,293463,326827,2080403,―,1522156,282080,334108,2138343,―,1569631,290468,343832,2203932,―,1587058,335751,425255,2348064,―,1718680,344437,355468,2418585
2,（2）特別区・市町村からのもの From Wards， Cities， towns and villages,65665,―,―,327211,392877,66208,―,―,323056,389264,63866,―,―,328572,392438,65974,―,―,338168,404143,66615,―,―,365173,431788,67173,―,―,353225,420397,67836,―,―,335066,402902,69276,―,―,333287,402564,66362,―,―,337310,403673,56692,―,―,335853,392545,63848,―,―,332410,396258
2,（3）地方社会保障基金からのもの From local social security funds,0,7791,1591,―,9382,0,6714,2218,―,8933,0,7834,2790,―,10624,0,8082,2825,―,10908,0,7223,2393,―,9616,0,9097,3040,―,12138,0,10618,3316,―,13934,0,14909,5541,―,20451,517,8539,3069,―,12125,117,8997,2853,―,11967,325,11716,4129,―,16169
1,14．都外の一般政府からの経常移転 Current transfers from general government outside of Tokyo， receivable,619824,555747,285623,1388000,2849194,641396,544941,280942,1447021,2914300,670340,558927,288116,1472471,2989854,696216,596344,298810,1511612,3102982,599302,612434,308833,1598229,3118798,547277,649339,315076,1696071,3207764,598298,645971,315262,1749919,3309450,578454,628242,314924,1707167,3228788,598328,705222,341788,1706396,3351733,1258860,1725008,835186,1748319,5567373,2548629,1119833,566352,1786207,6021020
2,（1）中央政府、全国社会保障基金からのもの From central government and central social security funds,616107,555747,285623,1388000,2845477,636934,544941,280942,1447021,2909838,665852,558927,288116,1472471,2985366,692714,596344,298810,1511612,3099480,596951,612434,308833,1598229,3116446,545244,649339,315076,1696071,3205730,594593,645971,315262,1749919,3305745,575449,628242,314924,1707167,3225782,594286,705222,341788,1706396,3347692,1258713,1725008,835186,1748319,5567226,2547962,1119833,566352,1786207,6020353
2,（2）他の地方政府からのもの From local government and local social security funds,3716,0,0,0,3716,4462,0,0,0,4462,4488,0,0,0,4488,3502,0,0,0,3502,2351,0,0,0,2351,2034,0,0,0,2034,3705,0,0,0,3705,3006,0,0,0,3006,4042,0,0,0,4042,147,0,0,0,147,667,0,0,0,667
1,15．その他の経常移転 Other current transfers， receivable,12912,2770,1403,7,17092,13216,3167,1619,6,18008,13066,3692,1813,6,18577,11436,3924,1813,7,17180,10349,3659,1637,6,15651,10107,3459,1554,3,15124,9502,2997,1421,4,13924,8914,3655,1821,6,14395,7780,3212,1997,5,12995,6265,3726,2304,8,12302,6221,4295,2184,7,12707
2,うち非生命保険金 Of which non-life insurance claims,77,48,20,7,152,74,46,19,6,146,72,45,22,6,145,69,44,18,7,138,68,42,17,6,134,65,41,17,3,126,70,44,19,4,137,74,47,19,6,146,77,49,19,5,150,81,52,20,8,161,76,50,19,7,152
0,受取 Resources,5393253,2704320,1209657,3074362,12381593,5534913,2747524,1207182,3239046,12728665,5880334,2836419,1233871,3331097,13281721,6236825,3000390,1279385,3447966,13964566,6957990,3161437,1333852,3582609,15035888,6896812,3182421,1330183,3676706,15086123,6824937,3222493,1349372,3752220,15149022,7133686,3312601,1350138,3744723,15541147,7318818,3465853,1394586,3810444,15989701,7420368,4530682,1913163,3938370,17802583,9413505,4063658,1651095,3924018,19052276
,（参考）支払利子（FISIM調整前） (cf) Interest， payable (FISIM unadjusted),160727,13701,40469,2188,217085,155307,11821,38182,2011,207322,149928,10337,32780,1927,194972,135401,8798,30631,1878,176708,121061,7636,28566,1888,159152,106399,6217,23723,2503,138842,94839,5305,21484,2277,123905,86480,4593,18491,3477,113040,76561,4145,15377,2677,98760,66884,3480,8769,1911,81043,60079,3247,7402,2010,72737
,（参考）受取利子（FISIM調整前） (cf) Interest， receivable (FISIM unadjusted),16112,9736,1579,23441,50868,14286,8678,1632,28045,52641,89503,8446,1549,55245,154743,273440,9317,1799,40190,324746,193253,28931,1683,35334,259202,140417,10922,2140,6386,159865,8826,12578,1620,5034,28057,9687,15457,1675,4528,31348,8022,12783,1737,3775,26316,7553,22603,1777,3253,35186,6771,13865,1849,3279,25764
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
５　付表  ５　Supporting Tables  (単位: 100万円　Millions of Yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(5)　一般政府（地方政府等）の部門別所得支出勘定 (5)　Income and Outlay Accounts classified by the Sub-sectors of Local Government and Local Social Security Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note:“Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
