階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
3,b.投資信託投資者に帰属する投資所得（受取） Investment income attributable to investment funds share holders， receivable,0,113318,215911,146802,121920,130260,147431,165091,168747,95780,92981
1,9．純社会負担 Net social contributions， receivable,2201638,2193892,2195506,2272732,2247015,2255347,2249722,2285936,2338324,2379128,2365537
2,（1）雇主の現実社会負担 Employers' actual social contributions,2318326,2283338,2156114,2080969,2058104,1939982,1936106,1931173,2059728,2125414,2199286
2,（2）雇主の帰属社会負担 Employers' imputed social contributions,-971850,-937870,-801166,-628799,-607058,-474871,-476838,-449197,-536651,-573798,-665081
2,（3）家計の現実社会負担 Households' actual social contributions,112055,108305,107467,93086,66170,52830,52761,59108,63655,73693,73841
2,（4）家計の追加社会負担 Households' contributions supplements,800888,801586,802946,805915,807673,810077,815161,820921,829310,836547,842793
2,（5）（控除）年金制度の手数料 (less) Service charges on pension scheme,57781,61468,69856,78440,77874,72671,77467,76069,77718,82729,85302
1,10．その他の経常移転（受取） Other current transfers， receivable,908716,804574,777772,694266,696714,814221,725536,732645,764342,1323238,1408732
2,うち非生命純保険料（受取） Of which net non-life insurance premiums， receivable,571920,530356,537567,508239,504896,625002,509627,544375,565610,610554,754151
2,非生命保険金（受取） non-life insurance claims， receivable,190848,146493,113651,69358,74231,65701,65959,58480,71897,89673,79398
0,受取 Resources,18460752,18663916,19796547,21273802,22714169,21389717,22448412,23441216,24143707,22871357,26241764
,（参考）支払利子（FISIM調整前） (cf) Interest， payable (FISIM unadjusted),7826527,7002891,6826192,7380126,8163999,7241359,7832642,8617262,10647516,9189961,11035060
,（参考）受取利子（FISIM調整前） (cf) Interest， receivable (FISIM unadjusted),15254989,14809688,14960457,15989902,16769163,15444919,15857423,16967686,17772261,15704948,17457147
,,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,,
２　制度部門別所得支出勘定  ２　Income and Outlay Accounts classified by Institutional Sectors (単位: 100万円　Millions of Yen),,,,,,,,,,,,
(2)　金融機関  (2) Financial Corporations,,,,,,,,,,,,
 Note: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,,
