階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
2,（3）家計（個人企業を含む） Households (including private unincorporated enterprises),-9254788,-9684605,-10648042,-11349291,-12004397,-12589312,-13350777,-14000314,-14245593,-11620097,-14039555
2,（4）対家計民間非営利団体 Private non-profit institutions serving households,864401,1015966,984195,1062427,1146146,1238736,1230215,1188813,1178321,1454196,1393102
1,8．都民可処分所得（6＋7）Prefectural disposable income (6+7),64980562,65799803,68935546,69079103,72540577,71746151,72184405,73473586,70719295,69178894,73910505
2,（1）非金融法人企業及び金融機関 Non-financial corporations and financial corporations,19546843,19752144,22437848,21562248,23465594,22450256,22675346,22852466,21334330,21450864,25098992
2,（2）一般政府（地方政府等） Local government and local social security funds,7081864,7280282,7936124,8469709,9172802,9138320,9051331,9378658,9560626,4956366,6758600
2,（3）家計（個人企業を含む） Households (including private unincorporated enterprises),37446753,37714252,37540019,37947773,38720105,38880955,39184288,40007864,38604756,41276353,40612126
2,（4）対家計民間非営利団体 Private non-profit institutions serving households,905102,1053124,1021555,1099373,1182076,1276619,1273440,1234599,1219582,1495310,1440787
,都民総所得（市場価格） Gross prefectural income (at market prices),92572028,94093004,99242444,100847255,105118844,105068847,107447716,109598507,107806555,100950435,109826883
,,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,,
３　主要系列表  ３　Main Time Series(単位: 100万円　Millions of Yen),,,,,,,,,,,,
(4)　都民所得・都民可処分所得の分配（名目） (4) Distribution of Prefectural Income and Prefectural Disposable Income     (at current prices),,,,,,,,,,,,
注）「地方政府等」は、地方政府と地方社会保障基金である。,,,,,,,,,,,,
Note: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,,
