階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011)／現物社会移転以外の社会給付 Social benefits other than social transfers,2011年度(Fiscal Year 2011)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2011年度(Fiscal Year 2011)／合計 Total,2012年度(Fiscal Year 2012)／現物社会移転以外の社会給付 Social benefits other than social transfers,2012年度(Fiscal Year 2012)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2012年度(Fiscal Year 2012)／合計 Total,2013度(Fiscal Year 2013)／現物社会移転以外の社会給付 Social benefits other than social transfers,2013度(Fiscal Year 2013)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2013度(Fiscal Year 2013)／合計 Total,2014年度(Fiscal Year 2014)／現物社会移転以外の社会給付 Social benefits other than social transfers,2014年度(Fiscal Year 2014)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2014年度(Fiscal Year 2014)／合計 Total,2015年度(Fiscal Year 2015)／現物社会移転以外の社会給付 Social benefits other than social transfers,2015年度(Fiscal Year 2015)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2015年度(Fiscal Year 2015)／合計 Total,2016年度(Fiscal Year 2016)／現物社会移転以外の社会給付 Social benefits other than social transfers,2016年度(Fiscal Year 2016)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2016年度(Fiscal Year 2016)／合計 Total,2017年度(Fiscal Year 2017)／現物社会移転以外の社会給付 Social benefits other than social transfers,2017年度(Fiscal Year 2017)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2017年度(Fiscal Year 2017)／合計 Total,2018年度(Fiscal Year 2018)／現物社会移転以外の社会給付 Social benefits other than social transfers,2018年度(Fiscal Year 2018)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2018年度(Fiscal Year 2018)／合計 Total,2019年度(Fiscal Year 2019)／現物社会移転以外の社会給付 Social benefits other than social transfers,2019年度(Fiscal Year 2019)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2019年度(Fiscal Year 2019)／合計 Total,2020年度(Fiscal Year 2020)／現物社会移転以外の社会給付 Social benefits other than social transfers,2020年度(Fiscal Year 2020)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2020年度(Fiscal Year 2020)／合計 Total,2021年度(Fiscal Year 2021)／現物社会移転以外の社会給付 Social benefits other than social transfers,2021年度(Fiscal Year 2021)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2021年度(Fiscal Year 2021)／合計 Total
2,（2）国民健康保険 National health insurance,9892,860601,870493,9833,872696,882529,9723,883809,893532,9494,886272,895766,8974,899182,908156,8482,872441,880923,7579,844334,851913,7085,819230,826315,6680,811646,818326,6022,772624,778646,5994,822884,828877
2,（3）後期高齢者医療 Latter-stage elderly health care,―,1001896,1001896,―,1047068,1047068,―,1091653,1091653,―,1118360,1118360,―,1177315,1177315,―,1204872,1204872,―,1260735,1260735,―,1294376,1294376,―,1353729,1353729,―,1299888,1299888,―,1363145,1363145
2,（4）共済組合 Mutual benefit association,847476,134527,982003,855821,136078,991900,849331,137457,986788,818708,139070,957777,829808,143110,972918,824564,140392,964957,814873,142303,957176,817968,142640,960608,819185,145878,965063,813229,140100,953329,816948,150763,967712
3,ａ．国家公務員共済組合 Mutual aid associations of national public service personnel,438761,60082,498843,442163,61168,503330,434693,61850,496543,412696,62178,474874,418593,64988,483582,417219,64216,481435,411716,65818,477534,410956,66008,476964,410224,67972,478196,408900,65139,474039,413410,71405,484815
3,ｂ．地方公務員共済組合 Mutual aid associations of local public service personnel ,286023,43129,329152,290536,43110,333646,288240,42966,331206,276919,43084,320003,282213,44245,326458,283896,43483,327379,281673,44036,325709,286066,44442,330508,288171,45446,333617,284914,43868,328782,281101,45861,326962
3,ｃ．その他 Others,122692,31315,154007,123123,31801,154923,126399,32641,159040,129092,33808,162900,129002,33877,162878,123449,32693,156142,121484,32449,153932,120946,32190,153136,120790,32460,153250,119415,31093,150508,122437,33498,155935
2,（5）組合管掌健康保険 Corporate health insurance societies,58401,573825,632226,59518,586199,645718,59771,594676,654446,61089,612399,673487,62091,634783,696873,63025,638655,701680,64655,657302,721958,65623,667017,732640,67831,669819,737650,62719,645550,708269,61700,701442,763142
2,（6）全国健康保険協会 Japan health insurance association,42044,423903,465947,42133,439369,481502,44089,459589,503678,46634,485750,532384,49298,531888,581186,53076,563836,616912,56631,613076,669707,61841,653367,715208,74100,745860,819960,82613,732192,814805,89975,826585,916559
2,（7）児童手当及び子ども手当 Children allowances,171096,―,171096,170786,―,170786,203205,―,203205,204821,―,204821,205601,―,205601,205625,―,205625,205627,―,205627,205256,―,205256,204125,―,204125,202984,―,202984,199967,―,199967
2,（8）基金 Funds,4648,605,5252,4250,758,5009,4026,741,4767,4031,687,4718,4218,769,4987,4139,763,4902,4087,811,4898,4033,724,4757,4040,717,4757,3947,687,4633,3622,524,4145
2,（9）介護保険 Long-term care insurance,3501,655231,658733,3662,704379,708042,3674,742157,745831,3648,780941,784589,3678,800415,804093,3459,808355,811815,3364,832780,836145,3164,860415,863579,3107,893443,896550,2835,914816,917650,2762,942031,944792
1,2．その他の社会保険非年金給付 Other social insurance non-pension benefits,317737,―,317737,321734,―,321734,299757,―,299757,282764,―,282764,272656,―,272656,263727,―,263727,238069,―,238069,245714,―,245714,261080,―,261080,250928,―,250928,298173,―,298173
1,3．社会扶助給付 Social assistance benefits,934923,390065,1324988,937884,408731,1346615,916346,422221,1338567,971695,430837,1402532,1035199,446406,1481605,1113684,439863,1553547,1163911,448768,1612679,1188601,441440,1630041,1279398,444497,1723895,1403679,426309,1829988,1687180,458193,2145373
0,合計 Total,7792971,4060552,11853523,7890032,4216654,12106685,7943878,4353846,12297724,7918564,4476842,12395405,8101622,4656022,12757644,8217023,4691627,12908650,8300089,4823434,13123523,8379476,4904600,13284075,8485377,5091001,13576378,8646766,4955856,13602622,8997102,5289949,14287051
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
５　付表  ５　Supporting Tables (単位: 100万円　Millions of Yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(6)　一般政府から家計への移転の明細表(社会保障関係) (6) Transfers from General Government to Households (Social Security Transfers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
