"実数・増加率","年次・四半期・月次コード","年次・四半期・月次","西暦（年）","月","調査世帯数(世帯）","世帯人員（人）","有業人員（人）","世帯主平均年齢（歳）","実収入（円）","実収入／経常収入（円）","実収入／経常収入／勤め先収入（円）","実収入／経常収入／勤め先収入／世帯主の配偶者の収入（円）","実収入／経常収入／勤め先収入／他の世帯員収入（円）","実収入／経常収入／事業・内職収入（円）","実収入／経常収入／他の経常収入（円）","実収入／経常収入／他の経常収入／社会保障給付（円）","実収入／特別収入（円）","可処分所得（円）","消費支出（円）","消費支出／食料（円）","消費支出／住居（円）","消費支出／光熱・水道（円）","消費支出／家具・家事用品（円）","消費支出／被服及び履物（円）","消費支出／保健医療（円）","消費支出／交通・通信（円）","消費支出／教育（円）","消費支出／教養娯楽（円）","消費支出／その他の消費支出（円）"
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年 4月","2023","4",-,-,-,-,-7.7,-8.7,9.9,59.1,-24.8,-40.2,-9.2,-8.5,37.9,-7.4,-5.4,7.3,47.2,-6.8,-6.3,11.5,14.1,-42.4,-34.4,-0.8,-19.9
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年 5月","2023","5",-,-,-,-,32.7,46.0,70.2,61.7,76.6,33.2,18.3,5.9,-33.8,101.1,-20.8,4.7,-65.4,-1.0,-8.1,-8.8,-31.7,-45.4,-95.1,-15.6,-11.1
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年 6月","2023","6",-,-,-,-,-14.3,2.1,15.9,-14.2,40.5,-28.9,1.8,-1.3,-90.3,-20.6,9.4,3.9,10.0,-7.7,-21.4,11.0,21.4,32.1,-74.0,16.4,18.1
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年 7月","2023","7",-,-,-,-,24.2,20.8,35.2,27.5,40.5,-12.9,0.5,-48.1,75.3,-2.5,6.6,9.5,-10.1,3.6,14.0,40.7,-13.0,20.1,...,-29.2,33.8
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年 8月","2023","8",-,-,-,-,2.8,1.7,72.6,39.5,101.6,-26.2,-2.1,-2.6,87.5,5.6,14.7,9.9,111.6,-12.9,46.2,3.4,-37.7,22.9,248.3,36.7,8.8
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年 9月","2023","9",-,-,-,-,26.9,19.3,46.5,16.9,74.6,-22.5,-11.6,-28.0,204.8,28.3,3.0,8.6,-74.5,-2.9,-14.4,-20.1,-14.2,38.4,-29.0,16.1,26.5
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年10月","2023","10",-,-,-,-,3.1,2.6,26.7,27.7,25.8,-2.4,0.7,1.7,36.7,1.6,2.6,6.7,62.9,-0.9,-30.4,0.4,7.3,-32.6,213.5,7.6,7.8
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年11月","2023","11",-,-,-,-,-43.5,-14.9,-11.8,-46.8,68.5,-10.6,-21.6,67.3,-88.0,-50.4,-6.2,11.1,-68.9,8.9,-29.0,13.5,19.0,-14.4,287.2,5.9,18.5
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年12月","2023","12",-,-,-,-,0.3,1.6,14.8,-14.5,67.1,-19.1,0.6,5.4,-48.4,0.4,10.3,12.7,34.3,-14.5,43.2,44.4,35.6,13.9,96.1,13.7,-11.5
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 6年 1月","2024","1",-,-,-,-,-18.3,-24.9,-18.5,-35.0,5.2,-0.9,-50.0,-49.8,19.9,-27.2,11.3,8.6,-35.2,-22.0,61.0,30.6,43.0,-4.9,-81.3,16.4,48.0
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 6年 2月","2024","2",-,-,-,-,2.8,1.9,-8.5,-48.5,29.5,-6.0,3.2,3.4,63.1,3.5,13.6,17.0,3.8,-21.6,22.0,28.8,38.3,7.2,73.9,5.3,46.5
"jissitu","nen","対前年（同期・同月）実質増加率_令和 2年平均","2020","",-,-,-,-,16.8,7.7,2.4,-11.4,8.4,112.5,5.1,5.0,353.9,19.0,-2.0,3.6,20.0,11.5,0.3,-32.1,14.3,1.1,-14.9,-21.1,-
"jissitu","nen","対前年（同期・同月）実質増加率_令和 3年平均","2021","",-,-,-,-,-9.5,-2.0,24.2,33.9,20.8,-46.4,-2.6,-2.8,-75.8,-12.2,-3.7,-3.5,-0.5,-8.0,-3.6,6.9,-7.9,-15.5,38.8,-2.9,-
"jissitu","nen","対前年（同期・同月）実質増加率_令和 4年平均","2022","",-,-,-,-,2.4,-2.2,-17.3,41.0,-40.1,19.3,-0.5,-2.1,170.3,6.4,1.8,-4.1,-1.6,-5.8,-8.3,-11.0,1.2,40.7,-73.0,9.9,-
"jissitu","nen","対前年（同期・同月）実質増加率_令和 5年平均","2023","",-,-,-,-,-5.8,-1.9,28.2,21.0,34.8,-15.6,-5.7,-5.4,-55.1,-7.1,-3.7,-0.7,-13.7,10.6,-12.3,5.3,-4.6,-14.5,88.8,1.6,-
"jissitu","sihan","対前年（同期・同月）実質増加率_令和 4年10～12月","2022","10～12",-,-,-,-,4.4,-0.3,9.0,222.4,-47.1,-3.4,-1.4,-5.8,322.3,5.4,-0.4,-4.4,8.9,-3.2,3.2,-2.7,19.4,23.5,-51.9,-8.4,-
"jissitu","sihan","対前年（同期・同月）実質増加率_令和 5年 1～ 3月","2023","01～03",-,-,-,-,-0.5,0.6,51.6,153.0,1.3,-1.6,-7.7,-7.9,-14.5,1.4,-7.7,-4.3,-0.7,10.1,-21.1,6.0,-4.8,-20.5,260.9,15.7,-
"jissitu","sihan","対前年（同期・同月）実質増加率_令和 5年 4～ 6月","2023","04～06",-,-,-,-,-13.1,-4.9,22.1,18.5,24.8,-22.2,-6.9,-8.4,-77.2,-16.5,-10.1,-2.6,-22.6,-0.1,-20.2,0.1,-3.7,-31.0,-55.8,-4.1,-
"jissitu","sihan","対前年（同期・同月）実質増加率_令和 5年 7～ 9月","2023","07～09",-,-,-,-,3.7,1.6,44.2,22.6,61.8,-23.8,-5.9,-7.4,99.8,3.0,4.3,0.8,1.4,11.7,7.3,0.5,-25.3,23.6,681.6,-3.7,-
"jissitu","sihan","対前年（同期・同月）実質増加率_令和 5年10～12月","2023","10～12",-,-,-,-,-6.2,-2.2,6.5,-19.0,47.2,-13.8,-3.2,0.6,-67.7,-7.3,-1.0,2.6,-23.5,14.4,-17.0,12.4,18.1,-17.4,200.7,0.6,-
"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年 2月","2023","2",-,-,-,-,-6.4,-5.9,47.1,93.6,19.8,60.1,-10.2,-10.7,-35.0,-6.3,-13.2,-3.8,-8.4,14.3,-18.5,9.4,7.7,-41.1,-,49.7,-
"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年 3月","2023","3",-,-,-,-,19.9,54.9,115.8,243.9,42.0,-23.1,36.6,58.7,-34.1,29.3,-5.8,-4.9,-39.5,13.4,-33.0,-10.9,-11.2,-6.5,-88.3,12.0,-
"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年 4月","2023","4",-,-,-,-,-11.5,-12.5,5.4,52.5,-27.9,-42.7,-12.9,-12.3,32.2,-11.2,-9.3,-0.9,44.6,-4.9,-14.9,6.7,12.1,-44.3,-35.3,-3.8,-
"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年 5月","2023","5",-,-,-,-,27.6,40.4,63.7,55.5,69.8,28.1,13.8,1.8,-36.3,93.4,-23.8,-3.1,-65.9,6.8,-15.7,-13.1,-33.2,-47.3,-95.2,-18.7,-
"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年 6月","2023","6",-,-,-,-,-17.5,-1.7,11.5,-17.4,35.2,-31.6,-2.0,-5.0,-90.7,-23.6,5.3,-3.8,8.6,-1.7,-26.6,5.5,18.4,27.8,-74.5,12.5,-
"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年 7月","2023","7",-,-,-,-,19.5,16.3,30.1,22.7,35.2,-16.2,-3.3,-50.0,68.7,-6.2,2.6,0.8,-11.4,16.1,5.8,33.9,-15.0,16.5,-,-32.6,-
"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年 8月","2023","8",-,-,-,-,-0.8,-1.8,66.6,34.7,94.6,-28.8,-5.5,-6.0,81.0,1.9,10.7,1.6,108.5,2.5,37.1,-2.2,-39.4,18.6,241.5,29.2,-
"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年 9月","2023","9",-,-,-,-,22.6,15.3,41.5,12.9,68.7,-25.1,-14.6,-30.4,194.5,24.0,-0.5,-0.2,-74.9,17.8,-19.0,-23.8,-16.4,33.5,-30.4,10.2,-
"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年10月","2023","10",-,-,-,-,-0.9,-1.3,21.8,22.8,21.0,-6.2,-3.2,-2.2,31.4,-2.3,-1.3,-1.8,61.0,14.3,-34.7,-3.8,5.0,-35.2,207.4,0.3,-
"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年11月","2023","11",-,-,-,-,-45.3,-17.6,-14.6,-48.5,63.1,-13.5,-24.1,62.0,-88.4,-52.0,-9.2,3.8,-69.3,28.6,-32.0,9.5,16.3,-17.5,279.6,-2.7,-
"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年12月","2023","12",-,-,-,-,-2.5,-1.3,11.6,-16.9,62.4,-21.4,-2.2,2.4,-49.9,-2.4,7.2,5.8,32.7,3.3,35.6,39.1,32.4,10.5,92.3,4.4,-
"jissitu","tuki","対前年（同期・同月）実質増加率_令和 6年 1月","2024","1",-,-,-,-,-20.1,-26.5,-20.3,-36.4,2.9,-3.0,-51.1,-50.9,17.3,-28.8,8.9,3.0,-36.0,-4.4,53.0,27.2,39.9,-7.5,-81.7,7.7,-
"jissitu","tuki","対前年（同期・同月）実質増加率_令和 6年 2月","2024","2",-,-,-,-,-0.3,-1.2,-11.3,-50.0,25.6,-8.8,0.1,0.3,58.2,0.4,10.2,11.7,2.7,-15.3,17.0,25.0,35.7,4.4,70.8,-3.3,-
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"東京都生計分析調査　令和 6年 2月","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"主　　要　　指　　標　　　３　　―　無職世帯　―","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
