,品名,総数量,防災備蓄倉庫,小・中学校等,備考
生活必需品,トイレットベーパー[個],36048,27900,8148,
生活必需品,生理用品[枚],57824,11200,46624,
生活必需品,肌着（紳士用）[組],3000,3000,,"上１・下２・靴下１（各種サイズ有）
真空パック包装"
生活必需品,肌着（婦人用）[組],4000,4000,,
生活必需品,肌着（男児用）[組],1500,1500,,
生活必需品,肌着（女児用）[組],1500,1500,,
生活必需品,肌着（新生児用）[着],1000,1000,,サイズ５０～６０、サイズ８０　各々５００着
生活必需品,安全キャンドル[個],130,130,,
生活必需品,固型燃料[組],1000,1000,,燃焼器具付
生活必需品,タオル[枚],1000,200,800,
生活必需品,さらし[反],600,600,,
生活必需品,ビニール袋（黒）[枚],6000,3900,2100,旧ごみ袋
生活必需品,タオルケット[枚],1200,1200,,
生活必需品,ビニールござ[枚],500,30,470,
生活必需品,カットタオル[本],55,55,,１本２ｍ巻
生活必需品,手指消毒剤[本],1512,,1512,１箱１２本（１本１Ｌ）
救護・要配慮者用品,救護用品セット[個],54,5,42,区施設等７個
救護・要配慮者用品,担架[台],112,28,84,
救護・要配慮者用品,袋付き簡易担架[枚],670,150,520,遺体収容兼用
救護・要配慮者用品,簡易ベッド[台],160,76,84,
救護・要配慮者用品,車椅子[台],157,31,126,アルミ製ノーパンク式
救護・要配慮者用品,杖[本],225,15,210,アルミ製伸縮式
救護・要配慮者用品,障害者用物資保管ケース[個],45,3,42,
救護・要配慮者用品,とろみ調整食品[箱],900,60,840,
救護・要配慮者用品,入れ歯洗浄剤[箱],90,6,84,
救護・要配慮者用品,口内用洗浄剤[箱],200,32,168,
救護・要配慮者用品,使い捨てスプーン[本],9000,600,8400,１セット１００本入
救護・要配慮者用品,拡大ルーペ[本],225,225,,
救護・要配慮者用品,ストーマ装具（人工肛門）[枚],670,250,420,各校分は障害者用物資保管ケース内に保管
救護・要配慮者用品,ストーマ装具（人工膀胱）[枚],470,50,420,各校分は障害者用物資保管ケース内に保管
救護・要配慮者用品,おしりふき[個],1280,1280,,
救護・要配慮者用品,吸入器[台],28,28,,
救護・要配慮者用品,補聴器[台],70,70,,
救護・要配慮者用品,抗ウイルス性マスク[枚],8820,,8820,
飲料水対策用品,飲料水用ろ過機[台],80,15,39,区施設等２６台
飲料水対策用品,可搬型Ｃ級ポンプ[台],2,1,1,
飲料水対策用品,可搬型Ｄ級ポンプ[台],1,,1,
飲料水対策用品,車載式給水架台セット[台],2,2,,折り畳み式、１ｔ用
飲料水対策用品,給水タンク（３５０L）[台],10,10,,
飲料水対策用品,給水タンク（０．５ｔ）[台],3,3,,
飲料水対策用品,給水タンク（１ｔ）[台],6,6,,
飲料水対策用品,給水タンク（１ｔ折り畳み）[台],52,10,42,
飲料水対策用品,飲料水袋[枚],17000,1000,16000,防災備蓄倉庫４Ｌ用、小・中学校１０Ｌ用
飲料水対策用品,飲料水袋（コック付き）[枚],14000,13200,800,１０Ｌ用
飲料水対策用品,給水容器[枚],4000,4000,,１０Ｌ用
飲料水対策用品,ポリタンク[個],291,207,84,２０Ｌ用
飲料水対策用品,自動給水パック[台],1,,,文花公園に1台設置（Ｓ６３購入）、発電機有
飲料水対策用品,応急給水資器材及び消火資器材[台],30,,30,水道局貸与品
排便用品,排便収納袋（スケットイレ）[枚],153000,88500,64500,１箱１００枚入
排便用品,排便収納袋（おはなつみ）※[枚],68000,54350,,旧鐘淵中学校　１３，６５０枚
排便用品,災害用簡易トイレセット[組],64,62,2,排便収納袋専用便座＋テント
排便用品,移動式トイレ（S型）[台],170,84,86,和式
排便用品,移動式トイレ（W型）[台],45,3,42,洋式
排便用品,移動式トイレ（H型）[台],45,3,42,洋式（車椅子対応型）
排便用品,移動式トイレ（小便器）[台],90,6,84,男性用
排便用品,マンホール対応型トイレ（和式）[組],100,5,95,
排便用品,マンホール対応型トイレ（洋式）[組],141,5,136,排便収納袋兼用
排便用品,マンホール対応型トイレ（車椅子対応型）[組],68,4,64,蓋開け工具１本入り
排便用品,自動ラップ式トイレセット[組],44,2,42,消耗品５５０回分付、手すり・個室付
電力関係・炊飯器材,発電機　　（４００W)[台],69,4,65,
電力関係・炊飯器材,発電機　　（５５０W)[台],118,15,103,
電力関係・炊飯器材,発電機　　（８００W)[台],5,5,,
電力関係・炊飯器材,発電機　　（９００W)[台],102,18,84,防災備蓄倉庫分は炊飯器に付属
電力関係・炊飯器材,発電機（１，２００W)[台],19,19,,
電力関係・炊飯器材,発電機（１，５００W)[台],45,3,42,
電力関係・炊飯器材,発電機（２，８００W)[台],3,3,,
電力関係・炊飯器材,発電機（４，５００W)[台],2,1,1,
電力関係・炊飯器材,災害時特設公衆電話[台],205,,205,ＮＴＴ所有
電力関係・炊飯器材,投光機[台],243,75,168,
電力関係・炊飯器材,投光機（ハロゲン）[台],100,16,84,３００Ｗ×２灯スタンド付
電力関係・炊飯器材,バルーン投光機[台],4,4,,
電力関係・炊飯器材,フォグジェッター[台],4,4,,
電力関係・炊飯器材,遠赤外線暖房機[台],4,4,,
電力関係・炊飯器材,LEDライト[個],30,30,,
電力関係・炊飯器材,LEDパイプライト[本],10,10,,
電力関係・炊飯器材,コードリール[巻],327,200,127,学校には各１台づつ屋外用有
電力関係・炊飯器材,トランシーバー[台],20,20,,
電力関係・炊飯器材,ハンド型メガホン[台],10,10,,
電力関係・炊飯器材,ハンズフリー拡声器[台],10,10,,
電力関係・炊飯器材,ヘッドライト[台],84,,84,乾電池付
電力関係・炊飯器材,電池式ＬＥＤランタン[個],756,,756,乾電池付
電力関係・炊飯器材,燃料タンク[缶],212,127,85,１０Ｌ用
電力関係・炊飯器材,炊飯器[台],18,18,,旧型６台は廃棄済み
電力関係・炊飯器材,組立式煮炊きレンジ[台],112,27,85,鍋・バーナー・燃料タンク（３ヶ口）
運搬車等,リアカー[台],5,5,,
運搬車等,リアカー（折り畳み式）[台],57,15,42,アルミ製
運搬車等,アルミ二輪台車[台],45,3,42,
運搬車等,台車[台],47,5,42,
運搬車等,ゴムボート[隻],12,12,,
その他,救命胴衣[着],24,24,,ボート用
その他,軍手[双],4200,,4200,滑り止め付
その他,石油ストーブ[台],290,66,224,２２４台は平成２１年３月購入
その他,大型扇風機[台],84,,84,工場扇
その他,防災伝言シート[箱],2,2,,
その他,折りたたみ自転車[台],5,5,,
その他,折りたたみ式テント[張],168,,168,更衣室・授乳室用
その他,テント（３．６×７．２ｍ）[張],6,6,,
その他,テント（２．７×３．６ｍ）[張],10,10,,
その他,テント（３．６×５．４ｍ）[張],45,3,42,
その他,テント（５．４×５．４ｍ）[張],2,2,,
その他,救出救助工具一式[組],53,11,42,４２組は平成２１年３月購入
