"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","路上や空き地にごみが散乱している[人]","公園のトイレ等に落書きがされている[人]","自転車・バイクが放置されている[人]","若者が集団でたむろしている[人]","見知らぬ人に声をかけられる[人]","違法に貼られたビラ・広告が多い[人]","客引きがいる[人]","暴力団事務所が近くにある[人]","地域の住民の連帯感が薄い[人]","近所付き合いがほとんどない[人]","その他[人]","特にない[人]"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","居住地区別","芝浦港南地区","164","31","21","37","26","9","16","29","10","46","44","5","40"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","居住地区別","無回答","4","0","0","2","0","0","1","0","0","0","0","0","1"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","住居形態別","持家（一戸建）","95","19","17","33","9","2","7","10","5","19","15","7","20"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","住居形態別","持家（マンション）","302","63","43","73","32","14","30","39","18","82","80","22","67"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","住居形態別","借家（一戸建）","7","0","0","0","0","1","1","1","2","3","1","0","3"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","住居形態別","民間の賃貸マンション・アパート","171","30","19","30","26","14","13","26","12","39","55","8","44"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","住居形態別","都営住宅・区営住宅・区立住宅","28","2","5","3","4","1","4","1","1","5","5","1","10"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","18","4","4","10","4","1","5","4","2","7","6","0","1"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","住居形態別","社宅・公務員宿舎","20","4","1","6","4","0","1","2","1","2","6","2","7"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","住居形態別","寮・寄宿舎・住み込み・間借り","6","3","0","3","0","3","2","1","0","1","0","1","1"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","住居形態別","その他","5","2","0","1","1","0","0","1","0","0","0","0","2"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","住居形態別","無回答","6","0","0","2","0","0","2","1","1","1","2","0","0"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","定住意向別","ずっと住み続けていたい","366","66","48","98","38","17","42","41","19","94","85","22","89"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","定住意向別","当分は住んでいたい","224","42","32","46","33","14","17","38","18","45","58","16","55"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","42","14","7","9","8","2","4","5","4","16","18","2","5"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","2","2","0","1","0","0","0","0","0","0","1","0","0"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","定住意向別","近いうちに区外に転居する予定である","9","1","0","3","0","0","2","0","0","1","2","1","4"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","定住意向別","わからない","14","2","1","4","1","2","0","1","1","3","6","0","2"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","定住意向別","無回答","1","0","1","0","0","1","0","1","0","0","0","0","0"

"第32回港区民世論調査クロス集計表・生活安全Q24","Ver202003",,,,,,,,,,,,,,,,
