施設名称,所在地,緯度,経度,電話番号,URL
一般財団法人墨田まちづくり公社　,墨田区東向島二丁目36番10号,35.721369,139.817609,03-3616-5253,http://sumida-machi.or.jp/corporation/access/%e5%a2%a8%e7%94%b0%e3%81%be%e3%81%a1%e3%81%a5%e3%81%8f%e3%82%8a%e5%85%ac%e7%a4%be%e3%81%b8%e3%81%ae%e3%82%a2%e3%82%af%e3%82%bb%e3%82%b9/
一般財団法人墨田まちづくり公社京島事務所,墨田区京島二丁目15番5号,35.713242,139.821051,03-3617-2262,http://sumida-machi.or.jp/corporation/access/%e4%ba%ac%e5%b3%b6%e4%ba%8b%e5%8b%99%e6%89%80%e3%81%b8%e3%81%ae%e3%82%a2%e3%82%af%e3%82%bb%e3%82%b9/
一般財団法人墨田まちづくり公社鐘ヶ淵事務所,墨田区墨田三丁目40番3号,35.730741,139.822325,03-6657-5968,http://sumida-machi.or.jp/corporation/access/%e9%90%98%e3%83%b6%e6%b7%b5%e4%ba%8b%e5%8b%99%e6%89%80%e3%81%b8%e3%81%ae%e3%82%a2%e3%82%af%e3%82%bb%e3%82%b9/
社会福祉法人墨田区社会福祉事業団,墨田区向島三丁目36番7号,35.71338,139.810876,03-5608-3711,http://park18.wakwak.com/~ssfj-honbu
社会福祉法人墨田区社会福祉協議会,墨田区東向島二丁目17番14号,35.718436,139.815564,03-3614-3900,https://www.sumida-shakyo.or.jp/
一般社団法人墨田区観光協会,墨田区押上一丁目1番2号 東京スカイツリータウン・ソラマチ5階 まち処内,35.710434,139.812014,03-5608-6951,https://visit-sumida.jp/about
公益財団法人墨田区文化振興財団,墨田区錦糸一丁目2番3号,35.697304,139.810052,03-5608-1290,https://triphony.com/SAF/
ハローワーク墨田　,墨田区江東橋二丁目19番12号,35.696235,139.811413,03-5669-8609,https://jsite.mhlw.go.jp/tokyo-hellowork/list/sumida.html
向島労働基準監督署,墨田区東向島四丁目33番13号,35.725511,139.818772,03-5630-1031,https://jsite.mhlw.go.jp/tokyo-roudoukyoku/kantoku/list/k-map-11.html
独立行政法人高齢・障害・求職者雇用支援機構東京支部,墨田区江東橋二丁目19番12号,35.696235,139.811413,03-5638-2280,https://www.jeed.go.jp/location/shibu/tokyo/index.html
公益社団法人墨田区シルバー人材センター,墨田区文花一丁目32番1号101,35.708509,139.824936,03-3616-5048,https://webc.sjc.ne.jp/sumida/index
墨田区シルバー人材センター向島作業所,墨田区東向島一丁目17番11号,35.720828,139.815445,03-3614-6117,https://webc.sjc.ne.jp/sumida/index
墨田区シルバー人材センター緑作業所,墨田区緑四丁目35番6号,35.695825,139.807408,03-5600-2005,https://webc.sjc.ne.jp/sumida/index
公益社団法人墨田区勤労者福祉サービスセンター,墨田区押上二丁目12番7号215号室,35.712706,139.811982,03-3626-3723,https://friends-sumida.or.jp/
国際ファッションセンター株式会社,墨田区横網一丁目6番1号,35.698175,139.796902,03-5610-5800,https://www.kfc-fashion.jp/
一般財団法人ファッション産業人材育成機構,墨田区横網一丁目6番1号 KFCビル11階,35.698175,139.796902,03-5610-5700,https://www.ifi.or.jp/
東京都立皮革技術センター,墨田区東墨田三丁目3番14号,35.720127,139.83351,03-3616-1671,http://www.hikaku.metro.tokyo.jp/
東京都立産業技術研究センター墨田支所,墨田区横網一丁目6番1号 KFCビル12階,35.698175,139.796902,03-3624-3731,https://www.iri-tokyo.jp/site/access/sumida.html
東京都江東児童相談所,江東区枝川三丁目6番9号,35.658688,139.810647,03-3640-5432,https://www.fukushihoken.metro.tokyo.lg.jp/jicen/info/jisou_info/koutou.html
