 2-(4)入港船舶係留施設別表,,,,,,,,,,,,(単位：隻、総トン)
,合計,,,,外航船,,,,内航船,,,
10号西岸壁,68 ,"745,265 ",374 ,"4,110,997 ",-,-,-,-,68 ,"745,265 ",374 ,"4,110,997 "
10号東岸壁,25 ,"10,665 ",172 ,"76,010 ",-,-,-,-,25 ,"10,665 ",172 ,"76,010 "
東京港フェリーふ頭,30 ,"379,080 ",167 ,"2,110,212 ",-,-,-,-,30 ,"379,080 ",167 ,"2,110,212 "
多目的ふ頭,-,-,5 ,"10,489 ",-,-,-,-,-,-,5 ,"10,489 "
辰巳ふ頭,88 ,"30,250 ",467 ,"164,266 ",-,-,-,-,88 ,"30,250 ",467 ,"164,266 "
青海コンテナふ頭（公共）,107 ,"1,299,771 ",690 ,"8,231,942 ",71 ,"1,273,962 ",445 ,"8,014,619 ",36 ,"25,809 ",245 ,"217,323 "
有明ふ頭,7 ,"6,445 ",28 ,"24,030 ",-,-,-,-,7 ,"6,445 ",28 ,"24,030 "
大井水産物ふ頭,-,-,2 ,"8,524 ",-,-,-,-,-,-,2 ,"8,524 "
大井食品ふ頭（OL）,14 ,"77,525 ",115 ,"446,842 ",3 ,"75,249 ",19 ,"429,954 ",11 ,"2,276 ",96 ,"16,888 "
大井食品ふ頭（OM）,4 ,"35,984 ",26 ,"234,261 ",4 ,"35,984 ",26 ,"234,261 ",-,-,-,-
大井食品ふ頭（ON）,2 ,"28,060 ",6 ,"47,771 ",2 ,"28,060 ",3 ,"34,423 ",-,-,3 ,"13,348 "
若洲内貿ふ頭,13 ,"130,442 ",73 ,"732,482 ",-,-,-,-,13 ,"130,442 ",73 ,"732,482 "
15号地木材ふ頭,4 ,"28,699 ",8 ,"106,878 ",1 ,"28,157 ",4 ,"96,302 ",3 ,542 ,4 ,"10,576 "
若洲建材ふ頭,34 ,"19,304 ",208 ,"119,031 ",-,-,-,-,34 ,"19,304 ",208 ,"119,031 "
大井建材ふ頭,65 ,"37,028 ",382 ,"219,820 ",-,-,-,-,65 ,"37,028 ",382 ,"219,820 "
城南島建設発生土ふ頭,66 ,"41,285 ",453 ,"298,679 ",-,-,-,-,66 ,"41,285 ",453 ,"298,679 "
中央防波堤内側ばら物ふ頭,4 ,"58,072 ",26 ,"153,163 ",2 ,"56,574 ",8 ,"141,819 ",2 ,"1,498 ",18 ,"11,344 "
中央防波堤内側建設発生土ふ頭,12 ,"11,484 ",30 ,"30,759 ",-,-,-,-,12 ,"11,484 ",30 ,"30,759 "
中央防波堤内側内貿ふ頭,23 ,"243,624 ",122 ,"1,291,599 ",-,-,-,-,23 ,"243,624 ",122 ,"1,291,599 "
官公庁（晴海）,2 ,"5,186 ",8 ,"23,198 ",-,-,-,-,2 ,"5,186 ",8 ,"23,198 "
官公庁（月島）,5 ,995 ,21 ,"4,173 ",-,-,-,-,5 ,995 ,21 ,"4,173 "
官公庁（有明）,1 ,"2,497 ",6 ,"16,369 ",-,-,-,-,1 ,"2,497 ",6 ,"16,369 "
東京港埠頭㈱計,279 ,"7,194,246 ","1,939 ","46,122,978 ",182 ,"7,026,429 ","1,232 ","44,993,747 ",97 ,"167,817 ",707 ,"1,129,231 "
青海コンテナふ頭(埠頭㈱),30 ,"1,190,656 ",304 ,"8,846,679 ",23 ,"1,184,925 ",249 ,"8,782,638 ",7 ,"5,731 ",55 ,"64,041 "
お台場ライナーふ頭,22 ,"132,583 ",171 ,"1,000,302 ",8 ,"59,408 ",54 ,"556,726 ",14 ,"73,175 ",117 ,"443,576 "
大井コンテナふ頭,227 ,"5,871,007 ","1,464 ","36,275,997 ",151 ,"5,782,096 ",929 ,"35,654,383 ",76 ,"88,911 ",535 ,"621,614 "
民間計,496 ,"1,633,988 ","2,987 ","6,933,548 ",80 ,"1,226,607 ",273 ,"3,945,517 ",416 ,"407,381 ","2,714 ","2,988,031 "
,,,,,,,,,,,,
(注) 実績の無い係留施設は表示なし,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
