行,EPSGコード,経度,緯度,施設名,住所,電話番号,関連リンク
19,EPSG:6668,139.4453662,35.56770522,子ども創造キャンパスひなた村,東京都町田市本町田2863,042-722-5736,https://www.sozocampus-hinatamura.jp
20,EPSG:6668,139.276446,35.61227289,大地沢青少年センター,東京都町田市相原町5307－2,042-782-3800,https://kosodate-machida.tokyo.jp/soshiki/4/7/index.html
21,EPSG:6668,139.4667959,35.52364717,南市民センター,東京都町田市金森4-5-6,042-795-3165,http://www.city.machida.tokyo.jp/shisei/shiyakusyo/gyomu/shimin/minami.html
22,EPSG:6668,139.3689945,35.59714842,小山市民センター,東京都町田市小山町2507-1,042-798-1927,http://www.city.machida.tokyo.jp/shisei/shiyakusyo/gyomu/shimin/oyama.html
23,EPSG:6668,139.4161491,35.57833572,忠生市民センター,東京都町田市忠生3-14-2,042-791-2802,http://www.city.machida.tokyo.jp/shisei/shiyakusyo/gyomu/shimin/tadao.html
24,EPSG:6668,139.4367346,35.56859619,木曽山崎コミュニティセンター,東京都町田市山崎町2160-4,042-793-3030,http://www.city.machida.tokyo.jp/kurashi/touroku/shisetsu/com08.html
25,EPSG:6668,139.4728479,35.54352008,成瀬コミュニティセンター,東京都町田市西成瀬2-49-1,042-723-6763,http://www.city.machida.tokyo.jp/community/shimin/com/com10.html
26,EPSG:6668,139.4788655,35.58272153,和光大学ポプリホール鶴川,東京都町田市能ヶ谷1-2-1,042-737-0252,https://www.m-shimin-hall.jp/tsurukawa/
27,EPSG:6668,139.4385724,35.54674817,町田市役所,東京都町田市森野2-2-22,042-722-3111,http://www.city.machida.tokyo.jp/shisei/shiyakusyo/mainoffice/index.html
28,EPSG:6668,139.4386049,35.59192333,町田GIONスタジアム（町田市立陸上競技場）,東京都町田市野津田町2035,042-735-4511,https://www.city.machida.tokyo.jp/bunka/sport/sport/gion-stadium/sport06.html
29,EPSG:6668,139.4472272,35.54297064,町田市生涯学習センター,東京都町田市原町田6-8-1,042-728-0071,http://www.city.machida.tokyo.jp/bunka/bunka_geijutsu/cul/chuokominkan/cul07.html
30,EPSG:6668,139.4789897,35.53622756,町田市立総合体育館,東京都町田市南成瀬5-12,042-724-3440,https://www.city.machida.tokyo.jp/bunka/sport/sport/sport07.html
31,EPSG:6668,139.4470972,35.55668356,サン町田旭体育館,東京都町田市旭町3-20-60,042-720-0611,https://www.city.machida.tokyo.jp/bunka/sport/sport/sport08.html
32,EPSG:6668,139.4138148,35.58630764,市立室内プール,東京都町田市図師町199-1,042-792-7761,http://www.city.machida.tokyo.jp/bunka/sport/sport/sport04.html
33,EPSG:6668,139.4499538,35.54598961,健康福祉会館,東京都町田市原町田5-8-21,042-725-5471,http://www.city.machida.tokyo.jp/iryo/iryo/kenkoufukushi/kennkouhukusikaikan.html
34,EPSG:6668,139.4503274,35.54032636,中央図書館,東京都町田市原町田3-2-9,042-728-8220,https://www.library.city.machida.tokyo.jp/facilities/index.html
35,EPSG:6668,139.4515091,35.54252644,町田市民文学館ことばらんど,東京都町田市原町田4-16-17,042-739-3420,https://www.library.city.machida.tokyo.jp/facilities/land.html
36,EPSG:6668,139.4384157,35.55714028,町田市民病院,東京都町田市旭町2-15-41,042-722-2230,http://machida-city-hospital-tokyo.jp/
37,EPSG:6668,139.4415866,35.54984375,町田合同庁舎,東京都町田市森野2-28-14,,
38,EPSG:6668,139.3196646,35.60933497,町田市立相原中央公園,東京都町田市相原町2018,042-772-1449,http://www.city.machida.tokyo.jp/bunka/park/shisetu/aiharachuuoukouen.html
39,EPSG:6668,139.376952,35.59302269,小山保育園,東京都町田市小山町954,042-797-3042,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/1/2716.html
40,EPSG:6668,139.3680304,35.60704361,小山内裏公園,東京都町田市小山ヶ丘4-4,042-676-8865,https://www.tokyo-park.or.jp/park/format/index064.html
41,EPSG:6668,139.4497414,35.57809886,町田リス園,東京都町田市薬師台1-733-1,042-734-1001,http://www.city.machida.tokyo.jp/bunka/park/shisetu/park16.html
42,EPSG:6668,139.4166011,35.56914644,三沢こどもクリニック,東京都町田市木曽西2-18-10,042-792-8655,
43,EPSG:6668,139.4754992,35.54073358,あったかなるせ（町田わかくさ保育園内）,東京都町田市成瀬7-10-7,042-728-0288,http://m-wakakusa.net/attakanaruse/index.html
44,EPSG:6668,139.3807892,35.59122853,かえで保育園,東京都町田市小山町775,042-798-0511,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/1/2711.html
45,EPSG:6668,139.4257973,35.57924486,幼保連携型認定こども園　町田自然幼稚園,東京都町田市忠生2-7-5,042-791-0015,http://www.seiwagakuen.ed.jp/sizen/
46,EPSG:6668,139.4316809,35.56828283,認定こども園　正和幼稚園,東京都町田市山崎町2261-1,042-791-2746,http://www.seiwagakuen.ed.jp/seiwa/
47,EPSG:6668,139.4782692,35.58749856,ききょう保育園,東京都町田市鶴川1-16-7,042-735-2242,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2740.html
48,EPSG:6668,139.4249326,35.57739406,しぜんの国保育園,東京都町田市忠生2-5-3,042-793-4169,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2729.html
49,EPSG:6668,139.4818157,35.58755839,みどりの森保育園,東京都町田市能ヶ谷4-7-19,042-708-8161,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2741.html
50,EPSG:6668,139.4606067,35.589389,井の花保育園,東京都町田市大蔵町530-1,042-708-9541,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2739.html
51,EPSG:6668,139.4749992,35.51698656,南つくし野保育園,東京都町田市南つくし野2-17-1,042-788-5228,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2705.html
52,EPSG:6668,139.4152701,35.56687,ひかりの子保育園（コミュニティルーム　ノエル）,東京都町田市木曽西1-34-1,042-793-6836,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2721.html
53,EPSG:6668,139.4744019,35.51123544,レイモンド南町田保育園,東京都町田市鶴間8-4-30クレインドビル1階,042-706-9641,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2708.html
54,EPSG:6668,139.4241218,35.56666633,第二わかくさ保育園,東京都町田市木曽西5-1-1,042-794-4666,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2720.html
55,EPSG:6668,139.4654126,35.58796989,ぽっぽの森保育園（かのんカフェ）,東京都町田市大蔵町410,042-860-1515,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2747.html
56,EPSG:6668,139.3596335,35.60513925,町田サレジオ幼稚園,東京都町田市小山ヶ丘4丁目6-2,042-775-3120,http://www.machida-salesio.ed.jp/index.html
57,EPSG:6668,139.4723968,35.54832289,成瀬くりの家保育園,東京都町田市成瀬1-5-1,042-710-8177,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2702.html
58,EPSG:6668,139.4632931,35.59768992,花の木保育園,東京都町田市真光寺3-1-6,042-734-6113,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2736.html
59,EPSG:6668,139.4361068,35.57123936,カナリヤ保育園,東京都町田市山崎町2130,042-794-6590,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2722.html
60,EPSG:6668,139.4346376,35.56986036,たかね保育園,東京都町田市山崎町2160-4,042-791-2705,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2732.html
61,EPSG:6668,139.4325,35.55405919,もりの聖愛保育園,東京都町田市森野4-8-10,042-722-0352,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2686.html
62,EPSG:6668,139.4191634,35.57301633,アスク木曽西保育園,東京都町田市木曽西3-18-2,042-789-2320,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2719.html
63,EPSG:6668,139.443896,35.56964253,認定こども園　開進幼稚園,東京都町田市本町田3350-24,042-725-7851　,https://kosodate-machida.tokyo.jp/mokuteki/4/13/2400.html
64,EPSG:6668,139.4448633,35.57012839,開進こども保育園,東京都町田市本町田3350-38,042-711-6901,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2681.html
65,EPSG:6668,139.4545372,35.56812022,ゆうき山保育園,東京都町田市金井ヶ丘1-10-24,042-737-7607,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2749.html
66,EPSG:6668,139.4433518,35.55432622,住宅情報館（町田店）,東京都町田市旭町1-25-20,0037-61660-5100,https://www.jutakujohokan.co.jp/shop/tokyo/machida
67,EPSG:6668,139.3816645,35.59872631,トイザらス・ベビーザらス　町田多摩境店,東京都町田市小山ヶ丘1-7-2,042-798-2138,http://www2.toysrus.co.jp/store/storeinfo/store.php?id=4765
68,EPSG:6668,139.3779912,35.60077922,スーパースポーツゼビオ多摩境店,東京都町田市小山ヶ丘3-5-1,042-798-6286,http://www.supersports.co.jp/shop/supersports/354/
69,EPSG:6668,139.3749203,35.6014695,カインズホーム町田多摩境店,東京都町田市小山ヶ丘3-6-6,042-798-1555,https://map.cainz.com/map/289
70,EPSG:6668,139.3602021,35.60470181,スーパーアルプス多摩境店,東京都町田市小山ヶ丘4-5-2,042-700-0511,http://superalps.info/store/tamasakai
71,EPSG:6668,139.3653018,35.60237061,西松屋チェーン町田多摩境店,東京都町田市小山ヶ丘5-1-1,042-774-5541,https://www.24028.jp/tenpo/shoplist.php?cid=13&add=%E7%94%BA%E7%94%B0%E5%B8%82
72,EPSG:6668,139.3487601,35.60625489,ＭｒMax町田多摩境ショッピングセンター,東京都町田市小山ヶ丘6-1-10,042-775-2311,http://www.mrmax.co.jp/shop/list/machidatamasakai.php
73,EPSG:6668,139.3808414,35.59167761,トヨタ西東京カローラ町田小山店,東京都町田市小山町776-4,042-798-0033,http://www.nishitokyo-corolla.co.jp/store/machida_oyama
74,EPSG:6668,139.4106731,35.57633619,アメリア町田根岸ショッピングセンター,東京都町田市根岸2-18-1,042-794-3381,
75,EPSG:6668,139.4437797,35.55222553,トヨタモビリティ東京株式会社　町田中町店,東京都町田市中町2-14-15,042-723-1181,https://www.toyota-mobi-tokyo.co.jp/shop/36C?=p
76,EPSG:6668,139.4461013,35.54200658,ルミネ町田店,東京都町田市原町田6-1-11,0120-709-111,http://www.lumine.ne.jp/machida/info/
77,EPSG:6668,139.4460716,35.54295294,東急百貨店　町田東急ツインズ（EAST3階）,東京都町田市原町田6-4-1,042-728-2111,https://www.tokyu-dept.co.jp/twins/
78,EPSG:6668,139.4448588,35.54266631,町田マルイ,東京都町田市原町田6-1-6,042-728-0101,http://www.0101.co.jp/052/facility/?from=01_pc_st052_top_left-pickup
79,EPSG:6668,139.4452253,35.54335106,町田モディ,東京都町田市原町田6-2-6,042-812-2700,https://www.0101.co.jp/723/
80,EPSG:6668,139.4452953,35.54422158,小田急百貨店町田店,東京都町田市原町田6-12-20,042-727-1111,http://www.odakyu-dept.co.jp/machida/floorguide/index.html
81,EPSG:6668,139.5004549,35.57877061,島忠ホームズ町田三輪店,東京都町田市三輪町281-1,044-981-3061,http://www.shimachu.co.jp/shop/tokyo/318.html
82,EPSG:6668,139.4597705,35.58916633,西松屋チェーン町田大蔵店,東京都町田市大蔵557,042-735-6515,https://www.24028.jp/tenpo/shoplist.php?cid=13&add=%E7%94%BA%E7%94%B0%E5%B8%82
83,EPSG:6668,139.4723589,35.53596281,そうてつローゼン成瀬店,東京都町田市南成瀬1-3-5,042-728-4711,https://www.sotetsu.rosen.co.jp/shopdetail
84,EPSG:6668,139.4736831,35.51490444,西松屋チェーン南町田店,東京都町田市南町田5-1-7,042-799-6672,https://www.24028.jp/tenpo/shoplist.php?cid=13&add=%E7%94%BA%E7%94%B0%E5%B8%82
85,EPSG:6668,139.4776504,35.50912747,ケーユー本店,東京都町田市鶴間8-17-1,042-796-3131,http://www.keiyu.co.jp/shop/
86,EPSG:6668,139.4568184,35.58237856,社会福祉法人賛育会　第二清風園,東京都町田市薬師台3-270-1,042-736-6906,https://www.san-ikukai.or.jp/machida/seifu2/index.html
87,EPSG:6668,139.3748042,35.602702,スズキアリーナ　多摩境,東京都町田市小山ヶ丘2-2-9,042-794-8810,https://www.suzuki.co.jp/dealer/W0018134.sj-minamitokyo/
88,EPSG:6668,139.4693812,35.57965089,トヨタ西東京カローラ鶴川店,東京都町田市金井8-24-21,042-734-2111,https://www.nishitokyo-corolla.co.jp/store/tsurukawa
89,EPSG:6668,139.4625582,35.56374803,玉川学園コミュニティセンター,東京都町田市玉川学園2-19-12,042-732-9372,https://www.city.machida.tokyo.jp/kurashi/touroku/shisetsu/com07.html
90,EPSG:6668,139.4673706,35.58888656,鶴川市民センター（鶴川保健センター併設）,東京都町田市大蔵町1981-4,042-735-5704,https://www.city.machida.tokyo.jp/kurashi/touroku/shisetsu/02/index.html
