"対象","障害","種目","区分","対象者","内容","基準額[円]","耐用年数[年]"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","視覚障害","点字器","給付","視覚障害に係る障害があるもの","視覚障害者（児）が容易に使用できるもの","10400","7"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","視覚障害","点字図書（学齢児以上）","給付","視覚障害者（児）で主に情報の入手を点字によっているもの","月刊や週刊等で発行される雑誌を除く点字図書（対象者1人につき、年間6タイトルまたは24巻。ただし、辞書等一括して購入しなければならないものを除く。）","10000","－"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","視覚障害","大活字図書（学齢児以上）","給付","視覚障害者（児）で必要と認められるもの","月刊や週刊等で発行される雑誌を除く大活字図書（対象者1人につき、年間6タイトルまたは24巻。ただし、辞書等一括して購入しなければならないものを除く。）","60000","－"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","視覚障害","DAISY図書（学齢児以上）","給付","視覚障害者（児）で必要と認められるもの","月刊や週刊等で発行される雑誌を除くDAISY図書（対象者1人につき、年間6タイトルまたは24巻。ただし、辞書等一括して購入しなければならないものを除く。）","10000","－"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","聴覚障害（視覚障害との重複に限る）","点字ディスプレイ","給付","聴覚の重度重複障害者（児）（原則として視覚障害2級以上かつ聴覚障害2級）であって、必要と認められるもの","文字等のコンピュ－タ－の画面情報を点字等により示すことができるもの","383500","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","聴覚障害","屋内信号装置（18歳以上）","給付","聴覚障害に係る障害の程度が2級のもの（聴覚障害者のみの世帯およびこれに準ずる世帯で日常生活上必要と認められる世帯に限る。）","音、音声等を視覚、触覚等により知覚できるもの","87400","10"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","聴覚障害","フラッシュベル（学齢児以上）","給付","聴覚障害に係る障害の程度が3級以上のもの","聴覚障害者（児）が容易に使用し得るもの","28500","10"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","聴覚障害","携帯用信号装置（学齢児以上）","給付","聴覚障害に係る障害の程度が3級以上のもの","送信機による合図が、視覚、触覚等により知覚できるもの","20200","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","聴覚障害","会議用拡聴器（学齢児以上）","給付","聴覚障害に係る障害の程度が4級以上のもの","聴覚障害者（児）が容易に使用し得るもの","38200","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","聴覚障害","聴覚障害者支援具","給付","聴覚障害に係る障害があるもの","振動・光等を利用し、聴覚障害者（児）の日常の生活に利便をもたらすもの","100000","8"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","聴覚障害","聴覚障害者用情報受信装置","給付","聴覚障害者（児）で、必要と認められるもの","映像、字幕および手話通訳付き番組ならびに災害時の聴覚障害者向け緊急情報等を受信し、かつ、地上波放送に字幕および手話通訳を合成する機能を有するもの","88900","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","聴覚障害","聴覚障害者用通信装置（FAX含む。）（学齢児以上）","給付","聴覚または音声、言語機能に著しい障害を有する者（児）で、コミュニケ－ション、緊急連絡等の手段として必要と認められるもの","一般の電話に接続することができ、音声の代わりに、文字等により通信が可能な機器であり障害者（児）が容易に使用し得るもの","88900","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","平衡機能障害","移動・移乗支援用具（歩行支援用具）（３歳以上）","給付","平衡機能または下肢若しくは体幹に係る障害を有するもので、家庭内の移動等において介助を必要とするもの","転倒予防、立ち上がり動作補助、移乗動作の補助、段差解消等の性能を有する手すり、スロープ等であって、必要な強度と安定性を有するもの（ただし、設置に当たり住宅改修を伴うものを除く。）","60000","8"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","平衡機能障害","杖","給付","平衡機能または下肢若しくは体幹機能障害に係る障害のあるもの","Ｔ字状・棒状の杖。ただし、補装具および介護保険の給付対象の杖を除く。","5000","3"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","平衡機能障害","頭部保護帽","給付","平衡機能または下肢若しくは体幹機能障害に係る障害があり、転倒等により頭部を強打するおそれのあるもの","転倒の衝撃から頭部を保護できるもの（既製品は価格欄の80％の範囲内とする。）","①スポンジ、革を主材料に製作15200②スポンジ、革、プラスチック（頭部全体を保護するもの）を主材料に製作36750","3"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","音声言語機能またはそしゃく機能障害","パーソナルコンピューター（学齢児以上）","給付","音声、言語機能障害と、上肢の重複障害であって、その障害の程度が１級または2級のもの（文字を書くことが困難な者に限る。）","プロテクター等を付帯することができ、容易に操作できるもので、文章作成上必要な機能およびソフトに限る。","100000","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","音声言語機能またはそしゃく機能障害","フラッシュベル（学齢児以上）","給付","音声、言語機能障害に係る障害の程度が3級以上のもの","障害者（児）が容易に使用し得るもの","28500","10"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","音声言語機能またはそしゃく機能障害","携帯用信号装置（学齢児以上）","給付","音声、言語機能障害に係る障害の程度が3級以上のもの","送信機による合図が、視覚、触覚等により知覚できるもの","20200","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","音声言語機能またはそしゃく機能障害","ガス安全システム（１８歳以上）","給付","喉頭摘出等により臭覚機能を喪失したもの（喉頭摘出等により臭覚機能を喪失した者のみの世帯およびこれに準ずる世帯に限る。）","警報器から遮断信号、ガスの異常使用、地震時等にガスを自動的に遮断できるもの","42200","8"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","音声言語機能またはそしゃく機能障害","携帯用会話補助装置（学齢児以上）","給付","音声言語機能障害者（児）で、必要と認められるもの","携帯式でことばを音声または文章に変換する機能を有し、障害者（児）が容易に使用し得るもの","285000","5"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","音声言語機能またはそしゃく機能障害","人工喉頭","給付","音声機能障害に係る障害の程度が3級以上のもの","顎下部等に当てた電動版を駆動させ、構音化するもので、容易に操作ができるもの","70100","5"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","音声言語機能またはそしゃく機能障害","人工鼻","給付","喉頭を摘出した音声機能・言語機能障害者 （児）","常時埋込型人工喉頭の一部として使用することで発声を可能とするものまたは鼻の代用として呼吸機能を有するもの","月に23100","－"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","音声言語機能またはそしゃく機能障害","聴覚障害者用通信装置（FAX含む。）（学齢児以上）","給付","音声、言語機能に著しい障害を有する者（児）で、コミュニケーション、緊急連絡等の手段として必要と認められるもの","一般の電話に接続することができ、音声の代わりに、文字等により通信が可能な機器であり障害者（児）が容易に使用し得るもの","88900","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","上肢障害","パーソナルコンピューター（学齢児以上）","給付","上肢障害に係る障害の程度が1級または2級のもの（文字を書くことが困難な者に限る。）","プロテクター等を付帯することができ、容易に操作できるもので、文章作成上必要な機能およびソフトに限る。","100000","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","上肢障害","食事用自助具（3歳以上）","給付","上肢障害に係る障害の程度が1級または2級のもの","障害者（児）が容易に使用し得る食べやすいスプーン・フォーク・食器、すべり止めマット（食卓用）。ただし、食事が全介助の者（児）を除く。","20000","3"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","上肢障害","調理用自助具（１８歳以上）","給付","上肢障害に係る障害の程度が1級または2級のもの","障害者が容易に使用し得る調理用具（まな板、皮むき器等）","20000","3"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","上肢障害","電磁調理器（１８歳以上）","給付","上肢障害に係る障害の程度が1級または2級のもの（障害者のみの世帯およびこれに準ずる世帯に限る。）","障害者が容易に使用し得るもの","41000","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","上肢障害","特殊便器（学齢児以上）","給付","上肢に係る障害の程度が1級または2級のもの","足踏ペタルで温水温風を出し得るものおよび知的障害者（児）を介護している者が容易に使用し得るもので温水温風を出し得るもの（ただし、取り替えに当たり住宅改修を伴うものを除く。）","151200","8"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","上肢障害","情報・通信支援用具（学齢児以上）","給付","上肢に係る障害があるもの","パソコンを操作する際に必要とする画面音声化ソフトや障害に適した入力装置（パソコンおよびパソコン周辺機器）","100000","5"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","ガス安全システム（１８歳以上）","給付","下肢または体幹に係る障害の程度が1級のもの（障害者のみの世帯およびこれに準ずる世帯に限る。）","警報器から遮断信号、ガスの異常使用、地震時等にガスを自動的に遮断できるもの","42200","8"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","移動用リフト（3歳以上）","給付","下肢または体幹に係る障害の程度が1級または2級のもの","障害者（児）を移動させるに当たって、介護者が容易に使用し得るもの（ただし、天井走行型その他住宅改造を伴うものを除く。）","300700","4"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","訓練いす（3歳以上）","給付","下肢または体幹に係る障害の程度が1級または2級の障害児","原則として付属のテーブルをつけるものとする。","33100","5"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","体位変換器（学齢児以上）","給付","下肢または体幹に係る障害の程度が1級または2級のもの（下着交換等に当たって、家族等他人の介護を必要とする者に限る。）","介護者が、障害者（児）の体位を変換させるのに容易に使用し得るもの","15000","5"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","電磁調理器（１８歳以上）","給付","下肢または体幹に係る障害の程度が1級のもの（障害者のみの世帯およびこれに準ずる世帯に限る。）","障害者が容易に使用し得るもの","41000","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","特殊マット（3歳以上１８歳未満）","給付","下肢または体幹に係る障害の程度が1級または2級の障害児","じょくそう防止または失禁による汚染若しくは損耗を防止するため、マット（寝具）にビニール等を加工したもの","88000","5"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","特殊マット（１８歳以上）","給付","下肢または体幹に係る障害の程度が1級のもの（常時介護を要する者に限る。）","じょくそう防止または失禁による汚染若しくは損耗を防止するため、マット（寝具）にビニール等を加工したもの","88000","5"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","特殊寝台（3歳以上）","給付","下肢または体幹に係る障害の程度が1級または2級のもの","腕、脚等の訓練のできる器具を附帯し、原則として使用者の頭部および脚部の傾斜角度を個別に調整できる機能を有するもの","190000","8"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","特殊尿器（学齢児以上）","給付","下肢または体幹に係る障害の程度が1級のもの（常時介護を要する者に限る。）","尿が自動的に吸引されるもので、障害者（児）または介護者が容易に使用し得るもの","154500","5"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","入浴担架（3歳以上）","給付","下肢または体幹に係る障害の程度が1級または2級のもの（入浴に当たって、家族等他人の介助を要する者に限る。）","障害者（児）を担架に乗せたままリフト装置により入浴させるもの","①洋式82400②和式133900","5"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","便器（学齢児以上）","給付","下肢、または体幹に係る障害の程度が1級または2級のもの","腰かけ式のもの（ただし、取り替えに当たり住宅改修を伴うものを除く。）","51500","8"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","浴槽（湯沸器含む）（学齢児以上）","給付","下肢または体幹に係る障害の程度が１級または２級のもの","浴槽は、実用水量150リットル以上のもの。湯沸器は、水温25℃上昇させたとき毎分10リットル以上給湯でき、安全性について配慮され、浴槽の性能に応じたもの","①浴槽（湯沸器含む）141200②浴槽のみ60800③湯沸器のみ104900","8"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","エアーパッド","給付","下肢・体幹に係る障害があり、寝返りができない等、自力では除圧動作ができないもので、じょくそうがあるか、既往があるもの","電動ポンプ等を利用し、じょくそうの予防の機能があるもの","101850","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","移動・移乗支援用具（歩行支援用具）（3歳以上）","給付","平衡機能または下肢若しくは体幹に係る障害を有するもので、家庭内の移動等において介助を必要とするもの","転倒予防、立ち上がり動作補助、移乗動作の補助、段差解消等の性能を有する手すり、スロープ等であって、必要な強度と安定性を有するもの（ただし、設置に当たり住宅改修を伴うものを除く。）","60000","8"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","訓練用ベッド（学齢前）","給付","身体障害者手帳の交付を受けた児童で、下肢または体幹に係る障害であって、必要と認められる児童","障害児の療育に適した機能を持つもの","162800","－"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","頭部保護帽","給付","平衡機能または下肢若しくは体幹機能障害に係る障害があり、転倒等により頭部を強打するおそれのあるもの","転倒の衝撃から頭部を保護できるもの（既製品は価格欄の80％の範囲内とする。）","①スポンジ、革を主材料に製作15200②スポンジ、革、プラスチック（頭部全体を保護するもの）を主材料に製作36750","3"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","杖","給付","平衡機能または下肢若しくは体幹機能障害に係る障害のあるもの","Ｔ字状・棒状の杖。補装具および介護保険の給付対象の杖を除く。","5000","3"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","入浴補助用具（3歳以上）","給付","下肢または体幹に係る障害者（児）で、入浴に介助を必要とするもの","入浴時の移動、座位の保持、浴槽への入水等を補助でき、障害者（児）または介護者が容易に使用し得るもの（ただし、設置に当たり住宅改修を伴うものを除く。）","90000","8"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","下肢または体幹","訓練・姿勢保持用具（学齢前）","給付","身体障害者手帳の交付を受けた障害児","障害児の姿勢保持やバランス運動に適した機能を持つもの（ダンブルフォーム等）","50000","10"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","肢体不自由で頚髄損傷等","ルームクーラー（１８歳以上）","給付","頚髄損傷等により体温調節機能を喪失したもの（医師により、体温調節機能を喪失したものと認められた者に限る。）","障害者が容易に使用し得るもの（世帯に1台）","172100","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","肢体不自由で頚髄損傷等","環境制御装置（学齢児以上）","給付","頚椎損傷等両上肢および両下肢または体幹機能が全廃状態であるもの","呼気や、指先のわずかな動作等で機器の制御が行えるシステム","500000","10"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","肢体不自由で音声言語障害","携帯用会話補助装置（学齢児以上）","給付","肢体不自由者（児）で音声言語の著しい障害を有するもの","携帯式でことばを音声または文章に変換する機能を有し、障害者（児）が容易に使用し得るもの","285000","5"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","肢体不自由","生活用品自助具（3歳以上）","給付","肢体不自由者（児）に係る障害が有る者（児）","障害者（児）が容易に使用でき、ボタン付けや靴下装着など、日常生活の自立に寄与する用具","20000","3"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","脳原性運動機能障害","紙おむつ・さらし等","給付","脳原性運動機能障害により排尿排便の意思表示が困難なもの","紙おむつ等の用具を必要とするもの（区の紙おむつ給付とは併用不可）","月に19900","－"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","呼吸器機能障害","空気清浄器（１８歳以上）","給付","呼吸器機能障害に係る障害の程度が3級以上のもの","障害者が容易に使用し得るもの","33800","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","呼吸器機能障害","酸素ボンベ運搬車（１８歳以上）","給付","呼吸器機能障害に係る障害の程度が原則として3級以上のもの（医療保険その他の制度による在宅酸素療法を受けている者に限る。）","障害者が容易に使用し得るもの","17000","10"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","呼吸器機能障害または同程度","ネブライザー （吸入器）（学齢児以上）","給付","呼吸器機能に係る障害の程度が3級以上であるものまたは同程度の身体障害者（児）で必要と認められるもの","障害者（児）が容易に使用し得るもの（電気式たん吸引器の機能を兼ね備えた装置の場合は、基準額を合算する。）","36000","5"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","呼吸器機能障害または同程度","電気式たん吸引器（学齢児以上）","給付","呼吸器機能に係る障害の程度が3級以上であるもの、または同程度の身体障害者（児）で必要と認められるもの","障害者（児）が容易に使用得るもの（ネブライザーの機能を兼ね備えた装置の場合は、基準額を合算する。）","56400","5"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","呼吸器機能障害または同程度","動脈血中酸素飽和度測定器 （パルスオキシメーター）","給付","呼吸器機能障害に係る障害の程度が3級以上のもの、または同程度の身体障害者（児）で必要と認められるもの","呼吸状態を継続的にモニタリングすることが可能な機能を有し、障害者（児）が容易に使用し得るもの","157500","5"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","じん臓機能障害","透析液加温器（3歳以上）","給付","人工透析を必要とするもの（自己連続携行式腹膜潅流法による透析療法を行う者に限る。）","自己連続携行式腹膜潅流療法による人工透析に使用する加温器で、一定温度に保つもの","72100","5"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","ぼうこうまたは直腸機能障害","ストーマ装具","給付","ストーマを造設したもの","ストーマ1個所の造設に対し、ストーマ装具を支給する","泌尿器系月に11300消化器系月に8600","－"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","ぼうこうまたは直腸機能障害","紙おむつ・さらし等（おおむね3歳以上）","給付","治療によって軽快の見込みのないストーマ周辺の皮膚のびらん、ストーマの変形等のため、ストーマを装着できないもの","紙おむつ等の用具を必要とするもの（区の紙おむつ給付とは併用不可）","月に8600","－"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","高度の排尿機能障害、 排便機能障害","紙おむつ・さらし等（おおむね3歳以上）","給付","乳児期に発見した脳病変により、排尿排便の意思表示が困難な者","紙おむつ等の用具を必要とするもの（区の紙おむつ給付とは併用不可）","月に19900","－"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","高度の排尿機能障害、 排便機能障害","紙おむつ・さらし等（おおむね3歳以上）","給付","先天性鎖肛に対する肛門形成術に起因する高度の排便機能障害のあるもの","紙おむつ等の用具を必要とするもの（区の紙おむつ給付とは併用不可）","月に19900","－"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","その他常時失禁状態","収尿器","給付","脊椎損傷等により、常時失禁状態にあるもの","収尿器と蓄尿袋で構成され、尿の逆流装置のついたもの若しくはそれと同等の機能を持つデポジット式のもの","8600","－"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","その他　身体障害者手帳１、２級","火災警報器","給付","障害の程度が1級または2級のもの（火災発生の感知および避難が著しく困難な障害者のみの世帯およびこれに準ずる世帯に限る。）","室内の火災を煙または熱により感知し、音または、光を発し、屋外にも警報ブザーで知らせ得るもの（特殊法人日本消防検定協会の検定ラベルまたは鑑定ラベルの貼付けがなされているもの（基準の範囲内において、強い光や振動等で火災の危険を知らせる専用の受信機の併給、または複数個の給付が可能））","42525","8"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","その他　身体障害者手帳１、２級","自動消火器","給付","その障害の程度が1級または2級のもの（火災発生の感知および避難が著しく困難な障害者のみの世帯およびこれに準ずる世帯に限る。）","室内温度の異常上昇または炎の接触で自動的に消火液を噴射し初期火災を消火しうるもの（財団法人日本消防設備安全センターに設置されている消火設備等認定委員会の認定ラベルの貼付けがなされているもの）","28700","8"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","内部障害","電磁波防護服","給付","内部障害、ペースメーカー等、電磁波の影響を受ける埋込型機器を使用している者（児）","電磁波を遮断・軽減する機能を持ち、埋込型機器を電磁波から守る衣服","20000","2"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","知的障害","火災警報器","給付","障害の程度が最重度または重度のもの（火災発生の感知および避難が著しく困難な障害者のみの世帯およびこれに準ずる世帯に限る。）","室内の火災を煙または熱により感知し、音または、光を発し屋外にも警報ブザーで知らせ得るもの（特殊法人日本消防検定協会の検定ラベルまたは鑑定ラベルの貼付けがなされているもの（基準の範囲内において、強い光や振動等で火災の危険を知らせる専用の受信機の併給、または複数個の給付が可能））","42525","8"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","知的障害","自動消火器","給付","障害の程度が最重度または重度のもの（火災発生の感知および避難が著しく困難な障害者のみの世帯およびこれに準ずる世帯に限る。）","室内温度の異常上昇または炎の接触で、自動的に消火液を噴射し初期火災を消火しうるもの（財団法人日本消防設備安全センターに設置されている消火設備等認定委員会の認定ラベルの貼付けがなされているもの）","28700","8"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","知的障害","電磁調理器（１８歳以上）","給付","障害の程度が最重度または重度のもの","障害者が容易に使用し得るもの","41000","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","知的障害","知的障害者支援具","給付","主治医・教育機関・専門家（心理士、言語聴覚士）から必要性について証明された者（児）","知的障害者が容易に使用し得るコミュニケーション機器等（絵カード作成用ソフトや残り時間がわかりやすいタイマー、聴こえる耳栓やイヤーマフ（聴覚過敏のある人用）など","25000","2"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","知的障害","特殊マット（3歳以上）","給付","障害の程度が最重度または重度のもの","じょくそう防止または失禁による汚染若しくは損耗を防止するためマット（寝具）にビニール等を加工したもの","88000","5"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","知的障害","特殊便器（学齢児以上）","給付","障害の程度が最重度または重度の自ら排便の処理が困難なもの","足踏ペタルで温水温風を出し得るものおよび知的障害者（児）を介護している者が容易に使用し得るもので温水温風を出し得るもの。（ただし、取り替えに当たり住宅改修を伴うものを除く。）","151200","8"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","知的障害","訓練用ベッド（学齢前）","給付","原則として身体障害者手帳の交付を受けた児童で、下肢または体幹に係る障害があるか、知的障害のため同程度の必要がある児童","障害児の療育に適した機能を持つもの","162800","－"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","知的障害","頭部保護帽","給付","精神障害者または知的障害者（児）で、てんかんの発作等により頻繁に転倒するもの","転倒の衝撃から頭部を保護できるもの（既製品は価格欄の80％の範囲内とする。）","①スポンジ、革を主材料に製作15200②スポンジ、革、プラスチック （頭部全体を保護するもの）を主材料に製作  36750","3"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","精神障害","火災警報器","給付","障害の程度が1級のもの（火災発生の感知および避難が著しく困難な障害者のみの世帯およびこれに準ずる世帯に限る。）","室内の火災を煙または熱により感知し、音または、光を発し屋外にも警報ブザーで知らせ得るもの（特殊法人日本消防検定協会の検定ラベルまたは鑑定ラベルの貼付けがなされているもの（基準の範囲内において、強い光や振動等で火災の危険を知らせる専用の受信機の併給、または複数個の給付が可能））","42525","8"
