罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,野方,上鷺宮駐在所,131148,東京都,中野区,上鷺宮４丁目,2018-05-16,20,道路上,男性,40歳代,あり
窃盗,ひったくり,杉並,堀ノ内交番,131156,東京都,杉並区,堀ノ内３丁目,2018-02-21,19,道路上,女性,40歳代,あり
窃盗,ひったくり,杉並,阿佐谷駅前交番,131156,東京都,杉並区,阿佐谷南１丁目,2018-09-28,23,道路上,女性,50歳代,なし
窃盗,ひったくり,杉並,成宗交番,131156,東京都,杉並区,成田東５丁目,2018-09-16,03,道路上,男性,70歳以上,あり
窃盗,ひったくり,高井戸,西荻南交番,131156,東京都,杉並区,松庵２丁目,2018-08-16,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,高井戸,久我山四丁目駐在所,131156,東京都,杉並区,久我山４丁目,2018-05-17,19,道路上,女性,50歳代,なし
窃盗,ひったくり,高井戸,浜田山交番,131156,東京都,杉並区,高井戸東３丁目,2018-02-23,19,道路上,男性,60-64歳,あり
窃盗,ひったくり,高井戸,浜田山交番,131156,東京都,杉並区,浜田山４丁目,2018-07-15,17,道路上,女性,50歳代,あり
窃盗,ひったくり,荻窪,善福寺交番,131156,東京都,杉並区,善福寺４丁目,2018-04-18,18,道路上,女性,65-69歳,あり
窃盗,ひったくり,荻窪,西荻窪交番,131156,東京都,杉並区,西荻北５丁目,2018-04-18,18,道路上,女性,30歳代,なし
窃盗,ひったくり,荻窪,荻窪駅北口交番,131156,東京都,杉並区,天沼３丁目,2018-05-12,20,道路上,女性,50歳代,あり
窃盗,ひったくり,荻窪,下井草駅前交番,131156,東京都,杉並区,下井草２丁目,2018-03-08,14,その他,男性,20歳代,あり
窃盗,ひったくり,巣鴨,庚申塚交番,131164,東京都,豊島区,巣鴨５丁目,2018-08-13,09,道路上,女性,65-69歳,なし
窃盗,ひったくり,巣鴨,巣鴨新田交番,131164,東京都,豊島区,上池袋１丁目,2018-01-20,05,道路上,女性,20歳代,あり
窃盗,ひったくり,巣鴨,サンシャイン前交番,131164,東京都,豊島区,東池袋３丁目,2018-02-06,20,その他,女性,20歳代,なし
窃盗,ひったくり,池袋,池袋駅東口交番,131164,東京都,豊島区,南池袋１丁目,2018-04-19,18,その他,女性,10歳代,あり
窃盗,ひったくり,池袋,池袋駅西口交番,131164,東京都,豊島区,西池袋１丁目,2018-12-25,00,その他,女性,20歳代,あり
窃盗,ひったくり,目白,目白駅前交番,131164,東京都,豊島区,西池袋２丁目,2018-07-02,19,道路上,女性,50歳代,あり
窃盗,ひったくり,目白,目白駅前交番,131164,東京都,豊島区,目白３丁目,2018-08-06,10,道路上,男性,20歳代,あり
窃盗,ひったくり,滝野川,滝野川一丁目交番,131172,東京都,北区,西ケ原４丁目,2018-12-16,19,道路上,女性,20歳代,あり
窃盗,ひったくり,滝野川,谷戸駐在所,131172,東京都,北区,西ケ原３丁目,2018-08-13,09,道路上,女性,70歳以上,あり
窃盗,ひったくり,滝野川,東田端交番,131172,東京都,北区,田端新町２丁目,2018-09-29,01,道路上,女性,50歳代,あり
窃盗,ひったくり,滝野川,東田端交番,131172,東京都,北区,東田端２丁目,2018-09-07,21,道路上,女性,20歳代,あり
窃盗,ひったくり,王子,王子駅前交番,131172,東京都,北区,王子１丁目,2018-01-19,21,道路上,女性,40歳代,あり
窃盗,ひったくり,王子,王子駅前交番,131172,東京都,北区,王子１丁目,2018-01-30,12,その他,女性,30歳代,あり
窃盗,ひったくり,王子,東十条交番,131172,東京都,北区,王子５丁目,2018-07-07,14,道路上,女性,70歳以上,あり
窃盗,ひったくり,王子,東十条交番,131172,東京都,北区,王子６丁目,2018-02-27,12,その他,女性,70歳以上,あり
窃盗,ひったくり,王子,東十条交番,131172,東京都,北区,東十条３丁目,2018-08-20,22,道路上,男性,70歳以上,あり
窃盗,ひったくり,赤羽,志茂四丁目交番,131172,東京都,北区,志茂１丁目,2018-06-22,05,道路上,女性,65-69歳,あり
窃盗,ひったくり,赤羽,赤羽駅前交番,131172,東京都,北区,赤羽１丁目,2018-07-03,03,道路上,女性,40歳代,あり
窃盗,ひったくり,赤羽,赤羽駅前交番,131172,東京都,北区,赤羽１丁目,2018-10-23,00,その他,男性,30歳代,あり
窃盗,ひったくり,赤羽,赤羽駅前交番,131172,東京都,北区,赤羽南２丁目,2018-07-30,12,道路上,女性,60-64歳,あり
窃盗,ひったくり,赤羽,宮堀交番,131172,東京都,北区,神谷２丁目,2018-10-22,03,道路上,女性,20歳代,あり
窃盗,ひったくり,赤羽,法善寺交番,131172,東京都,北区,赤羽台３丁目,2018-08-04,15,道路上,女性,60-64歳,あり
窃盗,ひったくり,板橋,加賀交番,131199,東京都,板橋区,仲宿,2018-05-18,20,道路上,女性,70歳以上,あり
窃盗,ひったくり,板橋,板橋本町交番,131199,東京都,板橋区,本町,2018-04-19,18,道路上,男性,50歳代,あり
窃盗,ひったくり,板橋,養育院前交番,131199,東京都,板橋区,仲宿,2018-06-09,13,道路上,男性,50歳代,あり
窃盗,ひったくり,板橋,大山町交番,131199,東京都,板橋区,幸町,2018-02-21,20,道路上,女性,50歳代,あり
窃盗,ひったくり,板橋,中板橋交番,131199,東京都,板橋区,仲町,2018-04-30,16,道路上,男性,65-69歳,なし
窃盗,ひったくり,板橋,常盤台交番,131199,東京都,板橋区,常盤台２丁目,2018-08-20,22,道路上,男性,30歳代,あり
窃盗,ひったくり,板橋,上板橋駅前交番,131199,東京都,板橋区,上板橋２丁目,2018-05-17,18,道路上,男性,30歳代,あり
窃盗,ひったくり,志村,坂下交番,131199,東京都,板橋区,舟渡１丁目,2018-11-26,05,道路上,女性,65-69歳,あり
窃盗,ひったくり,練馬,貫井交番,131202,東京都,練馬区,向山４丁目,2018-05-20,08,道路上,女性,60-64歳,あり
窃盗,ひったくり,練馬,豊島園前交番,131202,東京都,練馬区,向山３丁目,2018-05-25,18,道路上,男性,50歳代,あり
窃盗,ひったくり,練馬,桜台交番,131202,東京都,練馬区,桜台４丁目,2018-04-30,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,練馬,桜台交番,131202,東京都,練馬区,桜台６丁目,2018-04-17,15,道路上,女性,50歳代,あり
窃盗,ひったくり,練馬,氷川台駐在所,131202,東京都,練馬区,氷川台２丁目,2018-04-17,00,道路上,女性,20歳代,あり
窃盗,ひったくり,練馬,早宮交番,131202,東京都,練馬区,早宮１丁目,2018-07-14,14,道路上,女性,50歳代,あり
窃盗,ひったくり,石神井,大泉学園駅前交番,131202,東京都,練馬区,東大泉１丁目,2018-04-28,17,道路上,男性,50歳代,あり
窃盗,ひったくり,石神井,大泉学園駅前交番,131202,東京都,練馬区,東大泉１丁目,2018-06-30,21,道路上,女性,10歳代,あり
窃盗,ひったくり,石神井,大泉学園交番,131202,東京都,練馬区,大泉学園町２丁目,2018-01-24,21,道路上,女性,65-69歳,あり
窃盗,ひったくり,石神井,関町交番,131202,東京都,練馬区,関町南４丁目,2018-02-16,18,道路上,女性,50歳代,あり
窃盗,ひったくり,石神井,西大泉交番,131202,東京都,練馬区,西大泉５丁目,2018-04-26,19,道路上,男性,50歳代,あり
窃盗,ひったくり,石神井,富士街道交番,131202,東京都,練馬区,石神井台５丁目,2018-04-18,18,道路上,女性,50歳代,あり
窃盗,ひったくり,高島平,西台駅前交番,131199,東京都,板橋区,高島平９丁目,2018-08-28,01,道路上,女性,20歳代,あり
窃盗,ひったくり,高島平,赤塚交番,131199,東京都,板橋区,赤塚３丁目,2018-12-05,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,高島平,徳丸駐在所,131199,東京都,板橋区,徳丸６丁目,2018-11-23,08,道路上,女性,30歳代,なし
窃盗,ひったくり,光が丘,田柄交番,131202,東京都,練馬区,田柄２丁目,2018-07-16,12,道路上,女性,65-69歳,あり
窃盗,ひったくり,光が丘,田柄交番,131202,東京都,練馬区,田柄２丁目,2018-08-16,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,光が丘,練馬高野台駅前交番,131202,東京都,練馬区,富士見台３丁目,2018-02-19,20,道路上,女性,40歳代,あり
窃盗,ひったくり,光が丘,練馬高野台駅前交番,131202,東京都,練馬区,南田中１丁目,2018-02-14,19,道路上,女性,40歳代,あり
窃盗,ひったくり,光が丘,旭町駐在所,131202,東京都,練馬区,旭町３丁目,2018-12-04,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,上野,稲荷町交番,131067,東京都,台東区,東上野３丁目,2018-02-11,16,道路上,女性,65-69歳,あり
窃盗,ひったくり,上野,御徒町交番,131067,東京都,台東区,東上野２丁目,2018-10-07,00,道路上,男性,30歳代,なし
窃盗,ひったくり,上野,公園前交番,131067,東京都,台東区,上野４丁目,2018-07-02,10,道路上,女性,70歳以上,あり
窃盗,ひったくり,上野,公園前交番,131067,東京都,台東区,上野公園,2018-04-05,08,道路上,女性,70歳以上,なし
窃盗,ひったくり,上野,上野駅交番,131067,東京都,台東区,上野７丁目,2018-01-08,18,その他,男性,70歳以上,あり
窃盗,ひったくり,上野,上野駅交番,131067,東京都,台東区,上野７丁目,2018-10-01,15,その他,女性,20歳代,あり
窃盗,ひったくり,下谷,鶯谷駅前交番,131067,東京都,台東区,根岸２丁目,2018-03-31,01,道路上,女性,40歳代,あり
窃盗,ひったくり,浅草,日本堤交番,131067,東京都,台東区,橋場２丁目,2018-08-07,16,道路上,女性,65-69歳,あり
窃盗,ひったくり,浅草,吉原交番,131067,東京都,台東区,千束３丁目,2018-08-19,05,道路上,女性,20歳代,あり
窃盗,ひったくり,浅草,吉原交番,131067,東京都,台東区,千束３丁目,2018-09-11,22,道路上,男性,20歳代,なし
窃盗,ひったくり,浅草,公園六区交番,131067,東京都,台東区,浅草１丁目,2018-12-19,23,道路上,女性,40歳代,あり
窃盗,ひったくり,浅草,聖天町交番,131067,東京都,台東区,浅草４丁目,2018-05-25,09,道路上,女性,70歳以上,あり
窃盗,ひったくり,浅草,橋場交番,131067,東京都,台東区,今戸２丁目,2018-07-04,19,道路上,女性,70歳以上,あり
窃盗,ひったくり,蔵前,須賀橋交番,131067,東京都,台東区,柳橋１丁目,2018-08-17,05,道路上,女性,65-69歳,あり
窃盗,ひったくり,尾久,赤土交番,131181,東京都,荒川区,東尾久４丁目,2018-10-10,21,道路上,女性,20歳代,あり
窃盗,ひったくり,尾久,赤土交番,131181,東京都,荒川区,東尾久４丁目,2018-11-03,21,道路上,女性,20歳代,あり
窃盗,ひったくり,荒川,三河島駅前交番,131181,東京都,荒川区,東日暮里６丁目,2018-09-05,00,道路上,男性,20歳代,あり
窃盗,ひったくり,荒川,町屋交番,131181,東京都,荒川区,町屋２丁目,2018-08-01,16,道路上,女性,70歳以上,あり
窃盗,ひったくり,荒川,日暮里駅前交番,131181,東京都,荒川区,東日暮里５丁目,2018-09-29,03,道路上,女性,50歳代,なし
窃盗,ひったくり,千住,千住四丁目交番,131211,東京都,足立区,千住中居町,2018-08-18,04,道路上,男性,70歳以上,あり
窃盗,ひったくり,千住,千住四丁目交番,131211,東京都,足立区,千住柳町,2018-08-02,19,道路上,女性,70歳以上,あり
窃盗,ひったくり,西新井,梅田七丁目交番,131211,東京都,足立区,梅島２丁目,2018-05-22,23,道路上,女性,50歳代,なし
窃盗,ひったくり,西新井,本木交番,131211,東京都,足立区,興野１丁目,2018-09-26,14,道路上,女性,65-69歳,あり
窃盗,ひったくり,西新井,皿沼交番,131211,東京都,足立区,皿沼１丁目,2018-10-06,19,道路上,女性,20歳代,あり
窃盗,ひったくり,西新井,西新井五丁目交番,131211,東京都,足立区,栗原４丁目,2018-08-28,20,道路上,男性,40歳代,あり
窃盗,ひったくり,綾瀬,大谷田交番,131211,東京都,足立区,佐野１丁目,2018-02-10,00,道路上,女性,20歳代,あり
窃盗,ひったくり,綾瀬,綾瀬六丁目交番,131211,東京都,足立区,加平１丁目,2018-10-06,21,道路上,男性,10歳代,あり
窃盗,ひったくり,綾瀬,中央本町交番,131211,東京都,足立区,平野１丁目,2018-10-06,20,道路上,女性,50歳代,あり
窃盗,ひったくり,綾瀬,神明交番,131211,東京都,足立区,辰沼１丁目,2018-01-29,22,道路上,女性,10歳代,あり
窃盗,ひったくり,綾瀬,一ツ家交番,131211,東京都,足立区,一ツ家４丁目,2017-12-31,21,道路上,女性,70歳以上,あり
窃盗,ひったくり,綾瀬,綾瀬駅東口交番,131211,東京都,足立区,綾瀬３丁目,2018-07-12,14,道路上,女性,70歳以上,あり
窃盗,ひったくり,綾瀬,綾瀬駅東口交番,131211,東京都,足立区,東綾瀬２丁目,2018-10-25,22,道路上,女性,50歳代,あり
窃盗,ひったくり,竹の塚,花畑交番,131211,東京都,足立区,南花畑１丁目,2018-11-17,23,道路上,女性,30歳代,あり
窃盗,ひったくり,竹の塚,保木間交番,131211,東京都,足立区,東六月町,2018-06-11,00,道路上,男性,20歳代,あり
窃盗,ひったくり,竹の塚,伊興町交番,131211,東京都,足立区,東伊興１丁目,2018-08-29,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,竹の塚,伊興町交番,131211,東京都,足立区,伊興本町１丁目,2018-09-26,10,道路上,女性,70歳以上,あり
窃盗,ひったくり,竹の塚,入谷町交番,131211,東京都,足立区,入谷３丁目,2017-12-30,11,道路上,男性,20歳代,なし
窃盗,ひったくり,竹の塚,古千谷駐在所,131211,東京都,足立区,西伊興１丁目,2018-09-18,16,道路上,女性,10歳代,あり
窃盗,ひったくり,城東,葛西橋西交番,131083,東京都,江東区,北砂７丁目,2018-10-02,01,道路上,女性,70歳以上,あり
窃盗,ひったくり,城東,番所橋交番,131083,東京都,江東区,東砂２丁目,2018-07-29,11,道路上,女性,65-69歳,あり
窃盗,ひったくり,城東,番所橋交番,131083,東京都,江東区,東砂３丁目,2018-07-24,15,道路上,女性,70歳以上,あり
窃盗,ひったくり,城東,亀戸交番,131083,東京都,江東区,亀戸７丁目,2018-01-06,19,道路上,女性,20歳代,なし
窃盗,ひったくり,城東,亀戸駅前交番,131083,東京都,江東区,亀戸５丁目,2018-05-01,14,道路上,女性,40歳代,あり
窃盗,ひったくり,城東,東大島駅前交番,131083,東京都,江東区,大島８丁目,2018-11-01,02,道路上,女性,50歳代,あり
窃盗,ひったくり,本所,菊川二丁目交番,131075,東京都,墨田区,菊川３丁目,2018-07-27,21,道路上,男性,70歳以上,あり
窃盗,ひったくり,向島,小村井交番,131075,東京都,墨田区,立花５丁目,2018-08-19,13,道路上,女性,65-69歳,あり
窃盗,ひったくり,向島,東向島交番,131075,東京都,墨田区,京島１丁目,2018-08-11,10,道路上,女性,65-69歳,あり
窃盗,ひったくり,向島,八広四丁目交番,131075,東京都,墨田区,八広１丁目,2018-07-10,10,道路上,女性,70歳以上,あり
窃盗,ひったくり,向島,堤通駐在所,131075,東京都,墨田区,墨田５丁目,2018-07-03,18,道路上,女性,70歳以上,あり
窃盗,ひったくり,亀有,亀有駅北口交番,131229,東京都,葛飾区,亀有３丁目,2018-01-31,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,亀有,金町駅南口交番,131229,東京都,葛飾区,金町４丁目,2018-08-09,16,道路上,女性,70歳以上,なし
窃盗,ひったくり,亀有,青戸南部駐在所,131229,東京都,葛飾区,青戸６丁目,2018-08-09,16,道路上,女性,65-69歳,なし
窃盗,ひったくり,亀有,金町駅北口交番,131229,東京都,葛飾区,東金町１丁目,2018-07-27,02,道路上,男性,20歳代,あり
窃盗,ひったくり,亀有,金町駅北口交番,131229,東京都,葛飾区,東金町３丁目,2018-04-29,01,道路上,男性,50歳代,あり
窃盗,ひったくり,葛飾,高砂駅前交番,131229,東京都,葛飾区,高砂２丁目,2018-05-31,22,道路上,男性,40歳代,なし
窃盗,ひったくり,葛飾,四ツ木駅前交番,131229,東京都,葛飾区,東四つ木１丁目,2018-08-09,17,道路上,女性,50歳代,あり
窃盗,ひったくり,葛飾,奥戸交番,131229,東京都,葛飾区,奥戸１丁目,2018-09-06,15,道路上,女性,60-64歳,あり
窃盗,ひったくり,葛飾,鎌倉交番,131229,東京都,葛飾区,鎌倉１丁目,2018-12-03,18,道路上,女性,60-64歳,あり
窃盗,ひったくり,小松川,八蔵橋交番,131237,東京都,江戸川区,中央４丁目,2018-07-04,22,道路上,女性,50歳代,なし
窃盗,ひったくり,小松川,八蔵橋交番,131237,東京都,江戸川区,松島１丁目,2018-05-09,17,道路上,女性,40歳代,なし
窃盗,ひったくり,小松川,小松川一丁目交番,131237,東京都,江戸川区,一之江１丁目,2018-07-31,21,道路上,女性,50歳代,あり
窃盗,ひったくり,小松川,篠崎駅前交番,131237,東京都,江戸川区,南篠崎町４丁目,2018-10-27,21,道路上,女性,40歳代,あり
窃盗,ひったくり,小松川,篠崎駅前交番,131237,東京都,江戸川区,南篠崎町４丁目,2018-12-23,00,道路上,女性,20歳代,あり
窃盗,ひったくり,小岩,鹿骨交番,131237,東京都,江戸川区,西篠崎２丁目,2018-10-01,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,葛西,東葛西五丁目交番,131237,東京都,江戸川区,東葛西１丁目,2018-04-13,15,道路上,女性,70歳以上,あり
窃盗,ひったくり,葛西,江戸川六丁目交番,131237,東京都,江戸川区,西瑞江５丁目,2018-08-17,04,道路上,女性,70歳以上,あり
窃盗,ひったくり,南大沢,相原駅前交番,132098,東京都,町田市,相原町,2018-03-12,19,道路上,女性,60-64歳,あり
窃盗,ひったくり,南大沢,堀之内駐在所,132012,東京都,八王子市,東中野,2018-05-24,22,道路上,女性,20歳代,あり
窃盗,ひったくり,南大沢,小山駐在所,132098,東京都,町田市,小山町,2018-03-06,14,道路上,女性,70歳以上,あり
窃盗,ひったくり,多摩中央,永山駅前交番,132241,東京都,多摩市,永山１丁目,2018-05-30,11,道路上,女性,50歳代,あり
窃盗,ひったくり,多摩中央,多摩センター駅前交番,132241,東京都,多摩市,愛宕４丁目,2018-02-27,20,道路上,女性,40歳代,なし
窃盗,ひったくり,多摩中央,矢野口交番,132250,東京都,稲城市,矢野口,2018-03-17,20,道路上,女性,10歳代,あり
窃盗,ひったくり,東大和,三ツ木交番,132233,東京都,武蔵村山市,残堀４丁目,2018-01-05,19,道路上,女性,10歳代,あり
窃盗,ひったくり,東大和,玉川上水駅前交番,132209,東京都,東大和市,立野３丁目,2017-12-11,10,道路上,男性,70歳以上,あり
窃盗,ひったくり,福生,福生駅前交番,132187,東京都,福生市,加美平２丁目,2018-01-21,12,道路上,女性,65-69歳,あり
