自治体名,券種,部署名,対象,電話番号
杉並区,A券,保健福祉部杉並福祉事務所高井戸事務所相談係,身・知・戦・原,03-3332-7221
杉並区,B券,保健福祉部杉並福祉事務所荻窪事務所保護係,生・邦,03-3398-9104
杉並区,B券,保健福祉部杉並福祉事務所高円寺事務所相談係,生・救,03-5306-2612
杉並区,B券,保健福祉部杉並福祉事務所高井戸事務所保護係,生・邦,03-3332-7221
杉並区,B券,子ども家庭部管理課子ども医療・手当係,児,03-3312-2111（内1367）
豊島区,A券,保健福祉部 障害福祉課 身体障害者支援第1グループ,身・知・戦・原,03-3981-2141
豊島区,A券,保健福祉部 障害福祉課 西部障害支援センター,身・知・戦・原,03-3981-1111
豊島区,A券,保健福祉部 障害福祉課 東部障害支援センター,身・知・戦・原,03-3981-1111
豊島区,A券,保健福祉部 障害福祉課 知的障害者支援グループ,身・知・原,03-3981-1853
豊島区,B券,保健福祉部 福祉総務課 総務グループ,邦,03-4566-2421
豊島区,B券,保健福祉部 生活福祉課 相談グループ,生,03-3981-1842
豊島区,B券,保健福祉部 西部生活福祉課 相談グループ,生,03-5917-5762
豊島区,B券,子ども家庭部 子育て支援課 児童給付グループ,邦・児・救,03-3981-1417
北区,A券,福祉部障害福祉課王子障害相談係,身・知・戦・原,03-3908-9081
北区,A券,福祉部障害福祉課赤羽障害相談係,身・知・戦・原,03-3903-4161
北区,B券,福祉部生活福祉課生活支援係,邦,03-3908-9004
北区,B券,福祉部生活福祉課相談係,生,03-3908-1142
北区,B券,子ども未来部子ども未来課子育て給付係,児・救,03-3908-9096
荒川区,A券、B券,福祉部障害者福祉課障害サービス係,身・知・戦・原・救,03-3802-3111（内2683）
荒川区,B券,福祉部生活福祉課保護調整係,生・邦,03-3802-3111（内2628）
荒川区,B券,子ども家庭部子育て支援課子育て給付係,児,03-3802-3111（内3816）
板橋区,A券、B券,福祉部 赤塚福祉事務所 総合相談係,身・知・戦・原・生・救,03-3938-5126
板橋区,A券,福祉部 板橋福祉事務所 障がい者支援係,身・知・戦・原,03-3579-2460
板橋区,A券,福祉部 志村福祉事務所 総合相談係,身・知・戦・原,03-3968-2331
板橋区,B券,福祉部 板橋福祉事務所 援護係,生・救,03-3579-2453
板橋区,B券,福祉部 志村福祉事務所 援護係,生・救,03-3968-2332
板橋区,B券,福祉部 生活支援課 援護係,邦,03-3579-2046
板橋区,B券,子ども家庭部 子育て支援課 子どもの手当医療係,児,03-3579-2477
板橋区,B券,産業経済部 赤塚支所 住民サービス係,児,03-3938-5113
練馬区,A券,福祉部練馬総合福祉事務所障害者支援係,身・知・戦・原,03-5984-4609
練馬区,A券,福祉部光が丘総合福祉事務所障害者支援係,身・知・戦・原,03-5997-7796
練馬区,A券,福祉部石神井総合福祉事務所障害者支援係,身・知・戦・原,03-5393-2816
練馬区,A券,福祉部大泉総合福祉事務所障害者支援係,身・知・戦・原,03-5905-5272
練馬区,B券,福祉部練馬総合福祉事務所相談係,生・邦・児・救,03-5984-4742
練馬区,B券,福祉部光が丘総合福祉事務所相談係,生・児・救,03-5997-7714
練馬区,B券,福祉部石神井総合福祉事務所相談係,生・児,03-5393-2802
練馬区,B券,福祉部大泉総合福祉事務所相談係,生・児,03-5905-5264
足立区,A券、B券,足立福祉事務所中部第一福祉課総合相談係,身・知・戦・原・生・邦・児・救,03-3880-5875
足立区,A券、B券,足立福祉事務所中部第二福祉課総合相談係,身・知・戦・原・生・邦・児・救,03-3880-5419
足立区,A券、B券,足立福祉事務所千住福祉課総合相談係,身・知・戦・原・生・邦・児・救,03-3888-3142
足立区,A券、B券,足立福祉事務所東部福祉課総合相談係,身・知・戦・原・生・邦・児・救,03-3605-7129
足立区,A券、B券,足立福祉事務所西部福祉課総合相談係,身・知・戦・原・生・邦・児・救,03-3897-5013
足立区,A券、B券,足立福祉事務所北部福祉課総合相談係,身・知・戦・原・生・邦・児・救,03-5831-5797
足立区,A券,福祉部障がい福祉課中部援護第二係,身・知・戦・原,03-3880-5882
足立区,B券,福祉部高齢者施策推進室高齢福祉課中国帰国者等支援担当,邦,03-3880-5204
足立区,B券,福祉部親子支援課親子支援係,児,03-3880-5883
葛飾区,A券、B券,福祉部障害福祉課障害事業係,身・知・戦・原・救,03-5654-8301
葛飾区,B券,福祉部西生活課相談係,生,03-5654-8301
葛飾区,B券,福祉部東生活課相談係,生・邦,03-5654-8301
葛飾区,B券,子育て支援部子育て支援課児童手当係,児,03-5654-8301
江戸川区,A券,福祉部障害者福祉課自立援助係,身・知・戦・原,03-5662-0062
江戸川区,B券,福祉部生活援護第一課相談係,生・邦・救,03-5662-8169
江戸川区,B券,福祉部生活援護第二課相談係,生,03-3657-7855
江戸川区,B券,福祉部生活援護第三課相談係,生,03-5659-6610
江戸川区,B券,子ども家庭部児童家庭課援護係,児,03-5662-1259
