"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","選択肢A","選択肢B","選択肢C","選択肢D","選択肢E","選択肢F","選択肢G"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","性・年代別","女性 60～69歳","55","40","41","16","3","21","1","1"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","性・年代別","女性 70歳以上","75","44","57","26","7","31","5","6"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","性・年代別","女性 無回答","0","0","0","0","0","0","0","0"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","性・年代別","無回答","10","5","5","0","0","1","0","1"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","職業別","自営業主・家族従業","92","53","65","22","4","36","2","5"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","職業別","会社員・団体職員・公務員","280","145","220","70","9","73","2","23"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","職業別","アルバイト・パートタイマー","58","35","51","23","1","20","1","2"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","職業別","家事専業","94","60","77","32","7","33","3","7"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","職業別","学生","20","7","12","2","0","5","1","4"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","職業別","無職","83","45","57","16","3","19","4","8"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","職業別","その他","26","14","23","15","2","6","1","0"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","職業別","無回答","5","2","2","0","0","0","0","0"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","居住地区別","芝地区","107","58","81","28","7","37","4","3"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","居住地区別","麻布地区","140","88","96","38","7","37","2","16"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","居住地区別","赤坂地区","88","46","73","23","5","35","3","6"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","居住地区別","高輪地区","155","84","119","41","3","46","4","15"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","居住地区別","芝浦港南地区","164","84","136","49","4","37","1","9"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","居住地区別","無回答","4","1","2","1","0","0","0","0"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","住居形態別","持家（一戸建）","95","60","74","26","5","29","2","3"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","住居形態別","持家（マンション）","302","171","240","88","12","104","8","20"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","住居形態別","借家（一戸建）","7","4","5","1","0","1","0","2"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","住居形態別","民間の賃貸マンション・アパート","171","79","130","42","6","37","3","19"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","住居形態別","都営住宅・区営住宅・区立住宅","28","12","19","6","3","9","0","1"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","18","13","14","6","0","5","0","1"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","住居形態別","社宅・公務員宿舎","20","13","16","7","0","3","0","2"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","住居形態別","寮・寄宿舎・住み込み・間借り","6","5","4","1","0","1","1","0"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","住居形態別","その他","5","2","2","2","0","2","0","1"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","住居形態別","無回答","6","2","3","1","0","1","0","0"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","定住意向別","ずっと住み続けていたい","366","201","278","92","20","116","10","31"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","定住意向別","当分は住んでいたい","224","125","179","68","5","53","2","11"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","42","20","32","13","1","17","0","5"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","2","1","2","1","0","0","0","0"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","定住意向別","近いうちに区外に転居する予定である","9","7","5","5","0","4","0","1"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","定住意向別","わからない","14","7","10","1","0","2","1","1"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","定住意向別","無回答","1","0","1","0","0","0","1","0"

"第32回港区民世論調査クロス集計表・プラスチックごみQ21","Ver202003",,,,,,,,,,,
