"年月[西暦]","収受日","業態","届出種類","施設名称","施設所在地","施設方書","施設電話番号","許可番号","許可開始日"
"202405","2024/5/20","高度管理医療機器販売業・貸与業","新規","三菱オートリース株式会社田町タワー","東京都港区芝五丁目33番11号","田町タワー","03-5476-0152","6港み生機器第23号","2024/5/30"
"202405","2024/3/27","高度管理医療機器販売業・貸与業","新規","ヒルロムジャパン株式会社","東京都港区芝浦三丁目4番1号","グランパークタワー30階",,"5港み生機器第240号","2024/5/1"
"202405","2024/3/27","高度管理医療機器販売業・貸与業","新規","ウェルチ・アレン・ジャパン株式会社","東京都港区芝浦三丁目4番1号","グランパークタワー30階",,"5港み生機器第241号","2024/5/1"
"202405","2024/5/14","高度管理医療機器販売業・貸与業","新規","ａｎｄ　ｈｅａｌｔｈ株式会社","東京都港区虎ノ門四丁目1番40号","江戸見坂森ビル4階","03-6435-7130","6港み生機器第22号","2024/5/23"
"202405","2024/4/18","高度管理医療機器販売業・貸与業","新規","株式会社エックスワン","東京都港区南青山五丁目4番27号","Barbizon104","03-6822-5278","6港み生機器第14号","2024/5/15"
"202406","2024/5/22","高度管理医療機器販売業","新規","浜野無線株式会社","東京都港区芝三丁目17番14号","三田浜ビル1階","03-3769-2755","6港み生機器第24号","2024/6/26"
"202406","2024/5/30","高度管理医療機器販売業・貸与業","新規","コアファーストＧ合同会社","東京都港区芝浦四丁目15番1号","プラウドタワー芝浦2101号室",,"6港み生機器第31号","2024/6/19"
"202406","2024/6/7","高度管理医療機器販売業・貸与業","新規","株式会社進興メディカルサポート","東京都港区新橋四丁目3番1号","新虎安田ビル","03-5408-5707","6港み生機器第38号","2024/6/11"
"202406","2024/5/31","高度管理医療機器販売業・貸与業","新規","コーユーレンティア株式会社　新橋オフィス","東京都港区新橋五丁目14番10号","新橋スクエアビル","03-5408-7000","6港み生機器第33号","2024/6/12"
"202406","2024/6/17","高度管理医療機器販売業・貸与業","新規","株式会社ｅｌｐｉｓ８","東京都港区三田五丁目9番14号","アトラス白金高輪",,"6港み生機器第41号","2024/6/24"
"202406","2024/6/5","高度管理医療機器販売業・貸与業","新規","スーパーソニックイマジン株式会社","東京都港区南青山一丁目20番2号","乃木坂ビジネスコート",,"6港み生機器第36号","2024/6/17"
"202406","2024/6/20","高度管理医療機器販売業・貸与業","新規","ＡＫ４－ＭＥＤＩＣＡＬ株式会社","東京都港区六本木六丁目1番20号","六本木電気ビルディング4階","03-6721-1109","6港み生機器第43号","2024/6/24"
"202407","2024/6/7","高度管理医療機器販売業・貸与業","新規","マイクロポート・オーソペディックス・ジャパン株式会社","東京都港区赤坂一丁目12番32号","アーク森ビル22階","03-6758-7263","6港み生機器第39号","2024/7/8"
"202407","2024/6/14","高度管理医療機器販売業・貸与業","新規","日本マイクロポートＣＲＭ株式会社","東京都港区赤坂一丁目12番32号","アーク森ビル","03-6758-7269","6港み生機器第40号","2024/7/2"
"202407","2024/5/27","高度管理医療機器販売業・貸与業","新規","富士フイルム株式会社メディカルシステム事業部超音波イノベーション部ＥＵＳグループ","東京都港区赤坂九丁目7番3号","東京ミッドタウンウエスト",,"6港み生機器第29号","2024/7/1"
"202407","2024/6/20","高度管理医療機器販売業・貸与業","新規","ベストメガネコンタクト御成門駅前店","東京都港区西新橋三丁目19番14号","東京建硝ビル","03-6435-9042","6港み生機器第42号","2024/7/8"
"202407","2024/6/27","高度管理医療機器販売業","新規","株式会社中川薬局","東京都港区三田二丁目7番9号","サニークレスト三田1階","03-5427-6728","6港み生機器第44号","2024/7/11"

"高度管理医療機器販売・貸与業新規許可一覧(令和6年7月31日現在)","Ver202407",,,,,,,,
