行,EPSGコード,経度,緯度,店舗名,郵便番号,東京都町田市所在地,電話番号,URL,業種,営業時間(L：L/ディナー：D),定休日
11,EPSG:6677,-35242.25262,-50202.72087,天忠,194-0021,東京都町田市中町1-3-4 ,042-739-1303,http://vita.tc/shops/195,醤油料理専門店,L 11:30～15:00D 17:00～22:30,無休
12,EPSG:6677,-34833.57362,-50801.43738,河原本店,194-0013,東京都町田市原町田4-6-8 ,042-722-2066,http://vita.tc/shops/196,乾物類,10:00～19:00,無休
13,EPSG:6677,-35313.0663,-50283.4561,でくの坊,194-0022,東京都町田市森野1-26-23 松本ビル1F,042-727-0649,http://vita.tc/shops/197,らーめん専門店,11:30～21:00（平日）11:30～20:00(土・祝）,日曜
14,EPSG:6677,-35211.27619,-50148.52654,コシード,194-0021,東京都町田市中町1-4-17 ,042-728-5340,http://vita.tc/shops/199,地中海料理,L 11:30～14:00(月～金)D 17:30～22:00(月～土),"日曜,第1･2月曜休"
15,EPSG:6677,-36589.41852,-49638.13392,ジューンブライド,194-0022,東京都町田市森野6-66-1 フローラ森野1F,042-721-0015,http://vita.tc/shops/200,洋菓子,10:00～20:00,不定休
16,EPSG:6677,-33619.69057,-48490.58834,玉川珈琲倶楽部,194-0041,東京都町田市玉川学園2-7-13 ,042-728-4424,http://vita.tc/shops/201,コーヒー専門店(豆通販･カフェ),8:30-20:00,月曜日(祝日の場合も休業）
17,EPSG:6677,-34262.85014,-46980.62488,ドゥ・リーブル,195-0072,東京都町田市金井2-1-23 ,042-734-5252,http://vita.tc/shops/202,ベーカリー,9:00～19:00,水曜休
18,EPSG:6677,-35747.80304,-47532.16265,パン・パティ,194-0032,東京都町田市本町田2938-1 ,042-729-1833,http://vita.tc/shops/222,ベーカリー,8:00～20:00,無休(年末年始除く)
19,EPSG:6677,-32405.94101,-52642.05093,ママンラトーナ,194-0002,東京都町田市南つくし野4-17-16 ,0120-445-144,http://vita.tc/shops/94,ベーカリー,販売 9:00～20:00カフェ 9:00～19:00,不定休
20,EPSG:6677,-34816.84585,-47324.23419,マ メゾン 鶴川店,195-0071,東京都町田市金井町60 ,042-736-6535,http://vita.tc/shops/203,欧風家庭料理,L 11:00～15:00D 17:00～23:30,年中無休（正月を除き）
21,EPSG:6677,-32224.1962,-49920.86147,手造りハム・ソーセージ独逸屋（どいつや）,194-0043,東京都町田市成瀬台2-2-8 ,042-721-7401,http://vita.tc/shops/204,手造りハム・ソーセージ,10：00～19：00,火曜日
22,EPSG:6677,-32625.94981,-51615.74802,クリーニング フルフル,194-0011,東京都町田市成瀬が丘2-1-13,042-796-6395,http://vita.tc/shops/205,クリーニング ,平日8:00?19:00日曜9:00?18:00,水曜･祝日､年末年始　
23,EPSG:6677,-33582.11538,-46442.81928,居魚屋 くうべえ,195-0072,東京都町田市金井4-2-21,042-708-4271,http://vita.tc/shops/206,居酒屋,L 11:00?13:30D 17:00?22:00,水曜
24,EPSG:6677,-37168.72241,-46152.31078,パンステージ エピソード,194-0203,東京都町田市図師町1379-1,042-703-9722,http://vita.tc/shops/207,ベーカリー・カフェ,6:00?19:00,無休
25,EPSG:6677,-31697.99797,-53163.29547,つくし野マロン,194-0001,東京都町田市つくし野4-33-26,042-796-0309,http://vita.tc/shops/165,洋菓子,平日 9:00～20:00日･祝 9:00～19:00,月曜日(祝日の場合は翌火曜休)第3火曜日
26,EPSG:6677,-34606.72609,-50777.48159,やきとり処 大舞,194-0013,東京都町田市原町田3-9-1 メゾン及川1F,042-727-5678,http://vita.tc/shops/208,やきとり専門店,17:00～23:00, 不定休
27,EPSG:6677,-34812.5679,-50627.10663,竹取物語,194-0013,東京都町田市原町田4-12-23 桐屋ビル1Ｆ,042-721-3550,http://vita.tc/shops/209,美容室,日月 9:00～18:00火 9:00～17:00水～土 9:00～19:00,第3火･水曜日(原則）
28,EPSG:6677,-34924.68243,-50772.2123,まねきや,194-0013,東京都町田市原町田4-5-21,042-720-0898,http://vita.tc/shops/210,駄菓子・雑貨,12:00 ～ 19:00,水曜日
29,EPSG:6677,-35423.39836,-49987.66667,ボンヌール洋菓子店,194-0022,東京都町田市森野2-30-13 ,042-722-3806,http://vita.tc/shops/211,洋菓子,9:00～21:00,不定休(木曜日)
30,EPSG:6677,-36862.20087,-48187.33517,メルシー,194-0036,東京都町田市木曽東4-17-22 ,042-792-2548,https://twitter.com/mercibaker,ベーカリー,8:00～19:00,日曜､土曜･月曜が祝日の際は連休
31,EPSG:6677,-35032.47198,-50166.07252,土方精肉店,194-0021,東京都町田市中町1-17-10 土方ビル,042-722-2335,http://vita.tc/shops/213,精肉・揚げ物,10:00～18:30,日曜･祝日
32,EPSG:6677,-32960.72899,-51463.04795,ホームデリカTAICHI,194-0011,東京都町田市成瀬が丘3-4-12 ,042-799-0229,http://vita.tc/shops/214,腸詰ギョーザソーセージ,10:00～19:00（閉店時間変動有）,日曜
33,EPSG:6677,-35441.84105,-50067.28784,航旅莉屋,194-0022,東京都町田市森野2-31-4 スカイハイツ渋谷1階,042-727-7072,http://vita.tc/shops/215,洋食,L 11:30～14:00D 18:00～21:00,毎週日曜･祝日･第三月曜日
34,EPSG:6677,-35104.79141,-50319.05873,トラットリア マリー,194-0021,東京都町田市中町1-1-15 MARIE 1F ,042-721-0147,http://vita.tc/shops/216,イタリアンレストラン,L 11:30～15:00D 17:00～23:00,火曜定休
35,EPSG:6677,-37033.85044,-47073.16776,あらかると,194-0035,東京都町田市忠生2-2-32 ,042-792-4002,http://vita.tc/shops/217,ハンバーグ専門店,平日 L 11:00～15:00D 17:00～21:30土曜･日曜･祝日  12:00～21:30）,毎週火曜日､第1･3月曜日(祝日の場合翌日振替休)
36,EPSG:6677,-35805.20999,-49499.92433,町田汁場しおらーめん　進化,194-0022,東京都町田市森野3-18-17 ウイング森野103,042-705-7122,http://vita.tc/shops/218,塩ラーメン専門店,火～土11:00～15:00・18:00～21:00、日祝11:00～17:00,月曜日(祝日の場合は翌日)
37,EPSG:6677,-32913.85065,-51423.10905,ヘナ倶楽部,194-0011,東京都町田市成瀬が丘2-25-16 きめた第7ビル1ＦＢ,042-788-4679,http://vita.tc/shops/219,漢方髪染専門店,10:00～18:30(完全予約制),毎週水曜定休､毎月第1水曜・木曜連休
38,EPSG:6677,-36589.41852,-49638.13392,ボンボネーラ ,194-0022,東京都町田市森野6-66-1 フローラ森野102号,042-729-6606,http://vita.tc/shops/305,ハンバーグ＆ステーキ,L 11:30～14:30D 17:30～23:00,毎週水曜
39,EPSG:6677,-34845.56552,-50634.30969,カフェ 中野屋,194-0013,東京都町田市原町田4-11-6 中野屋新館1F,042-725-4104,http://vita.tc/shops/130,カフェ･うどん,L 11:00～14:00D 14:00～17:00,不定休(年末年始各一日休)
40,EPSG:6677,-32452.0213,-51269.34328,オー･プティ･グルマン,194-0045,東京都町田市南成瀬4-1-15 1F,042-723-0019,http://vita.tc/shops/299,洋菓子,10:00～19:30,火曜(祝日の場合水曜)､月曜不定休
41,EPSG:6677,-34896.62639,-50790.57196,七面,194-0013,東京都町田市原町田4-5-19 町田仲見世商店街内,042-722-5288,http://vita.tc/shops/307,ラーメン,日月･木金土11:30～19:30､火11:30～17:00,水曜
42,EPSG:6677,-32114.94519,-49958.39408,やさいのナイトウ,194-0044,東京都町田市成瀬2-15-4 ,042-732-9070,http://vita.tc/shops/304,野菜･菓物専門店,9:30～19:00,無休(年末年始を除く)
43,EPSG:6677,-35009.40784,-50637.09808,柾屋商店,194-0013,東京都町田市原町田6-8-1 109MACHIDA1F,042-722-3151,http://vita.tc/shops/303,海産･乾物,10：00～19：00,水曜
44,EPSG:6677,-36980.27602,-48839.82252,Hair&Make アミ,194-0036,東京都町田市木曽東1-37-28 -Ｂ,042-727-1041,http://vita.tc/shops/308,美容室,9:30～18:30,毎週火曜
45,EPSG:6677,-44305.79267,-43223.19056,ロテン・ガーデン,194-0211,東京都町田市相原町358 ,042-774-2681,http://vita.tc/shops/107,天然温泉,平日10:00～24:00土日祝9:00～24:00,偶数月の第1木曜
46,EPSG:6677,-35451.77327,-50060.84874,ブーランジュリ チロ,194-0022,東京都町田市森野2-31-5 ,042-785-5474,http://vita.tc/shops/291,ベーカリー,8:00～18:30,日曜､第2･第4･第5水曜日(年末年始･夏休み･クリスマスなどを除く）
47,EPSG:6677,-47346.58789,-42946.70419,町田あいす工房ラッテ,194-0211,東京都町田市相原町2567 ,042-783-4643,http://vita.tc/shops/233,ジェラード専門店,10：00～19:00,年中無休
48,EPSG:6677,-40714.06605,-45306.16297,浜焼市場,194-0212,東京都町田市小山町704-1 ,042-798-7318,http://vita.tc/shops/289,漁師料理,昼 平日11:30～14:00 土日祝11:30～15:00夜 全日17:00～23:00,年中無休
49,EPSG:6677,-34153.32488,-47362.8835,トレビノ・カフェ,195-0072,東京都町田市金井2-8-17,042-735-1213,http://vita.tc/shops/290,イタリアンレストラン,L 11:00～15:30頃D 17:30～22:00頃,無休
50,EPSG:6677,-51074.41244,-43165.3288,エルヴェッタ,194-0022,東京都町田市森野1-33-18 幹ビル1F,042-728-0208,http://vita.tc/shops/313,イタリアンレストラン,L 11:30～14:00D 17:00～21:30,日曜
51,EPSG:6677,-34474.36336,-51082.24036,おんどり,194-0013,東京都町田市原町田2-6-13 ベルストーク1F,042-729-8886,http://vita.tc/shops/314,炭火焼鳥,17:00～翌1:00,火曜
52,EPSG:6677,-35299.93412,-50360.93332,シェ・プルミエ,194-0022,東京都町田市森野1-20-10 ホテル町田ヴィラ1Ｆ,042-727-0170,http://vita.tc/shops/35,フレンチレストラン,Ｌ 11:30～15:00D 17:00～22:00,12月31日
53,EPSG:6677,-34845.93607,-50768.57604,マルハチ,194-0013,東京都町田市原町田4-5-9 仲見世商店街内,042-729-5325,http://vita.tc/shops/315,まぐろ専門店,10:00～19:00,水曜
54,EPSG:6677,-34802.91223,-50768.0459,まくらぼ,194-0013,東京都町田市原町田4-9-16 第一ビル1Ｆ,042-732-6665,http://vita.tc/shops/311,オーダーまくらとふとんの店,10:00～20:00,年中無休(年末年始のみ休業)
55,EPSG:6677,-35223.56697,-50362.03951,足道楽,194-0022,東京都町田市森野1-38-5 赤司ビル 1F,042-711-6882,http://vita.tc/shops/312,オーダーメイド中敷と靴の専門店,10:00～19:00,水曜
56,EPSG:6677,-37619.5916,-46986.11286,パティスリー ファン,194-0035,東京都町田市忠生3-1-32 ロイヤル忠生1F,042-794-9311,http://vita.tc/shops/286,洋菓子,9:00～16:30,水曜､第1･第3火曜
57,EPSG:6677,-35112.75368,-50491.36599,グリルママ,194-0013,東京都町田市原町田6-11-7 ,042-722-3307,http://vita.tc/shops/334,洋食レストラン,11:00～22:00,水曜
58,EPSG:6677,-34984.21557,-50811.71263,金満園,194-0013,東京都町田市原町田4-1-7 三徳ビルB1F ,042-722-2208,http://vita.tc/shops/364,中華料理専門店,L 11:00～15:00D 17:00～23:00,月曜日(祝祭日は翌火曜休)
59,EPSG:6677,-35048.76534,-50790.11406,胡心房,194-0013,東京都町田市原町田4-1-1 太陽ビル1F,042-727-8439,http://vita.tc/shops/365,らーめん専門店,平日 12:00～15:00/18:00～21:00土曜12:00～20:00 日曜・祝日12:00～18:00,月曜日(祝日の場合は営業)
60,EPSG:6677,-36566.5235,-48567.54932,大蔵湯,194-0033,東京都町田市木曽町522,042-723-5664,http://vita.tc/shops/366,公衆浴場,14:00～23:00,金曜
61,EPSG:6677,-33667.51074,-52377.82667,金森湯,194-0012,東京都町田市金森3-22-21 ,042-796-5926,http://vita.tc/shops/367,公衆浴場,16:00～23:00,1･10･20日(日曜､祝日の場合は翌日休)
62,EPSG:6677,-51074.41244,-43165.3288,薬師スタジオ,194-0038,東京都町田市根岸2-18-1 アメリア町田根岸SC2Ｆ,0800-800-4661,http://vita.tc/shops/368,写真スタジオ,10:00～20:00(店舗によって異なります),定休日無し(本町田店･原町田店は水曜休)
63,EPSG:6677,-32812.45479,-51509.74127,グリュン・シューズガーデン,194-0011,東京都町田市成瀬が丘2-29-8,042-706-8033,http://vita.tc/shops/381,靴専門店,10:00～20:00,毎週水曜
64,EPSG:6677,-32913.85065,-51423.10905,きものりさいくる着道楽,194-0011,東京都町田市成瀬が丘2-25-16,042-706-9266,http://vita.tc/shops/225,リサイクル着物､着付教室､つるし雛教室,11:00～18:30,年中無休(正月を除く)
65,EPSG:6677,-32962.50495,-45330.58322,酒舗まさるや,195-0061,東京都町田市鶴川6-7-2-102,042-735-5141,http://vita.tc/shops/382,酒類,9:00～19:00,木曜
66,EPSG:6677,-35507.89511,-50370.21998,ヘア ラパンジャ,194-0022,東京都町田市森野1-9-18 プリマコスモ2階,042-720-8809,http://vita.tc/shops/383,美容室,平日 11:00～21:00土日祝10:00～20:00,火曜 第1･第3月曜(一部変更も有)
67,EPSG:6677,-33697.03674,-48566.33854,グランガトー&合田和代お菓子教室,194-0041,東京都町田市玉川学園2-8-25 ,042-727-3517,http://vita.tc/shops/220,お菓子教室＆ティーサロン,10:00～18:00,月・火・水曜日。夏期休業有
68,EPSG:6677,-32703.32104,-49545.67719,ゑくぼ,194-0042,東京都町田市東玉川学園2-29-20 ,042-726-0411,http://vita.tc/shops/384,洋菓子,11:00～18:30,日曜
69,EPSG:6677,-32867.73204,-45313.3135,パティスリー　ル・ソレイユ,195-0061,東京都町田市鶴川6-7-1-103 ,042-708-9982,http://vita.tc/shops/385,洋菓子,9:00～19:30,火曜
70,EPSG:6677,-48003.69951,-43586.17207,らーめん武蔵堂,194-0211,東京都町田市相原町3155 ,042-782-5390,http://vita.tc/shops/386,らーめん専門店,11:30～21:00,月曜
71,EPSG:6677,-34896.62639,-50790.57196,アサノ,194-0013,東京都町田市原町田4-5-19 町田仲見世飲食街,042-729-7258,http://vita.tc/shops/344,カレー専門店,11:30～14:00(並んだ人まで)､17:00～20:00,水曜､第2･3木曜(祝日の場合は翌日休)､年末年始
72,EPSG:6677,-34986.75204,-50251.34239,いぶし銀,194-0013,東京都町田市原町田6-29-4 寺田ビル1-Ｂ,042-728-9295,http://vita.tc/shops/387,らーめん専門店,月～金 11:30～14:00､18:00～22:00土･日･祝日 11:30～15:00､17:30～21:00(スープが無くなり次第終了),無休(臨時休業あり)
73,EPSG:6677,-35243.47594,-50336.47867,GOCHI ときわ,194-0022,東京都町田市森野1-35-10 ,042-729-3006,http://vita.tc/shops/2,寿司,L 11:30～14:00D 17:00～22:00,水曜
74,EPSG:6677,-35689.33057,-49086.31409,SUNNY BAKKERY,194-0023,東京都町田市旭町1-21-14,042-850-8555,http://vita.tc/shops/390,ベーカリー,9:00～18:00,月･火曜日
75,EPSG:6677,-34813.3838,-50938.08184,Bistro chez Riki,194-0013,東京都町田市原町田3-1-4 町田ターミナルプラザ２F,042-724-7678,http://vita.tc/shops/391,洋食,L 11:00?15:00D 17:00?21:00,月曜
76,EPSG:6677,-34536.41312,-50624.95835,Un petit peu,194-0013,東京都町田市原町田4-23-2 ,042-728-6162,http://vita.tc/shops/392,ワインバー,平日 12:00～18:00金･土 12:00～23:00日 16:00～23:00,月･水曜日､不定休有
77,EPSG:6677,-35507.89511,-50370.21998,DINING BAR SUU,194-0022,東京都町田市森野1-9-18? まるかビル B1F,042-851-7652,http://vita.tc/shops/393,中華,平日のみ 11:30～13:30上記以外 17:00～24:00,不定休
78,EPSG:6677,-32758.0935,-51297.07218,きち吉,194-0045,東京都町田市南成瀬1-8-10 ,042-739-1005,http://vita.tc/shops/324,お好み焼き･もんじゃ焼き,17:30～23:30,火曜日(第3月休※祝日営業)
