区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／比（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／比（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／比（％）
〔就業者の主な産業別内訳〕／金融・保険業,220,228,-8,-3.5,122,119,3,2.5,99,109,-10,-9.2
〔就業者の主な産業別内訳〕／不動産業,175,159,16,10.1,110,100,10,10,65,59,6,10.2
〔就業者の主な産業別内訳〕／飲食店，宿泊業,434,429,5,1.2,205,209,-4,-1.9,229,220,9,4.1
〔就業者の主な産業別内訳〕／医療，福祉,515,522,-7,-1.3,128,131,-3,-2.3,387,392,-5,-1.3
〔就業者の主な産業別内訳〕／教育，学習支援業,293,292,1,0.3,133,134,-1,-0.7,161,158,3,1.9
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,1267,1223,44,3.6,708,697,11,1.6,558,525,33,6.3
〔雇用者の主な産業別内訳〕／建設業,381,385,-4,-1,322,328,-6,-1.8,59,58,1,1.7
〔雇用者の主な産業別内訳〕／製造業,768,767,1,0.1,542,547,-5,-0.9,225,219,6,2.7
〔雇用者の主な産業別内訳〕／情報通信業,461,435,26,6,340,313,27,8.6,121,121,0,0
〔雇用者の主な産業別内訳〕／運輸業,309,267,42,15.7,255,217,38,17.5,54,49,5,10.2
〔雇用者の主な産業別内訳〕／卸売・小売業,1046,1034,12,1.2,533,540,-7,-1.3,514,494,20,4
〔雇用者の主な産業別内訳〕／金融・保険業,217,220,-3,-1.4,119,113,6,5.3,98,107,-9,-8.4
〔雇用者の主な産業別内訳〕／不動産業,155,140,15,10.7,100,90,10,11.1,55,49,6,12.2
〔雇用者の主な産業別内訳〕／飲食店，宿泊業,342,343,-1,-0.3,160,170,-10,-5.9,182,173,9,5.2
〔雇用者の主な産業別内訳〕／医療，福祉,477,476,1,0.2,104,102,2,2,373,374,-1,-0.3
〔雇用者の主な産業別内訳〕／教育，学習支援業,265,261,4,1.5,128,127,1,0.8,137,134,3,2.2
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,1049,978,71,7.3,572,549,23,4.2,477,429,48,11.2
〔非農林業雇用者の従業者規模別内訳〕／総数,5775,5640,135,2.4,3388,3336,52,1.6,2386,2304,82,3.6
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1860,1805,55,3,1076,1065,11,1,784,740,44,5.9
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1826,1725,101,5.9,1056,1005,51,5.1,769,720,49,6.8
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1655,1629,26,1.6,1003,983,20,2,652,646,6,0.9
〔完全失業率（年齢階級別）(%)〕／総数,4.2,4.7,-0.5,,4.3,4.7,-0.4,,4,4.7,-0.7,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,6,8.1,-2.1,,6.2,8.7,-2.5,,5.7,7.6,-1.9,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,5.5,5.6,-0.1,,5.8,5.3,0.5,,5.1,6.1,-1,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,3.4,4,-0.6,,3.3,4,-0.7,,3.7,4.1,-0.4,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3.3,3.4,-0.1,,3.1,3.6,-0.5,,3.6,3.1,0.5,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,4.2,4.9,-0.7,,4.7,5.3,-0.6,,3.1,4.3,-1.2,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.3,2.9,-0.6,,2.7,3.6,-0.9,,1.4,1.6,-0.2,
〔労働力人口比率(%)〕／総数,62.1,61.9,0.2,,74.4,74.5,-0.1,,50,49.5,0.5,
,,,,,,,,,,,,
東京の労働力統計データ（平成18年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成18年平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても総数と一致しない。,,,,,,,,,,,,
注3)「雇用者の主な産業別内訳」は17年集計から追加した。,,,,,,,,,,,,
