区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年比／総数（％）,対前年比／15～24歳（％）,対前年比／25～34歳（％）,対前年比／35～44歳（％）,対前年比／45～54歳（％）,対前年比／55～64歳（％）,対前年比／65歳以上（％）
就業者数／平成10年平均,1998,3827,341,995,733,849,632,278,-52,-54,10,1,-18,3,7,-1.3,-13.7,1,0.1,-2.1,0.5,2.6
就業者数／平成11年平均,1999,3765,302,986,739,819,640,279,-62,-39,-9,6,-30,8,1,-1.6,-11.4,-0.9,0.8,-3.5,1.3,0.4
就業者数／平成12年平均,2000,3749,296,998,762,805,619,269,-16,-6,12,23,-14,-21,-10,-0.4,-2,1.2,3.1,-1.7,-3.3,-3.6
就業者数／平成13年平均,2001,3717,268,1009,773,799,593,275,-32,-28,11,11,-6,-26,6,-0.9,-9.5,1.1,1.4,-0.7,-4.2,2.2
就業者数／平成14年平均,2002,3827,319,993,823,786,601,305,110,51,-16,50,-13,8,30,3,19,-1.6,6.5,-1.6,1.3,10.9
就業者数／平成15年平均,2003,3860,295,1011,858,752,632,312,33,-24,18,35,-34,31,7,0.9,-7.5,1.8,4.3,-4.3,5.2,2.3
就業者数／平成16年平均,2004,3820,267,978,875,717,669,314,-40,-28,-33,17,-35,37,2,-1,-9.5,-3.3,2,-4.7,5.9,0.6
就業者数／平成17年平均,2005,3840,264,974,899,696,680,326,20,-3,-4,24,-21,11,12,0.5,-1.1,-0.4,2.7,-2.9,1.6,3.8
就業者数／平成18年平均,2006,3879,256,960,928,694,684,357,39,-8,-14,29,-2,4,31,1,-3,-1.4,3.2,-0.3,0.6,9.5
完全失業者数／平成９年平均,1997,158,32,40,22,27,31,6,…,…,…,…,…,…,…,-,-,-,-,-,-,-
完全失業者数／平成10年平均,1998,201,36,51,31,28,43,13,43,4,11,9,1,12,7,27.2,12.5,27.5,40.9,3.7,38.7,116.7
完全失業者数／平成11年平均,1999,224,40,60,30,32,49,14,23,4,9,-1,4,6,1,11.4,11.1,17.6,-3.2,14.3,14,7.7
完全失業者数／平成12年平均,2000,196,30,51,28,33,45,9,-28,-10,-9,-2,1,-4,-5,-12.5,-25,-15,-6.7,3.1,-8.2,-35.7
完全失業者数／平成13年平均,2001,207,31,59,28,33,46,10,11,1,8,0,0,1,1,5.6,3.3,15.7,0,0,2.2,11.1
完全失業者数／平成14年平均,2002,227,41,63,32,34,48,9,20,10,4,4,1,2,-1,9.7,32.3,6.8,14.3,3,4.3,-10
完全失業者数／平成15年平均,2003,199,29,51,32,32,42,13,-28,-12,-12,0,-2,-6,4,-12.3,-29.3,-19,0,-5.9,-12.5,44.4
完全失業者数／平成16年平均,2004,202,28,66,31,28,38,9,3,-1,15,-1,-4,-4,-4,1.5,-3.4,29.4,-3.1,-12.5,-9.5,-30.8
完全失業者数／平成17年平均,2005,191,25,54,37,26,38,12,-11,-3,-12,6,-2,0,3,-5.4,-10.7,-18.2,19.4,-7.1,0,33.3
完全失業者数／平成18年平均,2006,175,17,59,32,22,34,10,-16,-8,5,-5,-4,-4,-2,-8.4,-32,9.3,-13.5,-15.4,-10.5,-16.7
非労働力人口／平成９年平均,1997,1085,495,42,20,19,91,419,…,…,…,…,…,…,…,-,-,-,-,-,-,-
非労働力人口／平成10年平均,1998,1104,500,45,14,20,86,439,19,5,3,-6,1,-5,20,1.8,1,7.1,-30,5.3,-5.5,4.8
非労働力人口／平成11年平均,1999,1120,481,59,16,16,81,466,16,-19,14,2,-4,-5,27,1.4,-3.8,31.1,14.3,-20,-5.8,6.2
非労働力人口／平成12年平均,2000,1159,455,56,15,22,98,513,39,-26,-3,-1,6,17,47,3.5,-5.4,-5.1,-6.3,37.5,21,10.1
非労働力人口／平成13年平均,2001,1191,448,55,17,26,104,541,32,-7,-1,2,4,6,28,2.8,-1.5,-1.8,13.3,18.2,6.1,5.5
非労働力人口／平成14年平均,2002,1257,452,64,17,28,121,575,66,4,9,0,2,17,34,5.5,0.9,16.4,0,7.7,16.3,6.3
非労働力人口／平成15年平均,2003,1295,466,55,19,27,127,601,38,14,-9,2,-1,6,26,3,3.1,-14.1,11.8,-3.6,5,4.5
非労働力人口／平成16年平均,2004,1355,467,63,31,35,125,634,60,1,8,12,8,-2,33,4.6,0.2,14.5,63.2,29.6,-1.6,5.5
非労働力人口／平成17年平均,2005,1375,454,72,29,36,130,654,20,-13,9,-2,1,5,20,1.5,-2.8,14.3,-6.5,2.9,4,3.2
非労働力人口／平成18年平均,2006,1392,470,66,34,31,127,665,17,16,-6,5,-5,-3,11,1.2,3.5,-8.3,17.2,-13.9,-2.3,1.7
労働力人口比率／平成９年平均,1997,78.6,46.2,95.8,97.2,97.7,87.6,39.8,…,…,…,…,…,…,…,,,,,,,
労働力人口比率／平成10年平均,1998,78.4,42.9,95.6,97.9,97.7,88.6,39.8,-0.2,-3.3,-0.2,0.7,0,1,0,,,,,,,
労働力人口比率／平成11年平均,1999,77.9,41.4,94.4,97.7,97.7,89.2,38.6,-0.5,-1.5,-1.2,-0.2,0,0.6,-1.2,,,,,,,
労働力人口比率／平成12年平均,2000,77.2,41.7,94.6,98,97.3,87,35.1,-0.7,0.3,0.2,0.3,-0.4,-2.2,-3.5,,,,,,,
労働力人口比率／平成13年平均,2001,76.7,40,95,97.8,96.9,85.9,34.5,-0.5,-1.7,0.4,-0.2,-0.4,-1.1,-0.6,,,,,,,
労働力人口比率／平成14年平均,2002,76.2,44.3,94,97.9,96.7,84.2,35.2,-0.5,4.3,-1,0.1,-0.2,-1.7,0.7,,,,,,,
労働力人口比率／平成15年平均,2003,75.8,41,94.9,97.9,96.6,84,35.1,-0.4,-3.3,0.9,0,-0.1,-0.2,-0.1,,,,,,,
労働力人口比率／平成16年平均,2004,74.7,38.7,94.1,96.6,95.4,84.9,33.8,-1.1,-2.3,-0.8,-1.3,-1.2,0.9,-1.3,,,,,,,
労働力人口比率／平成17年平均,2005,74.5,38.8,93.3,96.8,95.1,84.7,34.1,-0.2,0.1,-0.8,0.2,-0.3,-0.2,0.3,,,,,,,
労働力人口比率／平成18年平均,2006,74.4,36.7,93.8,96.6,95.9,84.9,35.6,-0.1,-2.1,0.5,-0.2,0.8,0.2,1.5,,,,,,,
完全失業率／平成９年平均,1997,3.9,7.5,3.9,2.9,3,4.7,2.2,…,…,…,…,…,…,…,,,,,,,
完全失業率／平成10年平均,1998,5,9.6,4.9,4.1,3.2,6.4,4.5,1.1,2.1,1,1.2,0.2,1.7,2.3,,,,,,,
完全失業率／平成11年平均,1999,5.6,11.7,5.7,3.9,3.8,7.1,4.8,0.6,2.1,0.8,-0.2,0.6,0.7,0.3,,,,,,,
完全失業率／平成12年平均,2000,5,9.2,4.9,3.5,3.9,6.8,3.2,-0.6,-2.5,-0.8,-0.4,0.1,-0.3,-1.6,,,,,,,
完全失業率／平成13年平均,2001,5.3,10.4,5.5,3.5,4,7.2,3.5,0.3,1.2,0.6,0,0.1,0.4,0.3,,,,,,,
完全失業率／平成14年平均,2002,5.6,11.4,6,3.7,4.1,7.4,2.9,0.3,1,0.5,0.2,0.1,0.2,-0.6,,,,,,,
完全失業率／平成15年平均,2003,4.9,9,4.8,3.6,4.1,6.2,4,-0.7,-2.4,-1.2,-0.1,0,-1.2,1.1,,,,,,,
完全失業率／平成16年平均,2004,5,9.5,6.3,3.4,3.8,5.4,2.8,0.1,0.5,1.5,-0.2,-0.3,-0.8,-1.2,,,,,,,
完全失業率／平成17年平均,2005,4.7,8.7,5.3,4,3.6,5.3,3.6,-0.3,-0.8,-1,0.6,-0.2,-0.1,0.8,,,,,,,
完全失業率／平成18年平均,2006,4.3,6.2,5.8,3.3,3.1,4.7,2.7,-0.4,-2.5,0.5,-0.7,-0.5,-0.6,-0.9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成18年平均）,,,,,,,,,,,,,,,,,,,,,,
第３表　年齢階層別就業状態（男）,,,,,,,,,,,,,,,,,,,,,,
