年,西暦（年）,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
昭和44年平均,1969,- ,- ,29.9,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和45年平均,1970,32,32,32.1,31.7,30.2,28.3,30.9,83.8,31.6,37.1,36.8,13.4,38.1,27.1
昭和46年平均,1971,34,34.1,34.1,33.8,32.1,30.3,31.3,87.6,34.7,37.6,37.8,14.5,40.8,28.5
昭和47年平均,1972,35.9,36.3,35.7,35,35.9,32.8,32.4,89.3,36.7,41.3,39.6,15.5,42.8,29.7
昭和48年平均,1973,40.2,40.4,39.9,39.8,39.9,36.4,34.5,100.1,44.4,40.6,41.9,17.2,47.1,31.9
昭和49年平均,1974,48.7,48.6,48.9,50.1,45.1,44.6,40.5,136.4,54,44,48.7,20.6,57.1,36.8
昭和50年平均,1975,54.6,54.8,54.8,56.4,50.3,48.5,47.9,137.6,57.1,49.7,55.7,26.4,65.5,41.7
昭和51年平均,1976,59.9,59.8,60.1,61.8,55.1,53.1,53.3,138.7,62.2,54.3,60.9,30.7,69.7,50.3
昭和52年平均,1977,64.8,64.8,65.1,65.9,60.4,57.8,58.8,143.2,65.2,56.9,74.3,35.2,74.5,53.7
昭和53年平均,1978,68.1,68.1,67.9,68.4,66,61.8,57.9,145.2,68,62.9,76.2,39.6,77.7,55.3
昭和54年平均,1979,70.6,70.6,70.3,69.4,69.8,65.5,61.3,147.1,70.7,65.4,80.6,43.5,80.1,56.9
昭和55年平均,1980,75.6,75.6,75.6,73.4,71.6,69.2,81.5,158.4,74.1,66.5,84.5,47.6,86,65.1
昭和56年平均,1981,79.2,79.1,79.3,77,74.3,72.2,88.2,164,76.8,68.2,87.8,51.3,90.1,68.4
昭和57年平均,1982,81.6,81.8,81.7,78.7,76.4,74,94.3,165.2,79.6,69.8,92.7,54.5,91.9,69.7
昭和58年平均,1983,83.3,83.4,83.4,80.3,78.4,76.5,94,164.9,81.4,70.8,92,57.2,94.7,72.9
昭和59年平均,1984,85.5,85.5,85.7,82.6,80.3,79.2,95,165.7,83.9,73.2,93.6,59.7,97.1,74.4
昭和60年平均,1985,87.5,87.5,87.6,84,82.9,81.7,95.3,166.5,87,77.7,96,62.7,98.8,75.2
昭和61年平均,1986,88.3,88.5,88.2,84.1,84.6,83.1,90.5,167.2,89.6,79.2,95.9,65.1,100.7,76.6
昭和62年平均,1987,88.6,88.9,88.3,83.9,87,85.4,83.9,166.5,89.2,80.9,96.6,67.3,101.7,77.5
昭和63年平均,1988,89.5,89.6,89.2,84.9,88.5,87.2,82.3,165.7,90.4,81,96.4,69.8,103,78.2
平成元年平均,1989,92,92.1,91.5,87.2,91.4,89.9,81.5,166.9,95.3,82.1,97.5,72,106.6,79.5
平成2年平均,1990,94.8,94.5,94.3,91,94.1,93.1,81.9,166.9,99,82.8,98.5,75.1,111,80.8
平成3年平均,1991,97.9,97.3,97.5,95.2,97.3,96.6,82.5,168.2,105.1,83.7,99.2,77.7,114.1,82.3
平成4年平均,1992,99.8,99.6,99.2,95.8,100.5,100.3,82.5,170.2,107.8,85.9,101.6,80.4,117.2,83.4
平成5年平均,1993,101,101,100,96.7,104,102.7,82.3,168.9,105.5,86.2,101.7,83.3,119.4,84.6
平成6年平均,1994,101.7,101.6,100.4,97.4,106.2,104.1,83.2,164.5,103,86.6,101.1,85.8,120.5,85.6
平成7年平均,1995,101.4,101.5,100.1,96,106.6,105.5,84.5,161.5,102.2,87,102.5,87.8,118.8,86.2
平成8年平均,1996,101.4,101.5,100.1,95.8,106.4,105.5,83.8,156.9,103.3,87.7,103.3,90.1,117.7,86.6
平成9年平均,1997,102.7,102.9,101.6,97.4,107,105.6,86.6,155.1,104.8,92.3,103.6,91.5,119.6,88.3
平成10年平均,1998,103.5,103.5,102.5,98.8,107.2,105.4,85.9,152.2,107.1,99.8,102.5,93,119.8,89.4
平成11年平均,1999,103.1,103.2,101.8,98,107.5,105,85,150.1,105.5,99,102.3,94.3,118.8,89.5
平成12年平均,2000,102.1,102.5,100.8,95.9,106.6,104.4,85.7,146.5,104.9,98.1,101.9,95.3,117.6,89.1
平成13年平均,2001,101,101.3,99.9,95.5,104.9,103.6,85.7,141.1,103.2,98.6,100.8,96.1,114.2,89.1
平成14年平均,2002,100,100.4,98.9,94.9,103.9,103,83.9,135.2,101.2,97.5,100.4,97.2,111.8,89
平成15年平均,2003,99.6,100,98.5,94.7,103.3,102.5,83.7,131.3,100.2,101,100.1,97.2,110.4,90
平成16年平均,2004,99.5,99.8,98.5,95.5,103.1,102.5,83,128.3,100.3,100.7,99.8,97.4,109.1,90.3
平成17年平均,2005,98.9,99.4,97.9,94.4,103.1,102.2,81.8,125.1,100.4,100.6,99,97.9,108.4,90.4
平成18年平均,2006,99,99.4,98.1,94.8,103.2,102.2,83.6,122.7,101.1,100,98.6,98.5,107.5,91.2
平成19年平均,2007,99.1,99.4,98,95,103.3,102,84.5,120.5,100.6,100,98.4,99.7,106.5,91.6
平成20年平均,2008,100.1,100.4,99.1,96.9,103.5,102.2,87.9,119,100.7,100,99.6,100.4,106.2,92.2
平成21年平均,2009,98.9,99.4,97.9,96.5,103,101.8,86.3,116,99.1,100.1,97,101,103,91.4
平成22年平均,2010,98,98.2,96.9,96.1,102.2,101,84.4,111.1,97.6,99.6,97.2,96.2,101.5,92.4
平成23年平均,2011,97.5,97.8,96.4,95.4,101.7,100.4,86.7,104.8,98,98.9,97.8,96.2,98.1,95
平成24年平均,2012,97,97.3,96,94.7,101,99.8,92.1,98.8,97.8,98.6,97.7,96.4,95.5,94.4
平成25年平均,2013,97.1,97.3,96.2,94.4,100.4,99.4,97.4,96.3,97.4,98,98.1,96.7,94.6,95.3
平成26年平均,2014,99.3,99.4,99,97.5,100.3,99.9,102.7,99.5,99.1,98.8,100.5,98.8,98.2,98.9
平成27年平均,2015,100,100,100,100,100,100,100,100,100,100,100,100,100,100
平成28年平均,2016,99.8,99.7,99.9,101.5,99.7,99.4,89.8,100,100.7,100.9,98.8,100.9,101.5,100.7
平成29年平均,2017,100,99.8,100.1,101.9,99.3,99.2,91.1,99.9,101.2,101.6,98.3,101.2,102,100.6
平成30年平均,2018,100.9,100.6,101.3,103.4,99.4,99.2,94.9,99.4,101.7,103.4,98.8,101.7,103.2,101.1
,,,,,,,,,,,,,,,
東京の物価／平成３１年２月,,,,,,,,,,,,,,,
２．東京都区部消費者物価１０大費目指数（年平均）,,,,,,,,,,,,,,,
２０１５年＝１００／(平成２７年＝１００),,,,,,,,,,,,,,,
