,,,,,,,(単位：ＴＥＵ）
チェンナイ,2,2,-,-,-,2,-
ツチコリン,13,13,-,-,-,13,-
コーチン,92,92,-,-,-,92,-
マルマガオ,2,2,-,-,-,2,-
ナブラキ,301,301,-,-,-,301,-
ハルディア,35,35,-,-,-,35,-
ムンドラ,177,177,-,-,-,177,-
ナヴァセバ,"1,366","1,366",-,"1,217",-,149,-
ピパバブ,499,399,100,144,100,255,-
ハジラ,38,38,-,-,-,38,-
諸港(インド),55,55,-,-,-,55,-
パキスタン,192,184,8,74,-,110,8
カラチ,192,184,8,74,-,110,8
バングラディシュ,28,28,-,-,-,28,-
