雑工業品,,"1,754,895","143,501","1,611,394","1,038",-,"1,038","4,885,949","752,767","4,133,182","676,212","26,240","649,972",,,,,,,
67,がん具,"141,233","3,293","137,940",-,-,-,"313,278","12,966","300,312","29,627",779,"28,848",,,,,,,
68,衣服・身廻品・はきもの,"571,150","48,770","522,380",-,-,-,"1,869,509","69,798","1,799,711","370,170","2,453","367,717",,,,,,,
69,文房具・運動娯楽用品・楽器,"97,127","13,199","83,928",2,-,2,"402,149","76,491","325,658","59,858","4,551","55,307",,,,,,,
70,家具装備品,"355,187","15,258","339,929",-,-,-,"924,357","68,672","855,685","120,836","2,117","118,719",,,,,,,
71,その他日用品,"61,475","6,959","54,516",-,-,-,"243,425","104,855","138,570","13,701","1,289","12,412",,,,,,,
72,ゴム製品,"97,970","21,933","76,037",-,-,-,"529,128","292,986","236,142","13,628","3,027","10,601",,,,,,,
73,木製品,"359,304",612,"358,692","1,036",-,"1,036","361,176","2,510","358,666","39,870",421,"39,449",,,,,,,
74,その他製造工業品,"71,449","33,477","37,972",-,-,-,"242,927","124,489","118,438","28,522","11,603","16,919",,,,,,,
特殊品,,"873,437","384,748","488,689","4,221",225,"3,996","2,402,502","1,198,312","1,204,190","268,705","231,607","37,098",,,,,,,
75,金属くず,"31,843","15,490","16,353",19,-,19,"55,812","14,372","41,440","4,392","2,260","2,132",,,,,,,
76,再利用資材,"311,295","300,650","10,645",238,-,238,"918,460","891,721","26,739","216,325","216,115",210,,,,,,,
77,動植物性製造飼肥料,"343,247","9,181","334,066","3,586",-,"3,586","639,167","9,282","629,885","4,330",151,"4,179",,,,,,,
78,廃棄物,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
79,廃土砂,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
80,輸送用容器,"144,380","26,286","118,094",153,-,153,"582,524","116,962","465,562","36,573","9,064","27,509",,,,,,,
81,取合せ品,"42,672","33,141","9,531",225,225,-,"206,539","165,975","40,564","7,085","4,017","3,068",,,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
