行,EPSGコード,経度,緯度,名称,場所,備考,巡回日時,ホームページリンク,連絡先
11,EPSG:6668,139.4675533,35.50974002,鶴間公園,町田市鶴間3-1-1,公園内水道みち,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
12,EPSG:6668,139.4768824,35.50528267,鶴間三角公園,町田市鶴間6-10,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
13,EPSG:6668,139.4718293,35.50673656,鶴間風の子公園,町田市鶴間4-8,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
14,EPSG:6668,139.4731712,35.51466275,鶴間ガーデンセシア,町田市南町田5-14,ガーデンセシア壱番館前,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
15,EPSG:6668,139.4737108,35.51822686,セルシオヒルズすずかけ台,町田市小川6-25,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
16,EPSG:6668,139.4778267,35.51897514,南つくし野やなぎ公園,町田市南つくし野3-14,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
17,EPSG:6668,139.4823534,35.52056458,つくし野セントラルパーク,町田市つくし野3-19,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
18,EPSG:6668,139.4792998,35.53652328,総合体育館駐車場入口,町田市南成瀬5-12,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
19,EPSG:6668,139.4806826,35.54957761,成瀬熊ヶ谷戸公園,町田市成瀬台2-33-1,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
20,EPSG:6668,139.4774664,35.55500866,成瀬台公園,町田市成瀬台3-7,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
21,EPSG:6668,139.4701571,35.55757141,東玉川学園１丁目児童公園,町田市東玉川学園1-3385-3,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
22,EPSG:6668,139.4890026,35.57460778,三輪中央公園,町田市三輪緑山3-21,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
23,EPSG:6668,139.4923663,35.57666806,三輪沢谷戸かえで公園,町田市三輪緑山1-35,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
24,EPSG:6668,139.4911137,35.58309142,三輪第一住宅バス停前,町田市三輪町32,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
25,EPSG:6668,139.4651787,35.57776369,金井森の丘公園,町田市金井6-1255-133,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
26,EPSG:6668,139.4461817,35.58203739,薬師ヶ丘住宅,町田市野津田町3241-3,自治会集会所,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
27,EPSG:6668,139.4528735,35.58050547,薬師台青空公園,町田市薬師台2-13-3,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
28,EPSG:6668,139.4591783,35.5819378,金井関山公園,町田市金井3-12-1,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
29,EPSG:6668,139.455676,35.58391831,山王塚公園,町田市薬師台3-3-20,山王ガーデンシティ側,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
30,EPSG:6668,139.4703547,35.60022494,鶴川台緑の里公園,町田市真光寺2-26-1,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
31,EPSG:6668,139.4656984,35.60395053,鶴川台丘の里公園,町田市真光寺1-13-1,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
32,EPSG:6668,139.4242898,35.58321024,イリーゼ町田図師の丘,町田市図師町1896-1,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
33,EPSG:6668,139.4148236,35.56654086,都営町田中里橋アパート,町田市木曽西1-33,アパート内公園,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
34,EPSG:6668,139.4241309,35.55899572,境川住宅管理事務所前,町田市木曽東2-10,境川団地16号棟前,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
35,EPSG:6668,139.432783,35.5552821,木曽森野防災市民いこいの広場,町田市森野4-8,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
36,EPSG:6668,139.4604419,35.57547889,金井中央ふれあい公園,町田市金井5-5,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
37,EPSG:6668,139.4538121,35.55741962,本町田住宅貝がら公園,町田市本町田29,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
