行,EPSGコード,経度,緯度,名称,場所,備考,巡回日時,ホームページリンク,連絡先
13,EPSG:6668,139.372516,35.60220925,小山中央小学校前,町田市小山ヶ丘3-7-1,,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
14,EPSG:6668,139.4353341,35.58976228,町田荘,町田市図師町2987,,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
15,EPSG:6668,139.4086134,35.58359464,都営八幡平,町田市下小山田町3567-1,,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
16,EPSG:6668,139.435021,35.58752755,福音会,町田市野津田町1932,,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
17,EPSG:6668,139.4051454,35.57865989,矢部八幡,町田市矢部町2666,,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
18,EPSG:6668,139.3638869,35.60278994,小山白山公園,町田市小山ケ丘5-4,小山白山公園入口,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
19,EPSG:6668,139.4024037,35.58997139,小山田桜台,町田市小山田桜台1-20,,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
20,EPSG:6668,139.4457946,35.59597492,鶴川さくら病院前,町田市小野路町1632,,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
21,EPSG:6668,139.4345436,35.58211024,山崎第二スポーツ広場,町田市山崎町566-1,,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
22,EPSG:6668,139.4369711,35.57710112,シーアイハイツ町田,町田市山崎町1356,,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
