地域階層,地域,和暦年度,西暦年度,幼稚園数（園）,幼稚園数／うち分園（園）,幼稚園数／国立（園）,幼稚園数／公立（園）,幼稚園数／私立（園）,幼稚園数／私立／学校法人立（園）,幼稚園数／私立／財団法人立（園）,幼稚園数／私立／社団法人立（園）,幼稚園数／私立／宗教法人立（園）,幼稚園数／私立／その他の法人立（園）,幼稚園数／私立／個人立（園）,学級数（学級）,学級数／国立（学級）,学級数／公立（学級）,学級数／私立（学級）
2,神津島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,三宅村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,御蔵島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,八丈町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,青ヶ島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,小笠原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,
２－１　幼稚園　区市町村、設置者別園数及び学級数,,,,,,,,,,,,,,,,,,
注１）在籍者のいない幼稚園を含む。,,,,,,,,,,,,,,,,,,
注２）公立は、区市立のみである。,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,
