種別,地域階層,地域,和暦（年度）,西暦（年度）,不就学者数（人）,不就学者数／就学免除者（人）,不就学者数／就学免除者／６～１１歳（人）,不就学者数／就学免除者／６～１１歳／男（人）,不就学者数／就学免除者／６～１１歳／女（人）,不就学者数／就学免除者／１２～１４歳（人）,不就学者数／就学免除者／１２～１４歳／男（人）,不就学者数／就学免除者／１２～１４歳／女（人）,不就学者数／就学猶予者（人）,不就学者数／就学猶予者／６～１１歳（人）,不就学者数／就学猶予者／６～１１歳／男（人）,不就学者数／就学猶予者／６～１１歳／女（人）,不就学者数／就学猶予者／１２～１４歳（人）,不就学者数／就学猶予者／１２～１４歳／男（人）,不就学者数／就学猶予者／１２～１４歳／女（人）,１年以上居所不明者数（人）,死亡者数（前年度間）（人）
総数（国・公・私立）,2,台東区,令和4,2022,21,21,15,10,5,6,－,6,－,－,－,－,－,－,－,1,1
総数（国・公・私立）,2,墨田区,令和4,2022,10,－,－,－,－,－,－,－,10,8,3,5,2,1,1,－,－
総数（国・公・私立）,2,江東区,令和4,2022,56,56,37,18,19,19,11,8,－,－,－,－,－,－,－,－,2
総数（国・公・私立）,2,品川区,令和4,2022,21,－,－,－,－,－,－,－,21,11,7,4,10,2,8,－,－
総数（国・公・私立）,2,目黒区,令和4,2022,105,－,－,－,－,－,－,－,105,105,58,47,－,－,－,－,－
総数（国・公・私立）,2,大田区,令和4,2022,53,53,37,16,21,16,11,5,－,－,－,－,－,－,－,－,2
総数（国・公・私立）,2,世田谷区,令和4,2022,223,221,125,63,62,96,44,52,2,2,1,1,－,－,－,－,1
総数（国・公・私立）,2,渋谷区,令和4,2022,183,183,127,61,66,56,24,32,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,中野区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,杉並区,令和4,2022,33,33,21,7,14,12,7,5,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,豊島区,令和4,2022,7,7,4,3,1,3,－,3,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,北区,令和4,2022,41,41,22,12,10,19,14,5,－,－,－,－,－,－,－,－,3
総数（国・公・私立）,2,荒川区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－
総数（国・公・私立）,2,板橋区,令和4,2022,68,－,－,－,－,－,－,－,68,40,22,18,28,11,17,－,1
総数（国・公・私立）,2,練馬区,令和4,2022,7,7,3,－,3,4,3,1,－,－,－,－,－,－,－,－,3
総数（国・公・私立）,2,足立区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2
総数（国・公・私立）,2,葛飾区,令和4,2022,7,7,3,2,1,4,2,2,－,－,－,－,－,－,－,4,2
総数（国・公・私立）,2,江戸川区,令和4,2022,19,19,16,6,10,3,2,1,－,－,－,－,－,－,－,－,2
総数（国・公・私立）,1,市部,令和4,2022,125,91,57,33,24,34,21,13,34,22,14,8,12,7,5,3,15
総数（国・公・私立）,2,八王子市,令和4,2022,2,2,2,1,1,－,－,－,－,－,－,－,－,－,－,－,2
総数（国・公・私立）,2,立川市,令和4,2022,4,4,3,3,－,1,1,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,武蔵野市,令和4,2022,5,－,－,－,－,－,－,－,5,3,1,2,2,－,2,－,－
総数（国・公・私立）,2,三鷹市,令和4,2022,1,1,－,－,－,1,1,－,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,青梅市,令和4,2022,3,3,3,1,2,－,－,－,－,－,－,－,－,－,－,－,2
総数（国・公・私立）,2,府中市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,昭島市,令和4,2022,11,11,5,2,3,6,2,4,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,調布市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2
総数（国・公・私立）,2,町田市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2
総数（国・公・私立）,2,小金井市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,小平市,令和4,2022,2,1,1,－,1,－,－,－,1,－,－,－,1,－,1,－,1
総数（国・公・私立）,2,日野市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,東村山市,令和4,2022,1,1,－,－,－,1,1,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,国分寺市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,国立市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,福生市,令和4,2022,26,－,－,－,－,－,－,－,26,17,11,6,9,7,2,3,－
総数（国・公・私立）,2,狛江市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,東大和市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,清瀬市,令和4,2022,1,－,－,－,－,－,－,－,1,1,1,－,－,－,－,－,－
総数（国・公・私立）,2,東久留米市,令和4,2022,15,15,7,4,3,8,3,5,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,武蔵村山市,令和4,2022,42,42,27,16,11,15,11,4,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,多摩市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,稲城市,令和4,2022,1,－,－,－,－,－,－,－,1,1,1,－,－,－,－,－,2
総数（国・公・私立）,2,羽村市,令和4,2022,11,11,9,6,3,2,2,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,あきる野市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,西東京市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,1,郡部,令和4,2022,3,3,1,1,－,2,2,－,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,瑞穂町,令和4,2022,3,3,1,1,－,2,2,－,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,日の出町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,檜原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,奥多摩町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,1,島部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,大島町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,利島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,新島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,神津島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,三宅村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,御蔵島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,八丈町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,青ヶ島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,小笠原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,
１９－２　不就学学齢児童生徒調査　区市町村別不就学者数、１年以上居所不明者数及び死亡者数,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,
