種別,性別,課程,区分,大学等進学者数（人）,大学等進学者数／大学（学部）（人）,大学等進学者数／短期大学（本科）（人）,大学等進学者数／大学・短期大学の通信教育部（人）,大学等進学者数／大学・短期大学（別科）（人）,大学等進学者数／高等学校（専攻科）（人）,大学等進学者数／特別支援学校高等部（専攻科）（人）
総数（国・公・私立）,男,全日制,水産,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,家庭,9,9,－,－,－,－,－
総数（国・公・私立）,男,全日制,看護,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,情報,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,福祉,4,3,1,－,－,－,－
総数（国・公・私立）,男,全日制,その他,334,332,－,1,－,1,－
総数（国・公・私立）,男,全日制,総合学科,453,450,1,2,－,－,－
総数（国・公・私立）,男,定時制,総数,472,451,13,8,－,－,－
総数（国・公・私立）,男,定時制,普通（普通）,306,297,5,4,－,－,－
総数（国・公・私立）,男,定時制,普通（学際領域）,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,普通（地域社会）,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,普通（その他）,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,農業,3,3,－,－,－,－,－
総数（国・公・私立）,男,定時制,工業,5,3,－,2,－,－,－
総数（国・公・私立）,男,定時制,商業,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,水産,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,家庭,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,看護,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,情報,12,10,2,－,－,－,－
総数（国・公・私立）,男,定時制,福祉,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,その他,2,2,－,－,－,－,－
総数（国・公・私立）,男,定時制,総合学科,144,136,6,2,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,総数,36850,35273,1483,60,－,34,－
総数（国・公・私立）,女,総数（全日制・定時制）,普通（普通）,34201,32987,1174,40,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,普通（学際領域）,－,－,－,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,普通（地域社会）,－,－,－,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,普通（その他）,－,－,－,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,農業,120,92,27,1,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,工業,205,197,8,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,商業,417,343,69,5,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,水産,－,－,－,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,家庭,90,47,41,2,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,看護,35,1,－,－,－,34,－
総数（国・公・私立）,女,総数（全日制・定時制）,情報,11,7,4,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,福祉,2,1,1,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,その他,798,755,40,3,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,総合学科,971,843,119,9,－,－,－
総数（国・公・私立）,女,全日制,総数,36464,34942,1444,44,－,34,－
総数（国・公・私立）,女,全日制,普通（普通）,33961,32778,1154,29,－,－,－
総数（国・公・私立）,女,全日制,普通（学際領域）,－,－,－,－,－,－,－
総数（国・公・私立）,女,全日制,普通（地域社会）,－,－,－,－,－,－,－
総数（国・公・私立）,女,全日制,普通（その他）,－,－,－,－,－,－,－
総数（国・公・私立）,女,全日制,農業,120,92,27,1,－,－,－
総数（国・公・私立）,女,全日制,工業,194,187,7,－,－,－,－
総数（国・公・私立）,女,全日制,商業,416,342,69,5,－,－,－
総数（国・公・私立）,女,全日制,水産,－,－,－,－,－,－,－
総数（国・公・私立）,女,全日制,家庭,90,47,41,2,－,－,－
総数（国・公・私立）,女,全日制,看護,35,1,－,－,－,34,－
総数（国・公・私立）,女,全日制,情報,－,－,－,－,－,－,－
総数（国・公・私立）,女,全日制,福祉,2,1,1,－,－,－,－
総数（国・公・私立）,女,全日制,その他,798,755,40,3,－,－,－
総数（国・公・私立）,女,全日制,総合学科,848,739,105,4,－,－,－
総数（国・公・私立）,女,定時制,総数,386,331,39,16,－,－,－
総数（国・公・私立）,女,定時制,普通（普通）,240,209,20,11,－,－,－
総数（国・公・私立）,女,定時制,普通（学際領域）,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,普通（地域社会）,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,普通（その他）,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,農業,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,工業,11,10,1,－,－,－,－
総数（国・公・私立）,女,定時制,商業,1,1,－,－,－,－,－
総数（国・公・私立）,女,定時制,水産,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,家庭,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,看護,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,情報,11,7,4,－,－,－,－
総数（国・公・私立）,女,定時制,福祉,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,その他,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,総合学科,123,104,14,5,－,－,－
,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,
１５－５　卒業後の状況調査（高等学校  全日制・定時制）　学科、課程別大学等進学者数,,,,,,,,,,
