種別,性別,地域階層,地域,和暦（年）,西暦（年）,月,卒業者数（人）,卒業者数／高等学校進学者（Ａ）（人）,卒業者数／専修学校（高等課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／公共職業能力開発施設等入学者（D）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／就職者（人）,卒業者数／左記以外の者（人）,卒業者数／不詳・死亡（人）,左記Ａのうち他県への進学者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ａのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｂのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｃのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｄのうち（人）,左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,高等学校等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（公立）,男,0,総数,令和4,2022,3月,419,417,－,－,－,－,－,－,－,…,2,－,44,－,－,－,－,－,－,99.5,－,－
総数（公立）,男,1,区部,令和4,2022,3月,371,369,－,－,－,－,－,－,－,…,2,－,36,－,－,－,－,－,－,99.5,－,－
総数（公立）,男,2,江東区,令和4,2022,3月,17,17,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
総数（公立）,男,2,品川区,令和4,2022,3月,354,352,－,－,－,－,－,－,－,…,2,－,36,－,－,－,－,－,－,99.4,－,－
総数（公立）,男,1,市部,令和4,2022,3月,48,48,－,－,－,－,－,－,－,…,－,－,8,－,－,－,－,－,－,100,－,－
総数（公立）,男,2,八王子市,令和4,2022,3月,48,48,－,－,－,－,－,－,－,…,－,－,8,－,－,－,－,－,－,100,－,－
総数（公立）,男,1,郡部,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,男,1,島部,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,女,0,総数,平成29,2017,3月,339,339,－,－,－,…,…,…,…,－,－,－,13,－,－,－,－,－,…,100,－,－
総数（公立）,女,0,総数,平成30,2018,3月,335,331,－,－,－,…,…,…,…,－,4,－,11,－,－,－,－,－,…,98.8,－,－
総数（公立）,女,0,総数,平成31,2019,3月,328,323,－,－,－,…,…,…,…,－,5,－,16,－,－,－,－,－,…,98.5,－,－
総数（公立）,女,0,総数,令和2,2020,3月,337,332,－,－,－,－,－,－,－,…,5,－,25,－,－,－,－,－,－,98.5,－,－
総数（公立）,女,0,総数,令和3,2021,3月,392,388,2,－,－,－,－,－,－,…,2,－,23,－,－,－,－,－,－,99,－,－
総数（公立）,女,0,総数,令和4,2022,3月,450,447,1,－,－,－,－,－,－,…,2,－,28,－,－,－,－,－,－,99.3,－,－
総数（公立）,女,1,区部,令和4,2022,3月,393,392,－,－,－,－,－,－,－,…,1,－,21,－,－,－,－,－,－,99.7,－,－
総数（公立）,女,2,江東区,令和4,2022,3月,28,28,－,－,－,－,－,－,－,…,－,－,2,－,－,－,－,－,－,100,－,－
総数（公立）,女,2,品川区,令和4,2022,3月,365,364,－,－,－,－,－,－,－,…,1,－,19,－,－,－,－,－,－,99.7,－,－
総数（公立）,女,1,市部,令和4,2022,3月,57,55,1,－,－,－,－,－,－,…,1,－,7,－,－,－,－,－,－,96.5,－,－
総数（公立）,女,2,八王子市,令和4,2022,3月,57,55,1,－,－,－,－,－,－,…,1,－,7,－,－,－,－,－,－,96.5,－,－
総数（公立）,女,1,郡部,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,女,1,島部,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１４－１　卒業後の状況調査（義務教育学校）　所在地、状況別卒業者数、高等学校等進学率及び卒業者に占める就職者の割合,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注１）義務教育学校は、学校教育法等の一部を改正する法律（平成27年法律第46号。平成28年4月1日施行）により創設された学校をいう。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注２）国立・私立には義務教育学校はない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注３）「就職者等」は、令和２年度からの調査項目である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注４）「就職者」は、令和元年度以前の調査項目である。平成31年3月以前の「就職者」は、雇用契約期間が１年未満で期間の定めのある者及び雇用契約期間の長さにかかわらず短時間勤務の者を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注５）平成31年3月以前の「就職者総数（再掲）」とは、卒業者のうち「就職者」及び「左記A，B，C，Dのうち就職している者(再掲）」を合計した数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注６）令和2年3月以降の「就職者総数（再掲）」とは、「自営業主等」、「無期雇用労働者」、「左記A，B，C，Dのうち就職している者(再掲）」及び「左記E有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）」を合計した数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注７）「左記以外の者」とは、家事手伝いをしている者、外国の高等学校等に入学した者又は進路が未定であることが明らかな者である。平成31年3月以前の「左記以外の者」は、雇用契約期間が1年未満で期間の定めのある者及び雇用契約期間の長さにかかわらず短時間勤務の者を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
