種別,性別,地域階層,地域,和暦（年）,西暦（年）,月,卒業者数（人）,卒業者数／大学等進学者（Ａ）（人）,卒業者数／専修学校（専門課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／公共職業能力開発施設等入学者（D）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／就職者（人）,卒業者数／就職者／正規の職員等（人）,卒業者数／就職者／正規の職員等でない者（人）,卒業者数／一時的な仕事に就いた者（人）,卒業者数／左記以外の者（人）,卒業者数／不詳・死亡（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／自営業主等無期雇用労働者（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／雇用契約期間が一年以上、かつフルタイム勤務相当の者（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／正規の職員等（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／正規の職員等でない者（人）,左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,Ａのうち大学・短期大学の通信教育部を除く進学者（再掲）（人）,大学等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（国・公・私立）,総数（男・女）,2,葛飾区,令和4,2022,3月,1698,858,492,1,6,2,202,39,－,…,…,…,…,98,－,－,－,－,…,…,－,857,50.5,204,12
総数（国・公・私立）,総数（男・女）,2,江戸川区,令和4,2022,3月,3079,2038,517,107,9,10,222,13,12,…,…,…,…,151,－,－,－,－,…,…,－,2037,66.2,232,7.5
総数（国・公・私立）,総数（男・女）,1,市部,令和4,2022,3月,28249,19728,3932,1320,63,17,1266,189,30,…,…,…,…,1704,－,－,－,－,…,…,122,19699,69.8,1405,5
総数（国・公・私立）,総数（男・女）,2,八王子市,令和4,2022,3月,4401,3093,588,153,13,2,150,28,3,…,…,…,…,371,－,－,－,－,…,…,－,3085,70.3,152,3.5
総数（国・公・私立）,総数（男・女）,2,立川市,令和4,2022,3月,1154,684,269,56,1,－,49,－,－,…,…,…,…,95,－,－,－,－,…,…,－,684,59.3,49,4.2
総数（国・公・私立）,総数（男・女）,2,武蔵野市,令和4,2022,3月,1356,1087,43,163,－,－,3,－,－,…,…,…,…,60,－,－,－,－,…,…,－,1087,80.2,3,0.2
総数（国・公・私立）,総数（男・女）,2,三鷹市,令和4,2022,3月,852,695,98,－,－,－,2,2,－,…,…,…,…,55,－,－,－,－,…,…,2,695,81.6,4,0.5
総数（国・公・私立）,総数（男・女）,2,青梅市,令和4,2022,3月,435,174,143,4,3,1,78,－,6,…,…,…,…,26,－,－,－,－,…,…,－,174,40,79,18.2
総数（国・公・私立）,総数（男・女）,2,府中市,令和4,2022,3月,1727,1042,305,88,4,3,172,－,－,…,…,…,…,113,－,－,－,－,…,…,－,1038,60.3,175,10.1
総数（国・公・私立）,総数（男・女）,2,昭島市,令和4,2022,3月,684,451,139,16,－,－,35,－,－,…,…,…,…,43,－,－,－,－,…,…,－,451,65.9,35,5.1
総数（国・公・私立）,総数（男・女）,2,調布市,令和4,2022,3月,1363,1184,45,60,－,1,3,1,－,…,…,…,…,69,－,－,－,－,…,…,－,1182,86.9,4,0.3
総数（国・公・私立）,総数（男・女）,2,町田市,令和4,2022,3月,3152,2131,396,201,9,3,166,18,5,…,…,…,…,223,－,－,－,－,…,…,－,2125,67.6,169,5.4
総数（国・公・私立）,総数（男・女）,2,小金井市,令和4,2022,3月,1337,1135,20,90,3,－,15,－,－,…,…,…,…,74,－,－,－,－,…,…,－,1135,84.9,15,1.1
総数（国・公・私立）,総数（男・女）,2,小平市,令和4,2022,3月,1934,1576,145,137,2,2,16,－,－,…,…,…,…,56,－,－,－,－,…,…,－,1575,81.5,18,0.9
総数（国・公・私立）,総数（男・女）,2,日野市,令和4,2022,3月,934,751,91,77,－,－,10,－,1,…,…,…,…,4,－,－,－,－,…,…,－,751,80.4,10,1.1
総数（国・公・私立）,総数（男・女）,2,東村山市,令和4,2022,3月,1070,658,251,1,1,－,75,－,15,…,…,…,…,69,－,－,－,－,…,…,－,654,61.5,75,7
総数（国・公・私立）,総数（男・女）,2,国分寺市,令和4,2022,3月,727,675,2,46,－,－,1,－,－,…,…,…,…,3,－,－,－,－,…,…,－,675,92.8,1,0.1
総数（国・公・私立）,総数（男・女）,2,国立市,令和4,2022,3月,980,589,175,－,－,2,65,－,－,…,…,…,…,149,－,－,－,－,…,…,－,589,60.1,67,6.8
総数（国・公・私立）,総数（男・女）,2,福生市,令和4,2022,3月,463,154,140,4,－,2,16,120,－,…,…,…,…,27,－,－,－,－,…,…,120,154,33.3,138,29.8
総数（国・公・私立）,総数（男・女）,2,狛江市,令和4,2022,3月,314,255,4,54,1,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,255,81.2,－,－
総数（国・公・私立）,総数（男・女）,2,東大和市,令和4,2022,3月,582,439,81,32,－,－,6,－,－,…,…,…,…,24,－,－,－,－,…,…,－,439,75.4,6,1
総数（国・公・私立）,総数（男・女）,2,清瀬市,令和4,2022,3月,304,261,18,22,1,－,－,－,－,…,…,…,…,2,－,－,－,－,…,…,－,261,85.9,－,－
総数（国・公・私立）,総数（男・女）,2,東久留米市,令和4,2022,3月,578,312,146,30,2,－,24,14,－,…,…,…,…,50,－,－,－,－,…,…,－,312,54,24,4.2
総数（国・公・私立）,総数（男・女）,2,武蔵村山市,令和4,2022,3月,926,646,178,12,2,－,17,－,－,…,…,…,…,71,－,－,－,－,…,…,－,645,69.8,17,1.8
総数（国・公・私立）,総数（男・女）,2,多摩市,令和4,2022,3月,523,334,119,1,3,－,27,－,－,…,…,…,…,39,－,－,－,－,…,…,－,334,63.9,27,5.2
総数（国・公・私立）,総数（男・女）,2,稲城市,令和4,2022,3月,396,252,125,－,－,－,7,－,－,…,…,…,…,12,－,－,－,－,…,…,－,250,63.6,7,1.8
総数（国・公・私立）,総数（男・女）,2,羽村市,令和4,2022,3月,243,63,110,5,－,－,49,6,－,…,…,…,…,10,－,－,－,－,…,…,－,63,25.9,49,20.2
総数（国・公・私立）,総数（男・女）,2,あきる野市,令和4,2022,3月,746,393,151,13,14,1,149,－,－,…,…,…,…,25,－,－,－,－,…,…,－,393,52.7,150,20.1
総数（国・公・私立）,総数（男・女）,2,西東京市,令和4,2022,3月,1068,694,150,55,4,－,131,－,－,…,…,…,…,34,－,－,－,－,…,…,－,693,65,131,12.3
総数（国・公・私立）,総数（男・女）,1,郡部,令和4,2022,3月,181,76,51,－,6,－,32,9,－,…,…,…,…,7,－,－,－,－,…,…,－,76,42,32,17.7
総数（国・公・私立）,総数（男・女）,2,瑞穂町,令和4,2022,3月,181,76,51,－,6,－,32,9,－,…,…,…,…,7,－,－,－,－,…,…,－,76,42,32,17.7
総数（国・公・私立）,総数（男・女）,2,日の出町,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,2,檜原村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,2,奥多摩町,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,1,島部,令和4,2022,3月,205,90,46,13,13,－,32,1,－,…,…,…,…,10,－,－,－,－,…,…,－,89,43.9,32,15.6
総数（国・公・私立）,総数（男・女）,2,大島町,令和4,2022,3月,107,45,27,－,12,－,19,－,－,…,…,…,…,4,－,－,－,－,…,…,－,45,42.1,19,17.8
総数（国・公・私立）,総数（男・女）,2,利島村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,2,新島村,令和4,2022,3月,25,10,－,13,－,－,2,－,－,…,…,…,…,－,－,－,－,－,…,…,－,10,40,2,8
総数（国・公・私立）,総数（男・女）,2,神津島村,令和4,2022,3月,14,4,8,－,－,－,1,－,－,…,…,…,…,1,－,－,－,－,…,…,－,4,28.6,1,7.1
総数（国・公・私立）,総数（男・女）,2,三宅村,令和4,2022,3月,5,2,1,－,－,－,2,－,－,…,…,…,…,－,－,－,－,－,…,…,－,2,40,2,40
総数（国・公・私立）,総数（男・女）,2,御蔵島村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,2,八丈町,令和4,2022,3月,41,22,5,－,－,－,8,1,－,…,…,…,…,5,－,－,－,－,…,…,－,21,53.7,8,19.5
総数（国・公・私立）,総数（男・女）,2,青ヶ島村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,2,小笠原村,令和4,2022,3月,13,7,5,－,1,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,7,53.8,－,－
総数（国・公・私立）,男,0,総数,平成29,2017,3月,49993,30859,4977,3891,237,…,…,…,…,4124,4103,21,211,5681,13,4,…,…,3,1,…,30838,61.7,4128,8.3
総数（国・公・私立）,男,0,総数,平成30,2018,3月,49801,29909,4372,4882,240,…,…,…,…,3899,3882,17,171,6326,2,2,…,…,2,－,…,29887,60.1,3901,7.8
総数（国・公・私立）,男,0,総数,平成31,2019,3月,49839,30183,4954,4401,200,…,…,…,…,3909,3880,29,198,5991,3,2,…,…,1,1,…,30122,60.6,3911,7.8
総数（国・公・私立）,男,0,総数,令和2,2020,3月,49059,30809,5315,3998,190,207,3479,191,122,…,…,…,…,4746,2,9,6,3,…,…,38,30754,62.8,3733,7.6
総数（国・公・私立）,男,0,総数,令和3,2021,3月,48869,32080,5181,3350,227,128,3091,255,55,…,…,…,…,4502,－,5,3,2,…,…,110,32021,65.6,3334,6.8
総数（国・公・私立）,男,0,総数,令和4,2022,3月,48768,33705,4261,3158,182,80,2764,267,76,…,…,…,…,4274,1,3,2,1,…,…,154,33667,69.1,3001,6.2
総数（国・公・私立）,男,1,区部,令和4,2022,3月,34925,24328,2694,2369,118,70,1986,119,70,…,…,…,…,3170,1,3,2,1,…,…,37,24297,69.7,2096,6
総数（国・公・私立）,男,2,千代田区,令和4,2022,3月,993,754,43,123,5,1,27,－,－,…,…,…,…,40,－,－,－,－,…,…,－,752,75.9,28,2.8
総数（国・公・私立）,男,2,中央区,令和4,2022,3月,137,106,－,9,1,－,－,1,－,…,…,…,…,20,－,－,－,－,…,…,1,105,77.4,1,0.7
総数（国・公・私立）,男,2,港区,令和4,2022,3月,1960,1436,41,25,3,－,18,1,1,…,…,…,…,435,－,－,－,－,…,…,－,1435,73.3,18,0.9
総数（国・公・私立）,男,2,新宿区,令和4,2022,3月,1615,1215,18,140,－,1,3,－,－,…,…,…,…,238,－,－,－,－,…,…,－,1215,75.2,4,0.2
総数（国・公・私立）,男,2,文京区,令和4,2022,3月,2397,1918,71,156,2,2,13,6,1,…,…,…,…,228,－,－,－,－,…,…,－,1915,80,15,0.6
総数（国・公・私立）,男,2,台東区,令和4,2022,3月,941,541,97,49,5,1,193,－,－,…,…,…,…,55,－,－,－,－,…,…,－,539,57.5,194,20.6
総数（国・公・私立）,男,2,墨田区,令和4,2022,3月,965,761,72,9,3,－,38,3,－,…,…,…,…,79,－,－,－,－,…,…,－,761,78.9,38,3.9
総数（国・公・私立）,男,2,江東区,令和4,2022,3月,1311,850,90,60,5,5,174,－,2,…,…,…,…,125,－,－,－,－,…,…,－,848,64.8,179,13.7
総数（国・公・私立）,男,2,品川区,令和4,2022,3月,1197,893,37,98,2,－,17,1,12,…,…,…,…,137,－,1,－,1,…,…,－,892,74.6,18,1.5
総数（国・公・私立）,男,2,目黒区,令和4,2022,3月,1477,1126,43,106,1,3,8,－,－,…,…,…,…,190,－,2,2,－,…,…,－,1126,76.2,13,0.9
総数（国・公・私立）,男,2,大田区,令和4,2022,3月,1863,1131,264,92,17,12,178,4,13,…,…,…,…,152,－,－,－,－,…,…,4,1131,60.7,194,10.4
総数（国・公・私立）,男,2,世田谷区,令和4,2022,3月,3929,2660,453,188,17,16,93,26,14,…,…,…,…,462,－,－,－,－,…,…,19,2656,67.7,128,3.3
総数（国・公・私立）,男,2,渋谷区,令和4,2022,3月,1002,770,50,102,－,－,12,8,－,…,…,…,…,60,－,－,－,－,…,…,－,769,76.8,12,1.2
総数（国・公・私立）,男,2,中野区,令和4,2022,3月,1753,1334,136,81,3,－,82,2,－,…,…,…,…,115,－,－,－,－,…,…,－,1330,76.1,82,4.7
総数（国・公・私立）,男,2,杉並区,令和4,2022,3月,2561,1867,181,278,8,3,124,5,7,…,…,…,…,88,－,－,－,－,…,…,2,1867,72.9,129,5
総数（国・公・私立）,男,2,豊島区,令和4,2022,3月,2180,1545,74,255,2,3,161,5,－,…,…,…,…,135,－,－,－,－,…,…,5,1545,70.9,169,7.8
総数（国・公・私立）,男,2,北区,令和4,2022,3月,1220,920,94,48,5,－,23,10,－,…,…,…,…,120,－,－,－,－,…,…,3,920,75.4,26,2.1
総数（国・公・私立）,男,2,荒川区,令和4,2022,3月,611,257,57,169,1,1,83,－,－,…,…,…,…,43,－,－,－,－,…,…,－,254,42.1,84,13.7
総数（国・公・私立）,男,2,板橋区,令和4,2022,3月,1612,1077,122,194,9,2,111,3,－,…,…,…,…,94,－,－,－,－,…,…,2,1074,66.8,115,7.1
総数（国・公・私立）,男,2,練馬区,令和4,2022,3月,1576,1071,164,119,8,6,135,13,－,…,…,…,…,60,－,－,－,－,…,…,－,1068,68,141,8.9
総数（国・公・私立）,男,2,足立区,令和4,2022,3月,1347,673,238,10,10,4,236,9,15,…,…,…,…,151,1,－,－,－,…,…,1,673,50,241,17.9
総数（国・公・私立）,男,2,葛飾区,令和4,2022,3月,879,502,194,1,4,2,100,14,－,…,…,…,…,62,－,－,－,－,…,…,－,502,57.1,102,11.6
総数（国・公・私立）,男,2,江戸川区,令和4,2022,3月,1399,921,155,57,7,8,157,8,5,…,…,…,…,81,－,－,－,－,…,…,－,920,65.8,165,11.8
総数（国・公・私立）,男,1,市部,令和4,2022,3月,13680,9316,1535,781,50,10,740,146,6,…,…,…,…,1096,－,－,－,－,…,…,117,9309,68.1,867,6.3
総数（国・公・私立）,男,2,八王子市,令和4,2022,3月,2157,1462,232,98,12,1,83,15,1,…,…,…,…,253,－,－,－,－,…,…,－,1460,67.8,84,3.9
総数（国・公・私立）,男,2,立川市,令和4,2022,3月,582,383,93,31,－,－,24,－,－,…,…,…,…,51,－,－,－,－,…,…,－,383,65.8,24,4.1
総数（国・公・私立）,男,2,武蔵野市,令和4,2022,3月,520,382,5,100,－,－,2,－,－,…,…,…,…,31,－,－,－,－,…,…,－,382,73.5,2,0.4
総数（国・公・私立）,男,2,三鷹市,令和4,2022,3月,435,359,43,－,－,－,1,2,－,…,…,…,…,30,－,－,－,－,…,…,2,359,82.5,3,0.7
総数（国・公・私立）,男,2,青梅市,令和4,2022,3月,188,70,59,1,3,1,37,－,2,…,…,…,…,15,－,－,－,－,…,…,－,70,37.2,38,20.2
総数（国・公・私立）,男,2,府中市,令和4,2022,3月,966,573,134,32,3,2,133,－,－,…,…,…,…,89,－,－,－,－,…,…,－,571,59.3,135,14
総数（国・公・私立）,男,2,昭島市,令和4,2022,3月,361,245,64,3,－,－,20,－,－,…,…,…,…,29,－,－,－,－,…,…,－,245,67.9,20,5.5
総数（国・公・私立）,男,2,調布市,令和4,2022,3月,530,450,13,25,－,1,3,1,－,…,…,…,…,37,－,－,－,－,…,…,－,449,84.9,4,0.8
総数（国・公・私立）,男,2,町田市,令和4,2022,3月,1520,1033,167,87,5,3,100,6,1,…,…,…,…,118,－,－,－,－,…,…,－,1032,68,103,6.8
総数（国・公・私立）,男,2,小金井市,令和4,2022,3月,758,613,9,70,3,－,14,－,－,…,…,…,…,49,－,－,－,－,…,…,－,613,80.9,14,1.8
総数（国・公・私立）,男,2,小平市,令和4,2022,3月,794,625,44,91,1,－,3,－,－,…,…,…,…,30,－,－,－,－,…,…,－,625,78.7,3,0.4
総数（国・公・私立）,男,2,日野市,令和4,2022,3月,474,377,29,58,－,－,7,－,－,…,…,…,…,3,－,－,－,－,…,…,－,377,79.5,7,1.5
総数（国・公・私立）,男,2,東村山市,令和4,2022,3月,488,310,99,－,－,－,32,－,2,…,…,…,…,45,－,－,－,－,…,…,－,309,63.5,32,6.6
総数（国・公・私立）,男,2,国分寺市,令和4,2022,3月,411,371,－,38,－,－,－,－,－,…,…,…,…,2,－,－,－,－,…,…,－,371,90.3,－,－
総数（国・公・私立）,男,2,国立市,令和4,2022,3月,576,341,78,－,－,－,16,－,－,…,…,…,…,141,－,－,－,－,…,…,－,341,59.2,16,2.8
総数（国・公・私立）,男,2,福生市,令和4,2022,3月,317,87,83,4,－,1,9,115,－,…,…,…,…,18,－,－,－,－,…,…,115,87,27.4,125,39.4
総数（国・公・私立）,男,2,狛江市,令和4,2022,3月,166,124,－,41,1,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,124,74.7,－,－
総数（国・公・私立）,男,2,東大和市,令和4,2022,3月,306,242,22,24,－,－,3,－,－,…,…,…,…,15,－,－,－,－,…,…,－,242,79.1,3,1
総数（国・公・私立）,男,2,清瀬市,令和4,2022,3月,154,126,7,18,1,－,－,－,－,…,…,…,…,2,－,－,－,－,…,…,－,126,81.8,－,－
総数（国・公・私立）,男,2,東久留米市,令和4,2022,3月,302,181,52,13,2,－,11,6,－,…,…,…,…,37,－,－,－,－,…,…,－,181,59.9,11,3.6
総数（国・公・私立）,男,2,武蔵村山市,令和4,2022,3月,432,288,82,8,1,－,6,－,－,…,…,…,…,47,－,－,－,－,…,…,－,288,66.7,6,1.4
総数（国・公・私立）,男,2,多摩市,令和4,2022,3月,178,103,44,－,2,－,11,－,－,…,…,…,…,18,－,－,－,－,…,…,－,103,57.9,11,6.2
総数（国・公・私立）,男,2,稲城市,令和4,2022,3月,55,31,18,－,－,－,3,－,－,…,…,…,…,3,－,－,－,－,…,…,－,31,56.4,3,5.5
総数（国・公・私立）,男,2,羽村市,令和4,2022,3月,111,30,44,5,－,－,26,1,－,…,…,…,…,5,－,－,－,－,…,…,－,30,27,26,23.4
総数（国・公・私立）,男,2,あきる野市,令和4,2022,3月,426,251,62,10,12,1,75,－,－,…,…,…,…,15,－,－,－,－,…,…,－,251,58.9,76,17.8
総数（国・公・私立）,男,2,西東京市,令和4,2022,3月,473,259,52,24,4,－,121,－,－,…,…,…,…,13,－,－,－,－,…,…,－,259,54.8,121,25.6
総数（国・公・私立）,男,1,郡部,令和4,2022,3月,40,13,10,－,4,－,12,1,－,…,…,…,…,－,－,－,－,－,…,…,－,13,32.5,12,30
総数（国・公・私立）,男,2,瑞穂町,令和4,2022,3月,40,13,10,－,4,－,12,1,－,…,…,…,…,－,－,－,－,－,…,…,－,13,32.5,12,30
総数（国・公・私立）,男,2,日の出町,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,男,2,檜原村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,男,2,奥多摩町,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,男,1,島部,令和4,2022,3月,123,48,22,8,10,－,26,1,－,…,…,…,…,8,－,－,－,－,…,…,－,48,39,26,21.1
総数（国・公・私立）,男,2,大島町,令和4,2022,3月,69,28,13,－,9,－,16,－,－,…,…,…,…,3,－,－,－,－,…,…,－,28,40.6,16,23.2
総数（国・公・私立）,男,2,利島村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,男,2,新島村,令和4,2022,3月,14,4,－,8,－,－,2,－,－,…,…,…,…,－,－,－,－,－,…,…,－,4,28.6,2,14.3
総数（国・公・私立）,男,2,神津島村,令和4,2022,3月,8,1,5,－,－,－,1,－,－,…,…,…,…,1,－,－,－,－,…,…,－,1,12.5,1,12.5
総数（国・公・私立）,男,2,三宅村,令和4,2022,3月,4,2,－,－,－,－,2,－,－,…,…,…,…,－,－,－,－,－,…,…,－,2,50,2,50
