種別,性別,地域階層,地域,和暦（年）,西暦（年）,月,修了者数（人）,修了者数／高等学校等進学者（Ａ）（人）,修了者数／高等学校等進学者（Ａ）／高等学校本科（人）,修了者数／高等学校等進学者（Ａ）／高等学校本科／全日制（人）,修了者数／高等学校等進学者（Ａ）／高等学校本科／定時制（人）,修了者数／高等学校等進学者（Ａ）／高等学校本科／通信制（人）,修了者数／高等学校等進学者（Ａ）／中等教育学校後期課程本科（人）,修了者数／高等学校等進学者（Ａ）／中等教育学校後期課程本科／全日制（人）,修了者数／高等学校等進学者（Ａ）／中等教育学校後期課程本科／定時制（人）,修了者数／高等学校等進学者（Ａ）／高等学校別科（人）,修了者数／高等学校等進学者（Ａ）／中等教育学校後期課程別科（人）,修了者数／高等学校等進学者（Ａ）／高等専門学校（人）,修了者数／高等学校等進学者（Ａ）／特別支援学校高等部（人）,修了者数／高等学校等進学者（Ａ）／特別支援学校高等部／本科（人）,修了者数／高等学校等進学者（Ａ）／特別支援学校高等部／別科（人）,修了者数／専修学校（高等課程）進学者（Ｂ）（人）,修了者数／専修学校（一般課程）等入学者（Ｃ）（人）,修了者数／専修学校（一般課程）等入学者（Ｃ）／専修学校（一般課程）（人）,修了者数／専修学校（一般課程）等入学者（Ｃ）／各種学校（人）,修了者数／公共職業能力開発施設等入学者（Ｄ）（人）,修了者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／自営業主等（人）,修了者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／常用雇用者／無期雇用労働者（人）,修了者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／常用雇用者／有期雇用労働者（人）,修了者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／臨時労働者（人）,修了者数／就職者（人）,修了者数／左記以外の者（人）,修了者数／不詳・死亡（人）,左記Ａのうち他県への進学者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ａのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｂのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｃのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｄのうち（人）,左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,高等学校等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
公立,総数（男・女）,1,文京区,令和4,2022,3月,159,159,1,－,－,1,158,158,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,1,－,－,－,－,－,－,100,－,－
公立,総数（男・女）,1,目黒区,令和4,2022,3月,155,155,－,－,－,－,155,155,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
公立,総数（男・女）,1,八王子市,令和4,2022,3月,157,157,6,2,－,4,151,151,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
公立,総数（男・女）,1,立川市,令和4,2022,3月,157,157,4,2,－,2,153,153,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
公立,総数（男・女）,1,三鷹市,令和4,2022,3月,160,159,6,2,1,3,153,153,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,－,－,－,－,－,－,－,99.4,－,－
私立,総数（男・女）,0,総数,令和4,2022,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,0,総数,平成29,2017,3月,551,550,12,8,－,4,538,538,－,－,－,－,－,－,－,－,－,－,－,－,…,…,…,…,－,1,－,4,－,－,－,－,－,…,99.8,－,－
総数（国・公・私立）,男,0,総数,平成30,2018,3月,574,572,5,3,－,2,566,566,－,－,－,1,－,－,－,－,－,－,－,－,…,…,…,…,－,2,－,2,－,－,－,－,－,…,99.7,－,－
総数（国・公・私立）,男,0,総数,令和元,2019,3月,603,602,11,5,2,4,591,591,－,－,－,－,－,－,－,－,－,－,－,－,…,…,…,…,－,1,－,－,－,－,－,－,－,…,99.8,－,－
総数（国・公・私立）,男,0,総数,令和2,2020,3月,580,579,9,5,1,3,570,570,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,2,－,－,－,－,－,－,99.8,－,－
総数（国・公・私立）,男,0,総数,令和3,2021,3月,565,565,12,4,1,7,553,553,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,4,－,－,－,－,－,－,100,－,－
総数（国・公・私立）,男,0,総数,令和4,2022,3月,551,550,15,6,－,9,535,535,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,4,－,－,－,－,－,－,99.8,－,－
国立,男,0,総数,令和4,2022,3月,108,108,1,－,－,1,107,107,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
国立,男,1,中野区,令和4,2022,3月,60,60,－,－,－,－,60,60,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
国立,男,1,練馬区,令和4,2022,3月,48,48,1,－,－,1,47,47,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
公立,男,0,総数,令和4,2022,3月,443,442,14,6,－,8,428,428,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,4,－,－,－,－,－,－,99.8,－,－
公立,男,1,千代田区,令和4,2022,3月,79,78,5,1,－,4,73,73,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,4,－,－,－,－,－,－,98.7,－,－
公立,男,1,文京区,令和4,2022,3月,66,66,－,－,－,－,66,66,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
公立,男,1,目黒区,令和4,2022,3月,68,68,－,－,－,－,68,68,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
公立,男,1,八王子市,令和4,2022,3月,77,77,2,1,－,1,75,75,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
公立,男,1,立川市,令和4,2022,3月,76,76,3,2,－,1,73,73,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
公立,男,1,三鷹市,令和4,2022,3月,77,77,4,2,－,2,73,73,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
私立,男,0,総数,令和4,2022,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,0,総数,平成29,2017,3月,632,632,8,7,－,1,624,624,－,－,－,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,2,－,－,－,－,－,…,100,－,－
総数（国・公・私立）,女,0,総数,平成30,2018,3月,622,621,8,3,3,2,613,613,－,－,－,－,－,－,－,－,－,－,－,－,…,…,…,…,－,1,－,－,－,－,－,－,－,…,99.8,－,－
総数（国・公・私立）,女,0,総数,令和元,2019,3月,591,590,14,5,4,5,575,575,－,－,－,1,－,－,－,1,－,－,－,－,…,…,…,…,－,－,－,2,－,－,－,－,－,…,99.8,－,－
総数（国・公・私立）,女,0,総数,令和2,2020,3月,621,621,11,9,－,2,610,610,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,2,－,－,－,－,－,－,100,－,－
総数（国・公・私立）,女,0,総数,令和3,2021,3月,629,627,9,5,－,4,618,618,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,2,－,5,－,－,－,－,－,－,99.7,－,－
総数（国・公・私立）,女,0,総数,令和4,2022,3月,637,636,14,3,2,9,622,622,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,3,－,－,－,－,－,－,99.8,－,－
国立,女,0,総数,令和4,2022,3月,133,133,4,1,1,2,129,129,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,1,－,－,－,－,－,－,100,－,－
国立,女,1,中野区,令和4,2022,3月,60,60,1,1,－,－,59,59,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
国立,女,1,練馬区,令和4,2022,3月,73,73,3,－,1,2,70,70,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,1,－,－,－,－,－,－,100,－,－
公立,女,0,総数,令和4,2022,3月,504,503,10,2,1,7,493,493,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,2,－,－,－,－,－,－,99.8,－,－
公立,女,1,千代田区,令和4,2022,3月,80,80,2,1,－,1,78,78,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,1,－,－,－,－,－,－,100,－,－
公立,女,1,文京区,令和4,2022,3月,93,93,1,－,－,1,92,92,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,1,－,－,－,－,－,－,100,－,－
公立,女,1,目黒区,令和4,2022,3月,87,87,－,－,－,－,87,87,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
公立,女,1,八王子市,令和4,2022,3月,80,80,4,1,－,3,76,76,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
公立,女,1,立川市,令和4,2022,3月,81,81,1,－,－,1,80,80,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
公立,女,1,三鷹市,令和4,2022,3月,83,82,2,－,1,1,80,80,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,－,－,－,－,－,－,－,98.8,－,－
私立,女,0,総数,令和4,2022,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１７－１　卒業後の状況調査（中等教育学校）　前期課程の所在地、状況別修了者数、高等学校等進学率及び卒業者に占める就職者の割合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注１）「就職者等」は、令和２年度からの調査項目である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注２） 「就職者」は、令和元年度以前の調査項目である。平成31年3月以前の「就職者」は、雇用契約期間が１年未満で期間の定めのある者及び雇用契約期間の長さにかかわらず短時間勤務の者を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注３）平成31年3月以前の「就職者総数（再掲）」とは、卒業者のうち「就職者」及び「左記A，B，C，Dのうち就職している者(再掲）」を合計した数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注４）令和2年3月以降の「就職者総数（再掲）」とは、「自営業主等」、「無期雇用労働者」、「左記A，B，C，Dのうち就職している者(再掲）」及び「左記E有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）」を合計した数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注５）「左記以外の者」とは、家事手伝いをしている者、外国の高等学校等に入学した者又は進路が未定であることが明らかな者である。平成31年3月以前の「左記以外の者」は、雇用契約期間が1年未満で期間の定めのある者及び雇用契約期間の長さにかかわらず短時間勤務の者を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
