"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","的確に提供されている[人]","まあ的確に提供されている[人]","あまり的確に提供されていない[人]","的確に提供されていない[人]","わからない[人]","無回答[人]"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","女性 40～49歳","78","13","46","3","3","12","1"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","女性 50～59歳","62","14","30","7","4","7","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","女性 60～69歳","56","11","31","4","2","8","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","女性 70歳以上","42","10","25","0","1","6","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0","0","0","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","無回答","14","1","5","1","0","6","1"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","職業別","自営業主・家族従業","86","16","42","6","3","19","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","職業別","会社員・団体職員・公務員","243","43","130","21","5","42","2"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","職業別","アルバイト・パートタイマー","35","6","19","1","0","9","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","職業別","家事専業","55","7","30","4","3","11","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","職業別","学生","13","2","6","3","0","2","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","職業別","無職","81","19","47","2","4","9","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","職業別","その他","31","3","20","2","4","2","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","職業別","無回答","14","0","6","1","0","6","1"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","居住地区別","芝地区","86","12","51","6","3","14","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","居住地区別","麻布地区","87","15","44","8","3","17","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","居住地区別","赤坂地区","81","17","42","6","7","9","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","居住地区別","高輪地区","146","28","70","15","2","31","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","居住地区別","芝浦港南地区","139","22","87","3","4","21","2"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","居住地区別","無回答","19","2","6","2","0","8","1"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","住居形態別","持家（一戸建）","64","12","31","7","2","12","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","住居形態別","持家（マンション）","267","45","144","21","12","44","1"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","住居形態別","借家（一戸建）","9","2","4","1","0","2","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","住居形態別","民間の賃貸マンション・アパート","151","24","86","9","2","29","1"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","住居形態別","都営住宅・区営住宅・区立住宅","26","7","15","0","2","2","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","3","8","0","0","0","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","住居形態別","社宅・公務員宿舎","10","1","5","0","1","3","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","住居形態別","寮・寄宿舎・住み込み・間借り","4","0","2","0","0","2","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","住居形態別","その他","5","2","2","1","0","0","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","住居形態別","無回答","11","0","3","1","0","6","1"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","定住意向別","ずっと住み続けていたい","279","60","147","19","10","43","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","定住意向別","当分は住んでいたい","203","29","116","16","7","34","1"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","5","26","2","1","10","1"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","1","1","1","0","2","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","定住意向別","近いうちに区外に転居する予定である","13","0","7","1","0","5","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","定住意向別","わからない","10","1","2","1","1","5","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","定住意向別","無回答","3","0","1","0","0","1","1"

"第33回港区民世論調査クロス集計表・区政全般Q6","Ver202203",,,,,,,,,,
