"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","高校生世代の長崎・広島への派遣研修[人]","被爆都市との交流イベント[人]","学校、職場への平和啓発掲示物等の配布[人]","区内の平和関連史跡を活用した取組[人]","平和を祈念したコンサート等イベント開催[人]","戦争体験者との交流会[人]","その他[人]"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","性・年代別","女性 40～49歳","78","38","19","19","14","8","44","6"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","性・年代別","女性 50～59歳","62","25","18","13","14","15","34","8"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","性・年代別","女性 60～69歳","56","19","16","9","16","10","26","1"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","性・年代別","女性 70歳以上","42","21","13","6","6","11","19","0"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","性・年代別","女性 無回答","0","0","0","0","0","0","0","0"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","性・年代別","無回答","14","0","0","1","1","1","1","1"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","職業別","自営業主・家族従業","86","27","25","14","20","17","37","9"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","職業別","会社員・団体職員・公務員","243","104","64","59","66","48","116","23"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","職業別","アルバイト・パートタイマー","35","17","9","13","8","8","18","0"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","職業別","家事専業","55","18","16","9","13","7","22","5"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","職業別","学生","13","6","4","4","4","0","4","0"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","職業別","無職","81","33","24","18","14","15","32","5"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","職業別","その他","31","14","10","9","6","4","16","3"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","職業別","無回答","14","2","0","0","0","0","3","0"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","居住地区別","芝地区","86","39","27","21","22","18","41","4"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","居住地区別","麻布地区","87","33","25","21","26","13","35","6"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","居住地区別","赤坂地区","81","29","23","18","17","12","34","8"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","居住地区別","高輪地区","146","56","37","30","35","24","70","14"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","居住地区別","芝浦港南地区","139","61","37","34","29","30","64","12"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","居住地区別","無回答","19","3","3","2","2","2","4","1"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","住居形態別","持家（一戸建）","64","21","15","12","21","12","28","8"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","住居形態別","持家（マンション）","267","118","75","63","58","40","123","23"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","住居形態別","借家（一戸建）","9","4","3","0","2","2","3","0"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","住居形態別","民間の賃貸マンション・アパート","151","61","46","37","38","32","67","10"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","住居形態別","都営住宅・区営住宅・区立住宅","26","10","6","3","5","7","14","2"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","3","2","3","3","1","4","1"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","住居形態別","社宅・公務員宿舎","10","2","2","4","4","3","2","1"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","住居形態別","寮・寄宿舎・住み込み・間借り","4","1","1","1","0","1","3","0"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","住居形態別","その他","5","1","2","3","0","1","3","0"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","住居形態別","無回答","11","0","0","0","0","0","1","0"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","定住意向別","ずっと住み続けていたい","279","107","70","68","62","47","126","22"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","定住意向別","当分は住んでいたい","203","85","57","49","52","40","87","14"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","18","15","7","13","6","19","5"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","2","3","0","0","1","3","0"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","定住意向別","近いうちに区外に転居する予定である","13","3","3","2","3","1","6","2"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","定住意向別","わからない","10","6","4","0","1","3","5","2"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","定住意向別","無回答","3","0","0","0","0","1","2","0"

"第33回港区民世論調査クロス集計表・平和Q23","Ver202203",,,,,,,,,,,
