地域階層,地域コード,項番 Item number,地域,District,出生 Livebirths／計 Total,出生 Livebirths／男 Male,出生 Livebirths／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,合計特殊出生率 Total fertility rate,婚姻 Marriages,離婚 Divorces
2,13220,18,東大和市,Higashiyamato-shi,565,288,277,792,447,345,-227,-159,-68,2,2,-,-,-,-,17,9,8,1.34,342,133
2,13221,19,清瀬市,Kiyose-shi,441,227,214,815,419,396,-374,-192,-182,1,-,1,-,-,-,10,1,9,1.16,296,102
2,13222,20,東久留米市,Higashikurume-shi,745,386,359,1219,661,558,-474,-275,-199,-,-,-,-,-,-,21,9,12,1.31,400,152
2,13223,21,武蔵村山市,Musashimurayama-shi,465,246,219,690,371,319,-225,-125,-100,1,1,-,1,1,-,16,5,11,1.38,297,133
2,13224,22,多摩市,Tama-shi,869,466,403,1331,715,616,-462,-249,-213,4,2,2,1,1,-,20,8,12,1.15,517,202
2,13225,23,稲城市,Inagi-shi,753,386,367,663,321,342,90,65,25,1,-,1,-,-,-,14,4,10,1.49,388,115
2,13227,24,羽村市,Hamura-shi,337,155,182,560,279,281,-223,-124,-99,2,-,2,1,-,1,8,4,4,1.36,240,110
2,13228,25,あきる野市,Akiruno-shi,471,254,217,971,487,484,-500,-233,-267,3,2,1,1,1,-,17,2,15,1.3,257,143
2,13229,26,西東京市,Nishitokyo-shi,1432,716,716,1795,953,842,-363,-237,-126,-,-,-,-,-,-,32,14,18,1.23,841,294
1,13300,,郡部,All gun,268,138,130,982,461,521,-714,-323,-391,-,-,-,-,-,-,4,2,2,1.18,170,96
2,13303,1,瑞穂町,Mizuho-machi,154,77,77,363,195,168,-209,-118,-91,-,-,-,-,-,-,2,1,1,1.08,115,66
2,13305,2,日の出町,Hinode-machi,96,54,42,359,149,210,-263,-95,-168,-,-,-,-,-,-,2,1,1,1.41,44,28
2,13307,3,檜原村,Hinohara-mura,9,3,6,86,36,50,-77,-33,-44,-,-,-,-,-,-,-,-,-,2.32,2,1
2,13308,4,奥多摩町,Okutama-machi,9,4,5,174,81,93,-165,-77,-88,-,-,-,-,-,-,-,-,-,0.81,9,1
1,13350,,島部,All islands,172,99,73,433,236,197,-261,-137,-124,-,-,-,-,-,-,3,2,1,1.68,128,38
2,13361,1,大島町,Oshima-machi,47,26,21,142,77,65,-95,-51,-44,-,-,-,-,-,-,1,-,1,1.91,23,13
2,13362,2,利島村,Toshima-mura,6,5,1,5,2,3,1,3,-2,-,-,-,-,-,-,-,-,-,2.78,2,-
2,13363,3,新島村,Niijima-mura,18,9,9,56,33,23,-38,-24,-14,-,-,-,-,-,-,-,-,-,1.56,12,3
2,13364,4,神津島村,Kozushima-mura,8,3,5,30,16,14,-22,-13,-9,-,-,-,-,-,-,1,1,-,1.21,12,-
2,13381,5,三宅村,Miyake-mura,16,6,10,52,23,29,-36,-17,-19,-,-,-,-,-,-,-,-,-,1.94,15,3
2,13382,6,御蔵島村,Mikurajima-mura,2,2,-,3,1,2,-1,1,-2,-,-,-,-,-,-,-,-,-,0.48,-,-
2,13401,7,八丈町,Hachijo-machi,50,36,14,135,78,57,-85,-42,-43,-,-,-,-,-,-,1,1,-,1.96,29,15
2,13402,8,青ヶ島村,Aogashima-mura,2,1,1,1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,1.25,2,1
2,13421,9,小笠原村,Ogasawara-mura,23,11,12,9,5,4,14,6,8,-,-,-,-,-,-,-,-,-,1.25,33,3
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,,,,,,
2-7  人口動態  (3) 地域，男女別（平成31・令和元年）  2-7  VITAL STATISTICS  (3) BY DISTRICT AND GENDER ( 2019 ),,,,,,,,,,,,,,,,,,,,,,,,,
「人口動態調査」 による。 数字は日本における日本人に関するもので， その年に発生し， 翌年1月末 （明治34年～大正11年及び昭和19年～46年はその年に発生し翌年3月末） までに届け出のあったものを， 昭和24年以前は発生地， 昭和25年以降は住所地により表章した。,,,,,,,,,,,,,,,,,,,,,,,,,
Data are based on the Vital Statistics Survey. Figures are only for Japanese nationals in Japan. Occurrences during the year stated that had been reported by the end of the following January (by the end of March for 1901-1922 and 1944-1971) are tabulated up to 1949 by place of occurrence， and from 1950 by place of residence. ,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,
