年次,Year,地域階層,地域コード,地域,district,項番 Item number,消防署,Fire station,出場件数 Number of dispatches,出場件数 Number of dispatches／うち従事 of which engaged,救助人員 Persons rescued／総数 Total,救助人員 Persons rescued／重症 Severe injury,救助人員 Persons rescued／中等症 Moderate injury,救助人員 Persons rescued／軽症 Minor injury,救助人員 Persons rescued／無症 No injury,救助人員 Persons rescued／死亡 Death,誘導人員 Persons guided to safety,出場車両数 Vehicles deployed／総数 Total,出場車両数 Vehicles deployed／ポンプ車 Pumpers,出場車両数 Vehicles deployed／救助車 Rescue trucks,出場車両数 Vehicles deployed／化学車 Foam pumpers,出場車両数 Vehicles deployed／はしご車 Aerial ladders,出場車両数 Vehicles deployed／救急車 Ambulances,出場車両数 Vehicles deployed／指揮隊車 Command vans,出場車両数 Vehicles deployed／その他 Others 1),従事台数 Vehicles engaged,出場人員 Persons deployed,従事人員 Persons engaged
平成31･令和元,2019,2,13103,港区,Minato-ku,9,赤坂署,Akasaka F. Sta.,103,83,108,13,48,28,15,4,-,312,112,30,-,2,120,45,3,201,1220,776
平成31･令和元,2019,2,13103,港区,Minato-ku,10,高輪署,Takanawa F. Sta.,132,87,81,13,24,29,9,6,7,448,100,66,58,3,138,73,10,212,1933,938
平成31･令和元,2019,2,13109,品川区,Shinagawa-ku,11,品川署,Shinagawa F. Sta.,284,228,259,50,68,82,31,28,-,963,297,128,50,6,300,147,35,591,3890,2359
平成31･令和元,2019,2,13109,品川区,Shinagawa-ku,12,大井署,Oi F. Sta.,248,197,207,31,57,94,21,4,-,821,286,112,19,11,263,117,13,514,3443,2144
平成31･令和元,2019,2,13109,品川区,Shinagawa-ku,13,荏原署,Ebara F. Sta.,182,151,148,25,61,33,10,19,-,611,232,87,1,4,188,95,4,371,2533,1548
平成31･令和元,2019,2,13111,大田区,Ota-ku,14,大森署,Omori F. Sta.,387,283,331,40,89,131,30,41,-,1304,372,159,101,7,425,196,44,752,5394,3018
平成31･令和元,2019,2,13111,大田区,Ota-ku,15,田園調布署,Denencyofu F. Sta.,281,213,216,32,75,73,17,19,-,935,283,114,53,3,295,167,20,508,3822,2027
平成31･令和元,2019,2,13111,大田区,Ota-ku,16,蒲田署,Kamata F. Sta.,349,246,296,35,87,126,19,29,-,1133,392,149,19,-,367,179,27,641,4668,2604
平成31･令和元,2019,2,13111,大田区,Ota-ku,17,矢口署,Yaguchi F. Sta.,214,156,166,17,56,55,12,26,4,708,195,90,60,1,219,120,23,362,2952,1458
平成31･令和元,2019,2,13110,目黒区,Meguro-ku,18,目黒署,Meguro F. Sta.,337,243,276,35,87,102,29,23,-,1061,363,151,11,-,341,182,13,541,4345,2216
平成31･令和元,2019,2,13112,世田谷区,Setagaya-ku,19,世田谷署,Setagaya F. Sta.,623,408,470,51,128,200,47,44,1,1952,622,269,69,3,660,318,11,939,7830,3665
平成31･令和元,2019,2,13112,世田谷区,Setagaya-ku,20,玉川署,Tamagawa F. Sta.,392,308,335,46,135,102,37,15,-,1151,458,122,8,3,399,144,17,719,4485,2705
平成31･令和元,2019,2,13112,世田谷区,Setagaya-ku,21,成城署,Seijo F. Sta.,376,255,254,42,108,60,15,29,-,1275,459,184,3,7,387,214,21,607,5194,2387
平成31･令和元,2019,2,13113,渋谷区,Shibuya-ku,22,渋谷署,Shibuya F. Sta.,494,320,383,44,81,163,67,28,1,1684,626,205,3,10,537,255,48,750,6879,3084
平成31･令和元,2019,2,13104,新宿区,Shinjuku-ku,23,四谷署,Yotsuya F. Sta.,144,113,129,19,45,43,17,5,-,430,157,50,-,3,155,65,-,272,1703,1048
平成31･令和元,2019,2,13104,新宿区,Shinjuku-ku,24,牛込署,Ushigome F. Sta.,198,147,167,26,53,58,12,18,-,660,231,99,-,3,208,116,3,369,2751,1528
平成31･令和元,2019,2,13104,新宿区,Shinjuku-ku,25,新宿署,Shinjuku F. Sta.,509,281,276,50,94,75,36,21,-,1757,634,263,-,5,533,298,24,627,7444,2677
平成31･令和元,2019,2,13114,中野区,Nakano-ku,26,中野署,Nakano F. Sta.,240,157,150,23,43,51,21,12,-,811,277,131,-,3,240,149,11,355,3386,1500
平成31･令和元,2019,2,13114,中野区,Nakano-ku,27,野方署,Nogata F. Sta.,260,180,177,24,58,55,13,27,2,913,265,148,41,3,272,174,10,422,3723,1751
平成31･令和元,2019,2,13115,杉並区,Suginami-ku,28,杉並署,Suginami F. Sta.,501,333,385,48,84,170,43,40,3,1646,567,247,2,6,526,284,14,738,6636,2981
平成31･令和元,2019,2,13115,杉並区,Suginami-ku,29,荻窪署,Ogikubo F. Sta.,428,328,368,50,101,134,53,30,1,1401,379,170,118,28,454,239,13,854,5610,3409
平成31･令和元,2019,2,13105,文京区,Bunkyo-ku,30,小石川署,Koishikawa F. Sta.,190,114,138,23,28,49,19,19,3,693,243,98,-,5,203,126,18,348,2841,1409
平成31･令和元,2019,2,13105,文京区,Bunkyo-ku,31,本郷署,Hongo F. Sta.,151,106,103,24,21,33,17,8,-,538,192,74,-,6,152,104,10,301,2242,1281
平成31･令和元,2019,2,13116,豊島区,Toshima-ku,32,豊島署,Toshima F. Sta.,274,191,210,37,69,57,26,21,3,989,340,147,-,10,300,174,18,537,4126,2210
平成31･令和元,2019,2,13116,豊島区,Toshima-ku,33,池袋署,Ikebukuro F. Sta.,267,189,211,24,77,63,27,20,-,921,327,137,-,2,288,160,7,499,3822,2067
平成31･令和元,2019,2,13117,北区,Kita-ku,34,王子署,Oji F. Sta.,245,178,186,21,71,43,11,40,-,915,236,156,54,11,258,173,27,497,3846,2101
平成31･令和元,2019,2,13117,北区,Kita-ku,35,赤羽署,Akabane F. Sta.,300,230,233,23,72,69,27,42,-,1134,344,173,40,6,306,205,60,672,4769,2795
平成31･令和元,2019,2,13117,北区,Kita-ku,36,滝野川署,Takinogawa F. Sta.,150,117,119,26,33,30,12,18,-,481,172,74,1,1,148,80,5,295,1955,1202
平成31･令和元,2019,2,13119,板橋区,Itabashi-ku,37,板橋署,Itabashi F. Sta.,470,350,387,56,109,125,50,47,2,1577,465,226,123,6,500,243,14,844,6365,3395
平成31･令和元,2019,2,13119,板橋区,Itabashi-ku,38,志村署,Shimura F. Sta.,678,473,518,50,171,160,36,101,-,2438,537,404,257,5,722,474,39,1103,9996,4581
平成31･令和元,2019,2,13120,練馬区,Nerima-ku,39,練馬署,Nerima F. Sta.,362,265,267,38,94,59,38,38,-,1191,247,184,152,2,371,227,8,609,4904,2546
平成31･令和元,2019,2,13120,練馬区,Nerima-ku,40,光が丘署,Hikarigaoka F. Sta.,249,184,211,31,63,78,13,26,-,787,267,118,1,1,263,135,2,446,3224,1813
平成31･令和元,2019,2,13120,練馬区,Nerima-ku,41,石神井署,Shakujii F. Sta.,524,385,417,68,152,99,36,62,-,1580,578,227,8,5,510,243,9,964,6445,3915
平成31･令和元,2019,2,13106,台東区,Taito-ku,42,上野署,Ueno F. Sta.,207,141,131,25,33,54,9,10,-,660,233,85,-,1,216,118,7,351,2838,1521
平成31･令和元,2019,2,13106,台東区,Taito-ku,43,浅草署,Asakusa F. Sta.,101,79,73,12,29,18,3,11,5,342,122,43,-,3,104,55,15,206,1475,879
平成31･令和元,2019,2,13106,台東区,Taito-ku,44,日本堤署,Nihonzutsumi F. Sta.,141,91,88,12,27,30,8,11,-,462,153,68,-,-,143,77,21,211,1962,900
平成31･令和元,2019,2,13118,荒川区,Arakawa-ku,45,荒川署,Arakawa F. Sta.,228,173,195,41,50,63,21,20,-,753,194,117,55,-,241,137,9,439,3174,1853
平成31･令和元,2019,2,13118,荒川区,Arakawa-ku,46,尾久署,Ogu F. Sta.,139,98,105,26,30,16,17,16,-,521,121,79,56,1,141,91,32,269,2177,1115
平成31･令和元,2019,2,13121,足立区,Adachi-ku,47,千住署,Senju F. Sta.,202,158,176,36,45,58,20,17,-,697,218,94,26,-,217,111,31,401,2844,1606
平成31･令和元,2019,2,13121,足立区,Adachi-ku,48,足立署,Adachi F. Sta.,605,436,436,78,122,155,35,46,3,2117,591,329,144,7,629,368,49,1072,8739,4527
平成31･令和元,2019,2,13121,足立区,Adachi-ku,49,西新井署,Nishiarai F. Sta.,414,302,318,50,97,106,23,42,-,1405,482,222,14,8,431,239,9,693,5817,2848
平成31･令和元,2019,2,13107,墨田区,Sumida-ku,50,本所署,Honjo F. Sta.,288,208,237,41,69,83,32,12,-,882,324,98,4,-,298,128,30,467,3651,1957
平成31･令和元,2019,2,13107,墨田区,Sumida-ku,51,向島署,Mukojima F. Sta.,284,209,231,19,80,84,21,27,1,944,222,135,109,4,298,154,22,556,3824,2226
平成31･令和元,2019,2,13108,江東区,Koto-ku,52,深川署,Fukagawa F. Sta.,410,299,353,54,88,136,41,34,-,1371,405,192,69,4,435,238,28,806,5654,3252
平成31･令和元,2019,2,13108,江東区,Koto-ku,53,城東署,Joto F. Sta.,566,462,534,73,147,198,51,65,40,1804,394,273,229,2,597,291,18,1013,7263,4127
平成31･令和元,2019,2,13122,葛飾区,Katsushika-ku,54,本田署,Honden F. Sta.,558,465,507,86,152,152,49,68,-,1936,579,251,150,9,589,299,59,1230,7921,4942
平成31･令和元,2019,2,13122,葛飾区,Katsushika-ku,55,金町署,Kanamachi F. Sta.,309,228,235,31,108,50,20,26,-,996,162,137,202,2,309,153,31,558,4021,2209
平成31･令和元,2019,2,13123,江戸川区,Edogawa-ku,56,江戸川署,Edogawa F. Sta.,341,243,273,45,85,86,27,30,-,1156,279,164,134,5,350,200,24,633,4731,2554
平成31･令和元,2019,2,13123,江戸川区,Edogawa-ku,57,葛西署,Kasai F. Sta.,295,190,243,38,44,111,25,25,-,989,277,147,56,2,313,180,14,472,3987,1850
平成31･令和元,2019,2,13123,江戸川区,Edogawa-ku,58,小岩署,Koiwa F. Sta.,290,208,229,46,80,47,20,36,-,983,302,134,52,2,294,158,41,527,3977,2073
平成31･令和元,2019,1,,消防事務受託地区,Entrusted districts,,,,7151,5418,5789,899,1890,1987,442,571,5,21333,7303,1139,1156,44,7531,3652,508,12511,84515,49656
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-16  消防署別救助活動状況（平成29～平成31･令和元年） 20-16  RESCUE OPERATIONS BY FIRE STATION ( 2017-2019 ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表は， 区部及び消防事務受託地区で， 東京消防庁が扱った件数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures refer to the number of cases handled by the Tokyo Fire Department in the special ward (ku) area and entrusted districts.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) その他には次のものが含まれる。照明車，指揮統制車，水難救助車，救出救助車，ヘリコプター，消防艇。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: 1)  ""Others"" include floodlight trucks， command and operations vehicles， water rescue vehicles， heavy vehicles for rescue， fire helicopters， and fireboats.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：東京消防庁企画調整部企画課 Source: Tokyo Fire Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部･消防事務受託地区　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,,,,
