年度,Fiscal year,地域階層,地域コード,地域,District,総数 Total,大気汚染 Air pollution,水質汚濁 Water pollution,土壌汚染 Soil pollution,騒音 Noises,振動 Vibration,地盤沈下 Ground subsidence,悪臭 Offensive odors,典型7公害以外計 Other pollution
令和元,2019,2,13209,町田市,Machida-shi,155,60,1,-,60,14,-,20,-
令和元,2019,2,13210,小金井市,Koganei-shi,25,7,-,-,12,2,-,3,1
令和元,2019,2,13211,小平市,Kodaira-shi,52,-,-,-,22,3,-,5,22
令和元,2019,2,13212,日野市,Hino-shi,86,27,1,-,40,5,-,7,6
令和元,2019,2,13213,東村山市,Higashimurayama-shi,48,-,2,-,20,4,-,19,3
令和元,2019,2,13214,国分寺市,Kokubunji-shi,164,43,6,-,61,6,-,9,39
令和元,2019,2,13215,国立市,Kunitachi-shi,57,18,-,-,27,1,-,11,-
令和元,2019,2,13218,福生市,Fussa-shi,92,12,1,-,20,-,-,6,53
令和元,2019,2,13219,狛江市,Komae-shi,63,7,1,-,10,3,-,3,39
令和元,2019,2,13220,東大和市,Higashiyamato-shi,36,8,5,-,7,-,-,3,13
令和元,2019,2,13221,清瀬市,Kiyose-shi,54,17,-,-,18,-,-,6,13
令和元,2019,2,13222,東久留米市,Higashikurume-shi,92,30,2,1,29,5,-,5,20
令和元,2019,2,13223,武蔵村山市,Musashimurayama-shi,33,3,-,-,20,-,-,10,-
令和元,2019,2,13224,多摩市,Tama-shi,84,10,7,-,53,3,-,11,-
令和元,2019,2,13225,稲城市,Inagi-shi,91,29,10,1,15,-,-,3,33
令和元,2019,2,13227,羽村市,Hamura-shi,20,11,-,-,7,-,-,2,-
令和元,2019,2,13228,あきる野市,Akiruno-shi,106,17,-,-,14,-,-,4,71
令和元,2019,2,13229,西東京市,Nishitokyo-shi,87,18,-,-,47,5,-,15,2
令和元,2019,1,13300,郡部,All gun,171,5,2,2,9,-,-,7,146
令和元,2019,2,13303,瑞穂町,Mizuho-machi,26,5,1,2,7,-,-,3,8
令和元,2019,2,13305,日の出町,Hinode-machi,145,-,1,-,2,-,-,4,138
令和元,2019,2,13307,檜原村,Hinohara-mura,-,-,-,-,-,-,-,-,-
令和元,2019,2,13308,奥多摩町,Okutama-machi,-,-,-,-,-,-,-,-,-
令和元,2019,1,13350,島部,All islands,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,
19-11 公害の種類別苦情件数（平成27～令和元年度） 19-11 COMPLAINTS ABOUT POLLUTIONS BY KIND  ( Fiscal Years 2015-2019 ),,,,,,,,,,,,,,
資料：都環境局総務部総務課 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,
