年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks) (1000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B/A) Coverage rate (%) 
令和元,2019,2,13363,3,新島村,Niijima-mura,,2636,1,2830,2598,367,-,-,-,-,1,2830,2598,367,-,-,-,98.56
令和元,2019,2,13364,4,神津島村,Kouzushima-mura,,1889,1,2150,1886,485,-,-,-,-,1,2150,1886,485,-,-,-,99.84
令和元,2019,2,13381,5,三宅村,Miyake-mura,,2361,1,3920,2361,333,-,-,-,-,1,3920,2361,333,-,-,-,100
令和元,2019,2,13382,6,御蔵島村,Mikurajima-mura,,303,1,500,303,50,-,-,-,-,1,500,303,50,-,-,-,100
令和元,2019,2,13401,7,八丈町,Hachijo-machi,,7176,1,11930,7149,1484,1,11930,7149,1484,-,-,-,-,-,-,-,99.62
令和元,2019,2,13402,8,青ヶ島村,Aogashima-mura,,153,1,300,153,30,-,-,-,-,1,300,153,30,-,-,-,100
令和元,2019,2,13421,9,小笠原村,Ogasawara-mura,,2569,2,2830,2564,278,-,-,-,-,1,2830,2564,278,1,-,-,99.81
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,,,,,,,,,,,,
6-2  地域別水道の普及状況（平成27～令和元年度末） 6-2  ＷATER SUPPLY BY DISTRICT ( End of Fiscal Years 2015-2019 ),,,,,,,,,,,,,,,,,,,,,,,,
注 1) ※印を付した市町の上水道の施設数・計画給水人口及び給水量については，東京都水道局が経営しているため区部に含めた。,,,,,,,,,,,,,,,,,,,,,,,,
2) 専用水道は自己水源によるもののみである。 ,,,,,,,,,,,,,,,,,,,,,,,,
3) 総数の計画給水人口には，専用水道の確認時給水人口を含む。 ,,,,,,,,,,,,,,,,,,,,,,,,
4) 「給水量」は有効水量と無効水量を合わせた配水量である。,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Shi and machi marked with ※ are included in the total for all ku because their waterworks are operated by the Bureau of Waterworks， TMG.,,,,,,,,,,,,,,,,,,,,,,,,
2) “Private waterworks” are only those that have their own water sources．,,,,,,,,,,,,,,,,,,,,,,,,
3) Total population planned to be served includes the population to be served noted in the application for private waterworks. ,,,,,,,,,,,,,,,,,,,,,,,,
4)  “Water supply” is the total water， both revenue and non-revenue water， provided.,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局健康安全部環境保健衛生課 Source: Bureau of Social Welfare and Public Health， TMG               ,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,
