年度,Fiscal year,地域階層,地域コード,地域,District,身体障害者手帳交付台帳  Physical impairment certificate ledger data／年度末現在 As of the end of the fiscal year,身体障害者手帳交付台帳  Physical impairment certificate ledger data／新規交付 New issues,身体障害者手帳交付台帳  Physical impairment certificate ledger data／返還 Returned,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県より転入 In-migrants from other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県へ転出 Out-migrants to other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内より転入 In-migrants  within Tokyo,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内へ転出 Out-migrants within Tokyo,「愛の手帳」交付数（年度末現在） Intellectual impairment certificates issued (As of the end of the fiscal year) 1)
平成30,2018,2,13218,福生市,Fussa-shi,2111,80,253,9,9,65,65,441
平成30,2018,2,13219,狛江市,Komae-shi,2742,139,146,19,7,47,52,479
平成30,2018,2,13220,東大和市,Higashiyamato-shi,3253,172,146,11,12,91,108,698
平成30,2018,2,13221,清瀬市,Kiyose-shi,4383,144,249,24,15,77,72,678
平成30,2018,2,13222,東久留米市,Higashikurume-shi,4512,216,353,18,17,95,89,1012
平成30,2018,2,13223,武蔵村山市,Musashimurayama-shi,3135,121,191,7,3,82,80,705
平成30,2018,2,13224,多摩市,Tama-shi,5221,308,265,32,18,134,124,1114
平成30,2018,2,13225,稲城市,Inagi-shi,2740,135,109,19,10,65,76,553
平成30,2018,2,13227,羽村市,Hamura-shi,1908,98,85,15,4,56,47,508
平成30,2018,2,13228,あきる野市,Akiruno-shi,2969,159,120,17,9,86,69,758
平成30,2018,2,13229,西東京市,Nishitokyo-shi,7050,362,313,34,30,144,131,1438
平成30,2018,1,13300,郡部,All gun,2928,105,127,7,14,77,52,611
平成30,2018,1,13350,島部,All islands,1656,57,42,2,7,21,23,242
,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,
18-3  身体障害者手帳交付台帳登載状況及び「愛の手帳」交付状況（平成26～30年度） 18-3  DATA FROM THE PHYSICAL IMPAIRMENT CERTIFICATE ISSUE LEDGER AND ISSUE OF THE INTELLECTUAL IMPAIRMENT CERTIFICATE ( Fiscal Years 2014?2018 ),,,,,,,,,,,,,
注 1) 「愛の手帳」交付数の総数は，都外施設に入所している場合等で管轄区市町村が未定の者を含むため，内訳と一致しない。,,,,,,,,,,,,,
Note: 1) The total number of intellectual impairment certificates issued does not match the breakdown because it includes persons who were not under the jurisdiction of a municipality for reasons such as living in facilities outside Tokyo. ,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,
