品目1,Classification 1,品目2,Classification 2,項番 Item number,品目3,Classification 3,銘柄,Specification,単位,Unit,マーク Mark,平成31･令和元年平均 2019 Av.,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月 Oct.,11月 Nov.,12月 Dec.
食料,Food,飲料,Beverages,1,緑茶,Green tea,煎茶（抹茶入りを含む），袋入り（100～300g入り）,"""Sencha"" (including ""Maccha"" contained)， in bag (100 - 300g)",100g,100g,,557,571,562,558,545,557,549,555,543,557,561,564,559
食料,Food,酒類,Alcoholic beverages,1,ビール,Beer,淡色， 缶入り (350mL入り)， 6缶入り,Lager， canned (350mL)， 6 cans,1パック,1 pack,,1172,1173,1175,1172,1170,1168,1166,1169,1164,1147,1184,1190,1180
食料,Food,外食,Meals outside the home,1,中華そば（外食）,Chinese noodles (eating out),ラーメン，しょう油味（豚骨しょう油味を含む），持ち帰りは除く,"""Ramen""， soy sauce-based (including pork and soy sauce-based)， excluding takeout",1杯,1 bowl,※ 10月 Oct.,570,539,539,539,547,547,555,553,555,555,571,571,567
食料,Food,外食,Meals outside the home,2,すし（外食）,"""Sushi"" (eating out) ",にぎりずし，並，持ち帰りは除く,"""Nigiri-zushi""， hand-rolled ""Sushi""， ordinary quality， excluding takeout",1人前,1 serving,※ 10月 Oct.,1330,1277,1326,1326,1326,1326,1326,1318,1345,1326,1315,1338,1338
食料,Food,外食,Meals outside the home,3,カレーライス（外食）,Curry and rice (eating out),持ち帰りは除く,Excluding takeout,1皿,1 dish,※ 10月 Oct.,714,738,738,738,732,732,732,732,726,721,714,714,714
食料,Food,外食,Meals outside the home,4,ピザパイ（配達）,Delivered pizza,宅配ピザ， ミックスピザ(野菜類3種類肉･魚介類2種類程度)， [サイズ] M (約25cm)　,Delivered pizza， mixed pizza　(3 kinds of vegetable toppings and 2 kinds of meat or seafood toppings)， [size] M (about 25cm),1枚,1 sheet,,2119,2161,2161,2161,2091,2091,2091,2134,2145,2145,2050,2102,2102
住居,Housing,家賃,Rent,1,民営家賃,House rent， private,民営借家の家賃 (3.3m2当たりの料金を算出したものである),House rent managed by private sector  (Charges calculated by converting the surveyed price and area to the charge for 3.3m2),1か月,1 month,,8824,8801,8808,8837,8840,8848,8835,8831,8833,8829,8820,8810,8798
住居,Housing,設備修繕・維持,Repairs & maintenance,1,大工手間代,Carpentering,家屋修理手間代，常用1人分,For house repair，charge per regular carpenter,1日,1 day,,19980,19723,19973,19973,19973,19973,19973,19973,19250,19973,20323,20323,20323
光熱・水道,Fuel， light & water charges,電気・ガス代,Electricity & gas,1,電気代,Electricity,従量電灯，アンペア制（契約電流50アンペア）又は最低料金制，441kWh (1か月441kWh使用したときの料金を算出したものである),Meter rate system， ampere system (50 ampere) or minimum charges system， 441kWh (Charges calculated by converting the original price to the charge for 441kWh per month),1か月,1 month,,13443,13592,13724,13764,13671,13561,13450,13393,13301,13181,13111,13308,13255
光熱・水道,Fuel， light & water charges,電気・ガス代,Electricity & gas,2,都市ガス代,Gas， manufactured and piped,一般家庭用， 1465.12MJ (1か月1465.12MJ使用したときの料金を算出したものである),For domestic use， 1465.12MJ(Charges calculated by converting the surveyed price and calorie to the charge for 1465.12MJ per month),1か月,1 month,,5215,5264,5320,5350,5336,5314,5275,5216,5140,5059,5034,5136,5130
光熱・水道,Fuel， light & water charges,電気・ガス代,Electricity & gas,3,プロパンガス,Liquefied propane,基本料金及び10m3 (従量料金）を使用した料金 (1か月10m3使用したときの料金を算出したものである),Basic charges and meter rate charges (10m3) (Charges calculated by adding 10m3 charges to basic charge per month.),1か月,1 month,,6810,6928,6928,6928,6761,6761,6761,6761,6761,6761,6761,6803,6803
光熱・水道,Fuel， light & water charges,他の光熱,Other fuel and light,1,灯油,Kerosene ,白灯油， 詰め替え売り， 店頭売り,White kerosene， refill， sold in stores,18L,18L,,1790,1744,1759,1775,1781,1809,1790,1790,1769,1779,1849,1817,1824
光熱・水道,Fuel， light & water charges,水道料,Water charges,1,水道料,Water charges,計量制， 専用給水装置（専用栓）， 一般用， 20m3 (1か月20m3使用したときの料金を算出したものである),Meter charges，private hydrant，for domestic use， 20m3 (Charges calculated by converting the surveyed price to the charge for 20m3 per month),1か月,1 month,,2434,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2475
家具・家事用品,Furniture & household utensils,家事用消耗品,Domestic non-durable goods,1,ラップ,Food wrap,ポリ塩化ビニリデン製，幅22cm×長さ50m，「サランラップ」又は「NEWクレラップ」,"Made of polyvinylidene chloride， 22cm width， 50m length， ""Saran Wrap"" or ""New Kurewrap""",1本,1 roll,,303,301,300,302,304,306,302,302,301,300,311,307,305
家具・家事用品,Furniture & household utensils,家事用消耗品,Domestic non-durable goods,2,トイレットペーパー,Rolled toilet paper,パルプ100％，白，〔長さ〕50m，60m，2枚重ね25m又は2枚重ね30m，12ロール入り,100% pulp， white， [length] 50m， 60m， doubled sheets 25m or doubled sheets 30m， 12 rolls,1パック,1 pack,,439,422,423,419,423,434,444,447,448,448,455,451,451
家具・家事用品,Furniture & household utensils,家事用消耗品,Domestic non-durable goods,3,洗濯用洗剤,Detergent， laundry,合成洗剤，綿・麻・合成繊維用，液体，詰め替え用，袋入り（720～810g入り），「アタック 高浸透バイオジェル」，「トップ クリアリキッド」又は「アリエール イオンパワージェル」,"Synthetic detergent， for cotton， hemp and synthetic fiber， liquid， refill， in bag (720 - 810g)， ""Attack High activity biogel""， ""Top Clear liquid"" or ""ARIEL ion power gel""",1kg,1kg,,304,294,293,291,304,301,301,304,304,309,320,316,306
被服及び履物,Clothes & footwear,洋服,Clothing,1,背広服,Men's suits ,春夏物，シングル上下，並型，半裏又は背抜き,For spring and summer， single breasted 2 pieces， ordinary style， half lining or unlined back,1着,1 suit,,30389,…,…,31771,31977,30912,30192,29575,27906,…,…,…,…
被服及び履物,Clothes & footwear,洋服,Clothing,2,背広服,Men's suits ,秋冬物，ｼﾝｸﾞﾙ上下並型総裏 ,For autumn and winter， single breasted 2 pieces， ordinary style， full lining,1着,1 suit,,31710,30181,31711,…,…,…,…,…,…,32333,32289,32509,31236
被服及び履物,Clothes & footwear,洋服,Clothing,3,ワイシャツ,Men's business shirts,長袖，ｼﾝｸﾞﾙｶﾌｽ， 〔素材〕ﾎﾟﾘｴｽﾃﾙ･綿混用，白（白織柄を含む）  　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,Long sleeves， single cuffs， [material] mixed polyester and cotton， white (including white weave pattern),1枚,1 sheet,,2884,2944,2916,2916,2968,2897,2841,2734,2697,2841,2951,2951,2951
被服及び履物,Clothes & footwear,洋服,Clothing,4,婦人用セーター,Women's sweaters ,ｶｰﾃﾞｨｶﾞﾝ｢長袖」又は「7分袖」， [素材]毛･化学繊維混用， [ｻｲｽﾞ] M， 普通品,"Cardigan， ""long sleeves"" or ""three-quarter sleeves""， [material] ""mixed wool and synthetic fiber""， [size] M， ordinary quality",1枚,1 sheet,,4029,3607,3280,3686,…,…,…,…,…,4405,4646,4289,4289
被服及び履物,Clothes & footwear,履物類,Footwear,1,男子靴,Men's shoes ,短靴， 黒， 〔甲〕牛革， [底〕「合成ゴム」又は「ウレタン」， [底の製法]張り付け， ［ｻｲｽﾞ］ 25～26cm， 中級品,"Low shoes， black， [instep] oxhide， [sole] ""synthetic rubber"" or ""urethane""， sticked soles， [size] 25 - 26cm， medium quality",1足,1 pair,,11031,11205,11295,11304,11205,11033,10952,11214,10943,10674,10871,10871,10811
被服及び履物,Clothes & footwear,履物類,Footwear,2,婦人靴,Women's shoes,パンプス， [甲] 牛革， [底] 合成ゴム， [底の製法] 張り付け， ［ｻｲｽﾞ］ 23～24cm， 中級品,Pumps， [instep] oxhide， [sole] synthetic rubber，sticked soles，［size] 23-24cm，medium quality,1足,1 pair,,9667,9154,9370,9379,9901,9901,9712,9469,9613,9523,9993,9993,9993
被服及び履物,Clothes & footwear,被服関連 サービス,Services related to clothing,1,洗濯代,Laundry charges ,ワイシャツ，水洗い，機械仕上げ，立体仕上げ，持ち込み，料金前払い，配達なし,Business shirt， water washing， machine finishing， solid finishing， bringing in， payment in advance， not delivery,1枚,1 sheet,,241,239,238,238,239,239,239,239,250,239,243,243,244
保健医療,Medical care,医薬品・健康保持用摂取品,Medicines & health fortification,1,ビタミン剤,Vitamin preparations,第3類医薬品ビタミン含有保健剤，錠剤，プラスチックボトル入り（90錠入り），「キューピーコーワゴールドα-プラス」,"Third-class OTC drugs， multiple vitamins， tablets， plastic-bottled (90 tablets)， ""Q&P Kowa Gold α-plus""",1箱,1 package,,2360,2319,2338,2334,2328,2347,2356,2361,2361,2344,2416,2416,2401
保健医療,Medical care,医薬品・健康保持用摂取品,Medicines & health fortification,2,漢方薬,Chinese medicines,第2類医薬品，防風通聖散，錠剤，瓶入り（315錠入り），「ナイシトールZ」,"Second-class OTC drugs， ""Bofutsu-Shosan"" (Chinese herbal medicine) extracts， tablets， bottled (315 tablets)， ""Naicitol Z""",1箱,1 package,,6357,6337,6347,6337,6337,6327,6306,6306,6326,6326,6444,6444,6444
保健医療,Medical care,保健医療用品・器具,Medical supplies & appliances,1,眼鏡,Spectacles,〔レンズ〕プラスチックレンズ，非球面レンズ，近視用，屈折率1.60，UVカット，無色，「HOYAニュールックス」，「セイコースーパールーシャスUV」又は「ニコンライト3-AS」，〔フレーム〕男性用，樹脂フレーム，中級品，加工料を含む,"[lens] plastic lenses， non-spherical lenses， for myopia， refractive index 1.60， UV protection， untinted， ""HOYA NULUX""， ""SEIKO Super Luscious UV"" or ""Nikon Lite 3-AS""， [frame] for men， plastic frames， medium quality， including conversion costs",1式,1 set,,24740,24743,24455,24455,24455,24455,24455,24455,24455,24455,24716,24716,27063
保健医療,Medical care,保健医療サービス,Medical services,1,診療代（国民健康保険）,Medical treatment (National health insurance),国民健康保険，被保険者の一部負担金の割合（6歳未満及び70歳以上を除く）,National health insurance， rate of charges shared by the insured (excluding under 6 years old and 70 years old or more),1回／パーセント,once／In％,,30,30,30,30,30,30,30,30,30,30,30,30,30
交通・通信,Transportation & communication,交通,Public transportation,1,タクシー代,Taxi fares ,4km，昼,4km， diurnal,1回,once,,1453,1450,1450,1450,1450,1450,1450,1450,1450,1450,1460,1460,1460
交通・通信,Transportation & communication,自動車等関係費,Private transportation,1,ガソリン,Gasoline,レギュラーガソリン，セルフサービス式を除く,Regular， excluding self-service,1L,1L,,144,139,141,144,145,150,146,143,143,141,146,145,147
交通・通信,Transportation & communication,自動車等関係費,Private transportation,2,車庫借料,Garage rental charges,月極駐車料金， 屋根なし駐車場， アスファルト舗装， 小型自動車,Monthly contract， no roof garage， asphalted， small motor vehicle,1か月,1 month,,26631,25484,26584,26584,26584,26584,26584,26584,26584,26584,26979,27219,27219
交通・通信,Transportation & communication,通信,Communication,1,通信料,Telephone charges ,固定電話，加入電話，住宅用，回線使用料，ユニバーサルサービス料を含む,Fixed-line phone， subscribed phone， for domestic use， access charges， including the universal service charges,1か月,1 month,,1844,1838,1838,1838,1838,1838,1838,1839,1839,1839,1839,1873,1873
交通・通信,Transportation & communication,通信,Communication,2,携帯電話機,Mobile phones ,NTTドコモ，スマートフォン，〔OS（基本ソフト）〕iOS 13，〔CPU〕A13 Bionicチップ，〔記憶容量〕64GB，〔ディスプレイ〕Liquid Retina HD（サイズ：6.1インチ），機種変更，一括払い，「ドコモ iPhone 11」,"""NTT Docomo""， smartphone， [OS] iOS 13， [CPU] A13 Bionic chip， [Capacity] 64GB， [Display] Liquid Retina HD (size: 6.1 inches)， model change， lump-sum payment， ""Docomo iPhone 11""",1台,1 set,※ 2月 Feb. ※ 11月 Nov.,87120,88776,98496,98496,98496,98496,100440,100440,100440,97589,75900,87120,87120
交通・通信,Transportation & communication,通信,Communication,3,携帯電話機,Mobile phones ,KDDI（au）又は沖縄セルラー，スマートフォン，〔OS（基本ソフト）〕iOS 13，〔CPU〕A13 Bionicチップ，〔記憶容量〕64GB，〔ディスプレイ〕Liquid Retina HD（サイズ：6.1インチ），機種変更，一括払い，「au iPhone 11」,"""KDDI (au)"" or ""OKINAWA‐CELLULAR""， smartphone， [OS] iOS 13， [CPU] A13 Bionic chip， [Capacity] 64GB， [Display] Liquid Retina HD (size: 6.1 inches)， model change， lump-sum payment， ""au iPhone 11""",1台,1 set,※ 2月 Feb. ※ 11月 Nov.,90720,91440,98400,98400,98400,98400,98400,98400,98400,98400,90288,90720,90720
交通・通信,Transportation & communication,通信,Communication,4,携帯電話機,Mobile phones ,ソフトバンク，スマートフォン，〔OS（基本ソフト）〕iOS 13，〔CPU〕A13 Bionicチップ，〔記憶容量〕64GB，〔ディスプレイ〕Liquid Retina HD（サイズ：6.1インチ），機種変更，一括払い，「ソフトバンク iPhone 11」 ," ""Softbank""， smartphone， [OS] iOS 13， [CPU] A13 Bionic chip， [Capacity] 64GB， [Display] Liquid Retina HD (size: 6.1 inches)， model change， lump-sum payment， ""Softbank iPhone 11""",1台,1 set,※ 2月 Feb. ※ 11月 Nov.,89280,86400,106560,106560,106560,106560,106560,106560,106560,103968,93600,89280,89280
教育,Education,授業料等,School fees,1,大学(私立) 1),College and university(Private) 1),昼間部，法文経系,Daytime， Law， literature and economic course,1か年,1 year,,797835,-,-,-,797835,-,-,-,-,-,-,-,-
教育,Education,授業料等,School fees,2,高等学校(私立),High school(Private),全日制，普通科,Daytime， General course,1か年,1 year,,442189,-,-,-,442189,-,-,-,-,-,-,-,-
教養娯楽,Culture & recreation,教養娯楽用耐久財,Recreational durable goods,1,テレビ,TV sets,液晶テレビ，32V型，地上デジタルチューナー2基内蔵，ハイビジョン対応パネル，LEDバックライト搭載，特殊機能付きは除く,LCD， 32V type， 2 built-in digital terrestrial television tuners， acceptable the high-definition television panel， LED back light loading， without special function,1台,1 set,,48243,49304,49297,48371,49179,47356,47547,48342,45753,46977,48648,50647,47497
教養娯楽,Culture & recreation,教養娯楽サービス,Recreational services,1,映画観覧料,Admission to movies,一般,For adults,1回,once,,1815,1800,1800,1800,1800,1800,1825,1825,1825,1825,1825,1825,1825
諸雑費,Miscellaneous,理美容サービス,Personal care services,1,理髪料,Men's haircut charges,総合調髪， 男性（高校生以下を除く） ,General trim，  for men (excluding ones under high school students age),1回,once,,3854,3830,3830,3817,3822,3827,3827,3827,3827,3827,3918,3947,3947
諸雑費,Miscellaneous,理美容サービス,Personal care services,2,パーマネント代,Permanent wave charges,パーマネント(ｼｬﾝﾌﾟｰ， ｶｯﾄ， ﾌﾞﾛｰ又はｾｯﾄ込み)， ショート女性（高校生以下を除く）                                                                              ,Permanent wave (including shampoo， haircut and blow or set)， short， for women (excluding ones under high school students age),1回,once,,8897,8727,8727,8727,8687,8804,8843,8868,8841,8894,9152,9250,9250
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 13 　物価・地価 13   PRICES,,,,,,,,,,,,,,,,,,,,,,,,
13-3  東京都区部の主要品目小売価格 （平成31･令和元年） 13-3  RETAIL PRICES OF PRINCIPAL ITEMS IN KU-AREA OF TOKYO ( 2019 ),,,,,,,,,,,,,,,,,,,,,,,,
この表は小売物価統計調査の結果であり，調査日は毎月12日を含む週の水曜日，木曜日及び金曜日のいずれか1日を調査日とする。 ただし，生鮮食品は，上旬，中旬，下旬の3旬別に調査を行い（旬別調査），それぞれ，5日，12日及び22日を含む週の水曜日，木曜日又は金曜日のいずれか1日を調査日とする。短期間の特売価格や棚ざらい，在庫一掃セール等の特売価格は，原則として調査しない。また，生鮮食品は，調査日とその前2日間(計3日間）の中値を調査する。,,,,,,,,,,,,,,,,,,,,,,,,
This table shows the results of the Retail Price Survey， conducted on either Wednesday， Thursday， or Friday of the week that includes the 12th of the month. However， for fresh foods， the survey is conducted three times on either Wednesday， Thursday， or Friday of the weeks including the 5th， 12th， and 22nd. In principle， prices from short-term bargain， discount， or clearance sales are not surveyed. For fresh foods， the median prices of three consecutive days (the survey date and two days prior to it) are surveyed.,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 東京都全体の数値。,,,,,,,,,,,,,,,,,,,,,,,,
2) ※印月から基本銘柄改正。,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) The average of all universities that meet the criteria in Tokyo.,,,,,,,,,,,,,,,,,,,,,,,,
2) ※indicates the month when the basic criteria were revised.,,,,,,,,,,,,,,,,,,,,,,,,
資料：総務省 「小売物価統計調査年報」 Source: Ministry of Internal Affairs and Communications,,,,,,,,,,,,,,,,,,,,,,,,
（単位　　円） (In yen),,,,,,,,,,,,,,,,,,,,,,,,
