事業階層,事業,Program,施設総数 Total facilities,公営 Public management／施設数 Facilities,公営 Public management／定員 Capacity,公営 Public management／在所者数 Service users,私営 Private management／施設数 Facilities,私営 Private management／定員 Capacity,私営 Private management／在所者数 Service users
2,聴覚障害者情報提供施設,Resource centers for persons with hearing impairments,1,-,…,…,1,…,…
1,婦人保護施設,Women's shelters,5,-,-,-,5,230,77
1,児童福祉施設等,Child welfare facilities， etc.,4695,1362,77272,96224,3333,212294,171240
2,助産施設,Midwifery homes,35,12,196,…,23,373,…
2,乳児院,Infant homes,10,-,-,-,10,507,387
2,母子生活支援施設 3),Living support facilities for single-mother families 3),33,-,-,-,33,644,1122
2,保育所等,Day care centers， etc.,2856,727,75724,94461,2129,195742,155783
2,地域型保育事業所,Community childcare facilities,970,42,157,133,928,10440,10142
2,児童養護施設,Foster homes,55,-,-,-,55,2933,2735
2,障害児入所施設（福祉型）,Facilities for children with impairments (welfare type),9,-,-,-,9,444,367
2,障害児入所施設（医療型）,Facilities for children with impairments (medical care type),12,4,345,26,8,1146,543
2,児童発達支援センター（福祉型）,Child development support centers (welfare type),30,11,453,1282,19,674,1219
2,児童発達支援センター（医療型）,Child development support centers (medical care type),5,4,145,192,1,35,64
2,児童心理治療施設,Child mental care facilities,-,-,-,-,-,-,-
2,児童自立支援施設,Children's self-reliance support facilities,2,2,252,130,-,-,-
2,児童家庭支援センター,Child and family support centers,-,-,…,…,-,…,…
2,小型児童館,Child centers (small size),370,305,…,…,65,…,…
2,児童センター,Child centers,218,165,…,…,53,…,…
2,大型児童館Ａ型,Large child centers (type A),-,-,…,…,-,…,…
2,大型児童館B型,Large child centers (type B),-,-,…,…,-,…,…
2,大型児童館C型,Large child centers (type C),-,-,…,…,-,…,…
2,その他の児童館,Other child centers,-,-,…,…,-,…,…
2,児童遊園,Child play space,90,90,…,…,-,…,…
1,母子・父子福祉施設,Welfare facilities for single-mother/father families,-,-,…,…,-,…,…
2,母子・父子福祉センター,Welfare centers for single-mother/father families,-,-,…,…,-,…,…
2,母子・父子休養ホーム,Recreational facilities for single-mother/father families,-,-,…,…,-,…,…
1,その他の社会福祉施設,Other social welfare facilities,1380,3,81,-,1377,67893,36943
2,授産施設（社会福祉法）,Vocational facilities (Social Welfare Act),11,1,50,…,10,296,…
2,宿所提供施設（社会福祉法）,Facilities providing accommodation (Social Welfare Act),163,-,-,…,163,4844,…
2,盲人ホーム,Vocational centers for the visually impaired,4,-,-,…,4,80,…
2,無料低額診療施設,Free or low-cost medical facilities,54,-,…,…,54,…,…
2,隣保館,Social service facilities,-,-,…,…,-,…,…
2,へき地保健福祉館,Public health and welfare centers in remote areas,-,-,…,…,-,…,…
2,へき地保育所,Day care centers in remote areas,…,…,…,…,…,…,…
2,有料老人ホーム,Fee-based nursing homes for the elderly,1148,2,31,-,1146,62673,36943
,(別掲）介護老人福祉施設（特別養護老人ホーム）4),(Appendix) Long-term care welfare facilities (Special nursing homes for the elderly) 4),526,…,…,…,526,46441,44354
,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,
18-1  社会福祉施設数（平成30年） 18-1  SOCIAL WELFARE FACILITIES ( 2018 ),,,,,,,,,
10月1日現在休止中の施設を除く。 ,,,,,,,,,
Figures exclude facilities inactive as of Oct. 1 of the year.,,,,,,,,,
注 1) 施設数及び定員は基本票（行政情報），在所者数は詳細票（調査票が回収できた施設の状況）の結果である。,,,,,,,,,
2) 総数及び児童福祉施設の「定員」・「在所者数」には母子生活支援施設を含まない。,,,,,,,,,
3) 母子生活支援施設の定員は世帯数である。,,,,,,,,,
4) 介護老人福祉施設（特別養護老人ホーム）は，公営，私営別に集計していないため，私営部分に公営，私営を合算した数値を掲載している。,,,,,,,,,
Note: 1) The number of facilities and capacities are based on the basic records (government information)， and the number of residents is based on detailed records (facilities that responded to a survey). ,,,,,,,,,
"2) Living support facilities for single-mother families are not included in the total number of social welfare facilities or the child welfare facility ""capacity""  and ""number of service users.""",,,,,,,,,
3) The capacity of living support facilities for single-mother families is expressed in number of households.,,,,,,,,,
"4) Because figures for long-term care facilities for the elderly (special nursing homes for the elderly) are not tabulated separately as public or private， data are combined in the ""private"" column.   ",,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,
事業階層(0:総数　1:保護施設・老人福祉施設・障害者支援施設等・身体障害者社会参加支援施設・婦人保護施設・児童福祉施設・母子・父子福祉施設・その他の社会福祉施設 2:各事業施設),,,,,,,,,
