年度,Fiscal year,会社名,Company name,系統,Line,旅客営業キロ Passanger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
令和元,2019,京成電鉄,Keisei Electric Railway,押上線,Oshiage Line,5.7,6,433940,297202,136738
令和元,2019,京成電鉄,Keisei Electric Railway,金町線,Kanamachi Line,2.5,3,25128,16046,9082
令和元,2019,東武鉄道,Tobu Railway ,,,28.2,28,3058083,2091844,966239
令和元,2019,東武鉄道,Tobu Railway ,東武ｽｶｲﾂﾘｰﾗｲﾝ,Tobu Skytree Line,13.4,13,1484244,1022750,461494
令和元,2019,東武鉄道,Tobu Railway ,大師線,Daishi Line,1,2,5118,3349,1769
令和元,2019,東武鉄道,Tobu Railway ,亀戸線,Kameido Line,3.4,5,31732,19885,11847
令和元,2019,東武鉄道,Tobu Railway ,東上線,Tojo Line,10.4,10,1536989,1045860,491129
令和元,2019,北総鉄道,Hokuso Railway,,,2,2,31264,22976,8288
令和元,2019,北総鉄道,Hokuso Railway,北総線,Hokuso Line,2,2,31264,22976,8288
令和元,2019,高尾登山電鉄,Takao Tozan Railway,,,1.9,4,1890,30,1860
令和元,2019,高尾登山電鉄,Takao Tozan Railway,清滝高尾山,Kiyotaki-Takaosan,1,2,1206,30,1176
令和元,2019,高尾登山電鉄,Takao Tozan Railway,リフト,Chair Lift,0.9,2,684,0,684
令和元,2019,東京モノレール,Tokyo Monorail,,,17.8,11,552586,180788,371797
令和元,2019,御岳登山鉄道,Mitake Tozan Railway,,,1.1,4,474,15,459
令和元,2019,御岳登山鉄道,Mitake Tozan Railway,滝本御岳山,Takimoto-Mitakesan,1,2,421,15,406
令和元,2019,御岳登山鉄道,Mitake Tozan Railway,リフト,Chair Lift,0.1,2,53,-,53
令和元,2019,ゆりかもめ,Yurikamome Inc. ,,,14.7,16,254247,55179,199068
令和元,2019,東京臨海高速鉄道,Tokyo Waterfront Area Rapid Transit，Inc.,,,12.2,8,530223,281908,248315
令和元,2019,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,16,19,264434,170780,93654
令和元,2019,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,,,13.2,7,1002898,723057,279840
,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,
4-12　私鉄の運輸成績 (平成27～令和元年度) 4-12 TRANSPORTATION BY PRIVATE RAILWAYS ( Fiscal Years 2015-2019 ),,,,,,,,,,
この表は東京都内分である。,,,,,,,,,,
Figures refer only to Tokyo Metropolis.,,,,,,,,,,
注) 乗換駅を重複して数えているので， 会社別の駅数と路線別の駅の合計とは必ずしも一致しない。,,,,,,,,,,
Note: Since transit stations are counted in duplicate， the total number of stations by company and by line are not always the same.,,,,,,,,,,
資料：私鉄各社 Source: Private railway companies,,,,,,,,,,
