年次,Year,月次,Month,平均海面気圧 Average atmospheric pressure (sea level) (hPa),気温 Temperature／平均 Average (℃),気温 Temperature／最高気温平均 Average highs (℃) ,気温 Temperature／最低気温平均 Average lows (℃),湿度 Humidity／平均 Average (%),湿度 Humidity／最小湿度 Minimum humidity／湿度 Humidity (%),湿度 Humidity／最小湿度 Minimum humidity／月/日 Month/Date,平均雲量 Average amount of clouds (0-10),日照 Sunshine／日照時間 Duration of sunshine (Hour),日照 Sunshine／日照率 Percentage of sunshine (%),風速 Wind speed／平均 Average (m/s),風速 Wind speed／最大風速 Maximum wind speed／風速 Speed (m/s),風速 Wind speed／最大風速 Maximum wind speed／方向 Direction,風速 Wind speed／最大風速 Maximum wind speed／月/日 Month/Date,降水 Precipitation／総数 Total precipitation (mm),降水 Precipitation／最大日量 Maximum daily precipitation／降水量 Precipitation (mm),降水 Precipitation／最大日量 Maximum daily precipitation／月/日 Month/Date,降水 Precipitation／日数 Number of days／≧0.5mm,降水 Precipitation／日数 Number of days／≧1.0mm,降水 Precipitation／日数 Number of days／≧10mm,降水 Precipitation／日数 Number of days／≧30mm,天気日数 Weather days／快晴 Clear,天気日数 Weather days／曇天 Cloudy,天気日数 Weather days／雨 Rainy,天気日数 Weather days／雪 Snowy,天気日数 Weather days／積雪 Snow cover,天気日数 Weather days／霧 Fog,天気日数 Weather days／雷 Thunder storm,天気日数 Weather days／不照 No sunshine,天気日数 Weather days／風速10m以上 Maximum wind speed 10m/s or more,地震回数（震度1以上）Earthquakes on record (seismic intensity of one or greater)
平成28,2016,,,1014.5,16.4,20.9,12.7,69,9,2016/3/17,7.1,1841.7,41,2.8,12.6,南 S,2016/4/17,1779,106.5,2016/8/22,128,113,50,19,24,181,128,6,3,-,8,62,8,71
平成29,2017,,,1013.2,15.8,20.4,12.1,68,13,2017/3/20,6.7,2050.9,46,2.9,13.7,南南東 SSE,2017/10/23,1430,147.5,2017/10/22,114,95,41,12,39,163,114,7,1,-,14,56,10,60
平成30,2018,,,1014.1,16.8,21.2,13,70,14,2018/2/7,6.7,2112.2,48,3,18.2,南 S,2018/10/1,1445.5,58,2018/3/9,116,103,44,17,34,156,116,11,10,-,14,47,15,64
平成31･令和元,2019,,,1014,16.5,20.9,12.8,70,15,2019/5/24,6.8,1909,43,2.9,17.8,南南東 SSE,2019/10/12,1874,209.5,2019/10/12,131,111,45,14,35,153,131,6,3,1,12,68,10,52
平成31,2019,1,Jan.,1016.4,5.6,10.3,1.4,51,20,2019/1/18,2.8,222.2,72,2.8,10.5,北西 NW,2019/1/29,16,15.5,2019/1/31,2,1,1,-,15,2,2,2,-,-,1,2,1,4
平成31,2019,2,Feb.,1018,7.2,11.6,3.3,59,20,2019/2/23,6.6,138,46,2.7,8.6,北北西 NNW,2019/2/1,42,22.5,2019/2/28,6,4,2,-,3,8,6,4,3,-,-,6,-,1
平成31,2019,3,Mar.,1013,10.6,15.4,6.2,60,17,2019/3/2,6.4,177.3,48,3,11.7,南南西 SSW,2019/3/21,117.5,32,2019/3/11,10,9,4,1,2,12,10,-,-,-,-,7,1,-
平成31,2019,4,Apr.,1013.2,13.6,19,9.2,63,17,2019/4/15,6.7,194.4,50,3.3,10.3,北西 NW,2019/4/11,90.5,29.5,2019/4/10,10,10,3,-,1,14,10,-,-,-,1,4,1,2
令和元,2019,5,May,1013.1,20,25.3,15.3,65,15,2019/5/24,7.1,229.4,53,3.3,9,南南西 SSW,2019/5/28,120.5,82,2019/5/21,6,5,2,1,2,12,6,-,-,-,1,2,-,4
令和元,2019,6,June,1007.5,21.8,25.8,18.5,81,27,2019/6/16,8.5,129.5,30,2.9,10.3,西北西 WNW,2019/6/17,225,92.5,2019/6/10,13,12,5,2,-,20,13,-,-,-,1,7,1,10
令和元,2019,7,July,1009.6,24.1,27.5,21.6,89,54,2019/7/26,9,81.1,18,2.6,8.4,南南東 SSE,2019/7/26，2019/7/27,193,39,2019/7/14,22,17,7,2,-,23,22,-,-,-,-,11,-,9
令和元,2019,8,Aug.,1008.6,28.4,32.8,25.2,80,39,2019/8/11,6.8,187.8,45,3.2,10,南南東 SSE,2019/8/15,110,20,2019/8/15，2019/8/22,12,10,5,-,2,12,12,-,-,-,4,2,1,3
令和元,2019,9,Sept.,1015.1,25.1,29.4,21.7,79,38,2019/9/30,8,137.6,37,2.7,15.4,北西 NW,2019/9/9,197,119,2019/9/9,11,9,3,1,-,13,11,-,-,-,3,3,2,2
令和元,2019,10,Oct.,1016,19.4,23.3,16.4,80,26,2019/10/9,7.8,112.8,32,2.8,17.8,南南東 SSE,2019/10/12,529.5,209.5,2019/10/12,17,16,6,4,-,18,17,-,-,-,1,10,2,5
令和元,2019,11,Nov.,1018.3,13.1,17.7,9.3,69,19,2019/11/6,5.2,170.3,55,2.6,9.2,南南西 SSW,2019/11/18,156.5,60.5,2019/11/23,12,11,4,2,7,7,12,-,-,1,-,6,-,4
令和元,2019,12,Dec.,1019.7,8.5,12.6,5.2,66,28,2019/12/28,6.4,128.6,43,2.4,11.2,北西 NW,2019/12/27,76.5,36,2019/12/2,10,7,3,1,3,12,10,-,-,-,-,8,1,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑 （平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5  気象概況 （平成9～平成31・令和元年） 1-5  CLIMATE ( 1997-2019 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表の気圧，気温，湿度の平均値は1～24時毎正時の24回平均，雲量は 3，9，15，21時の4回平均である。最高気温平均と最低気温平均は毎日の最高，最低の1カ月の平均値を示し，平均風速は毎10分の144回平均 （ただし平成20年6月までは24時間の全風程から求めた)，天気日数における「快晴日」は日平均雲量1.5未満，「曇天日」は日平均雲量8.5以上をいう。雲量は雲が全天を占める時を10とし全天に対する雲の占める比である。各年の雪日数及び積雪日数は，前年8月から当年7月までの期間で算出している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average atmospheric pressure， temperature， and humidity are the average of 24 observations a day  (at every hour on the hour) and average cloudiness is the average of  4 observations (at 3， 9， 15 and 21hours). Average maximum and minimum temperatures are the monthly averages of daily highs and lows. Average wind speed is the average of 144 observations a day taken every 10 minutes (but are 24 hour averages up to June 2008). “Clear days” are days with an average amount of clouds less than 1.5， and “cloudy days” 8.5 or more. “Average amount of clouds” shows the ratio of cloudiness， assuming this to be 10 when clouds cover the entire sky. The number of snowy days and snow cover days of each year are derived over the period from the previous August to July of the stated year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 平成31・令和元年の12月の日照時間及び日照率は，欠測等により統計を行う対象資料が許容範囲で欠けている。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 平成29年の最大風速は，欠測等により統計を行う対象資料が許容範囲を越えて欠けている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) The hours and rates of sunshine in December 2019 indicates that an acceptable portion of data needed for the calculation was missing due to measurement failure or other reasons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) The maximum wind speed in 2017 indicates that an unacceptably large portion of data needed for the calculation was missing due to measurement failure or other reasons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：気象庁（地震回数は千代田区大手町の観測所で観測した地震回数） Source: Japan Meteorological Agency  (earthquake frequency data from Otemachi monitoring station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
