年末,End of year,地域階層,地域コード,項番 Item number,地域,District,医師数 Physicians／総数 Total,医師数 Physicians／医療施設の従事者 Medical institution personnel,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院の開設者又は法人の代表者 Hospital founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院(医育機関附属の病院を除く)の勤務者 Hospital employees (excluding university hospitals),医師数 Physicians／医療施設の従事者 Medical institution personnel／医育機関附属の病院の勤務者 University hospital employees,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の開設者又は法人の代表者 Clinic founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の勤務者 Clinic employee,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の開設者又は法人の代表者 Long-term care health facility founder or president,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の勤務者 Long-term care health facility employee,医師数 Physicians／介護医療院の従事者 Long-term care medical institution personnel 1),医師数 Physicians／医療施設・介護老人保健施設以外の従事者 Personnel other than those in medical institutions， long-term care health facilities and long-term care medical institutions.,医師数 Physicians／その他 Others,医師数 Physicians／不詳/Unknown,歯科医師 Dentist,看護師 Nurse,准看護師 Assistant nurses,薬剤師 Pharmacist,人口10万人あたりの医師数 The number of physicians per population of 100000
平成30,2018,2,13106,6,台東区,Taito-ku,476,455,4,159,-,173,119,1,-,1,-,12,8,-,315,1117,211,607,231.5
平成30,2018,2,13107,7,墨田区,Sumida-ku,755,735,6,486,-,163,80,-,-,-,-,17,3,-,241,2317,230,698,283.2
平成30,2018,2,13108,8,江東区,Koto-ku,1374,1298,9,762,96,271,160,5,1,4,-,63,8,-,382,3164,340,1352,266.8
平成30,2018,2,13109,9,品川区,Shinagawa-ku,1607,1451,7,343,638,319,144,4,2,2,-,139,13,-,550,3245,213,1997,398.4
平成30,2018,2,13110,10,目黒区,Meguro-ku,1168,1132,6,783,-,230,113,1,1,-,-,19,16,-,398,2468,101,895,409.7
平成30,2018,2,13111,11,大田区,Ota-ku,1866,1785,18,577,576,438,176,1,-,1,-,66,14,-,1005,5118,520,1721,254.1
平成30,2018,2,13112,12,世田谷区,Setagaya-ku,2062,1935,16,876,56,694,293,9,2,7,-,80,38,-,914,5319,526,2010,221.9
平成30,2018,2,13113,13,渋谷区,Shibuya-ku,1427,1378,7,661,28,397,285,3,-,3,-,22,24,-,553,3403,157,1369,615.9
平成30,2018,2,13114,14,中野区,Nakano-ku,653,625,4,288,-,246,87,1,-,1,-,15,12,-,337,1779,178,774,193.2
平成30,2018,2,13115,15,杉並区,Suginami-ku,978,932,17,383,-,369,163,6,1,5,-,11,28,1,576,2582,238,1210,168.7
平成30,2018,2,13116,16,豊島区,Toshima-ku,738,707,10,178,-,310,209,-,-,-,-,17,13,1,421,1604,229,1153,245.9
平成30,2018,2,13117,17,北区,Kita-ku,666,647,8,323,-,195,121,3,-,3,-,8,8,-,316,2132,305,1068,189.4
平成30,2018,2,13118,18,荒川区,Arakawa-ku,517,499,9,60,256,127,47,2,-,2,-,8,8,-,179,1394,228,466,238
平成30,2018,2,13119,19,板橋区,Itabashi-ku,2503,2405,21,767,1191,285,141,11,1,10,-,78,9,-,462,6714,862,1660,432.9
平成30,2018,2,13120,20,練馬区,Nerima-ku,1136,1089,10,262,251,418,148,11,1,10,-,15,21,-,591,2916,468,1467,154.5
平成30,2018,2,13121,21,足立区,Adachi-ku,923,899,26,413,-,283,177,8,-,8,-,10,6,-,493,3760,1063,1325,135.7
平成30,2018,2,13122,22,葛飾区,Katsushika-ku,847,828,13,238,184,245,148,7,1,6,-,8,4,-,324,2306,483,974,187.1
平成30,2018,2,13123,23,江戸川区,Edogawa-ku,874,861,13,364,-,283,201,2,-,2,-,6,5,-,521,2793,690,1230,126
平成30,2018,1,13200,,市部,All shi,8888,8528,124,3856,1451,2037,1060,80,9,71,-,214,65,1,3190,30947,4678,10574,211.4
平成30,2018,2,13201,1,八王子市,Hachioji-shi,1066,1027,21,268,364,228,146,6,1,5,-,31,2,-,418,3946,895,1546,184.7
平成30,2018,2,13202,2,立川市,Tachikawa-shi,608,597,5,383,-,108,101,4,-,4,-,7,-,-,192,1801,138,602,337.4
平成30,2018,2,13203,3,武蔵野市,Musashino-shi,507,496,7,267,-,147,75,1,-,1,-,5,4,1,210,1441,111,518,343.5
平成30,2018,2,13204,4,三鷹市,Mitaka-shi,1021,979,5,98,745,94,37,6,2,4,-,30,6,-,125,2521,144,464,533.4
平成30,2018,2,13205,5,青梅市,Ome-shi,344,336,10,254,-,45,27,3,-,3,-,3,2,-,87,1347,518,265,255.1
平成30,2018,2,13206,6,府中市,Fuchu-shi,973,948,9,722,-,131,86,7,1,6,-,14,4,-,227,3508,243,924,368.8
平成30,2018,2,13207,7,昭島市,Akishima-shi,172,168,5,106,-,34,23,3,-,3,-,-,1,-,97,964,137,250,153.7
平成30,2018,2,13208,8,調布市,Chofu-shi,301,284,6,85,-,132,61,5,-,5,-,6,6,-,211,1190,204,527,126.7
平成30,2018,2,13209,9,町田市,Machida-shi,625,599,13,258,-,227,101,6,-,6,-,10,10,-,290,2359,391,1033,144
平成30,2018,2,13210,10,小金井市,Koganei-shi,155,150,4,64,-,62,20,-,-,-,-,4,1,-,102,561,101,243,124.3
平成30,2018,2,13211,11,小平市,Kodaira-shi,473,410,-,283,-,93,34,4,2,2,-,52,7,-,123,1572,207,411,242.9
平成30,2018,2,13212,12,日野市,Hino-shi,240,224,4,97,-,78,45,7,-,7,-,7,2,-,102,838,160,405,127
平成30,2018,2,13213,13,東村山市,Higashimurayama-shi,251,239,6,151,-,62,20,3,1,2,-,4,5,-,106,1231,208,370,167.2
平成30,2018,2,13214,14,国分寺市,Kokubunji-shi,126,119,2,8,-,82,27,2,-,2,-,-,5,-,102,383,85,225,99.7
平成30,2018,2,13215,15,国立市,Kunitachi-shi,100,94,2,8,-,66,18,5,1,4,-,1,-,-,89,277,42,209,133.3
平成30,2018,2,13218,16,福生市,Fussa-shi,123,120,2,73,-,33,12,2,-,2,-,-,1,-,42,430,86,173,211.4
平成30,2018,2,13219,17,狛江市,Komae-shi,275,274,1,2,207,45,19,-,-,-,-,1,-,-,50,675,43,186,331.3
平成30,2018,2,13220,18,東大和市,Higashiyamato-shi,133,130,-,71,-,39,20,2,1,1,-,-,1,-,53,640,78,215,157.4
平成30,2018,2,13221,19,清瀬市,Kiyose-shi,230,223,5,169,-,24,25,1,-,1,-,6,-,-,47,541,111,318,305
平成30,2018,2,13222,20,東久留米市,Higashikurume-shi,73,71,2,17,-,40,12,-,-,-,-,-,2,-,65,291,84,222,62.8
平成30,2018,2,13223,21,武蔵村山市,Musashimurayama-shi,125,116,4,93,-,15,4,1,-,1,-,8,-,-,38,645,91,151,174.1
平成30,2018,2,13224,22,多摩市,Tama-shi,432,408,3,131,135,69,70,2,-,2,-,20,2,-,122,1493,163,438,292.2
平成30,2018,2,13225,23,稲城市,Inagi-shi,133,129,1,83,-,32,13,2,-,2,-,1,1,-,47,526,53,200,146.5
平成30,2018,2,13227,24,羽村市,Hamura-shi,44,42,1,6,-,21,14,2,-,2,-,-,-,-,59,193,66,74,80
平成30,2018,2,13228,25,あきる野市,Akiruno-shi,117,114,3,60,-,29,22,3,-,3,-,-,-,-,59,538,117,122,145.8
平成30,2018,2,13229,26,西東京市,Nishitokyo-shi,241,231,3,99,-,101,28,3,-,3,-,4,3,-,127,1036,202,483,118.6
平成30,2018,1,13300,,郡部,All gun,51,44,2,21,-,11,10,4,1,3,-,2,1,-,18,244,126,52,89.2
平成30,2018,2,13303,1,瑞穂町,Mizuho-machi,19,15,1,3,-,7,4,2,-,2,-,2,-,-,10,77,53,23,57.8
平成30,2018,2,13305,2,日の出町,Hinode-machi,21,19,1,13,-,3,2,2,1,1,-,-,-,-,5,138,58,23,121.9
平成30,2018,2,13307,3,檜原村,Hinohara-mura,2,2,-,-,-,-,2,-,-,-,-,-,-,-,1,3,6,-,96.5
平成30,2018,2,13308,4,奥多摩町,Okutama-machi,9,8,-,5,-,1,2,-,-,-,-,-,1,-,2,26,9,6,179.2
平成30,2018,1,13350,,島部,All islands,35,30,-,6,-,2,22,-,-,-,-,3,2,-,18,137,23,25,137.7
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,,
19-2 地域別医療従事者数 (平成20～30年末) 19-2  MEDICAL PERSONNEL BY DISTRICT ( End of 2008-2018 ）,,,,,,,,,,,,,,,,,,,,,,,,,
この表は医師法，歯科医師法，保健師助産師看護師法による届出により集計したものであり，就業地による。 ,,,,,,,,,,,,,,,,,,,,,,,,,
The table tabulates figures reported under the Medical Practitioners Act， Dental Practitioners Act， Act on Public Health Nurses， Midwives and Nurses， and is compiled by workplace. ,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 平成30年4月の介護保険法の改正により新たに創設された。,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Newly established in April 2018 with the amendment of the Long-Term Care Insurance Act.,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課「医師・歯科医師・薬剤師調査東京都集計結果報告」，医療政策部医療人材課「看護師等業務従事者届集計報告」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,
