年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／調停成立 Successful conciliation,既済 Disposed／調停不成立 Unsuccessful conciliation,既済 Disposed／取下 Withdrawal,既済 Disposed／合意に相当する審判 a),既済 Disposed／調停に代わる審判 b),既済 Disposed／調停をしないもの Non-conciliation,既済 Disposed／その他 Others,未済 Pending,異議 Objection／合意に相当する審判 a),異議 Objection／調停に代わる審判 b)
平成31･令和元,2019,2,12,生活保護法77条2項の事件,Cases under Article 77， Paragraph 2 of the Public Assistance Act,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成31･令和元,2019,2,13,推定相続人の廃除及びその取消し（家事審判法第9条乙類）,Disinheritance of a presumptive heir / rescission of such disinheritance (Article 9， Clause 2 of the Domestic Relations Trial Act),-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成31･令和元,2019,1,,別表第二以外の調停事件総数,Total number of cases of conciliation of domestic relations other than those stipulated in Appended Table 2 of the Domestic Relations Case Procedure Act,9664,3142,6522,6190,2575,2000,1020,212,174,70,139,3474,1,4
平成31･令和元,2019,2,1,婚姻中の夫婦間の事件,Cases between married couple,7607,2579,5028,4786,2225,1564,686,-,157,44,110,2821,-,4
平成31･令和元,2019,2,2,婚姻外の男女間の事件,Cases between men and women outside of marriage,15,4,11,11,4,2,3,-,-,2,-,4,-,-
平成31･令和元,2019,2,3,離婚その他男女関係解消に基づく慰謝料,Compensation for divorce or breakup of a male-female relationship,47,16,31,29,8,10,11,-,-,-,-,18,-,-
平成31･令和元,2019,2,4,親族間の紛争,Dispute among relatives,305,64,241,236,52,86,83,-,1,7,7,69,-,-
平成31･令和元,2019,2,5,合意に相当する審判事項,Ruling equivalent to agreement,541,125,416,405,3,87,87,212,5,6,5,136,1,-
平成31･令和元,2019,2,,うち協議離婚無効・取消し,(of which) Invalidation/annulment of divorce by agreement,58,10,48,51,1,21,11,17,-,-,1,7,-,-
平成31･令和元,2019,2,,うち認知,(of which) Acknowledgement of paternity,206,51,155,156,2,27,36,87,1,2,1,50,-,-
平成31･令和元,2019,2,,うち嫡出否認,(of which) Rebuttal of presumption of a child in wedlock,88,20,68,61,-,-,7,53,-,1,-,27,-,-
平成31･令和元,2019,2,,うち親子関係不存在確認,(of which) Clarification of non-existence of a parent-child relationship,114,25,89,77,-,15,12,44,2,1,3,37,1,-
平成31･令和元,2019,2,6,離縁,Dissolution of an adoptive relationship,112,26,86,85,27,33,14,-,6,-,5,27,-,-
平成31･令和元,2019,2,7,その他,Others,1037,328,709,638,256,218,136,-,5,11,12,399,-,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,
20-6 家事調停事件の種類別件数 （平成30， 平成31･令和元年） 20-6  CASES OF CONCILIATION OF DOMESTIC RELATIONS BY KIND ( 2018 and 2019 ),,,,,,,,,,,,,,,,,,,
a) Adjudication equivalent to agreement b) Adjudication in lieu of conciliation,,,,,,,,,,,,,,,,,,,
資料：東京家庭裁判所事務局総務課 Source: Tokyo Family Court,,,,,,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,,,,,,,,,,
