年度末,End of fiscal year,地域階層,地区コード,地域,District,総人口 (A) Total population 1),排水区域 Areas served by sewerage system／人口 (B) Population,排水区域 Areas served by sewerage system／計画面積 Planned area (ha),排水区域 Areas served by sewerage system／面積 Area　(ha),処理区域 Areas served by sewerage system and sewage treatment system／人口 Population,処理区域 Areas served by sewerage system and sewage treatment system／計画面積 Planned area (ha),処理区域Areas served by sewerage system and sewage treatment system／面積 Area (ha),終末処理場数 Number of sewage treatment plants 2) ,終末処理場数 Number of sewage treatment plants,普及率 (B/A) Sewerage system coverage (%)
令和元,2019,2,13227,羽村市,Hamura-shi,55091,54888,905,795,54888,905,795,-,-,100
令和元,2019,2,13228,あきる野市,Akiruno-shi,80575,75444,1659,1335,75444,1659,1271,-,-,94
令和元,2019,2,13229,西東京市,Nishitokyo-shi,205653,205653,1585,1585,205653,1585,1585,-,-,100
令和元,2019,1,13300,郡部,All gun,56502,55272,1930,1630,55220,1930,1620,-,1,98
令和元,2019,2,13303,瑞穂町,Mizuho-machi,32692,32130,929,805,32078,929,795,-,-,98
令和元,2019,2,13305,日の出町,Hinode-machi,16647,16642,700,527,16642,700,527,-,-,100
令和元,2019,2,13307,檜原村,Hinohara-mura,2125,1903,102,99,1903,102,99,-,-,90
令和元,2019,2,13308,奥多摩町,Okutama-machi,5038,4597,199,199,4597,199,199,-,1,91
令和元,2019,1,13350,島部 ,All islands 3),2636,1714,90,84,1714,90,84,-,1,65
令和元,2019,2,13363,新島村,Niijima-mura,2636,1714,90,84,1714,90,84,-,1,65
,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,,,
6-6  地域別下水道の普及状況（平成29～令和元年度末） 6-6  SEWERAGE SERVICE BY DISTRICT ( End of Fiscal Years 2017-2019 ),,,,,,,,,,,,,,,
注 1) 総人口は，住民基本台帳人口である。　　,,,,,,,,,,,,,,,
2) 終末処理場の数値は流域下水道にかかるものであり，内数である。,,,,,,,,,,,,,,,
3) 島部に関しては，新島村のみ公共下水道である。,,,,,,,,,,,,,,,
Note: 1) Total population data from the Basic Resident Register.,,,,,,,,,,,,,,,
2) Figures in parentheses show the number of sewage treatment plants for a regional sewerage system within the total number (figures on the right).  ,,,,,,,,,,,,,,,
3) In the islands， only Niijima-mura is served by a public sewerage system.,,,,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課，同都市整備局都市基盤部調整課 Source: Bureau of Sewerage， TMG; Bureau of Urban Development， TMG,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,
