年度平均,Fiscal year average,地域階層,地域コード,地域,District,被保護世帯数 Households assisted 1),生活扶助 Livelihood assistance,住宅扶助 Housing assistance,教育扶助 Education assistance,介護扶助 LTC assistance,医療扶助 Medical assistance,出産扶助 Maternity assistance,生業扶助 Occupational assistance,葬祭扶助 Funeral assistance,被保護人員数 Persons assisted(人 persons)
平成30,2018,2,13207,昭島市,Akishima-shi,1758,1476,1509,80,425,1507,-,47,7,2233
平成30,2018,2,13208,調布市,Chofu-shi,2539,2152,2235,70,462,2368,-,26,4,3088
平成30,2018,2,13209,町田市,Machida-shi,5666,4834,5114,376,1064,4616,-,232,16,7857
平成30,2018,2,13210,小金井市,Koganei-shi,1523,1283,1363,27,227,1109,-,17,1,1726
平成30,2018,2,13211,小平市,Kodaira-shi,2468,2214,2195,133,463,2411,-,71,7,3245
平成30,2018,2,13212,日野市,Hino-shi,2005,1795,1758,87,396,1858,0,59,6,2577
平成30,2018,2,13213,東村山市,Higashimurayama-shi,2554,2186,2195,122,473,1921,-,81,8,3327
平成30,2018,2,13214,国分寺市,Kokubunji-shi,970,831,830,37,164,744,-,8,3,1162
平成30,2018,2,13215,国立市,Kunitachi-shi,918,789,826,33,159,828,0,16,2,1149
平成30,2018,2,13218,福生市,Fussa-shi,913,785,818,33,217,843,-,19,2,1132
平成30,2018,2,13219,狛江市,Komae-shi,959,839,880,16,235,865,-,13,2,1126
平成30,2018,2,13220,東大和市,Higashiyamato-shi,1341,1159,1172,92,294,1164,-,53,2,1911
平成30,2018,2,13221,清瀬市,Kiyose-shi,1657,1445,1501,88,360,1482,-,49,5,2233
平成30,2018,2,13222,東久留米市,Higashikurume-shi,1696,1493,1528,112,350,1441,-,60,3,2284
平成30,2018,2,13223,武蔵村山市,Musashimurayama-shi,1221,1050,1090,68,244,1050,-,31,3,1712
平成30,2018,2,13224,多摩市,Tama-shi,1887,1575,1672,107,322,1681,-,68,5,2545
平成30,2018,2,13225,稲城市,Inagi-shi,864,746,773,43,166,689,0,31,3,1166
平成30,2018,2,13227,羽村市,Hamura-shi,593,487,522,29,90,527,-,15,2,789
平成30,2018,2,13228,あきる野市,Akiruno-shi,693,552,552,51,129,607,-,30,1,982
平成30,2018,2,13229,西東京市,Nishitokyo-shi,3075,2679,2774,165,606,2733,0,92,3,4059
平成30,2018,1,13300,郡部,All gun,681,549,508,42,127,601,-,20,0,980
平成30,2018,1,13350,島部,All islands,432,362,264,4,137,400,-,6,1,497
,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,
18-2  地域別被保護世帯数（平成26～30年度 年度平均） 18-2  HOUSEHOLDS ASSISTED BY DISTRICT ( Annual Averages of Fiscal Years 2014-2018 ),,,,,,,,,,,,,,,
この数字は各地区別に平均し、集計した数字なので総数とは必ずしも一致しない。,,,,,,,,,,,,,,,
Figures are averaged by district and so may not add up to the totals provided.,,,,,,,,,,,,,,,
注 1) 「被保護世帯数」には保護停止中の世帯，「被保護人員数」には保護停止中の人員を含む。,,,,,,,,,,,,,,,
"Note: 1) The numbers of ""Households assisted"" and ""Persons assisted"" include households/persons for whom welfare benefits are currently discontinued.",,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG ,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,
（単位　世帯）(Value in households),,,,,,,,,,,,,,,
