年度,年度西暦,歳入歳出区分,会計区分,款,項,目,細目,事業名,所管部署
令和2年度,2020,歳出,一般,2,1,6,79,いきいきＴＡＭＡ基金積立,企画課
令和2年度,2020,歳出,一般,2,1,7,80,企画事務経費,企画課
令和2年度,2020,歳出,一般,2,1,7,82,多摩市自治基本条例推進事業,企画課
令和2年度,2020,歳出,一般,2,1,7,85,女と男がともに生きる行動計画推進事業,平和・人権課
令和2年度,2020,歳出,一般,2,1,7,86,ＴＡＭＡ女性センター運営経費,TAMA女性センター
令和2年度,2020,歳出,一般,2,1,7,908,総合戦略推進経費,企画課
令和2年度,2020,歳出,一般,2,1,7,936,行財政改革推進事業,行政管理課
令和2年度,2020,歳出,一般,2,1,7,937,市制施行５０周年記念事業,企画課
令和2年度,2020,歳出,一般,2,1,7,954,若者のまちづくり推進事業,企画課
令和2年度,2020,歳出,一般,2,1,7,955,ふるさとＴＡＭＡ応援寄附金管理運営経費,企画課
令和2年度,2020,歳出,一般,2,1,8,96,財政調整基金積立,財政課
令和2年度,2020,歳出,一般,2,1,9,97,青少年問題活動費,児童青少年課
令和2年度,2020,歳出,一般,2,1,9,951,子ども若者育成支援事業,児童青少年課
令和2年度,2020,歳出,一般,2,1,9,967,子ども未来応援支給事業,児童青少年課
令和2年度,2020,歳出,一般,2,1,10,98,交通問題事務経費,交通対策担当
令和2年度,2020,歳出,一般,2,1,10,99,交通安全対策事務経費,交通対策担当
令和2年度,2020,歳出,一般,2,1,10,100,交通安全指導経費,交通対策担当
令和2年度,2020,歳出,一般,2,1,10,102,放置自転車等対策事業,交通対策担当
令和2年度,2020,歳出,一般,2,1,10,104,駐車場対策事務経費,交通対策担当
令和2年度,2020,歳出,一般,2,1,10,105,地域密着型交通運行事業,交通対策担当
令和2年度,2020,歳出,一般,2,1,11,112,多摩市立複合文化施設等管理運営事業,文化・生涯学習推進課
令和2年度,2020,歳出,一般,2,1,11,923,複合文化施設等大規模改修事業,文化・生涯学習推進課
令和2年度,2020,歳出,一般,2,1,12,115,文化推進事務経費,文化・生涯学習推進課
令和2年度,2020,歳出,一般,2,1,12,116,都市交流推進事業,文化・生涯学習推進課
令和2年度,2020,歳出,一般,2,1,12,118,国際化推進事業,文化・生涯学習推進課
令和2年度,2020,歳出,一般,2,1,12,119,多摩市国際交流センター補助事業,文化・生涯学習推進課
令和2年度,2020,歳出,一般,2,1,12,867,文化施策推進事業,文化・生涯学習推進課
令和2年度,2020,歳出,一般,2,1,13,121,多摩市自治連合会補助事業,コミュニティ・生活課
令和2年度,2020,歳出,一般,2,1,13,122,集会所管理経費,コミュニティ・生活課
令和2年度,2020,歳出,一般,2,1,13,124,複合施設等管理経費,コミュニティ・生活課
令和2年度,2020,歳出,一般,2,1,13,125,老人福祉館・地区市民ホール運営費,コミュニティ・生活課
令和2年度,2020,歳出,一般,2,1,13,127,コミュニティセンター管理運営事業,コミュニティ・生活課
令和2年度,2020,歳出,一般,2,1,13,129,地域複合館改修事業,コミュニティ・生活課
令和2年度,2020,歳出,一般,2,1,13,864,市民協働推進事業,企画課
令和2年度,2020,歳出,一般,2,1,13,990,コミュニティセンター改修事業,コミュニティ・生活課
令和2年度,2020,歳出,一般,2,1,15,137,出張所管理運営費,市民課
令和2年度,2020,歳出,一般,2,1,16,138,防犯対策事務経費,防災安全課
令和2年度,2020,歳出,一般,2,1,17,139,諸事務経費,総務契約課
令和2年度,2020,歳出,一般,2,1,17,140,人権啓発事業,平和・人権課
令和2年度,2020,歳出,一般,2,1,17,141,過誤納還付金及び還付加算金,納税課
令和2年度,2020,歳出,一般,2,1,17,143,保護司活動支援経費,福祉総務課
令和2年度,2020,歳出,一般,2,1,17,150,犯罪被害者等支援事業,平和・人権課
令和2年度,2020,歳出,一般,2,1,17,961,特別定額給付金事業,総務契約課
令和2年度,2020,歳出,一般,2,2,1,4,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,2,2,1,153,固定資産評価審査委員会運営費,文書法制課
令和2年度,2020,歳出,一般,2,2,2,155,課税事務経費,課税課
令和2年度,2020,歳出,一般,2,2,2,156,資産税事務経費,課税課
令和2年度,2020,歳出,一般,2,2,2,157,徴収事務経費,納税課
令和2年度,2020,歳出,一般,2,3,1,5,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,2,3,1,158,戸籍住民基本台帳事務経費,市民課
令和2年度,2020,歳出,一般,2,4,1,6,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,2,4,1,159,選挙管理委員会運営費,選挙管理委員会事務局
令和2年度,2020,歳出,一般,2,4,2,160,選挙常時啓発事業,選挙管理委員会事務局
令和2年度,2020,歳出,一般,2,4,5,164,東京都知事選挙執行経費,選挙管理委員会事務局
令和2年度,2020,歳出,一般,2,5,1,7,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,2,5,2,171,統計調査事業,企画課
令和2年度,2020,歳出,一般,2,6,1,8,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,2,6,1,172,監査事務経費,監査委員事務局
令和2年度,2020,歳出,一般,3,1,1,9,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,3,1,1,173,国民健康保険特別会計繰出,保険年金課
令和2年度,2020,歳出,一般,3,1,1,174,地域福祉事務経費,福祉総務課
令和2年度,2020,歳出,一般,3,1,1,175,多摩市社会福祉協議会助成事業,福祉総務課
令和2年度,2020,歳出,一般,3,1,1,176,民生委員推薦会運営費,福祉総務課
令和2年度,2020,歳出,一般,3,1,1,177,民生委員協議会等運営費,福祉総務課
令和2年度,2020,歳出,一般,3,1,1,178,福祉委員会運営費,福祉総務課
令和2年度,2020,歳出,一般,3,1,1,179,福祉基金積立,福祉総務課
令和2年度,2020,歳出,一般,3,1,1,182,災害見舞金等支給事業,防災安全課
令和2年度,2020,歳出,一般,3,1,1,183,地域福祉推進事業,福祉総務課
令和2年度,2020,歳出,一般,3,1,1,284,成年後見制度利用者支援事業,福祉総務課
令和2年度,2020,歳出,一般,3,1,1,873,社会福祉法人認可検査事務経費,福祉総務課
令和2年度,2020,歳出,一般,3,1,1,887,自殺対策事業,福祉総務課
令和2年度,2020,歳出,一般,3,1,1,891,臨時福祉給付金給付事業,福祉総務課
令和2年度,2020,歳出,一般,3,1,1,897,生活困窮者等支援事業,福祉総務課
令和2年度,2020,歳出,一般,3,1,1,910,健幸まちづくり推進事業,健幸まちづくり推進室
令和2年度,2020,歳出,一般,3,1,1,934,多摩市地域福祉計画推進事業,福祉総務課
令和2年度,2020,歳出,一般,3,1,1,987,多摩市西永山福祉施設管理経費,福祉総務課
令和2年度,2020,歳出,一般,3,1,2,192,心身障がい者支援事業,障害福祉課
令和2年度,2020,歳出,一般,3,1,2,193,ハンディキャブ運行事業,障害福祉課
令和2年度,2020,歳出,一般,3,1,2,195,身体障がい者電話使用料助成事業,障害福祉課
令和2年度,2020,歳出,一般,3,1,2,196,心身障がい者福祉手当支給事業,障害福祉課
令和2年度,2020,歳出,一般,3,1,2,197,心身障がい者医療事務費,障害福祉課
令和2年度,2020,歳出,一般,3,1,2,198,特定疾病者福祉手当支給事業,障害福祉課
令和2年度,2020,歳出,一般,3,1,2,199,発達障がい児（者）相談支援事業,障害福祉課
令和2年度,2020,歳出,一般,3,1,2,200,聴覚障がい者用電話ファクシミリ使用料等助成事業,障害福祉課
令和2年度,2020,歳出,一般,3,1,2,203,障がい者チャレンジ雇用・就労支援事業,障害福祉課
令和2年度,2020,歳出,一般,3,1,2,205,特別障がい者手当等支給事業,障害福祉課
令和2年度,2020,歳出,一般,3,1,2,206,児童発達支援通所事業,障害福祉課
令和2年度,2020,歳出,一般,3,1,2,210,身体・知的障がい者相談員事業運営費,障害福祉課
令和2年度,2020,歳出,一般,3,1,2,211,障がい者福祉農園事業,障害福祉課
令和2年度,2020,歳出,一般,3,1,2,214,精神障がい者グループホーム活用型ショートステイ事業,障害福祉課
令和2年度,2020,歳出,一般,3,1,2,218,障がい者おむつ支給等事業,障害福祉課
令和2年度,2020,歳出,一般,3,1,2,221,心身障がい者（児）一時保護事業,障害福祉課
令和2年度,2020,歳出,一般,3,1,2,235,障がい者自立支援推進事業,障害福祉課
令和2年度,2020,歳出,一般,3,1,2,247,地域生活支援事業,障害福祉課
令和2年度,2020,歳出,一般,3,1,3,257,老人保護措置費,高齢支援課
令和2年度,2020,歳出,一般,3,1,3,258,高齢者慶祝事業,高齢支援課
令和2年度,2020,歳出,一般,3,1,3,259,介護保険通所介護事業,高齢支援課
令和2年度,2020,歳出,一般,3,1,3,261,シルバー人材センター助成事業,高齢支援課
令和2年度,2020,歳出,一般,3,1,3,262,高齢者保健福祉計画（介護保険事業計画）改定事業,高齢支援課
令和2年度,2020,歳出,一般,3,1,3,266,老人福祉センター事業費,高齢支援課
令和2年度,2020,歳出,一般,3,1,3,267,高齢者緊急一時保護事業,高齢支援課
令和2年度,2020,歳出,一般,3,1,3,270,老人クラブ助成事業,高齢支援課
令和2年度,2020,歳出,一般,3,1,3,272,高齢者集合住宅管理運営事業,高齢支援課
令和2年度,2020,歳出,一般,3,1,3,274,緊急通報システム事業,高齢支援課
令和2年度,2020,歳出,一般,3,1,3,278,介護保険推進事業,介護保険課
令和2年度,2020,歳出,一般,3,1,3,279,介護保険特別会計繰出,介護保険課
令和2年度,2020,歳出,一般,3,1,3,286,高齢者おむつ支給等事業,高齢支援課
令和2年度,2020,歳出,一般,3,1,3,290,高齢者出張理髪事業,高齢支援課
令和2年度,2020,歳出,一般,3,1,3,292,介護予防推進事業,高齢支援課
令和2年度,2020,歳出,一般,3,1,3,295,包括的支援一般福祉事業,高齢支援課
令和2年度,2020,歳出,一般,3,1,3,296,後期高齢者医療特別会計繰出,保険年金課
令和2年度,2020,歳出,一般,3,1,3,304,高齢者日常生活用具等給付事業,高齢支援課
令和2年度,2020,歳出,一般,3,1,3,871,福祉サービス第三者評価事業,高齢支援課
令和2年度,2020,歳出,一般,3,1,3,876,高齢支援事務経費,高齢支援課
令和2年度,2020,歳出,一般,3,1,3,922,高齢者見守り相談窓口事業,高齢支援課
令和2年度,2020,歳出,一般,3,1,4,10,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,3,1,4,305,総合福祉センター管理運営費,福祉総務課
令和2年度,2020,歳出,一般,3,2,1,11,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,3,2,1,307,子育て支援課事務管理経費,子育て支援課
令和2年度,2020,歳出,一般,3,2,1,311,子ども・子育て支援推進事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,1,882,たまっこ子育て応援事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,313,特別児童扶養手当支給事業,障害福祉課
令和2年度,2020,歳出,一般,3,2,2,314,児童育成手当支給事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,315,児童扶養手当支給事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,316,子ども医療費助成事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,317,子どものための保育給付費,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,320,民間保育所補助事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,321,児童福祉法施行事務費,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,322,助産施設入所費,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,323,子育てサポート事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,324,認証保育所運営費補助事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,325,病児・病後児保育事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,329,ファミリー・サポート・センター運営事業,子ども家庭支援センター
令和2年度,2020,歳出,一般,3,2,2,330,産前産後子育て支援事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,331,子どもショートステイ事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,336,児童手当支給事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,622,特定教育・保育の実費徴収に係る補足給付事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,623,保育サービス推進等事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,704,保育士等キャリアアップ補助事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,857,子育て世帯への臨時特別給付金支給事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,883,臨時休園等支援事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,889,認可外保育施設第三者評価受審費補助事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,939,ひとり親家庭等への臨時特別給付金支給事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,952,保育従事職員宿舎借り上げ支援事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,963,新型コロナウイルス感染症緊急対策に係るひとり親家庭支援事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,965,ひとり親世帯臨時特別給付金給付事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,966,新生児応援臨時特別給付金給付事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,988,企業主導型保育利用支援事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,989,子育て支援施設等利用保育給付費,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,995,保育所等における新型コロナウイルス感染症対策事業補助金,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,996,未婚の児童扶養手当受給者に対する臨時・特別給付金支給事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,997,保育所等給食費負担軽減事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,2,999,多摩市保育人材と質の確保事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,3,337,ひとり親家庭等医療費助成事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,3,339,ひとり親家庭ホームヘルプサービス事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,3,341,ひとり親家庭自立支援給付金事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,3,343,ひとり親家庭相談事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,3,624,ひとり親家庭等学習支援事業,子育て支援課
令和2年度,2020,歳出,一般,3,2,4,12,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,3,2,4,345,児童館・学童クラブ管理経費,児童青少年課
令和2年度,2020,歳出,一般,3,2,4,346,児童館運営事業,児童青少年課
令和2年度,2020,歳出,一般,3,2,4,347,学童クラブ運営事業,児童青少年課
令和2年度,2020,歳出,一般,3,2,4,349,公立保育園管理運営費,子育て支援課
令和2年度,2020,歳出,一般,3,2,4,353,子ども家庭支援センター事業,子ども家庭支援センター
令和2年度,2020,歳出,一般,3,2,4,354,子ども家庭支援センター管理運営費,子ども家庭支援センター
令和2年度,2020,歳出,一般,3,2,4,992,パルテノン多摩・子どものエリア事業,子育て支援課
令和2年度,2020,歳出,一般,3,3,1,13,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,3,3,1,360,生活保護法外事業,生活福祉課
令和2年度,2020,歳出,一般,3,3,2,361,生活保護法施行事務費,生活福祉課
令和2年度,2020,歳出,一般,3,3,2,362,生活保護費,生活福祉課
令和2年度,2020,歳出,一般,3,3,2,363,中国残留邦人等支援事業,生活福祉課
令和2年度,2020,歳出,一般,3,4,1,14,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,3,4,1,364,国民年金事務経費,保険年金課
令和2年度,2020,歳出,一般,4,1,1,15,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,4,1,1,367,健康管理経費,健康推進課
令和2年度,2020,歳出,一般,4,1,1,368,健康センター管理経費,健康推進課
令和2年度,2020,歳出,一般,4,1,1,370,健康づくり地域活動推進事業,健康推進課
令和2年度,2020,歳出,一般,4,1,1,371,母子保健事業,健康推進課
令和2年度,2020,歳出,一般,4,1,2,377,予防接種事業,健康推進課
令和2年度,2020,歳出,一般,4,1,2,378,感染症予防事業,健康推進課
令和2年度,2020,歳出,一般,4,1,2,380,成人保健対策事業,健康推進課
令和2年度,2020,歳出,一般,4,1,2,381,休日等診療事業,健康推進課
令和2年度,2020,歳出,一般,4,1,2,383,休日歯科応急診療事業,健康推進課
令和2年度,2020,歳出,一般,4,1,2,385,障がい児（者）等歯科診療事業,健康推進課
令和2年度,2020,歳出,一般,4,1,2,388,歯科医療連携推進事業,健康推進課
令和2年度,2020,歳出,一般,4,1,2,392,小児初期救急準夜診療事業,健康推進課
令和2年度,2020,歳出,一般,4,1,2,971,新型コロナウイルスワクチン接種事業,健康推進課
令和2年度,2020,歳出,一般,4,1,3,393,斎場・霊園管理経費,コミュニティ・生活課
令和2年度,2020,歳出,一般,4,1,3,394,公衆便所管理経費,公園緑地課
令和2年度,2020,歳出,一般,4,1,3,865,狂犬病予防・飼い主不明猫等対策経費,コミュニティ・生活課
令和2年度,2020,歳出,一般,4,1,4,397,環境保全啓発事業,環境政策課
令和2年度,2020,歳出,一般,4,1,4,850,多摩市みどりと環境審議会運営経費,環境政策課
令和2年度,2020,歳出,一般,4,1,4,898,地球温暖化対策事業,環境政策課
令和2年度,2020,歳出,一般,4,1,5,403,公害対策事業,環境政策課
令和2年度,2020,歳出,一般,4,2,1,16,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,4,2,1,406,清掃事務経費,ごみ対策課
令和2年度,2020,歳出,一般,4,2,1,408,廃棄物減量等推進審議会経費,ごみ対策課
令和2年度,2020,歳出,一般,4,2,2,409,塵芥収集事業,ごみ対策課
令和2年度,2020,歳出,一般,4,2,2,410,一部事務組合負担金,ごみ対策課
令和2年度,2020,歳出,一般,4,2,2,412,ごみ減量化推進事業,ごみ対策課
令和2年度,2020,歳出,一般,4,2,2,413,資源化センター管理運営事業,資源化センター
令和2年度,2020,歳出,一般,4,2,2,414,収集機材管理事業,ごみ対策課
令和2年度,2020,歳出,一般,4,2,3,420,し尿処理事業,ごみ対策課
令和2年度,2020,歳出,一般,5,1,1,423,就業労働相談事業,経済観光課
令和2年度,2020,歳出,一般,5,1,1,424,勤労者福祉対策事業,経済観光課
令和2年度,2020,歳出,一般,6,1,1,426,農業委員会運営費,経済観光課
令和2年度,2020,歳出,一般,6,1,1,427,ふれあい農業推進事業,経済観光課
令和2年度,2020,歳出,一般,6,1,2,17,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,6,1,2,428,農政事務経費,経済観光課
令和2年度,2020,歳出,一般,6,1,3,430,都市農業推進事業,経済観光課
令和2年度,2020,歳出,一般,6,1,3,432,家庭菜園推進事業,経済観光課
令和2年度,2020,歳出,一般,7,1,1,18,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,7,1,2,435,中小企業事業資金貸付あっせん事業,経済観光課
令和2年度,2020,歳出,一般,7,1,2,436,多摩商工会議所補助事業,経済観光課
令和2年度,2020,歳出,一般,7,1,2,437,多摩市商店会装飾街路灯補助事業,経済観光課
令和2年度,2020,歳出,一般,7,1,2,439,創業・経営支援事業,経済観光課
令和2年度,2020,歳出,一般,7,1,2,443,観光推進事業,経済観光課
令和2年度,2020,歳出,一般,7,1,2,444,多摩市企業誘致事業,経済観光課
令和2年度,2020,歳出,一般,7,1,2,445,聖蹟桜ヶ丘活性化事業,経済観光課
令和2年度,2020,歳出,一般,7,1,2,446,多摩センター地区活性化事業,経済観光課
令和2年度,2020,歳出,一般,7,1,2,447,商店街チャレンジ戦略支援事業,経済観光課
令和2年度,2020,歳出,一般,7,1,2,448,フィルムコミッション（撮影支援）事業,経済観光課
令和2年度,2020,歳出,一般,7,1,2,962,新型コロナウイルス感染症経済対策事業,経済観光課
令和2年度,2020,歳出,一般,7,1,3,450,消費生活センター管理運営事業,コミュニティ・生活課
令和2年度,2020,歳出,一般,8,1,1,19,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,8,1,1,455,土木管理経費,道路交通課
令和2年度,2020,歳出,一般,8,1,1,456,営繕管理経費,施設保全課
令和2年度,2020,歳出,一般,8,2,1,20,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,8,2,1,458,道路橋りょう管理経費,道路交通課
令和2年度,2020,歳出,一般,8,2,1,461,街路灯維持管理経費,道路交通課
令和2年度,2020,歳出,一般,8,2,2,465,道路維持事業,道路交通課
令和2年度,2020,歳出,一般,8,2,2,466,多摩センター共同溝維持管理経費,道路交通課
令和2年度,2020,歳出,一般,8,2,2,467,街路樹等維持管理経費,道路交通課
令和2年度,2020,歳出,一般,8,2,3,468,道路整備事業,道路交通課
令和2年度,2020,歳出,一般,8,2,4,472,交通安全施設整備事業,道路交通課
令和2年度,2020,歳出,一般,8,2,5,473,橋りょう維持管理経費,道路交通課
令和2年度,2020,歳出,一般,8,3,1,21,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,8,3,1,475,都市計画審議会運営費,都市計画課
令和2年度,2020,歳出,一般,8,3,1,476,都市計画管理経費,都市計画課
令和2年度,2020,歳出,一般,8,3,1,477,都市計画に関する基本的な方針推進事業,都市計画課
令和2年度,2020,歳出,一般,8,3,1,479,地籍調査事業,道路交通課
令和2年度,2020,歳出,一般,8,3,1,480,都市計画基金積立,都市計画課
令和2年度,2020,歳出,一般,8,3,1,947,下水道事業会計繰出金,都市計画課
令和2年度,2020,歳出,一般,8,3,1,948,ニュータウン再生関連事業,都市計画課
令和2年度,2020,歳出,一般,8,3,4,493,公園管理経費,公園緑地課
令和2年度,2020,歳出,一般,8,3,4,494,公園整備事業,公園緑地課
令和2年度,2020,歳出,一般,8,3,5,495,みどりの保全育成事業,公園緑地課
令和2年度,2020,歳出,一般,8,3,5,497,グリーンライブセンター管理運営経費,公園緑地課
令和2年度,2020,歳出,一般,8,3,5,499,みどりの基金積立,環境政策課
令和2年度,2020,歳出,一般,8,4,1,500,住宅管理経費,都市計画課
令和2年度,2020,歳出,一般,8,4,1,501,住宅耐震改修等促進事業,都市計画課
令和2年度,2020,歳出,一般,8,4,1,502,住宅相談事業,都市計画課
令和2年度,2020,歳出,一般,8,4,1,503,住宅助成事業,都市計画課
令和2年度,2020,歳出,一般,8,4,1,921,住宅ストック対策事業,都市計画課
令和2年度,2020,歳出,一般,9,1,1,506,消防事務委託等経費,防災安全課
令和2年度,2020,歳出,一般,9,1,2,507,消防団運営経費,防災安全課
令和2年度,2020,歳出,一般,9,1,2,508,消防少年団育成指導費,防災安全課
令和2年度,2020,歳出,一般,9,1,3,510,消防施設器具管理経費,防災安全課
令和2年度,2020,歳出,一般,9,1,4,512,水防対策経費,防災安全課
令和2年度,2020,歳出,一般,9,1,5,513,災害対策経費,防災安全課
令和2年度,2020,歳出,一般,9,1,5,514,総合防災訓練事業,防災安全課
令和2年度,2020,歳出,一般,9,1,5,515,自主防災組織育成事業,防災安全課
令和2年度,2020,歳出,一般,9,1,5,516,災害対策用資器材整備事業,防災安全課
令和2年度,2020,歳出,一般,9,1,5,518,急傾斜地崩壊対策事業,防災安全課
令和2年度,2020,歳出,一般,9,1,5,520,家具転倒防止器具助成事業,防災安全課
令和2年度,2020,歳出,一般,10,1,1,521,教育委員会運営費,教育振興課
令和2年度,2020,歳出,一般,10,1,1,522,表彰関係経費,教育振興課
令和2年度,2020,歳出,一般,10,1,2,22,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,10,1,2,523,事務局事務経費,教育振興課
令和2年度,2020,歳出,一般,10,1,2,524,事務局事務経費,学校支援課
令和2年度,2020,歳出,一般,10,1,2,527,外国人学校児童・生徒の保護者に対する補助金,学校支援課
令和2年度,2020,歳出,一般,10,1,2,531,学校情報環境整備事業,教育振興課
令和2年度,2020,歳出,一般,10,1,3,532,通学路安全対策事業,学校支援課
令和2年度,2020,歳出,一般,10,1,3,533,教育指導経費,教育指導課
令和2年度,2020,歳出,一般,10,1,3,535,教育研究費,教育指導課
令和2年度,2020,歳出,一般,10,1,3,536,多摩市立教育センター運営費,教育センター
令和2年度,2020,歳出,一般,10,1,3,539,英語活動支援事業,教育指導課
令和2年度,2020,歳出,一般,10,1,3,541,市民キャリア等推進事業,教育指導課
令和2年度,2020,歳出,一般,10,1,3,547,教職員研修等事業経費,教育指導課
令和2年度,2020,歳出,一般,10,1,3,553,学校跡地施設市民開放経費,文化・生涯学習推進課
令和2年度,2020,歳出,一般,10,1,3,852,ＥＳＤ推進事業,教育指導課
令和2年度,2020,歳出,一般,10,1,3,880,学校と家庭の連携推進事業,教育指導課
令和2年度,2020,歳出,一般,10,1,3,899,オリンピック・パラリンピック教育推進事業,教育指導課
令和2年度,2020,歳出,一般,10,1,3,953,英語教育推進事業,教育指導課
令和2年度,2020,歳出,一般,10,2,1,23,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,10,2,1,565,学校管理運営費,教育振興課
令和2年度,2020,歳出,一般,10,2,1,566,学校管理運営費,教育指導課
令和2年度,2020,歳出,一般,10,2,2,567,教育振興運営費,教育振興課
令和2年度,2020,歳出,一般,10,2,2,568,特別支援学級運営費,教育振興課
令和2年度,2020,歳出,一般,10,2,2,569,就学援助費,学校支援課
令和2年度,2020,歳出,一般,10,2,2,570,特別支援教育児童就学奨励事業,学校支援課
