"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","広報みなと・ミナトマンスリー（英字広報紙）","区の公式ホームページ[人]","駅や街中での啓発ポスター等の掲示物[人]","路面シート[人]","環境美化キャンペーン[人]","巡回指導員（による指導）[人]","ちぃばすの車内テレビ[人]","デジタルサイネージでの動画放映[人]","見かけたり聞いたりしたことはない[人]","その他[人]"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","職業別","無職","83","28","10","33","30","3","13","15","0","14","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","職業別","その他","26","5","4","15","13","2","6","6","0","1","1"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","職業別","無回答","5","1","0","3","1","2","1","0","0","0","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","居住地区別","芝地区","107","26","16","56","26","12","29","15","1","23","2"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","居住地区別","麻布地区","140","29","12","54","39","4","21","22","1","44","1"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","居住地区別","赤坂地区","88","11","6","35","36","6","7","19","0","22","1"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","居住地区別","高輪地区","155","42","18","72","55","9","34","16","2","37","1"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","居住地区別","芝浦港南地区","164","48","24","77","58","16","23","31","2","33","3"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","居住地区別","無回答","4","2","0","1","0","2","0","0","0","1","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","住居形態別","持家（一戸建）","95","28","10","47","47","10","27","14","0","15","1"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","住居形態別","持家（マンション）","302","81","41","158","98","25","56","54","3","67","3"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","住居形態別","借家（一戸建）","7","0","0","2","1","0","0","0","0","5","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","住居形態別","民間の賃貸マンション・アパート","171","24","14","61","43","9","20","20","1","55","3"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","住居形態別","都営住宅・区営住宅・区立住宅","28","10","4","7","7","0","6","4","0","3","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","18","8","2","7","6","3","2","6","1","3","1"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","住居形態別","社宅・公務員宿舎","20","2","3","10","6","0","1","2","0","8","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","住居形態別","寮・寄宿舎・住み込み・間借り","6","1","1","1","3","0","2","2","1","1","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","住居形態別","その他","5","2","1","0","2","0","0","1","0","2","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","住居形態別","無回答","6","2","0","2","1","2","0","0","0","1","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","定住意向別","ずっと住み続けていたい","366","111","52","172","128","30","78","67","3","74","3"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","定住意向別","当分は住んでいたい","224","38","22","96","59","14","27","29","2","70","4"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","42","7","2","20","19","4","5","3","0","7","1"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","2","0","0","1","1","0","0","0","0","0","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","定住意向別","近いうちに区外に転居する予定である","9","2","0","3","4","0","1","2","0","1","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","定住意向別","わからない","14","0","0","3","3","1","2","2","1","8","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","定住意向別","無回答","1","0","0","0","0","0","1","0","0","0","0"

"第32回港区民世論調査クロス集計表・みなとタバコルールQ17","Ver202003",,,,,,,,,,,,,,
