施設名称,所在地,備考,緯度,経度
新馬場駅駐輪場,東京都品川区南品川1丁目9番,品川区南品川1丁目9番,35.6151705,139.7432847
大井競馬場前駅駐輪場,東京都品川区勝島1丁目4番先,品川区勝島1丁目4番先,35.6000574,139.7471319
大森駅水神口前駐輪場,東京都品川区南大井6丁目15番,品川区南大井6丁目15番,35.5908255,139.7297364
西大井駅駐輪場,東京都品川区二葉2丁目26番6号,品川区二葉2丁目26番6号,35.6022960,139.7232470
荏原町駅駐輪場,東京都品川区中延5丁目1番1号,品川区中延5丁目1番1号,35.6037341,139.7069720
大井町駅西口,東京都品川区大井1丁目7番9号,,35.6069579,139.7328800
青物横丁駅駐輪場,東京都品川区南品川2丁目4番,品川区南品川2丁目4番,35.6103080,139.7424635
立会川駅駐輪場,東京都品川区南大井1丁目3番1号,品川区南大井1丁目3番1号,35.5977345,139.7387794
東急中延駅駐輪場,東京都品川区中延4丁目5番5号,中延4丁目5番5号,35.6058244,139.7131038
荏原中延駅駐輪場,東京都品川区中延2丁目9番,品川区中延2丁目9番,35.6103396,139.7106984
伊東温泉品川荘,静岡県伊東市広野1-3-17,"所在地　:静岡県伊東市広野1-3-17　電　話 : 0557-35-0321 交　通 :　伊東駅からバス(5・6番のりば)修善寺行で、伊東郵便局(10分)下車徒歩3分",34.9627869,139.0914617
日光林間光林荘,栃木県日光市細尾町676-1,"雄大な自然に囲まれた施設です。体育館や研修・会議などに利用できる学習室があります。所在地:栃木県日光市細尾町676-1電　話:0288-54-0988交通:●東武日光駅から送迎車20分(事前予約) ●東武日光駅からバス、奥細尾行で細尾リンク入口(30分)下車、徒歩10分",36.7296219,139.5560148
臨海斎場,東京都大田区東海1-3-1,"交通機関  ●東京モノレール「流通センター」駅下車　徒歩約10分●JR大森駅から京急バス終点下車　徒歩約1分●JR大森駅から京急バス　「流通センター前」下車　徒歩約10分●京急平和島駅から京急バス「流通センター前」下車　徒歩約10分",35.5852598,139.7527123
大井町サービスコーナー,東京都品川区大井1-2-12,"品川区大井1-2-12(JR京浜東北線大井町駅ビル「アトレ」中央西口階段下)電話:3777-0050 取扱時間:月～金:午前8時～午後7時土・日:午前10時～午後3時休日 国民の祝日(祝日が日曜日の場合、翌日の月曜日は開業)年末年始(12月29日～1月3日)●住民票の写し等の発行",35.6063113,139.7347525
大井町サイクルパーキング,東京都品川区東大井5-1,,35.6082895,139.7359832
JR東急目黒ビル,東京都品川区上大崎4-2-1,,35.6330805,139.7155710
武蔵小山サービスコーナー,東京都品川区小山3-27-5,"品川区小山3-27-5武蔵小山創業支援センター4階電話:5749-0050 取扱時間 月～金:午前8時～午後7時土・日:午前10時～午後3時 休日:国民の祝日(祝日が日曜日の場合、翌日の月曜日は開業)、年末年始(12月29日～1月3日)●住民票の写し等の発行",35.6197658,139.7033658
シティコート目黒,東京都品川区上大崎2-10-34,,35.6355280,139.7167063
荏原区民センター,東京都品川区荏原5-6-5,"荏原区民センター荏原5-6-5電話　3788-7939西小山駅徒歩8分",35.6145639,139.7021029
北品川ホームズ,東京都品川区北品川5-8-15,,35.6196588,139.7325397
睦交通,東京都品川区南大井5-10-12,,35.5971173,139.7352232
荏原町商店街会館,東京都品川区中延5-6-16,,35.6028693,139.7083071
戸越銀座銀六商店街,東京都品川区豊町1-4-16,,35.6143983,139.7221892
サポしながわ,東京都品川区西品川1-28-3　品川区立中小企業センター1階,"サポしながわは、品川区シルバー人材センターと品川区社会福祉協議会が連携して運営する、おおむね55歳からのシニアを対象とした無料職業紹介所です。(厚生労働大臣許可)住所:西品川1-28-3　　 品川区立中小企業センター1階電話:03-5498-6357",35.6092107,139.7278737
武蔵小山駅前公衆便所,東京都品川区小山3-4-5,東京都品川区小山3-4-5,35.6205430,139.7045900
新馬場北公衆便所,東京都品川区北品川2-18-1,東京都品川区北品川2-18-1,35.6175480,139.7413620
西大井公衆便所,東京都品川区西大井1-3-2,東京都品川区西大井1-3-2,35.6016550,139.7217890
大井町駅東口公衆便所,東京都品川区東大井5-20-1,東京都品川区東大井5-20-1,35.6057210,139.7353381
不動前公衆便所,東京都品川区西五反田5-1,東京都品川区西五反田5-1,35.6263510,139.7149692
谷山公園公衆便所,東京都品川区西五反田3-6-15,東京都品川区西五反田3-6-15,35.6277710,139.7185720
東急ストア,東京都品川区東五反田2-1-2,東京都品川区東五反田2-1-2,35.6255740,139.7245440
桐ヶ谷斎場,東京都品川区西五反田5-32-20,東京都品川区西五反田5-32-20,35.6224180,139.7136560
イトーヨーカドー 大井町店,東京都品川区大井1-3-6,東京都品川区大井1-3-6,35.6072120,139.7339110
阪急大井町,東京都品川区大井1-50-7,東京都品川区大井1-50-7,35.6055900,139.7342520
アトレ大井町,東京都品川区大井1-2-1,東京都品川区大井1-2-1,35.6061548,139.7347307
大崎ニューシティ,東京都品川区大崎1-6-4,東京都品川区大崎1-6-4,35.6203630,139.7289740
ゲートシティ大崎,東京都品川区大崎1-11-1,東京都品川区大崎1-11-1,35.6194750,139.7307600
ゆうぽうと,東京都品川区西五反田8-4-13,東京都品川区西五反田8-4-13,35.6225100,139.7220110
ＴＯＣビル,東京都品川区西五反田7-22-17,東京都品川区西五反田7-22-17,35.6221460,139.7188110
ヒルトップガーデン,東京都品川区上大崎2-16-9,東京都品川区上大崎2-16-9,35.6340202,139.7158876
アトレ目黒,東京都品川区上大崎3-1-1,東京都品川区上大崎3-1-1,35.6331060,139.7158810
ジャスコ品川シーサイド店,東京都品川区東品川4-12-5,東京都品川区東品川4-12-5,35.6109160,139.7491529
ダイエー,東京都品川区八潮5-5-3,東京都品川区八潮5-5-3,35.5997330,139.7501180
西友,東京都品川区南大井6-27-25,東京都品川区南大井6-27-25,35.5885280,139.7304120
アワーズイン阪急,東京都品川区大井1-50-5,東京都品川区大井1-50-5,35.6057930,139.7336080
第一ホテル東京シーフォート,東京都品川区東品川2-3-15,東京都品川区東品川2-3-15,35.6244300,139.7512501
御殿山ヒルズ ホテルラフォーレ東京,東京都品川区北品川4-7-36,東京都品川区北品川4-7-36,35.6214380,139.7372070
東横イン南品川青物横丁駅,東京都品川区南品川3-1-1,東京都品川区南品川3-1-1,35.6075710,139.7431741
環境情報活動センター,東京都品川区広町2-1-36,"環境情報活動センター 子ども、区民や事業者など、多くの人がライフスタイルを考えたり、環境にやさしい経営に変えたりするための情報を得られます。 また、様々な環境講座も開催しています。 品川区広町2-1-36　品川区役所 第三庁舎3階 電話:5742-6533",35.6083574,139.7300388
