種別,"指定
番号
","指定
年月日
",名称,数,所在地,所有者,コメント,緯度,経度
彫刻,第20号,平成3年3月26日,石造線刻地蔵菩薩坐像,1躯,西大井5-22-25,養玉院,慶安4（1651）年に念仏講衆25人の結縁によって制作。高さ2ｍ67ｃｍの安山岩の表面に結跏趺坐する地蔵菩薩坐像を線刻する。旧如来寺（芝高輪）の本堂の脇にあった納骨堂の本尊として祀られていたもの。,35.596860 ,139.717244 
典籍,第1号,平成2年3月13日,典籍「南浦地名考」,1帖,"大井6-11-1
品川歴史館",品川区,江戸南郊地域について記した地誌。大井村名主の大野五蔵惟図（1763～1847）が寛政年間（1789～1801）に撰述したもの。蔵書は安政4（1857）年の写本と推定される。,35.596787 ,139.730102 
古文書,第10号,平成14年2月26日,浜川神社文書,51点,南大井2-4-8,浜川神社,浜川神社の前身である厄神社（厄神大権現）および浜川神社に関わる江戸時代から近代の文書と証文類で構成され、地域の歴史の解明や、神社史を知るうえで貴重。,35.592834 ,139.736972 
古文書,第13号,平成21年7月14日,"来迎院文書
附、来迎院棟札","31点
7枚",南大井6-18-8,来迎院,来迎院は、創建当時から大井地域に所在する寺院の中で唯一古文書の存在が確認されている。寺史の解明につながる近世・近代の史料が多く、わずかではあるが、大井村や同村名主大野五蔵惟図関係史料も含まれる。地域の歴史を明らかにするうえで貴重。,35.590696 ,139.731035 
考古資料,第2号,平成9年4月10日,品川区出土?状耳飾,9点,"大井6-11-1
品川歴史館",品川区,?状耳飾は縄文時代の装飾品で、環の一部に切込みがある。居木橋遺跡及び池田山北遺跡より出土。石製7点と土製2点からなる。,35.596787 ,139.730102 
歴史資料,第2号,平成元年3月14日,添浦高札（2）,1枚,"大井6-11-1
品川歴史館",品川区,正徳元(1711)年の「諸国浦高札」の追加補充として、正徳4年に発せられた「浦々添高札」で、抜荷買い(密貿易)を禁止する旨が記されている。,35.596787 ,139.730102 
歴史資料,第6号,平成22年7月13日,"阿波藍商人墓標群
外面確認",墓標35基,東大井3-13-1,来福寺,阿波国（徳島県）特産物の藍を扱った阿波藍商人の墓。元は66基。昭和2（1927）年に境外の地蔵堂墓域から境内に移設され合葬。阿波藍商人の江戸への進出や品川地域との関わりを示す。,35.601774 ,139.737679 
有形民俗,第3号,昭和53年11月22日,西光寺石造供養塔,3基,大井4-22-16,西光寺,明暦元(1655)年造立の延命地蔵菩薩が彫られた供養塔と寛文9(1669)年造立の阿弥陀如来が彫られた供養塔は共に舟型で念仏講中の女性たちにより造立。他の1基は寛文13年造立の阿弥陀如来が彫られた宝塔型庚申供養塔。境外の倉田地蔵堂から境内に移設された。,35.600257 ,139.732992 
有形民俗,第4号,昭和53年11月22日,来迎院石造念仏講供養塔,3基,大井6-15-22,来迎院門前,来迎院門前の道路に面して3棟の堂が建ち、向かって右側の堂内に明暦2(1656)年と万治2(1659)年に造立の地蔵菩薩が彫られた2基、堂外に寛文7(1667)年造立の「南無阿弥陀仏」と彫られた笠塔婆型の1基がある。いずれも大井村の念仏講が造立。,35.596166 ,139.731080 
有形民俗,第21号,平成元年3月14日,文亀三年銘一石五輪塔,1基,"大井6-11-1
品川歴史館",区管理,文亀3(1503)年に一石で造られた五輪塔。通常、一石五輪塔は供養塔または墓碑として数基から数十基で群在する。旧中原街道供養塔群(2)の傍らに置かれていたものであるが、他所から流入した可能性が考えられる。,35.596787 ,139.730102 
有形民俗,第23号,平成2年3月13日,天保九年銘題目供養塔,1基,大井1-24,土地所有者管理,天保9(1838)年に池上道と稲毛道との分岐点に建てられた高さ約1ｍ23ｃｍの道標。池上本門寺に参詣する人のために品川宿などの法華信者が造立。,35.605877 ,139.732551 
有形民俗,第26号,平成3年3月26日,品川海苔生産用具,"41種類
239点","大井6-11-1
品川歴史館",品川区,江戸時代から昭和37(1962)年まで、品川浦と大井御林浦で行われていた海苔養殖・生産に使用されていた用具類。海苔網・海苔下駄・海苔簀など多種にわたる。,35.596787 ,139.730102 
史跡,第11号,昭和53年11月22日,山内豊信（容堂）墓,1基,東大井4-8,個人,神式の円墳型で、墳墓に向かって右縁に自然石の墓碑が建つ。豊信（1827～1872）は土佐藩（高知県）15代藩主で、藩政の刷新に努めるとともに、幕政に強い影響力を持ち、15代将軍徳川慶喜に大政奉還を建議するなど、朝廷と幕府との間の斡旋に努めた。,35.605369 ,139.740774 
史跡,第12号,昭和53年11月22日,大井の井,－,大井6-9-17,光福寺,光福寺本堂裏の墓地内にある横穴式の井戸で、いまでも水が湧き出している。寺伝では、元久の兵乱(1204～5)で東国に流された頭中将光福が、子授けを蔵王権現に祈願すると男児が生まれ、この泉が湧き出したので産湯とした。この男児がのちの名僧了海と伝わる。,35.597578 ,139.731804 
史跡,第13号,昭和53年11月22日,大井の水神,－,南大井5-14-9,水神社奉賛会,この地から湧き出していた地下水は、飲用や水田耕作などに利用されていた。大井村の人々はその水の恩恵に感謝し、潤沢な水の供給を願い、貞享2(1685)年に祠を建てて水神を祀った。,35.595677 ,139.733019 
史跡,第18号,昭和55年3月11日,元禄八年銘道標,1基,西大井1-6-3,区管理,元禄8(1695)年、品川用水に石橋を架けた大井村の寂證を中心とする58名の念仏講中が、石橋の無事と通行者の安全を願って造立したと推定される。高さ1ｍ18ｃｍの区内最古の道標。,35.601491 ,139.724036 
史跡,第19号,昭和55年3月11日,伊藤博文墓,1基,西大井6-10-18,防長倶楽部,神式の円墳型の墓。伊藤博文（1841～1909）は大日本帝国憲法の制定や内閣制度の採用など、近代日本の確立に力を尽くし、初代の総理大臣となった。,35.600285 ,139.720085 
史跡,第20号,昭和57年2月10日,大井・原の水神池,－,西大井3-1,大井水神組合,この遊水池は、元の原・出石などの農家が出荷する野菜を洗っていた場所で、傍らの水神社は、水の恵みに感謝した農民が祀ったもの。かつてこの水神は眼の神様とされ、池の水を持ち帰り眼が治った者は池に鯉を放ったという。,35.597698 ,139.723612 
天然記念物,第1号,昭和53年2月14日,光福寺のイチョウ,1本,大井 6-9-17,光福寺,幹周り約6m40cm、樹高約30m、推定樹齢約800年。整った樹形で壮観な姿を見せる。明治時代まで、東京湾に出漁する漁民たちが、航行するときの目印にしたという。,35.597578 ,139.731804 
天然記念物,第8号,昭和53年2月14日,仙台坂のタブノキ,1本,東大井4-3-1,会社,暖地の海岸地方に多く見られるクスノキ科の常緑の高木。別名はイヌグス。幹周り約3m70cm、樹高約20m、推定樹齢は約300年。 周辺で行われた発掘調査の結果、仙台藩伊達家下屋敷にあった樹木と推定。,35.605625 ,139.741412 
天然記念物,"第10号
第11号",昭和53年2月14日,"鹿島神社のタブノキ
(1)(2)",2本,大井6-18-36,鹿島神社,本殿の手前向かって左側にある(1)は、幹周り約3m10cm、樹高約10m、推定樹齢は約150～200年。本殿脇の旧本殿の前にある(2)は、幹周り約2m50cm、樹高約18m、推定樹齢は約150年。,35.595397 ,139.729957 
天然記念物,第12号,昭和53年2月14日,鹿島神社のアカガシ,1本,大井6-18-36,鹿島神社,ブナ科の常緑の高木。本州中部以西の海岸付近の暖地に多く見られる。幹周り約2m10cm、樹高約6m、推定樹齢は約200年。上半分は折れて失われている。旧本殿の後ろに立つ。,35.595397 ,139.729957 
民俗芸能,第1号,昭和60年3月14日,大井囃子,－,"大井6-18-36
鹿島神社周辺",大井囃子保存会,大井囃子は、関東地方で広く行われている祭囃子のひとつで、伝統ある江戸祭囃子。文政3(1820)年大井村原の倉本彦五郎を発起人とし、目黒囃子系の師匠、倉本三五郎を迎えて誕生した。,35.595397 ,139.729957 
