種別,"指定
番号
","指定
年月日
",名称,数,所在地,所有者,コメント,緯度,経度
有形民俗,第7号,昭和55年3月11日,宝塔寺石造庚申供養塔,2基,東五反田1-2-29,宝塔寺,寛文8(1668)年に造立の板碑型と、寛文12年に造立の笠塔婆型の2基。両基とも碑面に「南無青面金剛守護所」とあり、三猿の下に旧大崎村の住民と思われる施主の名が刻まれている。元は隣の雉子神社に建てられていた。,35.628457 ,139.726955 
有形民俗,第8号,昭和55年3月11日,徳蔵寺石造庚申供養塔群,5基,西五反田3-5-15,徳蔵寺,一番大きい塔は、寛永12(1635)年の造立で板碑型、庚申塔では品川区内最古。他の4基は、延宝5(1677)年から元禄2(1689)年の造立で笠塔婆型2基、駒型2基。上大崎村の庚申講中が谷山橋の傍らに建てたが、現在地に移設された。,35.628643 ,139.719346 
有形民俗,第9号,昭和55年3月11日,日本諸国社号等標石群,43基,西五反田3-5-15,徳蔵寺,43個の自然石の一つひとつに、諸国一宮の社号と造立者の名が刻まれている。六十六部廻国供養の思想に基づいて造られた。徳蔵寺檀徒の多かった上大崎村・居木橋村・大崎村・谷山村の住民の名も見える。,35.628643 ,139.719346 
有形民俗,第10号,昭和55年3月11日,安楽寺供養塔群,8基,西五反田5-6-8,安楽寺,寛文9(1669)年から寛政11(1799)年に造立の庚申供養塔5基、寛文10年造立の題目供養塔、廷宝年間(1673～81)造立の馬頭観世音供養塔、大正10(1921)年造立の馬頭観世音道標で、周辺の村々の人が造立したもの。,35.624514 ,139.716514 
有形民俗,第11号,昭和55年3月11日,安養院石造念仏供養塔,1基,西五反田4-12-1,安養院,延宝3(1675)年に造立された高さ3ｍ64ｃｍの大型の笠塔婆型の供養塔。正面に大きく「南無阿弥陀仏」と刻まれている。江戸時代初期に、庚申講の人々が僧侶の指導のもとで造立。,35.626418 ,139.710025 
有形民俗,第14号,昭和57年2月10日,宝塔寺板木,26枚,東五反田1-2-29,宝塔寺,内訳は、お札板木5枚、御供米袋板木2枚、おみくじ板木17枚、富興行取極書板木2枚。文化7(1810)年制作のおみくじ板木は、一番から百番までの札がすべてそろう。周辺の庶民信仰や娯楽の状況を示すものとして貴重。,35.628457 ,139.726955 
有形民俗,第18号,昭和62年3月24日,徳蔵寺双盤念仏用具,1式,西五反田3-5-15,徳蔵寺,双盤講の人々が寺の本堂に集まり、念仏を唱え、美声を競った十夜会(昭和初め頃まで行われていた)に使った双盤鉦4面とその台柱、太鼓一張。弘化4(1847)年の銘がある。これらの用具一式が残っているのは珍しい。,35.628643 ,139.719346 
有形民俗,第25号,平成2年3月13日,雉子神社祭礼幟,2?,東五反田1-2-33,雉子神社,木綿布の中央に大きく社号、右側に年月、左側に筆者の署名を小さく黒字で、上方に注連縄を藍・茶など複数の色で染めぬいている。享和3(1803)年に大崎3か村(上大崎・下大崎・谷山)の氏子が寄進したもの。,35.628826 ,139.726752 
有形民俗,第28号,平成17年4月26日,"西品川三丁目石造庚申
供養塔",1基,西品川3-11,町会管理,延享4（1747）年造立の駒型の供養塔。正面に青面金剛像と二鶏・邪鬼・三猿、左右側面それぞれに3人の奉納者名が刻まれている。傍らには供養塔御堂再建を記念した昭和8（1933）年の「記念碑」が建つ。,35.615339 ,139.723931 
史跡,第2号,昭和53年11月22日,文政十一年銘道標,1基,西品川3-16-31,貴船神社,高さ約1m5cmの道標で、観世音菩薩を示す梵字が刻まれている。背面に刻まれた居木橋村の名主の松原氏が、文政11(1828)年に造立。居木橋村と品川宿枝郷三ツ木との境にあったものと推定される。,35.615346 ,139.726365 
天然記念物,第5号,昭和53年2月14日,雉子神社のイチョウ,1本,東五反田1-2-33,雉子神社,幹周り約4ｍ、樹高約18ｍ、推定樹齢約150～200年。桜田通りに面して立ち、周辺の景観の中で目を引く巨木。,35.628826 ,139.726752 
天然記念物,第6号,昭和53年2月14日,清泉女子大学のフウ,1本,東五反田3-16-21,清泉女子大学,マンサク科の落葉の高木で、外来樹の台湾フウ。幹周り約3ｍ20ｃｍ、樹高約15ｍ、推定樹齢約200年。眺望のすぐれた庭園の中にそびえ、整然とした姿で景観を一層引き立てている。,35.627345 ,139.728232 
天然記念物,第17号,昭和53年2月14日,清岸寺のサクラ,1本,上大崎1-5-15,清岸寺,祐天上人(1637～1718)の手植えの桜と伝えられ、清岸寺創立の寛文元(1661)年頃に植えられたと推定される。幹周り約3ｍ10ｃｍ、樹高約6ｍ。平成23年に行われた品種鑑定の結果、新品種と判断された。,35.634311 ,139.722788 
天然記念物,"第21号
第22号",昭和53年2月14日,"誕生八幡神社のイチョウ
(1)(2)",2本,"上大崎2-13-36
誕生八幡神社","誕生八幡神社
(1)(2)",道路の拡張に伴い計三度の移植が行われた。向かって右側（1）は、幹周り約3ｍ30ｃｍ、樹高約14ｍ50ｃｍ、左側(2)は、幹周り約2ｍ80ｃｍ、樹高約11ｍ50ｃｍ、推定樹齢はいずれも約250～300年。,35.634551 ,139.717487 
